eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/std,train/n_updates,train/loss,train/clip_range,train/learning_rate,train/approx_kl,train/value_loss
50.0,1000,-13.222900172322989,,,,,,,,,,,,,,,,
50.0,2000,-13.222900172322989,,,,,,,,,,,,,,,,
,2048,,1,371,5,50.0,-60.685275175,,,,,,,,,,,
50.0,3000,-11.14794961931184,,,,,,-0.00479973763867747,0.03399384021759033,0.018359375,-2.809451898187399,0.9750385284423828,10,60.20164489746094,0.2,0.0003,0.0031410912,184.8158947944641
50.0,4000,-11.14794961931184,,,,,,,,,,,,,,,,
,4096,,2,312,13,50.0,-60.76948940740741,,,,,,,,,,,
50.0,5000,-10.530123690888285,,,,,,-0.005922006769105792,0.32290077209472656,0.043359375,-2.7738307781517504,0.9621402621269226,20,20.533275604248047,0.2,0.0003,0.0057767136,108.73963721990586
50.0,6000,-10.530123690888285,,,,,,,,,,,,,,,,
,6144,,3,295,20,50.0,-60.71880970000001,,,,,,,,,,,
50.0,7000,-10.092108807154,,,,,,-0.005821729327726644,0.17604172229766846,0.020166015625,-2.7336351983249187,0.9316474199295044,30,17.529964447021484,0.2,0.0003,0.0060987594,75.04263840913772
50.0,8000,-10.092108807154,,,,,,,,,,,,,,,,
,8192,,4,290,28,50.0,-59.40548658000001,,,,,,,,,,,
50.0,9000,-11.035910047218204,,,,,,-0.006113494781311601,0.09905236959457397,0.02763671875,-2.66164573431015,0.8951534032821655,40,6.957466125488281,0.2,0.0003,0.007137157,58.61816886663437
50.0,10000,-11.035910047218204,,,,,,,,,,,,,,,,
,10240,,5,287,35,50.0,-58.14329057,,,,,,,,,,,
50.0,11000,-10.64731795154512,,,,,,-0.009587739754351787,0.04880368709564209,0.06181640625,-2.570804449170828,0.8486114740371704,50,10.102252960205078,0.2,0.0003,0.009760903,48.254436856508256
50.0,12000,-10.64731795154512,,,,,,,,,,,,,,,,
,12288,,6,285,43,50.0,-56.205504740000016,,,,,,,,,,,
50.0,13000,-13.239916205592454,,,,,,-0.00865860294434242,0.051825642585754395,0.06787109375,-2.4671042919158936,0.8101639747619629,60,5.874175071716309,0.2,0.0003,0.010115698,31.18345422744751
50.0,14000,-13.239916205592454,,,,,,,,,,,,,,,,
,14336,,7,283,50,50.0,-54.142312350000005,,,,,,,,,,,
