time/fps,train/critic_loss,time/time_elapsed,train/n_updates,time/episodes,train/actor_loss,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
377,0.015194705948815682,5,1000,4,-2.180666185379028,2059,-145.48377474999998,0.001,514.75,,
,0.0664546522917226,,4000,,-4.529635731697082,5000,,0.001,,-688.7578656546597,1000.0
191,0.08882130207121372,31,5000,8,-4.707545004367828,6059,-545.5547763750001,0.001,757.375,,
173,0.24475908124198517,35,6098,12,-6.195839484532674,6199,-390.20493275000007,0.001,516.5833333333334,,
179,0.3610822496743038,42,7483,16,-6.332553965704782,7573,-402.2466075625,0.001,473.3125,,
181,0.6560065814277583,42,7661,20,-5.840514860655132,7815,-341.76069694999995,0.001,390.75,,
202,0.49499067160487176,48,8790,24,-6.64110560798645,9849,-233.63183237500002,0.001,410.375,,
,0.5769936070740223,,9790,,-7.998798114776611,10000,,0.001,,324.2330656730919,957.5
186,0.6799195723831654,73,12624,28,-9.37683234500885,13683,-123.40534000000001,0.001,488.67857142857144,,
,0.5072597354650498,,14624,,-11.225148656845093,15000,,0.001,,815.371741286572,1000.0
176,0.48901230078935626,100,16624,32,-12.991027620315553,17683,-18.540828499999986,0.001,552.59375,,
,0.4046760849505663,,19624,,-15.323657756805419,20000,,0.001,,734.2465387259837,1000.0
170,0.40884699919819834,126,20624,36,-16.032612909317017,21683,48.899019722222235,0.001,602.3055555555555,,
,0.3500271315574646,,24624,,-18.898169975280762,25000,,0.001,,733.474272641493,1000.0
167,,153,,40,,25683,113.37454915000004,,642.075,,
173,0.3762223819941282,171,28624,44,-21.581544834136963,29683,181.71718795454547,0.001,674.6136363636364,,
,0.3789597265273333,,29624,,-22.24651517868042,30000,,0.001,,844.5807921703905,1000.0
170,0.37024863179028034,197,32624,48,-24.06968398666382,33683,236.431845125,0.001,701.7291666666666,,
,0.3738556908071041,,34624,,-25.331424812316893,35000,,0.001,,913.3386644013226,1000.0
168,0.4047473007887602,223,36624,52,-26.182895713806154,37683,282.6789593076923,0.001,724.6730769230769,,
,0.3868517664372921,,39624,,-27.84100975036621,40000,,0.001,,828.9192830696702,1000.0
166,0.4183940209299326,250,40624,56,-28.3266851272583,41683,321.25375208928574,0.001,744.3392857142857,,
,0.38475193437933924,,44624,,-30.218313304901123,45000,,0.001,,646.6996839521977,1000.0
164,,277,,60,,45683,348.7579427166667,,761.3833333333333,,
167,0.4381411260962486,296,48624,64,-31.6698193397522,49683,383.20294134375,0.001,776.296875,,
,0.41184317582845686,,49624,,-31.991221744537352,50000,,0.001,,822.0526390081271,1000.0
