train/actor_loss,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,time/episodes,rollout/ep_rew_mean,time/fps,train/n_updates,time/total_timesteps,train/critic_loss,eval/mean_reward,eval/mean_ep_length
-5.150468587875366,510.5,11,0.001,4,-562.9748462499999,175,2012,2042,0.13180823034296432,,
-6.223662415504456,,,0.001,,,,4042,5000,0.37860539883375166,-2405.5937203153967,1000.0
-8.432278580665589,631.75,39,0.001,8,-1068.110582375,129,5042,5054,0.35083723996579647,,
-9.748079458872477,425.9166666666667,39,0.001,12,-719.7737333333333,129,5101,5111,1.1706219017505646,,
-9.157308769226074,327.0625,40,0.001,16,-554.2382534999999,130,5223,5233,0.8514169216156006,,
-8.602746196415113,295.85,43,0.001,20,-483.42498509999996,137,5625,5917,0.8916654007517414,,
-14.083554809570312,413.2083333333333,63,0.001,24,-413.66733616666664,155,8917,9917,1.1174171524643899,,
-14.614792037963868,,,0.001,,,,9917,10000,1.136713263988495,114.61508717471334,1000.0
-16.48101570701599,497.0357142857143,97,0.001,28,-302.1028518571428,143,12917,13917,1.044524895966053,,
-16.728422470092774,,,0.001,,,,14917,15000,1.0259662981033326,512.0841228806123,901.4
-17.501457260131836,559.90625,129,0.001,32,-197.62531165625,138,16917,17917,0.8752967835962773,,
-19.220979942321776,,,0.001,,,,19917,20000,0.7168120947778225,791.3857932589832,1000.0
-19.793868923187254,608.8055555555555,162,0.001,36,-88.86951258333336,134,20917,21917,0.6872992729246616,,
-22.452882038116456,,,0.001,,,,24917,25000,0.5829616786837578,811.2940143505809,1000.0
,647.925,195,,40,0.8655432250000047,132,,25917,,,
-25.183601593017578,679.9318181818181,219,0.001,44,76.35786918181819,136,28917,29917,0.5474688334465027,,
-25.93477296066284,,,0.001,,,,29917,30000,0.5536172931790352,930.6170291747927,1000.0
-28.27765901184082,706.6041666666666,251,0.001,48,150.30733652083336,134,32917,33917,0.518515082269907,,
-29.582725952148436,,,0.001,,,,34917,35000,0.502610058605671,1060.5433955778833,1000.0
-31.01563319015503,729.1730769230769,282,0.001,52,209.95895861538463,134,36917,37917,0.5131928598284722,,
-33.013231170654294,,,0.001,,,,39917,40000,0.5540234127044678,822.7400822864613,1000.0
-33.46138823699951,748.5178571428571,312,0.001,56,258.78060657142856,134,40917,41917,0.5518973866403103,,
-35.86086354064941,,,0.001,,,,44917,45000,0.5556602679789067,1102.5006046600174,1000.0
,765.2833333333333,342,,60,307.56100024999995,134,,45917,,,
-38.7826725692749,779.953125,363,0.001,64,362.70320723437504,137,48917,49917,0.6374798222482204,,
-39.57473165130615,,,0.001,,,,49917,50000,0.6773115086853504,1250.838160524331,1000.0
-41.97097427368164,792.8970588235294,393,0.001,68,411.44392189705883,137,52917,53917,0.6899639698565007,,
-43.34254341125488,,,0.001,,,,54917,55000,0.7124780434072018,1272.114197096671,1000.0
-44.74637043762207,804.4027777777778,422,0.001,72,457.5229119583334,136,56917,57917,0.744602998405695,,
-46.99096354675293,,,0.001,,,,59917,60000,0.8351155794858932,966.1756455739451,901.1
-47.67809969329834,807.7105263157895,451,0.001,76,489.234905368421,135,60917,61386,0.8942600694596767,,
-50.44006812286377,,,0.001,,,,64386,65000,0.944492964476347,1444.817608293891,1000.0
,817.325,478,,80,538.9064142625,136,,65386,,,
-53.29723306274414,826.0238095238095,499,0.001,84,572.0095108571428,138,68386,69386,1.1240367433428764,,
-54.02491005706787,,,0.001,,,,69386,70000,1.2027943165302277,1548.6671647287906,1000.0
-56.386062866210935,833.9318181818181,530,0.001,88,614.9921947386364,138,72386,73386,1.2291886451840401,,
-58.030837226867675,,,0.001,,,,74386,75000,1.310134926736355,1554.7277127902973,1000.0
-59.84195204162598,841.1521739130435,560,0.001,92,658.0430698913044,138,76386,77386,1.3718832348585128,,
-62.09051725769043,,,0.001,,,,79386,80000,1.5131625987291335,1595.429036132479,1000.0
-62.91402073669433,847.7708333333334,589,0.001,96,695.3768557916668,137,80386,81386,1.5610736197829247,,
-66.20496296691894,,,0.001,,,,84386,85000,1.6916483600735663,1634.0441509810275,1000.0
,853.86,620,,100,733.9159294400001,137,,85386,,,
-69.5690772857666,873.44,641,0.001,104,823.43449889,139,88386,89386,1.917910201072693,,
-70.23565299987793,,,0.001,,,,89386,90000,1.9429088532924652,1596.1158151923446,1000.0
