train/learning_rate,time/episodes,time/total_timesteps,time/time_elapsed,train/actor_loss,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/n_updates,train/critic_loss,eval/mean_reward,eval/mean_ep_length
0.001,4,3055,11,0.21946664978278568,763.75,-1169.71811925,260,2000,0.05267536613671109,,
0.001,,5000,,2.013985897582024,,,,4000,0.0953884020987898,-3002.5320888757706,1000.0
0.001,8,7055,45,3.5009195261001587,881.875,-1986.557202,156,6000,0.12796924511808902,,
0.001,12,9112,60,18.069159643990652,759.3333333333334,-1830.4466082499996,149,9028,0.3053357968372958,,
0.001,,10000,,18.444329579671223,,,,9069,0.3961498749752839,-2111.7727375999093,811.0
0.001,16,10162,74,11.330987071990966,635.125,-1540.732838875,136,10089,0.4278019368648529,,
0.001,20,11263,80,11.74445400238037,563.15,-1383.57540415,140,11149,0.9545687943696975,,
0.001,24,11392,80,11.407104272108812,474.6666666666667,-1167.1780872916668,140,11277,0.9743113248394086,,
0.001,28,12484,87,11.050892882876926,445.85714285714283,-1101.366761642857,143,12413,1.0404612099802173,,
0.001,,15000,,12.55281283378601,,,,14640,1.2136919168829918,269.48699996006616,1000.0
,32,15695,111,,490.46875,-1042.99581403125,141,,,,
0.001,36,19695,133,10.301688886642456,547.0833333333334,-877.7468297499998,147,18640,0.7685131366550922,,
0.001,,20000,,9.466000998497009,,,,19640,0.8123136562108993,517.7737336950929,1000.0
0.001,40,22734,162,7.6830531673431395,568.35,-749.514896575,139,21679,0.721772027850151,,
0.001,,25000,,4.931357308387756,,,,24774,0.5793125905394554,577.0098069874005,901.2
,44,25829,190,,587.0227272727273,-646.0045875227272,135,,,,
0.001,48,29829,212,1.2879689273536206,621.4375,-540.0469216458333,140,28774,0.5756317608654499,,
0.001,,30000,,0.27932095421827396,,,,29774,0.588866395354271,674.4755728639487,1000.0
0.001,52,33829,244,-2.963966233253479,650.5576923076923,-443.92997148076927,138,32774,0.552661569982767,,
0.001,,35000,,-4.962007011413574,,,,34774,0.5732667439281941,725.8524925708073,1000.0
0.001,56,37829,275,-6.86958722114563,675.5178571428571,-364.5801155,137,36774,0.610936965227127,,
0.001,,40000,,-9.778151138305663,,,,39774,0.6212328622937202,744.3352153440792,1000.0
0.001,60,41829,307,-10.693464561462402,697.15,-289.67379330000006,135,40774,0.6461274833381176,,
0.001,,45000,,-14.331600782394409,,,,44774,0.6826201631128788,750.195207557379,1000.0
,64,45829,339,,716.078125,-223.820633890625,135,,,,
0.001,68,49829,361,-17.182732051849364,732.7794117647059,-175.36209417647058,137,48774,0.7955100561380386,,
0.001,,50000,,-17.784367725372313,,,,49774,0.8059542068839073,527.1507989575242,1000.0
0.001,72,53829,392,-20.065555755615236,747.625,-120.79248740277778,137,52774,0.8110520433485507,,
0.001,,55000,,-21.528151779174806,,,,54774,0.8334348784089088,699.2959702823777,1000.0
0.001,76,57829,424,-22.962552070617676,760.9078947368421,-75.52090232894737,136,56774,0.8187475512623787,,
0.001,,60000,,-24.684127975463866,,,,59774,0.8677409508824349,880.5165694014402,1000.0
0.001,80,61829,455,-24.837205169677734,772.8625,-59.869898787499984,135,60774,0.939827871799469,,
0.001,,65000,,-26.78160120010376,,,,64774,0.9668903478384018,779.4885926437365,1000.0
,84,65829,486,,783.6785714285714,-27.068167071428558,135,,,,
0.001,88,69829,508,-29.1116104888916,793.5113636363636,15.360171465909097,137,68774,0.9809585001170635,,
0.001,,70000,,-29.77311339187622,,,,69774,0.9536683465838433,865.9580001903714,1000.0
0.001,92,73024,539,-31.54206392288208,793.7391304347826,49.85604945652175,135,72774,0.9617174667418003,,
0.001,,75000,,-32.386462585449216,,,,74562,1.1383443135023117,827.9708553914679,947.7
0.001,96,76617,563,-32.498799449920654,798.09375,67.78317928125,135,75562,1.1463612168431283,,
0.001,100,79961,581,-34.22607979663583,799.61,90.46133841,137,78906,1.3458949382915053,,
0.001,,80000,,-34.44224021530152,,,,79906,1.171100939154625,851.0961088831376,888.3
0.001,104,83245,607,-35.4233037787424,801.9,162.72361035000003,137,82190,1.4680918308211044,,
0.001,,85000,,-36.872568935818144,,,,84460,1.438367349350894,803.3943433900888,947.6
0.001,108,86515,633,-37.227045585632325,794.6,310.81822904,136,85460,1.3795318205952645,,
0.001,,90000,,-39.231901138305666,,,,89460,1.5037025244235993,1148.291292794794,1000.0
,112,90515,664,,814.03,408.80989756,136,,,,
0.001,116,94168,683,-41.49878569760937,840.06,475.43297791000003,137,93113,1.4943328307197068,,
0.001,,95000,,-42.037387741088864,,,,94113,1.6860723010897636,647.4056338242023,759.7
0.001,120,98168,710,-43.126490997314455,869.05,536.79926089,138,97113,1.6310406954288483,,
0.001,,100000,,-43.71883098602295,,,,99113,1.6537544950246812,1099.0365564442473,986.8
