rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/entropy_loss,train/clip_fraction,train/n_updates,train/explained_variance,train/loss,train/std,train/approx_kl,eval/mean_reward,train/policy_gradient_loss,train/learning_rate,train/value_loss,eval/mean_ep_length,train/clip_range
20.38,2,699,1,15.15426925,2048,,,,,,,,,,,,,
,,,,,2500,-4.229538820683956,0.156982421875,10,0.045619964599609375,9.994044303894043,0.9832741618156433,0.013400409,89.06482919752598,-0.017203838608111255,0.0003,48.02371943295002,61.2,0.2
21.65,8,486,2,18.83302145,4096,,,,,,,,,,,,,
,,,,,5000,-4.198485308885575,0.23623046875,20,0.30785906314849854,27.161911010742188,0.9801945090293884,0.016926598,72.95059627592563,-0.02934730263368692,0.0003,57.306080943346025,45.3,0.2
29.8,13,454,3,33.404361460000004,6144,,,,,,,,,,,,,
,,,,,7500,-4.18460904955864,0.130078125,30,0.2996212840080261,51.02145767211914,0.9726823568344116,0.012134977,65.23347716629505,-0.02088316012523137,0.0003,138.14147145748137,40.45,0.2
39.15,18,444,4,52.55618862999999,8192,,,,,,,,,,,,,
,,,,,10000,-4.16788624227047,0.073974609375,40,0.1546432375907898,99.68079376220703,0.9700344800949097,0.008794535,64.81397396326065,-0.013509579570381902,0.0003,223.17985911369323,39.8,0.2
48.35,23,435,5,75.14191396,10240,,,,,,,,,,,,,
56.93,27,445,6,99.41765457000001,12288,-4.160688096284867,0.084521484375,50,0.10873359441757202,117.50325012207031,0.9674002528190613,0.010050416,,-0.016019150914507917,0.0003,302.27221260070803,,0.2
,,,,,12500,-4.152968028187752,0.076611328125,60,0.015313565731048584,150.43649291992188,0.9645813703536987,0.0086040795,217.65942598581313,-0.013585659750970081,0.0003,368.165368938446,95.55,0.2
66.67,33,430,7,121.23452000000003,14336,,,,,,,,,,,,,
,,,,,15000,-4.1396936744451525,0.061865234375,70,0.005025029182434082,167.36534118652344,0.9587141275405884,0.00801141,217.7065802693367,-0.010471726290415973,0.0003,391.18097338676455,96.25,0.2
72.03,39,415,8,137.00012756,16384,,,,,,,,,,,,,
,,,,,17500,-4.138236267864704,0.081201171875,80,-0.00020647048950195312,152.886962890625,0.9663307666778564,0.008574551,210.37885800004005,-0.009428483265219256,0.0003,417.50339179039,93.6,0.2
77.08,45,408,9,150.29129816,18432,,,,,,,,,,,,,
,,,,,20000,-4.147827722132206,0.0716796875,90,0.004331052303314209,152.66543579101562,0.9623397588729858,0.0072487085,215.01206967830657,-0.009483958609052934,0.0003,415.7311397075653,95.1,0.2
83.26,50,402,10,167.28926377,20480,,,,,,,,,,,,,
,,,,,22500,-4.138361819088459,0.040087890625,100,0.4443557858467102,113.11911010742188,0.9604039192199707,0.006267394,221.94977954030037,-0.006876874002045952,0.0003,339.59755673408506,97.95,0.2
84.68,56,397,11,175.7250749,22528,,,,,,,,,,,,,
87.43,60,405,12,183.94164428,24576,-4.123270286619663,0.048828125,110,0.5861074030399323,110.0940933227539,0.9529973864555359,0.0070288875,,-0.00854629515815759,0.0003,287.4703905582428,,0.2
,,,,,25000,-4.109081891179085,0.074462890625,120,0.6715771555900574,70.09607696533203,0.9511046409606934,0.0070195217,225.1698230266571,-0.010977160639595241,0.0003,255.70441994667053,99.75,0.2
90.59,66,398,13,194.55806120999998,26624,,,,,,,,,,,,,
,,,,,27500,-4.099703828990459,0.0890625,130,0.7782511413097382,66.5623779296875,0.9468506574630737,0.007135008,226.834309476614,-0.010780878813238814,0.0003,212.80680179595947,99.65,0.2
93.03,72,395,14,201.79298386000002,28672,,,,,,,,,,,,,
,,,,,30000,-4.085674247145652,0.025048828125,140,0.8205383867025375,58.774681091308594,0.943435549736023,0.004310795,225.69216139316558,-0.003928925193031318,0.0003,165.24910008907318,98.75,0.2
92.92,78,391,15,202.29143456999995,30720,,,,,,,,,,,,,
,,,,,32500,-4.07643228918314,0.070703125,150,0.8114646822214127,38.5656623840332,0.939998984336853,0.006653921,229.7717671275139,-0.007580324797891081,0.0003,176.88434987068177,101.25,0.2
94.47,84,386,16,206.53537771,32768,,,,,,,,,,,,,
96.02,88,391,17,210.23540622000002,34816,-4.073039622604847,0.079296875,160,0.9075306206941605,29.896821975708008,0.9412184953689575,0.008301817,,-0.007733157396432944,0.0003,108.60232887268066,,0.2
,,,,,35000,-4.069512464106083,0.097607421875,170,0.8728942424058914,23.213180541992188,0.9383476972579956,0.008458342,239.54163447022438,-0.012602690723724663,0.0003,135.63231258392335,104.15,0.2
97.23,95,387,18,213.33311673,36864,,,,,,,,,,,,,
,,,,,37500,-4.055639471113682,0.09794921875,180,0.9501900970935822,11.37926959991455,0.9318333864212036,0.008961149,258.0915765523911,-0.009344464837340638,0.0003,52.67312456965446,110.7,0.2
99.3,101,384,19,219.26602509000003,38912,,,,,,,,,,,,,
,,,,,40000,-4.042446252703667,0.1173828125,190,0.9709284193813801,13.389705657958984,0.9304784536361694,0.008286031,283.05855013728143,-0.010982725390931591,0.0003,44.23425657749176,119.05,0.2
102.44,107,382,20,227.51407996999998,40960,,,,,,,,,,,,,
,,,,,42500,-4.035673725605011,0.12109375,200,0.9743184726685286,15.58673095703125,0.9266152381896973,0.010690616,306.8271493673325,-0.015308049629675224,0.0003,42.946650969982144,128.25,0.2
104.54,113,379,21,233.20048105999996,43008,,,,,,,,,,,,,
,,,,,45000,-4.017634288966656,0.1328125,210,0.9029350131750107,53.83890151977539,0.9210017919540405,0.01036147,317.90399290323256,-0.016707497352035715,0.0003,118.80710763931275,133.2,0.2
108.64,119,376,22,245.63924516,45056,,,,,,,,,,,,,
111.98,124,379,23,255.56670127000004,47104,-3.9984443098306657,0.091845703125,220,0.9350332170724869,17.351579666137695,0.9144991636276245,0.007935045,,-0.009771523643576075,0.0003,96.0231650352478,,0.2
,,,,,47500,-3.9930418498814104,0.166845703125,230,0.9690045975148678,12.641218185424805,0.9175121188163757,0.014097117,320.47829619646075,-0.020489019394153728,0.0003,48.885898822546004,137.15,0.2
116.12,130,375,24,266.45241993,49152,,,,,,,,,,,,,
,,,,,50000,-3.9970086753368377,0.134619140625,240,0.8758319839835167,30.455034255981445,0.9168453216552734,0.010988911,330.34033688902855,-0.011420492961769923,0.0003,170.67355759143828,142.45,0.2
120.79,138,370,25,279.43953796000005,51200,,,,,,,,,,,,,
,,,,,52500,-3.986166949570179,0.0974609375,250,0.9647387228906155,60.345970153808594,0.9128125905990601,0.00819448,318.22318840622904,-0.009160891550709493,0.0003,55.76842339038849,139.45,0.2
124.39,144,367,26,288.41335548,53248,,,,,,,,,,,,,
,,,,,55000,-3.981602369993925,0.10166015625,260,0.9163911119103432,16.814165115356445,0.9112817049026489,0.0075992984,315.03892608880994,-0.008529446646571159,0.0003,99.19436311125756,138.05,0.2
127.59,152,363,27,296.64849179,55296,,,,,,,,,,,,,
131.68,156,366,28,307.0235568,57344,-3.983084360510111,0.10869140625,270,0.9309132844209671,111.62135314941406,0.9142063856124878,0.011119675,,-0.011689354965346866,0.0003,89.15568054318427,,0.2
,,,,,57500,-3.9778838828206062,0.139892578125,280,0.9361521974205971,49.0242919921875,0.9092704653739929,0.012653064,331.58306396603587,-0.012152717431308701,0.0003,107.69527791142464,144.35,0.2
134.34,163,363,29,312.61424105000003,59392,,,,,,,,,,,,,
,,,,,60000,-3.9698110930621624,0.094873046875,290,0.9753434881567955,9.030675888061523,0.9087529182434082,0.008484196,328.378387761116,-0.0067202350095612925,0.0003,29.074988517165185,141.8,0.2
136.28,170,360,30,318.36966547000003,61440,,,,,,,,,,,,,
,,,,,62500,-3.9877316929399966,0.14189453125,300,0.9896886004135013,4.788699150085449,0.9167532324790955,0.012241989,352.87191009521484,-0.012147721063229255,0.0003,16.240823398530484,144.95,0.2
137.79,176,358,31,323.94400404000004,63488,,,,,,,,,,,,,
,,,,,65000,-3.985871507227421,0.064794921875,310,0.9391001686453819,27.082063674926758,0.9105782508850098,0.007004487,366.99160344600676,-0.008759981696493923,0.0003,88.62043414115905,149.35,0.2
137.53,183,357,32,323.93215067999995,65536,,,,,,,,,,,,,
,,,,,67500,-3.965312771499157,0.066552734375,320,0.9559362269937992,17.621196746826172,0.9046985507011414,0.008824315,402.82259808778764,-0.007210079135256819,0.0003,72.11014087796211,157.45,0.2
138.69,190,355,33,330.04017834999996,67584,,,,,,,,,,,,,
139.53,194,358,34,335.66698017000004,69632,-3.9470157772302628,0.10341796875,330,0.9475762881338596,47.540061950683594,0.8996874094009399,0.007595622,,-0.011512915225466713,0.0003,97.68304684758186,,0.2
,,,,,70000,-3.9495922453701495,0.112890625,340,0.9855190496891737,4.876101016998291,0.9039249420166016,0.011307506,469.5335621058941,-0.00934082759777084,0.0003,17.04049984514713,177.25,0.2
140.99,202,354,35,343.18092986999994,71680,,,,,,,,,,,,,
,,,,,72500,-3.9350255131721497,0.12197265625,350,0.9878095230087638,4.25150203704834,0.8955761790275574,0.009979377,505.62210946679113,-0.010477950557833538,0.0003,16.599084912240507,181.7,0.2
139.58,209,351,36,343.7586283299999,73728,,,,,,,,,,,,,
,,,,,75000,-3.9180603049695493,0.119775390625,360,0.9400817640125751,14.301025390625,0.8914891481399536,0.008340917,574.6481880187988,-0.012070316134486347,0.0003,112.62981919944286,197.95,0.2
140.97,217,348,37,351.4304904099999,75776,,,,,,,,,,,,,
,,,,,77500,-3.9167287439107894,0.130908203125,370,0.9412501640617847,17.565095901489258,0.8935497999191284,0.010613577,598.7989268898964,-0.015439040410274173,0.0003,90.24163722395897,200.35,0.2
142.45,225,345,38,360.19830709999997,77824,,,,,,,,,,,,,
145.28,229,348,39,374.35145836000004,79872,-3.911964038014412,0.103369140625,380,0.9799765758216381,9.120308876037598,0.8894714117050171,0.0085807415,,-0.010701081070874353,0.0003,27.164006319642066,,0.2
,,,,,80000,-3.901157147437334,0.07216796875,390,0.9737493693828583,14.435664176940918,0.8866106271743774,0.00877638,636.172226792574,-0.00792343030043412,0.0003,50.0795754134655,204.35,0.2
146.21,237,345,40,381.7919838,81920,,,,,,,,,,,,,
,,,,,82500,-3.8922619216144083,0.07744140625,400,0.934014804661274,145.25933837890625,0.8861536979675293,0.009408941,618.2776072859764,-0.006640059943310917,0.0003,162.28663055300711,196.0,0.2
147.75,244,343,41,391.36937512000003,83968,,,,,,,,,,,,,
,,,,,85000,-3.8818024314939974,0.09462890625,410,0.9831268638372421,9.312228202819824,0.8800539970397949,0.007805814,685.0438174188137,-0.0097118448044057,0.0003,38.61890716254711,213.5,0.2
149.79,252,340,42,402.2503195000001,86016,,,,,,,,,,,,,
,,,,,87500,-3.8537533074617385,0.082373046875,420,0.9710707347840071,25.165149688720703,0.8699874877929688,0.0076076826,750.0633233308793,-0.012854911852627993,0.0003,70.55735279917717,237.15,0.2
152.44,261,336,43,415.20473151000004,88064,,,,,,,,,,,,,
,,,,,90000,-3.8288709186017513,0.068408203125,430,0.9747170526534319,24.11960792541504,0.8661304712295532,0.00713075,718.1011036455632,-0.008460067625856027,0.0003,62.08878628611565,235.85,0.2
156.94,270,333,44,433.9047354,90112,,,,,,,,,,,,,
161.22,274,336,45,452.30872170000004,92160,-3.8026827588677405,0.079248046875,440,0.9684589467942715,29.23500633239746,0.8559631109237671,0.008325165,,-0.008057357542566024,0.0003,70.77575922608375,,0.2
,,,,,92500,-3.777289264649153,0.079248046875,450,0.962809331715107,32.41994857788086,0.8520573377609253,0.007499129,499.9266956746578,-0.00998964415048249,0.0003,98.57526552677155,186.45,0.2
165.28,282,333,46,469.39612069,94208,,,,,,,,,,,,,
,,,,,95000,-3.7653130859136583,0.080908203125,460,0.91375682502985,50.186946868896484,0.8491182327270508,0.007615529,578.7069200158119,-0.007002491467574146,0.0003,252.21541390419006,215.6,0.2
167.16,290,331,47,477.00014728,96256,,,,,,,,,,,,,
,,,,,97500,-3.7647727735340597,0.086865234375,470,0.8329920768737793,140.84254455566406,0.85247802734375,0.00828629,903.6601615667344,-0.007041259604739026,0.0003,434.6760699748993,316.05,0.2
172.78,300,326,48,495.59935171000006,98304,,,,,,,,,,,,,
,,,,,100000,-3.7718356899917125,0.0958984375,480,0.8401064276695251,59.61159896850586,0.8528813123703003,0.00788974,846.6052367329597,-0.007604704146797303,0.0003,416.03880100250245,288.0,0.2
176.3,310,323,49,506.85639606999996,100352,,,,,,,,,,,,,
183.47,314,325,50,529.72916002,102400,-3.770576974749565,0.099072265625,490,0.676946371793747,579.3983764648438,0.8521284461021423,0.008787526,,-0.009084977259044535,0.0003,843.6779134035111,,0.2
,,,,,102500,-3.7618359558284284,0.121826171875,500,0.8799430504441261,279.3345031738281,0.8473758697509766,0.010953497,1546.0430481672288,-0.00880165673152078,0.0003,233.7605120420456,523.1,0.2
187.84,328,318,51,545.85297867,104448,,,,,,,,,,,,,
,,,,,105000,-3.755748412013054,0.14443359375,510,0.8667275011539459,401.2439270019531,0.8509300947189331,0.011597095,1545.1606437325477,-0.012594330744468607,0.0003,395.2987787127495,543.3,0.2
195.07,340,312,52,571.08199195,106496,,,,,,,,,,,,,
,,,,,107500,-3.753083699941635,0.112451171875,520,0.9156251326203346,28.11815071105957,0.8432828783988953,0.009202059,1815.2482671499251,-0.0061355838610325005,0.0003,251.98735708594322,650.15,0.2
201.7,357,303,53,591.07193769,108544,,,,,,,,,,,,,
