time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/std,train/clip_range,train/approx_kl,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/loss,train/learning_rate,train/explained_variance,train/value_loss,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
1,2048,3,1000.0,34120.6039875,627,,,,,,,,,,,,,
2,4096,8,1000.0,36613.3087175,509,0.9996395111083984,0.2,0.01045011,0.0947265625,10,-0.04286436260736082,151294.515625,0.0003,0.0005474686622619629,317528.56875,-24.121605151891707,,
,5000,,,,,1.000166893005371,0.2,0.010635978,0.065673828125,20,-0.03637271246989258,207664.859375,0.0003,-0.007260560989379883,416117.72119140625,-24.12571160197258,1000.0,38368.06361179352
3,6144,49,1000.0,37462.54749,123,,,,,,,,,,,,,
4,8192,54,1000.0,38607.294666625,151,0.9990615844726562,0.2,0.012053976,0.097216796875,30,-0.04408121841261163,206248.546875,0.0003,-0.0023643970489501953,426646.26015625,-24.11653940677643,,
,10000,,,,,0.9979467988014221,0.2,0.011699891,0.0916015625,40,-0.04319413469056599,241365.78125,0.0003,-0.00026023387908935547,481073.9353515625,-24.102570456266402,1000.0,119211.77540016174
5,10240,96,1000.0,38939.4065421,105,,,,,,,,,,,,,
6,12288,101,1000.0,39488.00541958333,121,0.9961104989051819,0.2,0.013325474,0.115771484375,50,-0.049074177659349516,235817.078125,0.0003,-0.0029407739639282227,454384.5099609375,-24.07075228691101,,
7,14336,105,1000.0,39767.524651499996,135,0.993768036365509,0.2,0.012129656,0.10966796875,60,-0.05045208918745629,225813.890625,0.0003,0.0008145570755004883,470174.0671875,-24.031293392181396,,
,15000,,,,,0.9939067959785461,0.2,0.013593073,0.1220703125,70,-0.05397706797812134,249818.15625,0.0003,-0.0035889148712158203,486728.14677734376,-24.01749022603035,1000.0,111677.82758140564
8,16384,145,1000.0,40391.4389505,112,,,,,,,,,,,,,
