time/fps,time/time_elapsed,train/actor_loss,time/episodes,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/critic_loss,train/learning_rate,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
561,0,0.7009790712594985,4,200,50.0,50,0.5008183574676514,0.001,-54.56048925,,
266,1,1.5129671382904053,8,400,50.0,250,0.22845035910606384,0.001,-72.56092575,,
,,0.9384687185287476,,500,,350,0.16804604664444922,0.001,,50.0,-9.955898049999998
174,3,0.9931314945220947,12,600,50.0,450,0.05186757329851389,0.001,-53.364102583333334,,
172,4,1.029681715965271,16,800,50.0,650,0.04835288275033236,0.001,-42.690371187500006,,
,,1.0222793698310852,,1000,,850,0.03652730792760849,0.001,,50.0,-10.389298149999998
152,6,,20,1000,50.0,,,,-36.195461800000004,,
155,7,1.1612951231002808,24,1200,50.0,1050,0.020094464775174858,0.001,-32.09517579166667,,
157,8,1.304062089920044,28,1400,50.0,1250,0.023824163638055326,0.001,-28.7433485,,
,,1.3763050842285156,,1500,,1350,0.020442233476787804,0.001,,50.0,-10.6597728
147,10,1.446520709991455,32,1600,50.0,1450,0.022544968500733377,0.001,-26.7549975625,,
149,12,1.626237998008728,36,1800,50.0,1650,0.026390102431178092,0.001,-25.042820000000003,,
,,1.7512125968933105,,2000,,1850,0.03391978584229946,0.001,,50.0,-11.57541975
143,13,,40,2000,50.0,,,,-23.734568250000002,,
145,15,1.9015680027008057,44,2200,50.0,2050,0.03451522171497345,0.001,-22.68559765909091,,
146,16,2.065329179763794,48,2400,50.0,2250,0.02913703516125679,0.001,-21.773581604166665,,
,,2.1350731372833254,,2500,,2350,0.07659314449876548,0.001,,50.0,-11.072020550000001
142,18,2.2030118560791014,52,2600,50.0,2450,0.04885569088160992,0.001,-21.09940473076923,,
144,19,2.336639585494995,56,2800,50.0,2650,0.030520679019391535,0.001,-20.54827594642857,,
,,2.4865583324432374,,3000,,2850,0.03401968017220497,0.001,,50.0,-12.061079750000001
140,21,,60,3000,50.0,,,,-20.018459716666666,,
142,22,2.602850866317749,64,3200,50.0,3050,0.03462338011711836,0.001,-19.434417421874997,,
143,23,2.718825702667236,68,3400,50.0,3250,0.040097694918513296,0.001,-19.053291970588237,,
,,2.7789526748657227,,3500,,3350,0.03491595137864351,0.001,,50.0,-12.012454450000002
140,25,2.8598368167877197,72,3600,50.0,3450,0.040663877800107,0.001,-18.645095833333333,,
142,26,3.0011728763580323,76,3800,50.0,3650,0.0480906842648983,0.001,-18.264828039473684,,
,,3.1119515991210935,,4000,,3850,0.032347187139093875,0.001,,50.0,-12.106995900000001
140,28,,80,4000,50.0,,,,-17.983216575,,
140,29,3.255097246170044,84,4200,50.0,4050,0.04527429059147835,0.001,-17.786953630952382,,
141,31,3.398359832763672,88,4400,50.0,4250,0.03420853238552809,0.001,-17.484475306818183,,
,,3.4361040878295896,,4500,,4350,0.03293691910803318,0.001,,50.0,-11.705523750000001
139,33,3.4851091957092284,92,4600,50.0,4450,0.04350243162363768,0.001,-17.185809880434782,,
140,34,3.6291856575012207,96,4800,50.0,4650,0.04104524660855532,0.001,-16.982647416666666,,
,,3.7453200340271,,5000,,4850,0.03580861121416092,0.001,,50.0,-11.5745268
136,36,,100,5000,50.0,,,,-16.776079619999997,,
137,37,3.8735044860839842,104,5200,50.0,5050,0.03554884012788534,0.001,-15.122661609999998,,
137,39,3.98211874961853,108,5400,50.0,5250,0.03716328464448452,0.001,-11.837291329999998,,
,,4.04828634262085,,5500,,5350,0.03674714226275683,0.001,,50.0,-10.860269750000002
135,41,4.091952104568481,112,5600,50.0,5450,0.052772592678666116,0.001,-11.739178769999999,,
136,42,4.2376414489746095,116,5800,50.0,5650,0.03615891054272652,0.001,-11.777022149999999,,
,,4.3597437858581545,,6000,,5850,0.053688028790056706,0.001,,50.0,-10.6811867
135,44,,120,6000,50.0,,,,-11.739843399999998,,
136,45,4.442507343292236,124,6200,50.0,6050,0.042444059886038304,0.001,-11.687973699999997,,
137,46,4.599308815002441,128,6400,50.0,6250,0.047050304375588894,0.001,-11.76947881,,
,,4.639610671997071,,6500,,6350,0.05479269206523895,0.001,,50.0,-11.1446303
137,48,4.679495239257813,132,6600,50.0,6450,0.04144869312644005,0.001,-11.720188889999998,,
138,49,4.786345691680908,136,6800,50.0,6650,0.03853430289775133,0.001,-11.724972739999998,,
,,4.925765933990479,,7000,,6850,0.03818486765027046,0.001,,50.0,-11.073780099999999
137,51,,140,7000,50.0,,,,-11.73731462,,
138,52,5.053148727416993,144,7200,50.0,7050,0.04168013125658035,0.001,-11.719153900000002,,
139,53,5.177732124328613,148,7400,50.0,7250,0.04062538370490074,0.001,-11.665423300000002,,
,,5.206985282897949,,7500,,7350,0.04192621171474457,0.001,,50.0,-11.36092445
138,54,5.270148544311524,152,7600,50.0,7450,0.04369183093309403,0.001,-11.57159636,,
139,56,5.402976245880127,156,7800,50.0,7650,0.039323707669973375,0.001,-11.5302651,,
,,5.502456436157226,,8000,,7850,0.042663559243083,0.001,,50.0,-11.10585405
138,57,,160,8000,50.0,,,,-11.38199701,,
139,58,5.633652591705323,164,8200,50.0,8050,0.06283691257238389,0.001,-11.408324000000002,,
140,59,5.733919105529785,168,8400,50.0,8250,0.03919895932078361,0.001,-11.171601760000001,,
,,5.788030166625976,,8500,,8350,0.04014496892690658,0.001,,50.0,-9.944867949999999
139,61,5.857902126312256,172,8600,50.0,8450,0.04023192055523395,0.001,-11.067568830000003,,
140,62,5.947187290191651,176,8800,50.0,8650,0.04208789888769388,0.001,-11.016438020000002,,
,,6.021076984405518,,9000,,8850,0.05269838683307171,0.001,,50.0,-10.988891249999998
139,64,,180,9000,50.0,,,,-10.951287639999999,,
140,65,6.183120536804199,184,9200,50.0,9050,0.04029797561466694,0.001,-10.921961909999998,,
141,66,6.271410675048828,188,9400,50.0,9250,0.04071231011301279,0.001,-10.865260639999999,,
,,6.363178691864014,,9500,,9350,0.05261762868613005,0.001,,50.0,-10.5184589
139,68,6.396753368377685,192,9600,50.0,9450,0.061463171504437926,0.001,-10.777191659999998,,
140,69,6.49208818435669,196,9800,50.0,9650,0.03964660193771124,0.001,-10.741467300000002,,
,,6.628124752044678,,10000,,9850,0.0407118957862258,0.001,,50.0,-9.144702400000002
138,72,,200,10000,50.0,,,,-10.536126780000002,,
139,73,6.7016474151611325,204,10200,50.0,10050,0.04800620421767235,0.001,-10.18469939,,
139,74,6.832668571472168,208,10400,50.0,10250,0.06813704885542393,0.001,-10.26155046,,
,,6.8704072380065915,,10500,,10350,0.059301331788301465,0.001,,50.0,-9.403279900000001
138,76,6.946370697021484,212,10600,50.0,10450,0.046234250664711,0.001,-10.17381385,,
139,77,7.053378410339356,216,10800,50.0,10650,0.047821890227496625,0.001,-10.04530633,,
,,7.155339317321777,,11000,,10850,0.08721828393638134,0.001,,50.0,-9.4591676
138,79,,220,11000,50.0,,,,-9.99967378,,
138,80,7.22093282699585,224,11200,50.0,11050,0.04801462437957525,0.001,-9.93988032,,
139,81,7.289666213989258,228,11400,50.0,11250,0.04670764699578285,0.001,-9.8437494,,
,,7.393296909332276,,11500,,11350,0.05198359720408916,0.001,,50.0,-9.35781415
138,83,7.446967830657959,232,11600,50.0,11450,0.043859243355691434,0.001,-9.732241720000001,,
138,84,7.556071681976318,236,11800,50.0,11650,0.056491118520498276,0.001,-9.67416991,,
,,7.595299434661865,,12000,,11850,0.04895095992833376,0.001,,50.0,-9.983542400000001
138,86,,240,12000,50.0,,,,-9.611690020000001,,
138,88,7.6935296058654785,244,12200,50.0,12050,0.0462457150965929,0.001,-9.50041902,,
138,89,7.738626899719239,248,12400,50.0,12250,0.05114765264093876,0.001,-9.43739404,,
,,7.8026932525634765,,12500,,12350,0.05116239592432976,0.001,,50.0,-9.67321445
138,91,7.857725410461426,252,12600,50.0,12450,0.05145586632192135,0.001,-9.28736939,,
138,92,7.944544506072998,256,12800,50.0,12650,0.0559585665166378,0.001,-9.239741800000001,,
,,7.995661106109619,,13000,,12850,0.06098146140575409,0.001,,50.0,-9.4690626
137,94,,260,13000,50.0,,,,-9.19928671,,
138,95,8.049259395599366,264,13200,50.0,13050,0.05153400532901287,0.001,-9.16431795,,
138,96,8.187066135406495,268,13400,50.0,13250,0.057980859205126765,0.001,-9.25816111,,
,,8.20421272277832,,13500,,13350,0.06355986289680005,0.001,,50.0,-8.8877342
137,98,8.169923362731934,272,13600,50.0,13450,0.05460710644721985,0.001,-9.116739289999998,,
138,99,8.268360538482666,276,13800,50.0,13650,0.049395044296979905,0.001,-9.11609087,,
,,8.331057739257812,,14000,,13850,0.0654711540043354,0.001,,50.0,-9.207595950000002
137,101,,280,14000,50.0,,,,-8.89319221,,
137,102,8.446330184936523,284,14200,50.0,14050,0.057879825681447984,0.001,-8.790050670000001,,
138,104,8.492413291931152,288,14400,50.0,14250,0.054077120795845986,0.001,-8.811898979999999,,
,,8.538999366760255,,14500,,14350,0.05914765648543835,0.001,,50.0,-8.701440000000002
137,106,8.624118385314942,292,14600,50.0,14450,0.06994796432554722,0.001,-8.84683227,,
137,107,8.658640632629394,296,14800,50.0,14650,0.05211179751902819,0.001,-8.661198149999999,,
,,8.694284553527831,,15000,,14850,0.06128870725631714,0.001,,50.0,-8.462329850000001
136,109,,300,15000,50.0,,,,-8.873527240000001,,
137,110,8.806987915039063,304,15200,50.0,15050,0.052206319123506546,0.001,-9.07211209,,
137,111,8.900672378540039,308,15400,50.0,15250,0.060800810232758525,0.001,-9.03230531,,
,,8.930853958129882,,15500,,15350,0.05667258687317371,0.001,,50.0,-8.287291399999997
137,113,8.967480430603027,312,15600,50.0,15450,0.0530362905561924,0.001,-8.979509470000002,,
137,114,9.01080265045166,316,15800,50.0,15650,0.06435675829648972,0.001,-8.95245043,,
,,9.09669101715088,,16000,,15850,0.05278199315071106,0.001,,50.0,-8.327317
137,116,,320,16000,50.0,,,,-8.955530909999998,,
137,117,9.21814842224121,324,16200,50.0,16050,0.054393155425786974,0.001,-8.930017299999998,,
138,118,9.30495044708252,328,16400,50.0,16250,0.0574068509042263,0.001,-8.919019380000002,,
,,9.3352885055542,,16500,,16350,0.05970419190824032,0.001,,50.0,-8.7273956
137,120,9.404725532531739,332,16600,50.0,16450,0.05841718189418316,0.001,-8.85138957,,
138,121,9.432865486145019,336,16800,50.0,16650,0.0580391563475132,0.001,-8.733216420000002,,
,,9.471379051208496,,17000,,16850,0.057931879833340645,0.001,,50.0,-8.7377577
137,123,,340,17000,50.0,,,,-8.61650548,,
138,124,9.59563045501709,344,17200,50.0,17050,0.04958499602973461,0.001,-8.529430539999998,,
138,125,9.658344421386719,348,17400,50.0,17250,0.049455120265483855,0.001,-8.498906040000001,,
,,9.70560806274414,,17500,,17350,0.07721765190362931,0.001,,50.0,-8.272500149999999
138,127,9.777994689941407,352,17600,50.0,17450,0.060585118532180786,0.001,-8.62132419,,
138,128,9.838805122375488,356,17800,50.0,17650,0.051582168862223624,0.001,-8.4964736,,
,,9.892367324829102,,18000,,17850,0.050208598226308826,0.001,,50.0,-7.74431665
138,130,,360,18000,50.0,,,,-8.43055632,,
138,131,9.949858322143555,364,18200,50.0,18050,0.061426498219370844,0.001,-8.35810542,,
138,132,10.066021461486816,368,18400,50.0,18250,0.05641389802098274,0.001,-8.34689425,,
,,10.081265411376954,,18500,,18350,0.062803193628788,0.001,,50.0,-7.951609150000001
138,134,10.146308288574218,372,18600,50.0,18450,0.05352636896073818,0.001,-8.45778527,,
138,135,10.184855690002442,376,18800,50.0,18650,0.05495061978697777,0.001,-8.34223774,,
,,10.325772743225098,,19000,,18850,0.050555848628282544,0.001,,50.0,-7.757625
138,137,,380,19000,50.0,,,,-8.45915829,,
138,138,10.354577217102051,384,19200,50.0,19050,0.05505243115127087,0.001,-8.262414300000001,,
139,139,10.46397819519043,388,19400,50.0,19250,0.052470785193145277,0.001,-8.154937839999999,,
,,10.496749267578124,,19500,,19350,0.05063727762550116,0.001,,50.0,-7.68045475
138,141,10.568042793273925,392,19600,50.0,19450,0.05697533138096333,0.001,-8.20066114,,
138,142,10.629624900817872,396,19800,50.0,19650,0.050616177842020986,0.001,-8.18898113,,
,,10.654494514465332,,20000,,19850,0.057330181375145915,0.001,,50.0,-8.159753799999999
138,144,,400,20000,50.0,,,,-8.075447099999998,,
138,145,10.755573158264161,404,20200,50.0,20050,0.05376599334180355,0.001,-8.03053592,,
138,146,10.838943061828614,408,20400,50.0,20250,0.06579760573804379,0.001,-7.912565,,
,,10.86600471496582,,20500,,20350,0.060018078684806825,0.001,,50.0,-7.891234099999998
138,148,10.935245666503906,412,20600,50.0,20450,0.06046866334974766,0.001,-7.83848073,,
138,149,10.954652709960937,416,20800,50.0,20650,0.053332055434584615,0.001,-7.8823006,,
,,11.070391769409179,,21000,,20850,0.06391595602035523,0.001,,50.0,-8.08134535
138,151,,420,21000,50.0,,,,-8.00946703,,
138,152,11.166275825500488,424,21200,50.0,21050,0.05056133039295673,0.001,-7.994013829999999,,
138,154,11.19249526977539,428,21400,50.0,21250,0.056139146387577055,0.001,-7.92203444,,
,,11.27860080718994,,21500,,21350,0.055422720611095426,0.001,,50.0,-8.1345156
138,155,11.314984016418457,432,21600,50.0,21450,0.05374957151710987,0.001,-8.000103589999998,,
138,157,11.363159637451172,436,21800,50.0,21650,0.05377573199570179,0.001,-8.028192249999998,,
,,11.479451866149903,,22000,,21850,0.058604427613317966,0.001,,50.0,-8.069710500000001
138,159,,440,22000,50.0,,,,-8.102580530000001,,
138,160,11.543524513244629,444,22200,50.0,22050,0.058386723175644875,0.001,-8.02286548,,
138,161,11.558171348571777,448,22400,50.0,22250,0.057691358402371405,0.001,-7.97053436,,
,,11.671052360534668,,22500,,22350,0.05500748425722122,0.001,,50.0,-8.07544765
