time/episodes,rollout/ep_len_mean,time/fps,train/learning_rate,time/time_elapsed,time/total_timesteps,train/actor_loss,train/n_updates,rollout/ep_rew_mean,train/critic_loss,eval/mean_reward,eval/mean_ep_length
192,1000.0,145,0.001,1256,182502,-69.93558255004884,181447,951.4868959200003,0.1964610088504851,,
,,,0.001,,185000,-69.91457940673828,184447,,0.20370419212803245,943.854736792855,1000.0
196,1000.0,144,0.001,1288,186502,-69.95378880310058,185447,951.69659908,0.17217671186849476,,
,,,0.001,,190000,-70.05782513427734,189447,,0.18012635171413421,959.729021552205,1000.0
200,1000.0,144,,1318,190502,,,952.20984492,,,
204,1000.0,145,0.001,1340,194502,-70.24346903991699,193447,952.7830930600003,0.16314759470894932,,
,,,0.001,,195000,-70.28998959350587,194447,,0.1584140101186931,941.4097614681348,1000.0
208,1000.0,144,0.001,1371,198502,-70.40085771179199,197447,952.1385528800002,0.15630063520371915,,
,,,0.001,,200000,-70.51847033691406,199447,,0.15715886769071222,957.3885777354241,1000.0
212,1000.0,144,0.001,1400,202502,-70.5861280822754,201447,952.3154591300002,0.1870346527993679,,
,,,0.001,,205000,-70.67438786315918,204447,,0.1747662741728127,921.9030088245869,1000.0
216,1000.0,144,0.001,1429,206502,-70.70732569885254,205447,951.7963830100002,0.17242615235224365,,
,,,0.001,,210000,-70.95218246459962,209447,,0.1612979480996728,947.2318927437067,1000.0
220,1000.0,144,,1459,210502,,,950.7672825100001,,,
224,1000.0,144,0.001,1485,214502,-71.06468054199219,213447,949.93488677,0.16766186552494763,,
,,,0.001,,215000,-71.12467352294922,214447,,0.17419373690336942,949.0412406884134,1000.0
228,1000.0,144,0.001,1514,218502,-71.25176612854004,217447,949.1234662900001,0.16589860796555878,,
,,,0.001,,220000,-71.35363873291016,219447,,0.15194275876134633,949.1723562061786,1000.0
232,1000.0,144,0.001,1544,222502,-71.40347903442382,221447,948.8305282000002,0.14539092140272258,,
,,,0.001,,225000,-71.4014737701416,224447,,0.19428801196813583,928.1766062327661,1000.0
236,1000.0,143,0.001,1574,226502,-71.40391081237793,225447,947.59214435,0.1646038617156446,,
,,,0.001,,230000,-71.53878454589844,229447,,0.18032066566497088,913.1192809075117,1000.0
