train/critic_loss,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,time/episodes,train/n_updates,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/actor_loss,eval/mean_ep_length,eval/mean_reward
0.46185438944534823,2070,517.5,0.001,4,1070,-598.896638,340,6,-3.080506380866556,,
0.09604357131011784,5000,,0.001,,4070,,,,3.155605752468109,1000.0,-2624.2188329935075
0.09371021863259375,6070,758.75,0.001,8,5070,-1610.6880448749998,176,34,6.862163666725158,,
0.5839551968070177,8203,683.5833333333334,0.001,12,8161,-1581.8094016666666,166,49,4.8129039817386206,,
1.2085263752748097,9314,582.125,0.001,16,9278,-1376.1451257499998,169,54,4.845883603673428,,
1.8907933235168457,10000,,0.001,,9399,,,,6.02425376106711,317.1,-766.3567706814968
,10279,513.95,,20,,-1221.7835457,174,58,,,
1.8965851403474807,11483,478.4583333333333,0.001,24,11475,-1055.6646962916666,165,69,7.582212677001953,,
1.5455390211641789,14538,519.2142857142857,0.001,28,14483,-917.8919755357143,171,84,6.4997325692474845,,
2.5079139098018204,15000,,0.001,,14805,,,,5.744066134656537,387.0,-150.07343431006956
1.9872012085914612,15931,497.84375,0.001,32,15805,-818.9295365625001,168,94,6.275291012957692,,
2.1857543094800067,17702,491.72222222222223,0.001,36,17020,-736.8500509722222,175,101,5.398103006434842,,
3.8250750049948694,20000,,0.001,,19258,,,,4.142239226676524,728.5,251.07253648316728
5.080051344275475,21258,531.45,0.001,40,20258,-632.7263293,171,124,2.0505458350572736,,
3.271484417438507,24379,554.0681818181819,0.001,44,24258,-552.0105199090909,169,143,-5.6291303373537955,,
2.9494136532476127,25000,,0.001,,24379,,,,-6.256584153572718,717.1,164.49138116774702
2.583842251956463,28379,591.2291666666666,0.001,48,27379,-478.0418940833333,170,166,-8.36641981178522,,
2.6748684310913085,30000,,0.001,,29379,,,,-8.879820415019989,539.2,220.11932246725775
2.513000941702298,31491,605.5961538461538,0.001,52,30491,-410.2892604423077,168,186,-10.408692240715027,,
2.307444151904848,33590,599.8214285714286,0.001,56,32590,-364.94555582142857,170,197,-11.921972632408142,,
2.3851473112106323,35000,,0.001,,34656,,,,-14.336923224449158,427.7,134.41824996934156
2.500885339856148,36656,610.9333333333333,0.001,60,35656,-308.21275113333337,169,216,-15.25204976272583,,
2.448808091027396,38700,604.6875,0.001,64,37700,-271.1455064375,170,226,-18.330542130903765,,
2.2655717770258588,39753,584.6029411764706,0.001,68,39727,-244.3414329117647,168,236,-17.967076574053085,,
2.3368116800601664,40000,,0.001,,39753,,,,-16.97041893005371,613.7,249.36169285805664
2.490219759821892,42768,594.0,0.001,72,41768,-212.25853843055555,169,252,-17.902162355422973,,
2.1955575216107253,45000,,0.001,,44809,,,,-18.987895488739014,609.8,485.9909919893951
,45809,602.75,,76,,-171.61581138157894,168,272,,,
