rollout/ep_len_mean,train/critic_loss,time/episodes,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,train/actor_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
916.48,6.3730279731750485,172,0.001,1149.22896814,1238,152544,123,-74.88127370452881,152110,,
,6.416903141021728,,0.001,,,155000,,-76.33228048706054,154513,1772.9331247994094,901.8
906.72,,176,,1192.08424753,1263,155568,123,,,,
906.72,7.008481522083282,180,0.001,1226.3557541100001,1287,159568,123,-78.75268226623535,158513,,
,6.893089029312134,,0.001,,,160000,,-79.17152610778808,159513,1420.5836210718771,1000.0
906.72,7.117698891878128,184,0.001,1259.95978061,1321,163568,123,-80.41300338745117,162513,,
,7.425589580535888,,0.001,,,165000,,-81.58651683044434,164513,1473.7972858498747,893.4
906.72,7.795824229717255,188,0.001,1306.6915542800002,1356,167568,123,-83.12986688232422,166513,,
,7.995907988548279,,0.001,,,170000,,-84.31884649658203,169513,1306.1785710456315,658.8
906.72,7.783217942237854,192,0.001,1346.47964696,1387,171568,123,-85.33985664367675,170513,,
907.76,8.535902208954324,196,0.001,1355.97015356,1407,174699,124,-87.06235758463542,173644,,
,14.597348820079457,,0.001,,,175000,,-86.26986335305607,174774,818.2905631636153,441.8
889.06,9.284015441417694,200,0.001,1352.6485119499996,1424,176829,124,-86.62351167297363,175774,,
,9.682337848186492,,0.001,,,180000,,-89.02201718139648,179774,1113.1363108174294,760.2
889.06,,204,,1399.7205245999999,1457,180829,124,,,,
884.16,9.743295743418674,208,0.001,1424.59968417,1478,184339,124,-90.77813200109145,183284,,
,9.231607932090759,,0.001,,,185000,,-91.05506541442871,184284,2179.7462679102086,936.6
897.32,10.505213179588317,212,0.001,1481.3283852800002,1513,188339,124,-93.49410177612305,187284,,
,9.25443561553955,,0.001,,,190000,,-93.95551545715333,189284,2221.368316907843,1000.0
897.45,9.256709828972816,216,0.001,1505.51890609,1541,191371,124,-94.52460050582886,190316,,
,9.833983209609986,,0.001,,,195000,,-96.98596508789062,194316,1840.3843435144051,901.2
897.45,,220,,1558.9733557899997,1576,195371,123,,,,
897.45,10.111920664310455,224,0.001,1595.0449836900004,1599,199371,124,-99.2934028930664,198316,,
,10.302618566513061,,0.001,,,200000,,-99.25973794555664,199316,1721.5752413315554,902.1
897.45,10.20371212053299,228,0.001,1641.00755176,1632,203371,124,-101.09340055847169,202316,,
,9.78762203848587,,0.001,,,205000,,-102.18044684068212,204164,1404.9744830942611,742.4
895.93,10.043366260528565,232,0.001,1638.57034942,1663,207219,124,-102.34671817016601,206164,,
,9.87239255952835,,0.001,,,210000,,-104.04226722717286,209164,1769.583465012652,901.7
905.42,9.643862143039703,236,0.001,1674.9979432599998,1697,211219,124,-104.15180758666992,210164,,
,10.24881041431427,,0.001,,,215000,,-105.46464401245117,214164,1758.3675698837499,792.8
916.38,,240,,1713.27637242,1729,215219,124,,,,
916.38,10.272979868412017,244,0.001,1747.3072686299995,1752,219219,125,-107.334957321167,218164,,
,11.354809469298312,,0.001,,,220000,,-107.31726927506297,219468,1998.7656970782205,826.6
897.74,8.80850601196289,248,0.001,1720.2933174599998,1773,221017,124,-109.13527774810791,220485,,
883.91,12.563066972824274,252,0.001,1687.3857577399997,1787,223634,125,-109.15507066289452,222579,,
,10.99197621011734,,0.001,,,225000,,-110.06810301208496,224579,2171.9492137197403,907.8
883.91,11.837255091667176,256,0.001,1711.4772700500002,1822,227634,124,-110.48705331420898,226579,,
866.25,10.249032715092534,260,0.001,1693.0819578900002,1840,229868,124,-112.00403362771739,229717,,
,10.34642779827118,,0.001,,,230000,,-111.89158471425374,229813,2185.5456319762393,901.5
872.48,11.0787992477417,264,0.001,1723.48052555,1870,233868,124,-112.58829351806641,232813,,
,11.809640413761139,,0.001,,,235000,,-113.00921340942382,234813,2351.937191570364,1000.0
864.11,13.958494774381021,268,0.001,1733.7986718000002,1900,236039,124,-113.6155439917721,235946,,
