time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/value_loss,train/clip_range,train/learning_rate,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/loss,train/std,train/clip_fraction,train/n_updates,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
3,1,2048,76.84615384615384,-84.27889315384616,682,,,,,,,,,,,,,
7,2,4096,78.42307692307692,-86.32665578846155,569,209.93263660669328,0.2,0.0003,0.011090852,-0.002573728561401367,-0.026111568105989136,42.242191314697266,0.9897359609603882,0.11279296875,10,-11.301159530878067,,
,,5000,,,,143.10164148807524,0.2,0.0003,0.012381118,-0.0060253143310546875,-0.02577032058034092,59.01766586303711,0.9833709597587585,0.099560546875,20,-11.244783079624176,1000.0,974.3851086016278
21,3,6144,79.37878787878788,-88.54737480303031,288,,,,,,,,,,,,,
25,4,8192,98.8961038961039,-107.38417832467533,324,155.91266140937805,0.2,0.0003,0.010870421,0.03478032350540161,-0.024412231225869618,52.413944244384766,0.9754863977432251,0.09296875,30,-11.184768494963645,,
,,10000,,,,111.4767628788948,0.2,0.0003,0.013842801,0.010630428791046143,-0.03147942238720134,29.166976928710938,0.9601833820343018,0.133349609375,40,-11.088679459691047,1000.0,1055.898459910415
39,5,10240,86.33,-92.67722844999999,261,,,,,,,,,,,,,
43,6,12288,97.76,-101.33194855000002,283,178.20393817424775,0.2,0.0003,0.011806658,0.02140730619430542,-0.03928891776304226,83.73058319091797,0.9589629173278809,0.170654296875,50,-11.021347323060036,,
47,7,14336,98.86,-96.3262675,301,150.59158537387847,0.2,0.0003,0.011756229,0.09678328037261963,-0.03202850717643742,48.88063430786133,0.9529706239700317,0.12236328125,60,-10.987404757738114,,
,,15000,,,,141.5077428817749,0.2,0.0003,0.010053397,0.11621332168579102,-0.03448723019973841,60.934112548828125,0.942112922668457,0.121875,70,-10.913918241858482,1000.0,1001.2545338894299
61,8,16384,98.81,-92.66118866,264,,,,,,,,,,,,,
66,9,18432,90.04,-83.12969124000001,278,135.3475972175598,0.2,0.0003,0.010278875,0.19065940380096436,-0.03222750497807283,42.68625259399414,0.9359701871871948,0.115576171875,80,-10.845021134614944,,
,,20000,,,,149.75777130126954,0.2,0.0003,0.010147262,0.26487475633621216,-0.03322881644126028,66.69136047363281,0.9326948523521423,0.118408203125,90,-10.808621913194656,1000.0,1020.5956986722128
80,10,20480,102.93,-94.07463206999996,253,,,,,,,,,,,,,
85,11,22528,106.4,-98.33505670000002,265,137.24709408283235,0.2,0.0003,0.013001744,0.16194868087768555,-0.035085972066735846,53.05120849609375,0.9247405529022217,0.135791015625,100,-10.757292592525483,,
88,12,24576,101.98,-97.48972164000001,276,171.63815052509307,0.2,0.0003,0.011099623,0.2588214874267578,-0.033891494723502544,69.4851303100586,0.9199728965759277,0.12783203125,110,-10.703647601604462,,
,,25000,,,,160.63645832538606,0.2,0.0003,0.010571688,0.3019191026687622,-0.034121244610287246,69.30400085449219,0.9114634394645691,0.12314453125,120,-10.645151793956757,942.7,862.394630069792
102,13,26624,98.87,-94.65090373999999,258,,,,,,,,,,,,,
107,14,28672,86.71,-82.01377998999999,266,178.54203765392305,0.2,0.0003,0.009966898,0.3834325075149536,-0.030126538424519823,46.003299713134766,0.9064873456954956,0.096533203125,130,-10.589021661877632,,
