train/learning_rate,time/total_timesteps,train/n_updates,rollout/ep_rew_mean,time/fps,time/episodes,time/time_elapsed,train/critic_loss,train/actor_loss,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward
0.001,353920,352861,1834.9293546700003,83,372,4241,4.859390179316203,-113.82157847086589,968.06,,
0.001,355000,354861,,,,,5.108557770013809,-114.0258184967041,,902.1,1907.043110663956
0.001,357130,356071,1833.7477024299997,83,376,4284,5.0036255620774766,-114.5009788149879,960.16,,
0.001,360000,359071,,,,,5.325553873538971,-115.09759834289551,,1000.0,2067.3733642941343
0.001,361130,360071,1838.69139274,83,380,4341,5.183616402149201,-114.84781755065919,960.16,,
0.001,365000,364071,,,,,4.884646065115929,-115.75937432861328,,1000.0,2016.4128641802818
,365130,,1860.7544802700002,82,384,4400,,,967.32,,
0.001,369130,368071,1869.5362435099994,83,388,4439,4.963625436544418,-116.70903063964843,967.32,,
0.001,370000,369071,,,,,5.279715755462647,-117.44429441833496,,964.6,2084.977932141209
0.001,373130,372071,1874.81154405,82,392,4496,5.438802428245545,-117.88994145202636,967.32,,
0.001,375000,374071,,,,,5.00628859782219,-118.28248110961914,,1000.0,2200.716953389457
0.001,377130,376071,1883.2748953199998,82,396,4548,5.394193611621857,-118.67060256958008,967.83,,
0.001,380000,379071,,,,,5.42134274482727,-119.6582377166748,,1000.0,2124.4717829854694
0.001,381130,380071,1889.5680725000002,82,400,4599,5.516444977521896,-120.02884449768067,967.83,,
0.001,384421,383362,1903.0487821800002,83,404,4627,5.312487316846847,-121.25666557312012,967.74,,
0.001,385000,384362,,,,,5.327561776161194,-121.04603367614746,,918.4,1878.7665341463755
0.001,388421,387362,1942.4131298399998,82,408,4686,5.193458166837693,-122.210564453125,973.44,,
0.001,390000,389362,,,,,5.691628010749817,-122.3379948272705,,1000.0,2144.4635932568463
0.001,392421,391362,1984.75100894,82,412,4744,5.2784423372745515,-122.59739018249512,973.44,,
0.001,395000,394362,,,,,5.432006668806076,-123.2921127319336,,1000.0,2053.8701405172005
0.001,396421,395362,1990.3605862199997,82,416,4799,5.636466990947723,-123.21417910766601,973.44,,
0.001,400000,399362,,,,,5.766398953437805,-124.60804292297364,,1000.0,1593.9053669717628
,400421,,1997.1384532400002,82,420,4851,,,973.44,,
0.001,404421,403362,2014.4566867900003,82,424,4893,5.451065126895904,-125.8813508758545,973.44,,
0.001,405000,404362,,,,,5.247602641582489,-125.75055480957032,,965.2,2070.0979806718883
0.001,408421,407362,1967.1750628099999,82,428,4949,6.0483473904132845,-125.83093589782715,973.44,,
0.001,410000,409362,,,,,5.888924531936645,-125.76927395629883,,1000.0,2133.214942416735
0.001,412421,411362,1970.79385018,82,432,5008,5.659971133708954,-126.0476964263916,973.44,,
0.001,415000,414362,,,,,5.935382566452026,-126.3105029449463,,944.3,2042.2623619681224
0.001,416421,415362,1966.10153231,82,436,5062,5.92122541975975,-126.31743347167969,973.44,,
0.001,420000,419362,,,,,5.61469551205635,-126.94509982299805,,1000.0,2194.2259108257012
,420421,,1968.4721544699999,82,440,5113,,,973.44,,
0.001,424421,423362,1974.4856917099999,82,444,5149,5.120724727630615,-127.7967335357666,973.44,,
0.001,425000,424362,,,,,4.927794633865356,-127.9063053741455,,1000.0,2290.0858421292623
0.001,428421,427362,1977.4919241600003,82,448,5209,4.936652048945427,-128.64096713256836,973.44,,
0.001,430000,429362,,,,,5.057356297969818,-129.31188459777832,,1000.0,2259.7767947034445
0.001,432421,431362,1984.77336117,82,452,5259,4.987345717906952,-129.8431567840576,975.31,,
0.001,435000,434362,,,,,5.093158913135529,-130.92251193237306,,1000.0,1964.2585068607702
0.001,436421,435362,1987.8635188,82,456,5308,4.839387201666832,-130.98669869995118,975.31,,
0.001,440000,439362,,,,,4.830134643197059,-132.31073861694335,,1000.0,1892.818155442085
,440421,,1991.3067847199998,82,460,5357,,,975.31,,
0.001,444421,443362,2037.3485832700003,82,464,5390,4.964207924842834,-133.33250985717774,975.31,,
0.001,445000,444362,,,,,5.0471676478385925,-133.57664227294921,,934.8,2121.0573713421823
0.001,448421,447362,2040.5236777600003,82,468,5440,4.879043002486229,-134.09486804199219,975.31,,
0.001,450000,449362,,,,,4.923455137133598,-134.7359353942871,,1000.0,2245.5686639726164
0.001,452421,451362,2065.8916834,82,472,5490,5.098975207328796,-135.5863734741211,985.01,,
0.001,455000,454362,,,,,5.123545684576035,-135.93835104370118,,1000.0,2121.192831582669
0.001,456421,455362,2083.1101345,82,476,5546,5.541069676637649,-136.1273078918457,992.91,,
0.001,460000,459362,,,,,5.855931881904602,-136.9296706085205,,1000.0,1550.7448096577543
,460421,,2090.95470929,82,480,5607,,,992.91,,
0.001,464421,463362,2078.58582149,82,484,5647,7.174157392740249,-139.04541766357423,992.91,,
0.001,465000,464362,,,,,6.9347524235248565,-139.18090496826173,,1000.0,2092.332664537709
0.001,468421,467362,2077.38716759,82,488,5708,7.535599289894104,-139.1339053955078,992.91,,
0.001,470000,469362,,,,,7.423178751468658,-139.41070391845705,,1000.0,2179.57719866198
0.001,472421,471362,2052.77107312,81,492,5768,6.977820252418518,-138.7695198364258,992.91,,
0.001,475000,474362,,,,,6.820528910636902,-139.35959814453125,,1000.0,2288.4837871339287
0.001,476421,475362,2056.3717820499996,81,496,5830,6.779368504047394,-139.81484716796874,992.91,,
0.001,480000,479362,,,,,7.151923329591751,-140.31859561157228,,920.0,1831.7032483758637
,480421,,2051.0042302599995,81,500,5889,,,992.91,,
0.001,484421,483362,2067.87548702,81,504,5932,7.267995344638824,-139.14296237182617,1000.0,,
0.001,485000,484362,,,,,7.369514731168747,-138.7005749053955,,1000.0,2205.321292721853
0.001,488421,487362,2076.11984605,81,508,5992,7.344726732730866,-137.6258032836914,1000.0,,
0.001,490000,489362,,,,,7.660153285264969,-139.4688565673828,,1000.0,2018.3945346651599
0.001,492421,491362,2056.6261445600003,81,512,6050,7.5404279773235325,-141.46903817749023,1000.0,,
0.001,495000,494362,,,,,6.15418536567688,-141.50038955688476,,1000.0,2029.4847326850227
0.001,496421,495362,2059.99248177,81,516,6108,6.174809788703919,-141.62344247436525,1000.0,,
0.001,500000,499362,,,,,5.895698793411255,-142.3680520324707,,1000.0,2319.6097481464967
,500421,,2044.08032093,81,520,6166,,,1000.0,,
0.001,504421,503362,2050.73308783,81,524,6204,5.386023170948029,-143.2594358215332,1000.0,,
0.001,505000,504362,,,,,5.128649756193161,-143.46111352539063,,1000.0,2258.0526220004076
0.001,508421,507362,2086.85661985,81,528,6260,5.584913543701171,-143.77397253417968,1000.0,,
0.001,510000,509362,,,,,5.781195526838302,-144.30194522094726,,1000.0,1885.6704499738873
0.001,512421,511362,2091.7594487200004,81,532,6318,6.019208745718002,-145.49161380004884,1000.0,,
0.001,515000,514362,,,,,6.921638592481613,-147.95461791992187,,924.2,1794.4306250476861
0.001,516421,515362,2107.08329359,80,536,6376,6.942711158514022,-149.03360870361328,1000.0,,
0.001,520000,519362,,,,,7.614912177324295,-150.99231781005858,,1000.0,2172.024267898453
,520421,,2078.3652728800002,80,540,6436,,,1000.0,,
0.001,524421,523362,2036.0349874800002,80,544,6474,7.562633579730988,-149.50987127685548,1000.0,,
0.001,525000,524362,,,,,7.16500385761261,-148.56518493652345,,1000.0,2229.648379366286
0.001,528421,527362,2004.0738943799995,80,548,6531,7.601255210876465,-147.96832223510742,1000.0,,
0.001,530000,529362,,,,,8.57563273859024,-149.2712068786621,,1000.0,2255.096907419064
0.001,532421,531362,1999.8911473499998,80,552,6589,8.225380434274673,-149.62567889404298,1000.0,,
0.001,535000,534362,,,,,7.449546978712082,-149.45838290405274,,1000.0,1139.5938061508234
0.001,536421,535362,1934.7878222599998,80,556,6648,7.178318565368652,-148.9427812194824,1000.0,,
0.001,539429,539362,1912.9008120600001,80,560,6687,7.3537565340995785,-148.11848126220704,990.08,,
0.001,540000,539370,,,,,7.248624086380005,-147.04449462890625,,1000.0,1723.6683654796332
0.001,543429,542370,1866.2855992600003,80,564,6739,9.516262497901916,-151.12093923950195,990.08,,
0.001,545000,544370,,,,,10.090735683918,-155.09555642700195,,1000.0,-111.4509598040022
0.001,547429,546370,1766.7977759900002,80,568,6799,7.956033341884613,-155.39044909667967,990.08,,
0.001,550000,549370,,,,,7.497128866195679,-155.03306848144533,,1000.0,286.87296667341144
0.001,551429,550370,1699.1099401099998,80,572,6856,6.956509860277176,-154.51406066894532,990.08,,
0.001,555000,554370,,,,,6.05482876586914,-151.41006060791017,,1000.0,564.918067385914
,555429,,1625.5576695400002,80,576,6914,,,990.08,,
0.001,559429,558370,1609.63482189,80,580,6954,5.417708503127098,-148.73614108276368,990.08,,
0.001,560000,559370,,,,,5.380506598234176,-148.24222622680665,,1000.0,1622.7071935368003
0.001,563429,562370,1599.3683587,80,584,7012,5.666489169001579,-147.18781942749024,990.08,,
0.001,565000,564370,,,,,5.877227289438248,-146.77653732299805,,1000.0,2316.3386232506136
0.001,567429,566370,1609.7372518700001,80,588,7070,6.246423809528351,-146.57711087036134,990.08,,
0.001,570000,569370,,,,,6.1478349177837375,-146.88623037719728,,1000.0,2270.9699503380457
