time/time_elapsed,train/actor_loss,rollout/ep_len_mean,train/n_updates,train/critic_loss,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/fps,train/learning_rate,eval/mean_reward,eval/mean_ep_length
0,0.18756674483418465,50.0,50,1.822050975561142,200,4,-58.3100235,643,0.001,,
1,0.5944272899627685,50.0,250,0.26679761737585067,400,8,-73.30117925,289,0.001,,
2,0.5120280337333679,50.0,450,0.09703952111303807,600,12,-60.85812333333334,246,0.001,,
3,0.5783149707317352,50.0,650,0.04219343289732933,800,16,-48.2328251875,228,0.001,,
,0.7648811054229736,,850,0.030667718723416327,1000,,,,0.001,-12.06103865839541,50.0
4,,50.0,,,1000,20,-40.90285335,200,,,
6,0.9287000107765198,50.0,1050,0.025243409276008606,1200,24,-36.36439875,197,0.001,,
7,1.1108832025527955,50.0,1250,0.031030985228717327,1400,28,-32.39706021428572,197,0.001,,
8,1.2609422731399536,50.0,1450,0.0280574095249176,1600,32,-29.612181874999997,196,0.001,,
9,1.4180571508407593,50.0,1650,0.14983288280665874,1800,36,-27.023313249999998,196,0.001,,
,1.5458452653884889,,1850,0.031810856088995934,2000,,,,0.001,-11.196713690459728,50.0
10,,50.0,,,2000,40,-25.370119125,188,,,
11,1.7649846982955932,50.0,2050,0.03839760296046734,2200,44,-23.99558681818182,186,0.001,,
12,1.911000008583069,50.0,2250,0.03966026861220598,2400,48,-22.75537454166667,185,0.001,,
13,2.062226514816284,50.0,2450,0.034105566069483756,2600,52,-21.832852615384617,185,0.001,,
15,2.207909517288208,50.0,2650,0.03970923904329538,2800,56,-20.850901410714282,185,0.001,,
,2.346955518722534,,2850,0.04599907331168652,3000,,,,0.001,-10.728832303360104,50.0
16,,50.0,,,3000,60,-19.96719495,181,,,
17,2.4866355800628663,50.0,3050,0.04364805120974779,3200,64,-19.297542765625,181,0.001,,
18,2.647558307647705,50.0,3250,0.05726662322878837,3400,68,-18.79014522058824,181,0.001,,
19,2.7415202140808104,50.0,3450,0.03823392152786255,3600,72,-18.18230965277778,181,0.001,,
20,2.8572941875457762,50.0,3650,0.03572198532521725,3800,76,-17.684971802631583,182,0.001,,
,2.969248104095459,,3850,0.04092570677399635,4000,,,,0.001,-10.431767053157092,50.0
22,,50.0,,,4000,80,-17.292410275,178,,,
23,3.0986911487579345,50.0,4050,0.05308769840747118,4200,84,-16.816786285714286,177,0.001,,
24,3.206860361099243,50.0,4250,0.038074516169726846,4400,88,-16.361910204545453,177,0.001,,
25,3.360685081481934,50.0,4450,0.04203726392239332,4600,92,-15.98384652173913,178,0.001,,
26,3.4755912494659422,50.0,4650,0.0403564753383398,4800,96,-15.764163020833335,178,0.001,,
,3.644724102020264,,4850,0.03504192885011435,5000,,,,0.001,-10.032264291588216,50.0
28,,50.0,,,5000,100,-15.431303810000001,176,,,
29,3.7359540462493896,50.0,5050,0.035280394554138186,5200,104,-13.468015240000001,177,0.001,,
30,3.842628908157349,50.0,5250,0.04445662409067154,5400,108,-10.354816679999999,177,0.001,,
31,4.005923595428467,50.0,5450,0.04116685774177313,5600,112,-9.207209899999999,178,0.001,,
32,4.1130194568634035,50.0,5650,0.051447406485676764,5800,116,-9.26922592,178,0.001,,
,4.23379714012146,,5850,0.03462154291570187,6000,,,,0.001,-9.768770688027143,50.0
33,,50.0,,,6000,120,-9.18149536,176,,,
35,4.368349170684814,50.0,6050,0.03716545209288597,6200,124,-8.95257384,176,0.001,,
36,4.5022817230224605,50.0,6250,0.043138257339596746,6400,128,-9.03856091,176,0.001,,
37,4.579539318084716,50.0,6450,0.04166373293846846,6600,132,-8.93512847,176,0.001,,
38,4.719606075286865,50.0,6650,0.03707987379282713,6800,136,-9.066395019999998,177,0.001,,
,4.844998111724854,,6850,0.03766164645552635,7000,,,,0.001,-9.376730081625283,50.0
39,,50.0,,,7000,140,-9.105509869999999,176,,,
40,4.9207007026672365,50.0,7050,0.0383864014595747,7200,144,-9.123974220000001,177,0.001,,
41,5.0727921485900875,50.0,7250,0.04196141749620438,7400,148,-9.08833516,177,0.001,,
42,5.182089729309082,50.0,7450,0.041156319603323936,7600,152,-9.13546946,178,0.001,,
43,5.245739517211914,50.0,7650,0.039923758544027806,7800,156,-9.25318191,178,0.001,,
,5.380237197875976,,7850,0.04175708502531052,8000,,,,0.001,-9.800157654844224,50.0
45,,50.0,,,8000,160,-9.42364558,177,,,
46,5.465723438262939,50.0,8050,0.036732808984816075,8200,164,-9.48537541,176,0.001,,
47,5.624425773620605,50.0,8250,0.0355184780433774,8400,168,-9.43645613,176,0.001,,
48,5.736417331695557,50.0,8450,0.04155908390879631,8600,172,-9.582666170000001,176,0.001,,
49,5.853820285797119,50.0,8650,0.036828879192471506,8800,176,-9.68932446,176,0.001,,
,5.917453823089599,,8850,0.03778451208025217,9000,,,,0.001,-10.783529006782919,50.0
51,,50.0,,,9000,180,-9.79410227,175,,,
52,6.074408683776856,50.0,9050,0.04860627450048924,9200,184,-9.98063322,175,0.001,,
53,6.2512610816955565,50.0,9250,0.03652402743697167,9400,188,-10.15993788,176,0.001,,
54,6.273554649353027,50.0,9450,0.03640058483928442,9600,192,-10.264505719999999,176,0.001,,
55,6.4359126663208,50.0,9650,0.04252957314252853,9800,196,-10.21305411,176,0.001,,
,6.490691661834717,,9850,0.04449176266789436,10000,,,,0.001,-10.230945014953614,50.0
56,,50.0,,,10000,200,-10.40669058,175,,,
58,6.593856391906738,50.0,10050,0.03804951064288616,10200,204,-10.492027959999998,175,0.001,,
59,6.698272705078125,50.0,10250,0.038502718470990654,10400,208,-10.500123250000001,175,0.001,,
60,6.8328124618530275,50.0,10450,0.04900227017700672,10600,212,-10.55761408,175,0.001,,
61,6.936005821228028,50.0,10650,0.039387182220816615,10800,216,-10.504743739999999,175,0.001,,
,6.995421085357666,,10850,0.03920397479087114,11000,,,,0.001,-9.931868734769523,50.0
62,,50.0,,,11000,220,-10.54519053,174,,,
63,7.11655559539795,50.0,11050,0.045896823331713674,11200,224,-10.5727141,175,0.001,,
64,7.216198596954346,50.0,11250,0.04516505554318428,11400,228,-10.589961450000002,175,0.001,,
65,7.383360900878906,50.0,11450,0.03654204208403826,11600,232,-10.701382240000001,176,0.001,,
66,7.427962265014648,50.0,11650,0.03890521876513958,11800,236,-10.749249209999999,176,0.001,,
,7.47618595123291,,11850,0.04251768071204424,12000,,,,0.001,-10.008867732156068,50.0
68,,50.0,,,12000,240,-10.653390789999998,176,,,
69,7.6729166793823245,50.0,12050,0.036052547469735144,12200,244,-10.72650622,176,0.001,,
70,7.670692806243896,50.0,12250,0.03908255524933338,12400,248,-10.628104130000004,176,0.001,,
71,7.820480518341064,50.0,12450,0.04732553046196699,12600,252,-10.523392330000002,177,0.001,,
72,7.870653896331787,50.0,12650,0.03900134850293398,12800,256,-10.27879046,177,0.001,,
,7.984464263916015,,12850,0.04254075028002262,13000,,,,0.001,-8.533124010451138,50.0
73,,50.0,,,13000,260,-10.121172859999998,176,,,
74,8.020028762817383,50.0,13050,0.03951116491109133,13200,264,-9.948725979999999,176,0.001,,
76,8.146286163330078,50.0,13250,0.04183048289269209,13400,268,-9.81741649,176,0.001,,
77,8.209193935394287,50.0,13450,0.04985085986554623,13600,272,-9.57081268,176,0.001,,
78,8.363190879821778,50.0,13650,0.06983734611421824,13800,276,-9.32899119,176,0.001,,
,8.342895584106445,,13850,0.04190073136240244,14000,,,,0.001,-7.600844093691558,50.0
79,,50.0,,,14000,280,-9.123135510000001,176,,,
80,8.484106979370118,50.0,14050,0.03729508586227894,14200,284,-8.93231083,176,0.001,,
81,8.452169189453125,50.0,14250,0.051843422576785085,14400,288,-8.789649859999999,176,0.001,,
82,8.60783390045166,50.0,14450,0.044367583468556404,14600,292,-8.72374156,176,0.001,,
84,8.648993492126465,50.0,14650,0.039489558301866054,14800,296,-8.5874307,176,0.001,,
,8.807674598693847,,14850,0.0420821537822485,15000,,,,0.001,-7.498839594051242,50.0
85,,50.0,,,15000,300,-8.30395131,175,,,
86,8.828006629943848,50.0,15050,0.04763123344630003,15200,304,-8.13031837,175,0.001,,
87,8.90381607055664,50.0,15250,0.05931138031184673,15400,308,-8.01793161,175,0.001,,
88,8.974424781799316,50.0,15450,0.05487643443048,15600,312,-8.01063685,175,0.001,,
89,9.049374198913574,50.0,15650,0.047251244969666005,15800,316,-7.92099984,175,0.001,,
,9.131674728393556,,15850,0.039470840021967886,16000,,,,0.001,-7.253583428822457,50.0
91,,50.0,,,16000,320,-7.810867399999999,175,,,
92,9.217980995178223,50.0,16050,0.040631381571292875,16200,324,-7.765407120000001,175,0.001,,
93,9.286818313598634,50.0,16250,0.04143191944807768,16400,328,-7.5297111800000005,175,0.001,,
94,9.425419807434082,50.0,16450,0.04506795860826969,16600,332,-7.370306110000001,175,0.001,,
95,9.385743789672851,50.0,16650,0.045748022496700284,16800,336,-7.23333727,175,0.001,,
,9.483588829040528,,16850,0.041273647397756574,17000,,,,0.001,-7.261308526620269,50.0
97,,50.0,,,17000,340,-7.081883749999999,174,,,
98,9.592722091674805,50.0,17050,0.04672586750239134,17200,344,-6.778437160000001,174,0.001,,
99,9.641673469543457,50.0,17250,0.06348992574959994,17400,348,-6.74615676,175,0.001,,
