time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/std,train/clip_range,train/approx_kl,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/loss,train/learning_rate,train/explained_variance,train/value_loss,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
,20000,,,,,0.9924749732017517,0.2,0.013166998,0.1251953125,90,-0.0543633220193442,240157.609375,0.0003,0.0005437731742858887,521445.0328125,-23.99255558848381,1000.0,54123.654359436034
10,20480,172,1000.0,41015.70632815,118,,,,,,,,,,,,,
11,22528,177,1000.0,41324.98249427273,127,0.9917958378791809,0.2,0.014397364,0.13564453125,100,-0.055220179026946425,251730.5,0.0003,0.00102156400680542,513638.3124023437,-23.98606381416321,,
12,24576,181,1000.0,41789.77737491667,135,0.9908186793327332,0.2,0.014778526,0.151025390625,110,-0.05776754931430332,245873.9375,0.0003,0.0005875825881958008,535495.3544921875,-23.97114098072052,,
,25000,,,,,0.9896221160888672,0.2,0.013631488,0.1294921875,120,-0.05435101831681095,320053.40625,0.0003,0.0015712380409240723,702766.2271484375,-23.950203227996827,1000.0,70909.41882781983
13,26624,219,1000.0,42270.14569073077,121,,,,,,,,,,,,,
14,28672,223,1000.0,42567.78378053572,128,0.987695574760437,0.2,0.014259753,0.1455078125,130,-0.05870862942247186,279499.40625,0.0003,-6.413459777832031e-05,619528.5376953125,-23.92557621598244,,
,30000,,,,,0.9858404994010925,0.2,0.015719615,0.1654296875,140,-0.060862102668033914,262063.03125,0.0003,0.0003133416175842285,525627.341796875,-23.89159932732582,1000.0,75305.4769077301
15,30720,261,1000.0,42803.3977964,117,,,,,,,,,,,,,
16,32768,266,1000.0,43468.72887696875,123,0.983487069606781,0.2,0.014536805,0.15244140625,150,-0.060526664991630244,388454.1875,0.0003,-7.140636444091797e-05,729839.5681640625,-23.854886984825136,,
17,34816,271,1000.0,43858.94342538236,128,0.9802221655845642,0.2,0.014604799,0.144482421875,160,-0.059137542766984554,307093.59375,0.0003,-0.0006281137466430664,703269.887890625,-23.803472673892976,,
,35000,,,,,0.9793328642845154,0.2,0.015021386,0.142236328125,170,-0.06000024361128453,364562.71875,0.0003,0.00032025575637817383,822990.9626953125,-23.773771131038664,1000.0,47548.4855676651
18,36864,306,1000.0,44519.41644647223,120,,,,,,,,,,,,,
19,38912,311,1000.0,44983.05234271053,124,0.9798603057861328,0.2,0.016830906,0.166259765625,180,-0.06261252626136411,427888.84375,0.0003,0.00018614530563354492,722081.2123046875,-23.770010846853257,,
,40000,,,,,0.9772224426269531,0.2,0.015341016,0.152880859375,190,-0.057774408892146314,449864.65625,0.0003,-8.952617645263672e-05,751089.3021484375,-23.749404221773148,1000.0,73796.78453874588
20,40960,347,1000.0,45406.8546656,117,,,,,,,,,,,,,
21,43008,351,1000.0,45981.67623195349,122,0.9752965569496155,0.2,0.015106995,0.15859375,200,-0.06075698492350057,386007.84375,0.0003,-8.225440979003906e-06,779333.13125,-23.70991047024727,,
,45000,,,,,0.9724345803260803,0.2,0.017733203,0.17021484375,210,-0.061634740803856405,392427.34375,0.0003,-0.0010585784912109375,849058.105078125,-23.6673164665699,1000.0,71872.78320751191
22,45056,387,1000.0,46598.6951244,116,,,,,,,,,,,,,
23,47104,392,1000.0,46793.006386,120,0.9700528383255005,0.2,0.017611826,0.177587890625,220,-0.06731491322716465,542700.1875,0.0003,-0.00010228157043457031,959377.3126953125,-23.621104258298875,,
24,49152,396,1000.0,47141.59310977551,123,0.9699838161468506,0.2,0.018475115,0.192333984375,230,-0.06597301054280251,431618.90625,0.0003,-0.0003814697265625,717295.189453125,-23.6002994120121,,
,50000,,,,,0.9687219262123108,0.2,0.018049106,0.1935546875,240,-0.06897273821814451,489325.71875,0.0003,6.80685043334961e-05,869893.6130859375,-23.58692519068718,1000.0,74272.91143112183
25,51200,432,1000.0,47684.95200899999,118,,,,,,,,,,,,,
26,53248,436,1000.0,47917.23298864151,121,0.966789722442627,0.2,0.018117059,0.182177734375,250,-0.06661425767233595,525006.125,0.0003,0.0003447532653808594,972008.1123046875,-23.55317422747612,,
,55000,,,,,0.9655971527099609,0.2,0.019267421,0.20439453125,260,-0.07039954553765711,404574.1875,0.0003,0.00048679113388061523,810896.825390625,-23.532899767160416,1000.0,65561.88568668366
27,55296,471,1000.0,48315.85042465454,117,,,,,,,,,,,,,
28,57344,475,1000.0,48654.960571614036,120,0.9631134271621704,0.2,0.019348115,0.193115234375,270,-0.06844646832032594,551074.0625,0.0003,0.0012111663818359375,997286.873828125,-23.4926840364933,,
29,59392,480,1000.0,49069.83159691526,123,0.9594473242759705,0.2,0.020037454,0.201953125,280,-0.06914026071317494,437847.03125,0.0003,-3.0517578125e-05,934013.1478515625,-23.439745819568635,,
,60000,,,,,0.9587604403495789,0.2,0.020251546,0.207275390625,290,-0.07234901267511304,444738.4375,0.0003,0.0030477046966552734,966937.184375,-23.405711269378664,1000.0,71646.59743556977
30,61440,515,1000.0,49560.91165418034,119,,,,,,,,,,,,,
31,63488,520,1000.0,49826.39084295239,122,0.9564493894577026,0.2,0.019677006,0.1978515625,300,-0.06969084240845405,562489.1875,0.0003,0.0001863241195678711,1234438.39296875,-23.37283812761307,,
,65000,,,,,0.9539865851402283,0.2,0.021571044,0.226904296875,310,-0.07399390159989708,413611.6875,0.0003,-2.682209014892578e-05,907324.798828125,-23.330110609531403,1000.0,75552.9692314148
32,65536,556,1000.0,50266.997938692315,117,,,,,,,,,,,,,
33,67584,560,1000.0,50540.587197388064,120,0.9526874423027039,0.2,0.021193407,0.218798828125,320,-0.07264144177606795,448392.46875,0.0003,0.001042485237121582,910149.044921875,-23.2994315803051,,
34,69632,565,1000.0,51025.63968542029,123,0.951827883720398,0.2,0.021488601,0.207958984375,330,-0.07297091704676859,568576.625,0.0003,0.00012379884719848633,1119269.33359375,-23.28062019944191,,
,70000,,,,,0.9521132111549377,0.2,0.020100592,0.2099609375,340,-0.07092008077888749,553317.375,0.0003,3.236532211303711e-05,1090655.4126953124,-23.281149905920028,1000.0,63242.208941268924
35,71680,600,1000.0,51321.623684239436,119,,,,,,,,,,,,,
36,73728,605,1000.0,51959.061783287674,121,0.9497194886207581,0.2,0.023584576,0.230029296875,350,-0.07737939563085092,675306.375,0.0003,0.0003039836883544922,1180841.38046875,-23.25677220225334,,
,75000,,,,,0.9483751654624939,0.2,0.016480569,0.16005859375,360,-0.05926046839740593,706148.6875,0.0003,-9.429454803466797e-05,1426918.7640625,-23.225746607780458,1000.0,61627.276255226134
37,75776,639,1000.0,52480.04758093334,118,,,,,,,,,,,,,
38,77824,644,1000.0,52835.02328838961,120,0.9487227201461792,0.2,0.018348731,0.18740234375,370,-0.06791866629500873,688684.5625,0.0003,-9.72747802734375e-05,1355296.958984375,-23.215499377250673,,
39,79872,649,1000.0,53194.438420215185,123,0.9493966102600098,0.2,0.01922397,0.178955078125,380,-0.06414311328262556,716504.4375,0.0003,-0.00028252601623535156,1368002.42421875,-23.22554804086685,,
,80000,,,,,0.9479610323905945,0.2,0.025090009,0.246240234375,390,-0.07603700863255654,459972.28125,0.0003,1.8537044525146484e-05,992686.895703125,-23.219466859102248,1000.0,60876.60747051239
40,81920,684,1000.0,53586.58184406173,119,,,,,,,,,,,,,
41,83968,689,1000.0,53996.502527000004,121,0.9456827640533447,0.2,0.019450508,0.186279296875,400,-0.06611906717880629,702023.625,0.0003,2.086162567138672e-06,1523892.38125,-23.183179169893265,,
,85000,,,,,0.9432938694953918,0.2,0.026593855,0.2654296875,410,-0.08185819455829915,481103.9375,0.0003,0.00043189525604248047,957960.9236328125,-23.140975350141524,1000.0,60973.64250602722
42,86016,724,1000.0,54335.00214083721,118,,,,,,,,,,,,,
43,88064,728,1000.0,54739.251955272724,120,0.9429762363433838,0.2,0.023491632,0.241748046875,420,-0.07947747629950755,547330.1875,0.0003,4.4405460357666016e-05,1288984.620703125,-23.117159295082093,,
