rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,train/actor_loss,train/n_updates,train/learning_rate,train/critic_loss,eval/mean_ep_length,eval/mean_reward
18.75,75,16.243347999999997,3531,0,4,,,,,,
15.75,126,13.820448375,805,0,8,-0.9480819801489512,22,0.001,0.10671075501225212,,
20.166666666666668,242,26.487968750000004,333,0,12,-1.7459727417338977,123,0.001,0.02239220030605793,,
20.5625,329,29.471682124999997,265,1,16,-2.281641873446378,212,0.001,0.04883256410671906,,
20.85,417,31.328804849999994,242,1,20,-2.641957426071167,299,0.001,0.09634845987671897,,
20.375,489,25.89944433333333,228,2,24,-2.8064476119147406,375,0.001,0.11078047504027684,,
20.035714285714285,561,21.98517928571428,218,2,28,-2.670141246583727,447,0.001,0.1159050330105755,,
19.71875,631,19.095599125,212,2,32,-2.792287677526474,517,0.001,0.13992020356304505,,
19.52777777777778,703,16.833617222222223,207,3,36,-2.76855821079678,589,0.001,0.19055719321800602,,
19.35,774,15.01852835,203,3,40,-2.625302341249254,660,0.001,0.1558448974700535,,
19.204545454545453,845,13.529699909090908,200,4,44,-2.6589536666870117,731,0.001,0.15333724125391907,,
19.083333333333332,916,12.28654570833333,199,4,48,-2.5466544363233776,802,0.001,0.23932955289880434,,
19.0,988,11.228391826923074,197,4,52,-2.48336042298211,874,0.001,0.24406425768716467,,
18.910714285714285,1059,10.33069542857143,196,5,56,-2.463791072368622,945,0.001,0.2576778000768493,,
18.85,1131,9.54018855,193,5,60,-2.2863096396128335,1017,0.001,0.29260092394219506,,
18.78125,1202,8.8552576875,192,6,64,-2.3284577793545194,1088,0.001,0.25618329337414575,,
18.705882352941178,1272,8.264531249999997,191,6,68,-2.1759570240974426,1159,0.001,0.2944917924263898,,
18.666666666666668,1344,7.722193652777779,190,7,72,-2.018183297581143,1230,0.001,0.2805044878688123,,
18.61842105263158,1415,7.239411618421054,190,7,76,-2.02651309967041,1302,0.001,0.32717514741751885,,
18.575,1486,6.81042855,189,7,80,-1.6203664143880208,1372,0.001,0.24386634015374714,,
18.547619047619047,1558,6.416961107142858,189,8,84,-1.8663831816779242,1444,0.001,0.41058057981232804,,
18.511363636363637,1629,6.070477079545455,188,8,88,-1.7351761791441176,1515,0.001,0.23137435068686804,,
18.47826086956522,1700,5.750339293478263,188,8,92,-1.8355284267001681,1586,0.001,0.32607660617898493,,
18.447916666666668,1771,5.450939062500001,188,9,96,-1.7553054839372635,1657,0.001,0.38148095327265125,,
18.43,1843,5.1811684200000006,188,9,100,-1.2582759592268202,1729,0.001,0.2996298273404439,,
19.2,1995,7.27767952,188,10,104,-2.4708696603775024,1874,0.001,0.4511240344980489,,
19.67,2093,8.547212359999998,188,11,108,-3.259717812904945,1972,0.001,0.7961034536361694,,
19.43,2185,8.09352548,188,11,112,-3.9074295217340644,2066,0.001,1.0085361216749464,,
19.46,2275,8.145150840000001,188,12,116,-4.408166191794655,2157,0.001,0.7902639934962447,,
19.52,2369,8.252253009999999,187,12,120,-4.841282884279887,2248,0.001,1.223827812982642,,
19.68,2457,9.85186838,187,13,124,-5.27234038439664,2339,0.001,1.470381723208861,,
,2500,,,,,-5.039917091528575,2384,0.001,1.3428778402183368,22.2,39.18112415075302
19.86,2547,11.50215577,181,14,128,-5.379583716392517,2429,0.001,1.334808610379696,,
20.37,2668,13.687049620000003,181,14,132,-6.103294460861771,2551,0.001,1.5301494361073882,,
21.15,2818,16.50184139,180,15,136,-7.107500982284546,2699,0.001,1.637861879098983,,
21.32,2906,18.103618880000003,180,16,140,-7.299962693994695,2788,0.001,1.5068971446969293,,
21.51,2996,19.75469612,181,16,144,-8.09217357635498,2874,0.001,1.2254883036726998,,
21.72,3088,21.44112493,181,17,148,-8.51026725769043,2971,0.001,1.550893444390524,,
23.65,3353,26.32252216,184,18,152,-9.032692149281502,3170,0.001,1.8361776851945453,,
25.44,3603,30.90380659,183,19,156,-10.138544414354408,3422,0.001,1.6519660262957863,,
27.67,3898,36.42754578,183,21,160,-11.566038578748703,3716,0.001,2.767624973319471,,
30.1,4212,42.37613015000001,183,22,164,-12.801104778196754,4033,0.001,2.8446628087904395,,
32.56,4528,48.41320305,183,24,168,-14.166964331338573,4345,0.001,2.4845566359059563,,
35.23,4867,54.99579238000001,183,26,172,-15.235658554803758,4684,0.001,2.938574976949807,,
,5000,,,,,-15.782937331633134,4858,0.001,3.3948791362773414,83.9,159.30000950694085
37.8,5195,61.25899338999999,173,29,176,-16.225227269259367,5030,0.001,3.6234906603550088,,
40.47,5533,67.81268163,174,31,180,-17.02688752151117,5351,0.001,3.9433432300406768,,
43.16,5874,74.45771878000001,174,33,184,-17.95836874496105,5693,0.001,3.6879261461801307,,
