time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss,eval/mean_ep_length,eval/mean_reward
272,192,3.51,1004,5,21.154656190000004,904,4.22606635093689,0.001,-12.009685039520264,,
276,192,3.51,1018,5,21.15652506,918,5.138151963551839,0.001,-10.809378623962402,,
280,191,3.52,1034,5,21.241266300000003,934,5.5628803968429565,0.001,-9.409976482391357,,
284,191,3.52,1048,5,21.24275396,949,7.348041375478108,0.001,-10.432971954345703,,
288,190,3.53,1062,5,21.328767619999997,963,4.427769184112549,0.001,-10.107928276062012,,
292,190,3.52,1075,5,21.247705689999997,976,4.810212930043538,0.001,-10.864413261413574,,
296,190,3.54,1091,5,21.413528369999998,991,4.7731688022613525,0.001,-10.948160648345947,,
300,189,3.54,1106,5,21.41274152,1006,4.903831362724304,0.001,-11.189311504364014,,
304,189,3.55,1121,5,21.494115079999993,1021,4.644137859344482,0.001,-9.643534183502197,,
308,188,3.55,1135,6,21.493923380000002,1035,5.197829564412435,0.001,-10.685993194580078,,
312,188,3.53,1149,6,21.327755109999995,1049,4.731921195983887,0.001,-10.017337799072266,,
316,188,3.54,1164,6,21.41107393,1064,4.031903982162476,0.001,-9.840896129608154,,
320,187,3.54,1178,6,21.408677559999997,1079,4.393964608510335,0.001,-11.147137641906738,,
324,187,3.54,1192,6,21.409761749999998,1092,5.424269795417786,0.001,-10.240339279174805,,
328,187,3.54,1205,6,21.40941236,1106,4.659985383351644,0.001,-11.005671977996826,,
332,186,3.55,1220,6,21.49675526,1120,3.790458023548126,0.001,-11.234486103057861,,
336,186,3.53,1234,6,21.327710269999997,1135,3.8920908768971763,0.001,-9.448812484741211,,
340,186,3.52,1247,6,21.24590427,1148,4.2058539390563965,0.001,-10.38084888458252,,
344,186,3.52,1260,6,21.24400254,1160,4.000253041585286,0.001,-9.230466842651367,,
348,186,3.54,1275,6,21.412102869999995,1175,4.138136208057404,0.001,-11.100425243377686,,
352,185,3.57,1290,6,21.661948119999998,1190,3.8370107412338257,0.001,-9.68709135055542,,
356,185,3.54,1303,7,21.410787059999997,1204,4.217474301656087,0.001,-10.99638319015503,,
360,184,3.55,1318,7,21.49314241,1218,3.8419397473335266,0.001,-9.48714828491211,,
364,184,3.54,1331,7,21.408347740000004,1232,4.665497620900472,0.001,-10.024340629577637,,
368,184,3.53,1344,7,21.32594524,1245,3.449252128601074,0.001,-10.142932891845703,,
372,184,3.53,1357,7,21.32511621,1257,3.1953907012939453,0.001,-10.854087829589844,,
376,184,3.54,1372,7,21.40866812999999,1272,3.9302074909210205,0.001,-10.175385475158691,,
380,183,3.52,1386,7,21.24250286,1286,4.794938683509827,0.001,-10.361916542053223,,
384,183,3.51,1399,7,21.15607704,1299,3.9166910648345947,0.001,-10.585236549377441,,
388,182,3.51,1413,7,21.154634729999998,1314,3.4011889696121216,0.001,-10.893937587738037,,
392,182,3.54,1429,7,21.40420196,1329,2.9893799424171448,0.001,-10.088169574737549,,
396,182,3.54,1445,7,21.401779210000004,1345,5.150536060333252,0.001,-11.073199272155762,,
400,182,3.54,1460,8,21.40278679,1360,3.88101065158844,0.001,-10.249749183654785,,
404,181,3.53,1474,8,21.31824398,1374,4.366730511188507,0.001,-10.877849578857422,,
408,181,3.53,1488,8,21.31709743,1388,4.8281318346659345,0.001,-10.43082857131958,,
