rollout/ep_len_mean,train/n_updates,train/learning_rate,time/total_timesteps,time/fps,train/actor_loss,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/critic_loss,eval/mean_reward,eval/mean_ep_length
59.5,102,0.001,238,395,1.3752178175776613,4,-75.00498875,0,0.5400616599648607,,
105.75,653,0.001,846,247,2.392949265241623,8,-157.311859,3,0.1735633567067576,,
82.16666666666667,864,0.001,986,224,2.8054987532751903,12,-120.83599358333332,4,0.10158823485727664,,
83.375,1212,0.001,1334,217,3.1216218539004057,16,-117.27185,6,0.12457792376172486,,
81.95,1515,0.001,1639,214,3.3852615505456924,20,-111.17840425,7,0.08065814466681331,,
74.70833333333333,1679,0.001,1793,212,3.458633910054746,24,-100.27475829166667,8,0.12119461515027544,,
102.46428571428571,2750,0.001,2869,205,2.970932201905684,28,-130.26925317857143,13,0.06269664388327371,,
99.84375,3030,0.001,3195,207,2.86259749200609,32,-125.56079928125,15,0.09218523125438129,,
93.83333333333333,3248,0.001,3378,205,2.7431226352165483,36,-117.41172686111109,16,0.09352529626981966,,
90.1,3424,0.001,3604,207,2.576789140701294,40,-111.70278069999999,17,0.09573499342569938,,
85.61363636363636,3655,0.001,3767,203,2.41208952665329,44,-105.56466245454544,18,0.1036259423483882,,
81.35416666666667,3788,0.001,3905,203,2.3468972227790137,48,-100.12804345833332,19,0.11162543432279066,,
81.0576923076923,4064,0.001,4215,204,2.073391778128488,52,-99.3276146923077,20,0.0847171418941938,,
77.94642857142857,4193,0.001,4365,204,2.0018425385157266,56,-95.43511108928571,21,0.08971010086437066,,
,4344,0.001,5000,,1.8485436969333224,,,,0.10321041281734195,893.7845067709684,1000.0
90.73333333333333,,,5444,167,,60,-109.39169603333335,32,,,
90.140625,5534,0.001,5769,152,0.7476729374182852,64,-108.14880978125001,37,0.07427269200215468,,
116.30882352941177,6809,0.001,7909,175,-0.2303151505834916,68,-135.9907401911765,45,0.061301789858511514,,
113.26388888888889,8009,0.001,8155,162,-0.9856204223632813,72,-132.2823564583333,50,0.07366043940186501,,
109.44736842105263,8188,0.001,8318,162,-1.111181280192207,76,-127.67296238157894,51,0.07325781202491592,,
106.65,8368,0.001,8532,163,-1.229967963695526,80,-124.15521960000001,52,0.07463344147330836,,
103.69047619047619,8509,0.001,8710,164,-1.2665695008777438,84,-120.50766747619049,53,0.07670898992745649,,
101.2159090909091,8791,0.001,8907,163,-1.4254614548249678,88,-117.42002942045453,54,0.07836738939989697,,
99.55434782608695,8960,0.001,9159,165,-1.5551955596260403,92,-115.3828465326087,55,0.07849281248839005,,
97.30208333333333,9156,0.001,9341,165,-1.6345325360695522,96,-112.64678801041667,56,0.08518180157989264,,
95.82,9464,0.001,9582,165,-1.8484212239583333,100,-110.84666429,57,0.08214465387422464,,
95.4,9644,0.001,9778,166,-1.9770493419082076,104,-110.12778754000001,58,0.10210470306985783,,
91.04,9830,0.001,9950,166,-2.113116837897391,108,-102.46184797999999,59,0.10538603436379206,,
,9895,0.001,10000,,-2.2202245659298367,,,,0.11412323473228349,895.742592293024,1000.0
91.1,9948,0.001,10096,145,-2.232427791312889,112,-102.13045637999998,69,0.11346446174495625,,
90.71,10232,0.001,10405,146,-2.474269418155446,116,-101.16272953,70,0.12307838623476501,,
99.0,10439,0.001,11539,158,-2.7232833342118696,120,-110.18047294999998,73,0.1501244269311428,,
109.53,12603,0.001,12746,153,-4.998604678153992,124,-121.69991797,83,0.2623983954936266,,
112.64,13879,0.001,14133,157,-6.881885071754455,128,-124.7146336,89,0.35587474893033505,,
,14060,0.001,15000,,-7.911062036241804,,,,0.41994173217702796,677.8296103955014,1000.0
130.29,16060,0.001,16224,147,-10.860646577835084,132,-144.01961364000002,110,0.5706406189501285,,
131.98,16309,0.001,16576,148,-12.363205909729004,136,-146.08536834,111,0.8326017456619363,,
132.71,16706,0.001,16875,148,-13.049859554536882,140,-146.96539037,113,0.8964373892353427,,
142.06,17857,0.001,17973,150,-15.685734782900129,144,-158.12931321999997,119,0.8240022691232818,,
152.07,18985,0.001,19112,152,-17.947301402236477,148,-169.8483176,125,1.052580928624566,,
150.57,19130,0.001,19272,153,-18.388830947875977,152,-168.24260158999996,125,1.7850733011960984,,
,19172,0.001,20000,,-18.267517543974378,,,,1.7077448737053644,663.86249477081,1000.0
161.78,20364,0.001,20543,144,-20.882756316143535,156,-181.52679444999998,142,1.3796449083348978,,
162.69,21569,0.001,21713,146,-23.319114721738377,160,-183.57368246000004,148,1.649233545248325,,
162.1,21867,0.001,21979,146,-23.817687034606934,164,-183.0740509,150,1.8734015078888726,,
143.95,22139,0.001,22304,147,-24.368027101080102,168,-163.7447845,151,2.1277966849104373,,
154.63,23479,0.001,23618,149,-25.834840030670165,172,-177.02604540000004,158,2.265849952697754,,
165.11,24651,0.001,24829,150,-28.348564529418944,176,-189.81427327,164,2.3818333003579117,,
,24795,0.001,25000,,-28.862623297649883,,,,2.6996655388081328,520.7627183056524,1000.0
183.63,25795,0.001,26895,148,-29.59711137008667,180,-212.49585212000002,180,2.9695465490818025,,
