time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates,eval/mean_reward,eval/mean_ep_length
2279,0,98,4,24.5,126.86525125,,,,,,
173,0,160,8,20.0,100.57213924999999,6.90241003036499,-4.081646919250488,0.001,47,,
172,1,220,12,18.333333333333332,90.66185774999998,0.5323955178260803,-5.75795704977853,0.001,107,,
175,1,280,16,17.5,85.7293773125,0.24186594386895496,-6.147374493735177,0.001,167,,
177,1,340,20,17.0,82.7783851,0.25579769213994347,-6.884267330169678,0.001,227,,
178,2,400,24,16.666666666666668,80.78226062499999,0.3522701859474182,-7.4516207831246515,0.001,287,,
179,2,460,28,16.428571428571427,79.37183507142858,0.1304172252615293,-7.932789257594517,0.001,347,,
181,2,520,32,16.25,78.30813903125,0.12114196519056956,-8.499666622706822,0.001,407,,
182,3,580,36,16.11111111111111,77.49194374999999,0.7717481394608815,-8.981653894696917,0.001,467,,
183,3,640,40,16.0,76.83848114999999,0.17711792439222335,-9.746797970363072,0.001,527,,
181,3,700,44,15.909090909090908,76.28954797727272,0.2501123160123825,-10.264077731541224,0.001,587,,
181,4,760,48,15.833333333333334,75.84601291666667,0.23547131369511287,-10.89293875013079,0.001,647,,
182,4,820,52,15.76923076923077,75.46411503846154,0.09954103007912636,-11.414462634495326,0.001,707,,
182,4,880,56,15.714285714285714,75.13979146428571,0.13222564160823821,-11.910156522478376,0.001,767,,
181,5,940,60,15.666666666666666,74.86232278333333,0.10750037307540576,-12.336113793509346,0.001,827,,
181,5,1000,64,15.625,74.61534878124999,0.8097018212080002,-12.718023708888463,0.001,887,,
179,5,1060,68,15.588235294117647,74.39398017647058,0.13513967096805574,-13.7201783316476,0.001,947,,
179,6,1120,72,15.555555555555555,74.19993808333334,0.4251836766799291,-14.193897519792829,0.001,1007,,
179,6,1180,76,15.526315789473685,74.03261228947368,0.33729060341914496,-14.718674523489815,0.001,1067,,
179,6,1240,80,15.5,73.88075861249999,0.16842910200357436,-15.25714887891497,0.001,1127,,
178,7,1300,84,15.476190476190476,73.74032969047619,0.19231058980027835,-15.901624134608678,0.001,1187,,
179,7,1360,88,15.454545454545455,73.6123989659091,0.2546161289016406,-16.260044642857142,0.001,1247,,
180,7,1420,92,15.434782608695652,73.4967132173913,0.3777229870359103,-16.75324739728655,0.001,1307,,
180,8,1480,96,15.416666666666666,73.39375959375,0.2857207218805949,-17.323314939226425,0.001,1367,,
180,8,1540,100,15.4,73.29266462,0.14981950620810192,-17.632471357073104,0.001,1427,,
181,8,1600,104,15.02,71.05408644,0.09809272363781929,-17.77530370439802,0.001,1487,,
181,9,1660,108,15.0,70.91915999999999,0.12990681504209836,-18.54178265162877,0.001,1547,,
181,9,1720,112,15.0,70.92291268999999,0.940800862510999,-18.945977347237722,0.001,1607,,
181,9,1780,116,15.0,70.92125014,0.5268869459629059,-19.50032343183245,0.001,1667,,
181,10,1840,120,15.0,70.91982746,0.5616744061311086,-20.06990568978446,0.001,1727,,
181,10,1900,124,15.0,70.92973838,1.401367124915123,-20.615706035069056,0.001,1787,,
182,10,1960,128,15.0,70.93300557999999,0.7736689726511637,-21.200388499668666,0.001,1847,,
182,11,2020,132,15.0,70.93539856000001,6.68788313070933,-21.304256711687362,0.001,1907,,
182,11,2080,136,15.0,70.93690148,1.280486383040746,-21.856524058750697,0.001,1967,,
182,11,2140,140,15.0,70.93317846,0.5374872595071792,-21.828943525041854,0.001,2027,,
182,12,2200,144,15.0,70.93392944000001,0.6950459162394206,-22.318138939993723,0.001,2087,,
182,12,2260,148,15.0,70.93083348,0.5905778308709463,-22.646409715924943,0.001,2147,,
182,12,2320,152,15.0,70.93139816000001,0.28688121934731803,-22.65402521405901,0.001,2207,,
182,13,2380,156,15.0,70.93302817000001,0.5025303507844607,-23.64588519505092,0.001,2267,,
181,13,2440,160,15.0,70.93250831000002,0.3532990237077077,-23.35639980861119,0.001,2327,,
181,13,2500,164,15.0,70.93582312000001,0.3604354123274485,-23.4459103175572,0.001,2387,,
181,14,2560,168,15.0,70.94020416,0.3037597179412842,-23.742576326642716,0.001,2447,,
181,14,2620,172,15.0,70.93849128000001,0.30109607577323916,-24.112423760550364,0.001,2507,,
181,14,2680,176,15.0,70.93392035,0.27969932307799655,-24.48669297354562,0.001,2567,,
181,15,2740,180,15.0,70.93231109999999,0.2096014474829038,-25.79566138131278,0.001,2627,,
181,15,2800,184,15.0,70.93275837,0.4597429558634758,-26.269208090645925,0.001,2687,,
180,15,2860,188,15.0,70.93315510000001,0.5396475076675415,-25.98214885166713,0.001,2747,,
181,16,2920,192,15.0,70.92914880000001,1.04060571094354,-27.102455139160156,0.001,2807,,
181,16,2980,196,15.0,70.92518978,0.6433749039967854,-26.40483828953334,0.001,2867,,
181,16,3040,200,15.0,70.92140281999998,0.5925232549508412,-26.55626106262207,0.001,2927,,
181,17,3100,204,15.0,70.92274634999998,0.36302811453739803,-26.91908209664481,0.001,2987,,
181,17,3160,208,15.0,70.92509734000001,0.2675190721948942,-27.457380567278182,0.001,3047,,
181,17,3220,212,15.0,70.92717845,0.5222029437621435,-27.757576533726283,0.001,3107,,
180,18,3280,216,15.0,70.92906993,0.4053836310903231,-28.095805304391043,0.001,3167,,
180,18,3340,220,15.0,70.92878046,0.2691646903753281,-28.06222234453474,0.001,3227,,
180,18,3400,224,15.0,70.92272408,0.5251920248071352,-28.533122743879044,0.001,3287,,
180,19,3460,228,15.0,70.92381209,0.46377309461434685,-28.931399481637136,0.001,3347,,
180,19,3520,232,15.0,70.92680411,0.49078345000743867,-27.708994456699916,0.001,3407,,
180,19,3580,236,15.0,70.92705013,1.9891431510448456,-29.38534791128976,0.001,3467,,
180,20,3640,240,15.0,70.93120250999999,0.6292598009109497,-30.19315447126116,0.001,3527,,
180,20,3700,244,15.0,70.93379449000001,0.6699930494030316,-29.564196722848074,0.001,3587,,
180,20,3760,248,15.0,70.93497814,0.679811292886734,-29.941089630126953,0.001,3647,,
180,21,3820,252,15.0,70.93227836999999,0.284646013379097,-29.43045452662877,0.001,3707,,
180,21,3880,256,15.0,70.92837137,0.3457451969385147,-30.539925166538783,0.001,3767,,
180,21,3940,260,15.0,70.92219374999999,0.2080225835243861,-31.158478600638254,0.001,3827,,
180,22,4000,264,15.0,70.92161985000001,0.32312028904755913,-31.447904314313615,0.001,3887,,
180,22,4060,268,15.0,70.91670913000002,0.38700831433137256,-30.718994413103378,0.001,3947,,
180,22,4120,272,15.0,70.92237027000002,0.3261158208052317,-31.912744794573104,0.001,4007,,
180,23,4180,276,15.0,70.92405221,0.35413382649421693,-31.160258974347794,0.001,4067,,
180,23,4240,280,15.0,70.9240387,0.3343256195386251,-32.039251872471404,0.001,4127,,
180,23,4300,284,15.0,70.92421628,0.23085541228453318,-31.52842848641532,0.001,4187,,
180,24,4360,288,15.0,70.92439915000001,0.2790830820798874,-31.57978412083217,0.001,4247,,
180,24,4420,292,15.0,70.92482283999999,0.27064467618862786,-33.27538245064871,0.001,4307,,
180,24,4480,296,15.0,70.92272441,0.4590697189172109,-31.444261823381698,0.001,4367,,
180,25,4540,300,15.0,70.93097442000001,0.3258357624212901,-32.46221024649484,0.001,4427,,
181,25,4600,304,15.0,70.92530314000001,0.30765016625324887,-32.92860003880092,0.001,4487,,
181,25,4660,308,15.0,70.92227378000001,0.5701171616713206,-33.08563995361328,0.001,4547,,
181,26,4720,312,15.0,70.91996121000001,0.36734126806259154,-33.04215431213379,0.001,4607,,
181,26,4780,316,15.0,70.91850818,0.6391772185762723,-32.4882937840053,0.001,4667,,
181,26,4840,320,15.0,70.91921606,0.47801021734873456,-33.65505245753697,0.001,4727,,
181,26,4900,324,15.0,70.91923444,0.9680716603994369,-32.08269854954311,0.001,4787,,
181,27,4960,328,15.0,70.91838485,0.28951918383439385,-33.116010665893555,0.001,4847,,
