time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/fps,rollout/ep_len_mean,train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
0,13.02575275,96,4,3749,24.0,,,,,,
0,23.53482225,181,8,495,22.625,0.001,-1.1596158544222515,0.010822769092476887,64,,
0,28.78383616666667,270,12,319,22.5,0.001,-1.6925140727650037,0.02966466292061589,152,,
1,31.374418125,359,16,268,22.4375,0.001,-2.1209650581533257,0.043546884236010636,241,,
1,32.9267101,448,20,239,22.4,0.001,-2.5047203302383423,0.07080505180941976,330,,
2,33.896621124999996,536,24,221,22.333333333333332,0.001,-2.9087409539656206,0.0893140064383095,418,,
2,35.77371007142857,641,28,220,22.892857142857142,0.001,-3.298776084726507,0.11028395000506531,507,,
3,33.235925875,688,32,209,21.5,0.001,-3.679586092631022,0.17346387462956564,585,,
3,30.202973833333335,716,36,209,19.88888888888889,0.001,-3.802864948908488,0.1417435844029699,613,,
3,27.775126475,744,40,209,18.6,0.001,-3.5926624139149985,0.18085227480956487,641,,
3,25.787993113636364,772,44,210,17.545454545454547,0.001,-3.8672455151875815,0.18237813455717905,669,,
3,24.13600925,800,48,210,16.666666666666668,0.001,-3.7343146006266275,0.19316457637718745,697,,
4,24.101669480769228,863,52,214,16.596153846153847,0.001,-3.9518874425154467,0.24444862168568832,744,,
4,29.261078357142857,1073,56,217,19.160714285714285,0.001,-4.8166935330345515,0.46915005078149397,929,,
5,31.45297168333333,1212,60,214,20.2,0.001,-5.562302242625844,0.5945572897114537,1094,,
6,32.584431171874996,1324,64,213,20.6875,0.001,-6.059987718408758,0.7161331004039808,1207,,
6,32.94806226470588,1412,68,213,20.764705882352942,0.001,-6.455460851842707,0.8506468331271951,1294,,
7,33.331546555555555,1502,72,213,20.86111111111111,0.001,-6.782400329907735,1.0075189238009246,1384,,
7,33.613929144736844,1590,76,213,20.92105263157895,0.001,-7.264994447881525,0.8697949180548842,1472,,
8,37.3684913625,1831,80,219,22.8875,0.001,-7.761134011404855,0.8836265896047865,1660,,
9,42.75715879761905,2145,84,221,25.535714285714285,0.001,-8.998299288195232,1.0747565880071286,1963,,
11,48.01220193181819,2479,88,221,28.170454545454547,0.001,-10.321905649625338,1.4625644016114971,2297,,
,,2500,,,,0.001,-10.611030356828557,1.3264166064733682,2383,62.4,115.8515698224306
13,51.46742583695653,2754,92,205,29.934782608695652,0.001,-11.446640381446251,1.6038734568403912,2600,,
14,54.22189164583333,3011,96,207,31.364583333333332,0.001,-12.40962707079374,1.2925410373852804,2839,,
16,58.029004379999996,3333,100,208,33.33,0.001,-13.33651111125946,1.6075520040113715,3152,,
17,64.01570514,3675,104,208,35.79,0.001,-14.5289370292841,1.8303789517214133,3493,,
19,69.01449288000002,4010,108,207,38.29,0.001,-15.76197566986084,1.7374017059803009,3828,,
21,74.04073155,4353,112,206,40.83,0.001,-16.973604290984397,1.9763313317021658,4171,,
22,79.00063937,4695,116,205,43.36,0.001,-17.98846049641454,1.9582870242207548,4513,,
,,5000,,,,0.001,-19.12812166435774,2.646056440680526,4857,85.35,164.70006994605063
26,84.09371764,5039,120,193,45.91,,,,,,
27,89.04517646000002,5378,124,193,48.42,0.001,-20.04890010470436,2.6729427313520793,5199,,
29,93.72936144,5722,128,193,50.81,0.001,-20.94074635172999,2.4554116323936817,5540,,
31,99.65163534,6064,132,193,53.76,0.001,-21.889831055042354,2.84925193911375,5883,,
33,105.86510417,6403,136,193,56.87,0.001,-22.95277351556822,2.897124838690425,6226,,
34,111.81328566000002,6733,140,194,59.89,0.001,-23.94148553384317,2.8753939166262343,6553,,
35,117.07317084000002,7034,144,195,62.62,0.001,-24.704232268863255,3.795587054440673,6860,,
37,123.01591918,7362,148,196,65.62,0.001,-25.53954243659973,3.6429382041096687,7183,,
,,7500,,,,0.001,-25.85459499359131,2.9160672507168335,7347,83.75,158.7256716042757
40,128.3816954,7695,152,189,68.32,0.001,-26.14134127594704,3.4667832095955693,7517,,
42,130.73887735,8026,156,188,69.53,0.001,-26.921265602111816,3.8043756334087515,7844,,
44,134.52679667,8359,160,188,71.47,0.001,-27.783878415129905,4.054254468790321,8179,,
46,138.70709496999999,8687,164,188,73.63,0.001,-28.557079982757568,3.3833593644201754,8505,,
47,143.49657631000002,9023,168,188,76.11,0.001,-29.37902268698049,3.927854432616123,8846,,
49,148.16318561999998,9354,172,188,78.52,0.001,-29.722609065827868,4.218589439988136,9176,,
51,153.05755528999998,9694,176,187,81.04,0.001,-30.568377903529576,3.6130691284225103,9512,,
,,10000,,,,0.001,-31.145071916801985,4.268148420870989,9853,83.65,159.07965736687183
54,155.15873548,10033,180,183,82.02,,,,,,
