time/time_elapsed,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/fps,time/total_timesteps,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,eval/mean_reward,eval/mean_ep_length
0,54.4845075,4,6.0,3747,24,,,,,,
0,56.738862,8,6.25,3733,50,,,,,,
0,56.70713800000001,12,6.25,3576,75,,,,,,
0,59.029439375,16,6.5,2687,104,,,,,,
0,53.4535659,20,5.9,448,118,0.001,20,-8.501453399658203,41.43736267089844,,
0,49.723933166666676,24,5.5,326,132,0.001,33,-7.475971221923828,19.012425740559895,,
0,47.65532857142858,28,5.285714285714286,254,148,0.001,49,-9.269985675811768,4.939873814582825,,
0,45.0615683125,32,5.0,213,160,0.001,62,-10.099173545837402,0.5881002346674601,,
0,43.74183791666667,36,4.861111111111111,196,175,0.001,77,-10.115673542022705,0.7533348202705383,,
1,42.480897250000005,40,4.725,183,189,0.001,91,-10.203489303588867,0.6532547771930695,,
1,41.44094631818182,44,4.613636363636363,172,203,0.001,105,-10.5283842086792,0.7128396779298782,,
1,40.7501938125,48,4.541666666666667,165,218,0.001,120,-10.559994220733643,0.8415197879076004,,
1,40.00522138461539,52,4.461538461538462,162,232,0.001,133,-10.699339866638184,0.8677154630422592,,
1,39.515192446428564,56,4.410714285714286,157,247,0.001,148,-10.713840007781982,0.7724542021751404,,
1,38.95060076666666,60,4.35,152,261,0.001,162,-11.027219295501709,1.0563727219899495,,
1,38.4591046875,64,4.296875,149,275,0.001,177,-11.355535984039307,0.9081155508756638,,
1,38.02403507352942,68,4.25,146,289,0.001,191,-11.446343898773193,0.8808049857616425,,
2,37.63892830555555,72,4.208333333333333,143,303,0.001,205,-11.352257251739502,1.2181150913238525,,
2,37.29247807894737,76,4.171052631578948,142,317,0.001,218,-11.501290321350098,1.31400732199351,,
2,36.877444325,80,4.125,139,330,0.001,232,-11.768394470214844,1.4110288222630818,,
2,36.499798142857145,84,4.083333333333333,138,343,0.001,245,-11.785231590270996,1.3008395036061604,,
2,36.35005302272727,88,4.068181818181818,138,358,0.001,259,-11.965421199798584,1.5650751888751984,,
2,35.93905713043478,92,4.021739130434782,136,370,0.001,272,-11.893159866333008,1.461765964825948,,
2,35.73697805208334,96,4.0,135,384,0.001,286,-12.307344436645508,1.8558226823806763,,
2,35.549220440000006,100,3.98,135,398,0.001,300,-12.259737968444824,2.389204740524292,,
3,34.77966249,104,3.9,134,414,0.001,315,-12.364325523376465,1.8165000975131989,,
3,33.83146823999999,108,3.8,134,430,0.001,331,-12.636092185974121,1.7486860156059265,,
3,32.80767997,112,3.69,133,444,0.001,346,-13.007411003112793,2.141651213169098,,
3,31.490233279999998,116,3.55,133,459,0.001,360,-12.54680061340332,1.9926206767559052,,
3,31.32081373,120,3.53,132,471,0.001,373,-13.115936279296875,2.258636395136515,,
3,31.320664730000004,124,3.53,132,485,0.001,387,-12.943087577819824,2.516329824924469,,
3,31.07225151,128,3.5,132,498,0.001,400,-13.059756755828857,2.3200400471687317,,
3,31.321878789999996,132,3.53,131,513,0.001,415,-13.867047786712646,3.0094305276870728,,
3,31.071509239999997,136,3.5,131,525,0.001,427,-13.525803565979004,2.5589399337768555,,
4,31.06862807,140,3.5,131,539,0.001,441,-13.20009994506836,2.226461331049601,,
4,30.987112989999996,144,3.49,130,552,0.001,454,-13.59422779083252,2.450469891230265,,
4,30.985996150000002,148,3.49,130,567,0.001,469,-13.39891767501831,2.6739410758018494,,
4,31.068962100000004,152,3.5,130,582,0.001,483,-13.93882942199707,2.4880287051200867,,
4,30.98646708,156,3.49,129,596,0.001,497,-13.879952430725098,2.3668004671732583,,
4,30.819846830000007,160,3.47,129,608,0.001,510,-14.006021976470947,2.7328388690948486,,
4,30.900273860000002,164,3.48,129,623,0.001,524,-14.61628246307373,2.0970155596733093,,
4,30.984048560000005,168,3.49,129,638,0.001,539,-13.965866088867188,3.25283420085907,,
5,31.06731303,172,3.5,128,653,0.001,554,-14.559643268585205,2.6714955965677896,,
5,31.152927830000003,176,3.51,128,668,0.001,570,-14.95317029953003,2.738473206758499,,
5,31.233630910000006,180,3.52,128,682,0.001,583,-14.12330436706543,3.177093426386515,,
5,31.150909780000003,184,3.51,128,694,0.001,596,-14.085660457611084,3.336024045944214,,
5,31.06662635,188,3.5,127,708,0.001,610,-14.489066123962402,4.657516241073608,,
5,31.2355513,192,3.52,127,722,0.001,623,-14.896533966064453,2.685896635055542,,
5,31.151115590000003,196,3.51,127,735,0.001,637,-14.650190353393555,2.489257335662842,,
5,31.15138829,200,3.51,127,749,0.001,650,-15.280648708343506,4.048666954040527,,
6,31.06761361,204,3.5,127,764,0.001,665,-15.27955961227417,3.012665271759033,,
6,31.067439910000008,208,3.5,127,780,0.001,681,-15.2738356590271,3.181591749191284,,
6,31.069814079999997,212,3.5,126,794,0.001,696,-15.01693344116211,3.8424249490102134,,
6,30.906154209999997,216,3.48,126,807,0.001,709,-15.559547424316406,3.22487473487854,,
6,31.071716310000003,220,3.5,126,821,0.001,722,-15.829171180725098,2.552871584892273,,
6,30.988388680000007,224,3.49,126,834,0.001,735,-15.900568008422852,2.7463138898213706,,
6,31.15522415,228,3.51,126,849,0.001,750,-16.394969940185547,3.3425819873809814,,
6,31.15562844,232,3.51,125,864,0.001,765,-15.681488990783691,3.170019030570984,,
6,31.236635989999996,236,3.52,125,877,0.001,779,-15.411377906799316,2.456610600153605,,
7,31.32034142,240,3.53,125,892,0.001,793,-14.929304122924805,3.204235633214315,,
7,31.403147490000002,244,3.54,125,906,0.001,807,-16.990877151489258,2.575336217880249,,
7,31.23762281000001,248,3.52,125,919,0.001,820,-16.824711799621582,2.5718678633371987,,
7,31.15374739,252,3.51,123,933,0.001,835,-17.242554664611816,2.783243954181671,,
7,31.070636640000007,256,3.5,123,946,0.001,848,-16.389859199523926,3.559765895207723,,
7,31.404699760000003,260,3.54,123,962,0.001,863,-15.668588638305664,3.390595316886902,,
7,31.406709750000005,264,3.54,123,977,0.001,878,-16.545079231262207,2.774553418159485,,
8,31.239125450000007,268,3.52,123,990,0.001,891,-16.758668899536133,3.834284861882528,,
,,,,,1000,0.001,903,-16.967350959777832,2.910932183265686,31.04471082687378,3.5
8,31.32661978,272,3.53,122,1006,0.001,907,-16.17939853668213,3.5764570236206055,,
8,31.24197846,276,3.52,121,1020,0.001,922,-17.26202964782715,3.7893471121788025,,
8,31.330885950000003,280,3.53,121,1035,0.001,936,-16.24024534225464,3.5129133462905884,,
8,31.581556250000002,284,3.56,121,1050,0.001,951,-17.3193941116333,3.4466549158096313,,
8,31.58203385,288,3.56,121,1064,0.001,965,-17.714240074157715,3.884918451309204,,
8,31.744412190000002,292,3.58,121,1080,0.001,981,-16.894536018371582,3.47401362657547,,
9,31.743354700000005,296,3.58,121,1093,0.001,995,-17.377517700195312,3.079254229863485,,
9,31.827947760000008,300,3.59,120,1108,0.001,1010,-17.210433959960938,2.900102913379669,,
9,31.829543989999998,304,3.59,120,1123,0.001,1024,-17.860709190368652,2.6823240518569946,,
9,31.742646359999995,308,3.58,120,1138,0.001,1039,-16.44417428970337,4.281129240989685,,
9,31.73951383,312,3.58,120,1152,0.001,1053,-17.53774070739746,2.368066668510437,,
9,31.657418300000003,316,3.57,120,1164,0.001,1066,-17.98974609375,2.9597838719685874,,
9,31.745043999999996,320,3.58,120,1179,0.001,1080,-17.60013771057129,3.204939603805542,,
9,31.910953600000003,324,3.6,120,1194,0.001,1095,-17.45361614227295,3.1200339794158936,,
10,31.74224788,328,3.58,119,1207,0.001,1109,-19.213353157043457,2.59158992767334,,
10,31.65711696,332,3.57,119,1221,0.001,1123,-18.171306610107422,4.411640326182048,,
10,31.825602279999995,336,3.59,119,1236,0.001,1137,-18.290200233459473,3.4583954215049744,,
10,31.740213019999995,340,3.58,119,1250,0.001,1152,-18.835074424743652,3.401053786277771,,
10,31.823934419999997,344,3.59,119,1265,0.001,1166,-18.005172729492188,2.8331518173217773,,
10,31.99014345,348,3.61,119,1280,0.001,1181,-18.42356777191162,3.9684613943099976,,
10,31.989363400000006,352,3.61,119,1294,0.001,1196,-18.572275161743164,3.249651829401652,,
10,32.07302223,356,3.62,119,1308,0.001,1210,-18.7045955657959,3.8131839434305825,,
11,31.90710196,360,3.6,119,1322,0.001,1224,-18.350728034973145,3.8346866766611734,,
11,31.74002673,364,3.58,119,1335,0.001,1236,-17.98566246032715,3.0073434511820474,,
11,31.656727290000003,368,3.57,119,1347,0.001,1249,-17.65646743774414,2.94154946009318,,
11,31.483012349999996,372,3.55,119,1361,0.001,1263,-18.916929244995117,2.829310119152069,,
11,31.567879959999996,376,3.56,119,1376,0.001,1277,-19.443443298339844,3.5506946245829263,,
