time/total_timesteps,time/fps,train/actor_loss,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,time/episodes,train/learning_rate,rollout/ep_rew_mean,train/n_updates,eval/mean_reward,eval/mean_ep_length
4000,203,0.00953761442762334,19,0.08512730731628836,1000.0,4,0.001,-1601.4347912499998,3000,,
5000,,1.9426671131046023,,0.14340343104302883,,,0.001,,4000,-1489.5037426263093,1000.0
8000,144,-1.4831525732055306,55,0.2269485974088311,1000.0,8,0.001,-971.59492925,7000,,
10000,,-4.575699298858643,,0.18388143222033979,,,0.001,,9000,537.4944336922606,1000.0
12000,134,-7.39472278881073,89,0.17658177503198386,1000.0,12,0.001,-435.09964725000003,11000,,
15000,,-11.651330615997315,,0.18299890565872193,,,0.001,,14000,892.3608689121902,1000.0
16000,129,-13.093700517654419,124,0.1864682515785098,1000.0,16,0.001,-122.6143928124999,15000,,
20000,,-18.128130779266357,,0.18982905024290084,,,0.001,,19000,868.652475248836,1000.0
20000,125,,159,,1000.0,20,,61.92966945000008,,,
24000,131,-23.23512993621826,183,0.19870031522214412,1000.0,24,0.001,189.70905425000004,23000,,
25000,,-24.540299823760986,,0.208775092497468,,,0.001,,24000,887.387423080206,1000.0
28000,127,-27.986473594665526,219,0.21281916347146035,1000.0,28,0.001,284.2210153571429,27000,,
30000,,-30.19248525619507,,0.23621073284000157,,,0.001,,29000,932.1859521213919,1000.0
32000,125,-32.272723274230955,255,0.2534312134832144,1000.0,32,0.001,353.80884593750005,31000,,
35000,,-35.117835899353025,,0.25864605865627527,,,0.001,,34000,895.297450242273,1000.0
35024,121,-35.973598777770995,289,0.24519112624228,972.8888888888889,36,0.001,385.2991019722223,35000,,
39024,126,-38.52593239593506,308,0.2982068809568882,975.6,40,0.001,434.26544522500006,38024,,
40000,,-39.356805793762206,,0.3569922290071845,,,0.001,,39024,940.8075675159693,1000.0
43024,125,-41.684107528686525,344,0.3167825197651982,977.8181818181819,44,0.001,473.78182431818186,42024,,
45000,,-43.1251948928833,,0.3094968999251723,,,0.001,,44024,927.9394994959235,1000.0
47024,124,-44.38241123962403,379,0.3153923829048872,979.6666666666666,48,0.001,507.23359945833334,46024,,
50000,,-46.336591163635255,,0.3588801914975047,,,0.001,,49024,579.1494806972216,1000.0
51024,123,-46.90929967498779,414,0.3498838737159967,981.2307692307693,52,0.001,533.9083715576924,50024,,
55000,,-48.79952578735352,,0.4596596315577626,,,0.001,,54024,857.200161307305,901.1
55024,122,,448,,982.5714285714286,56,,537.8993376428572,,,
59024,124,-51.394468002319336,472,0.7326934252679348,983.7333333333333,60,0.001,560.5571742166667,58024,,
60000,,-51.978645195007324,,0.7533599168360233,,,0.001,,59024,845.6848294566502,900.7
63024,124,-53.72814570617676,505,1.030879091128707,984.75,64,0.001,579.300529640625,62024,,
65000,,-54.430463729858396,,0.986290633380413,,,0.001,,64024,901.3827875026967,1000.0
67024,123,-55.71081006622315,542,1.1835567022114992,985.6470588235294,68,0.001,566.4983815294117,66024,,
70000,,-56.72746096801758,,1.1923382645100356,,,0.001,,69039,846.2573462469038,1000.0
70039,122,,571,,972.7638888888889,72,,569.730263875,,,
73803,124,-59.12058228302002,594,2.4047962274551393,971.0921052631579,76,0.001,570.0233497894736,73039,,
75000,,-59.63800988769531,,1.8152801346480847,,,0.001,,74803,885.3767854413949,1000.0
76815,122,-59.77127756500244,627,1.5020948944985866,960.1875,80,0.001,568.5061546,76803,,
77930,122,-60.12009963989258,633,1.480473471539361,927.7380952380952,84,0.001,527.1599012619048,77891,,
78024,122,-60.362234933035715,634,1.4657859280705452,886.6363636363636,88,0.001,500.9703523522727,78001,,
78119,122,-60.80967388153076,635,6.126743026822806,849.1195652173913,92,0.001,477.1993266413043,78094,,
80000,,-61.649507362365725,,3.330071510821581,,,0.001,,79136,745.8900350258685,1000.0
81136,122,-61.863113723754886,659,2.1784432633817197,845.1666666666666,96,0.001,461.54971953125005,80136,,
85000,,-61.941890098571776,,1.5810659278780221,,,0.001,,84136,919.0456778142601,1000.0
85136,122,,694,,851.36,100,,471.63089045999993,,,
89136,124,-62.32611057281494,718,1.3826228511184453,851.36,104,0.001,569.28112502,88136,,
90000,,-62.277798713684085,,1.301028986826539,,,0.001,,89136,913.8136551726609,1000.0
93136,123,-62.52017720794678,754,1.330176726490259,851.36,108,0.001,615.45289262,92136,,
95000,,-62.81611539459229,,1.2091119228452445,,,0.001,,94136,876.0966353169642,1000.0
97136,122,-63.01599253082276,789,1.2962869029790163,851.36,112,0.001,623.88991532,96136,,
100000,,-62.53662319946289,,1.5348524939715862,,,0.001,,99246,376.9628800411709,1000.0
100246,122,,819,,842.46,116,,584.2222758300001,,,
104246,123,-62.79115699005127,842,1.1939354477971793,842.46,120,0.001,579.1364263299998,103246,,
105000,,-61.97140121459961,,2.214930715660254,,,0.001,,104258,766.2787507355213,901.2
107258,123,-62.7188489074707,870,1.0720033027529716,832.58,124,0.001,569.22239015,106258,,
110000,,-62.52195975494385,,1.0484045536220075,,,0.001,,109258,869.991293297708,1000.0
111258,122,-62.3444927520752,905,1.0292056021243334,832.58,128,0.001,568.32840117,110258,,
115000,,-62.20911883544922,,0.8642780458927155,,,0.001,,114258,909.8512252755463,1000.0
115258,122,,940,,832.58,132,,567.8891659699999,,,
119258,123,-62.29465866088867,964,0.7601378594636917,842.34,136,0.001,575.34935722,118258,,
120000,,-62.20628765106201,,0.8041694927811622,,,0.001,,119258,914.299571331963,1000.0
123258,123,-62.392677536010744,999,0.7834925198256969,842.34,140,0.001,574.47792075,122258,,
125000,,-62.39978812408447,,0.7600176892578602,,,0.001,,124258,945.488142105937,1000.0
127258,122,-62.613062156677245,1039,0.7175264194458723,842.34,144,0.001,574.40256147,126258,,
130000,,-62.812022300720216,,0.7079576567113399,,,0.001,,129258,943.454135678336,1000.0
131258,121,-62.93611296081543,1082,0.6888369117677212,842.34,148,0.001,574.22176247,130258,,
135000,,-63.25397444915772,,0.6408551196902991,,,0.001,,134258,896.2165274811908,1000.0
135258,120,,1122,,842.34,152,,575.23347145,,,
139258,121,-63.4696187210083,1148,0.5603241524025798,842.34,156,0.001,587.1395470499999,138258,,
140000,,-63.552626319885256,,0.5899991210475564,,,0.001,,139258,930.9800322338939,1000.0
143258,120,-63.72925202178955,1187,0.5921159178465605,842.34,160,0.001,586.96496395,142258,,
145000,,-63.90637431335449,,0.5628969630524516,,,0.001,,144258,938.072489207983,1000.0
147258,120,-63.912073959350586,1225,0.5416144253835082,842.34,164,0.001,587.9356742100001,146258,,
150000,,-64.11497982025146,,0.5315138266831636,,,0.001,,149258,951.8982423686888,1000.0
151258,119,-64.161086769104,1263,0.5128029012605548,842.34,168,0.001,609.06672784,150258,,
155000,,-64.63502258300781,,0.527163377083838,,,0.001,,154258,953.9577747292817,1000.0
155258,119,,1301,,852.19,172,,619.8848005200001,,,
159258,120,-64.85034078979493,1326,0.5217795808017254,854.55,176,0.001,632.59254038,158258,,
160000,,-64.96874963378906,,0.44223340015858414,,,0.001,,159258,947.6459662228823,1000.0
163258,119,-65.12138787078858,1364,0.48279856333881616,864.43,180,0.001,646.39609068,162258,,
165000,,-65.28587880706787,,0.4550002130419016,,,0.001,,164258,950.4877541869879,1000.0
167258,119,-65.52329138946533,1402,0.4495550249293446,893.28,184,0.001,693.9367721000001,166258,,
170000,,-65.78477775573731,,0.45568897005170583,,,0.001,,169258,956.4486655056477,1000.0
171258,118,-65.81064854431152,1440,0.4262072338610888,932.34,188,0.001,731.66702138,170258,,
175000,,-66.19110777282715,,0.46099696365743875,,,0.001,,174258,941.5140842534602,1000.0
175258,118,,1479,,971.39,192,,769.0539367099998,,,
179258,119,-66.66838687133789,1506,0.4324703488200903,981.22,196,0.001,800.75574814,178258,,
180000,,-66.80354864501953,,0.476427087277174,,,0.001,,179258,951.7717235140502,1000.0
183258,118,-67.14374235534667,1544,0.5107434605434537,981.22,200,0.001,807.8607803399999,182258,,
185000,,-67.28979724121093,,0.5245609726086259,,,0.001,,184258,963.9874200969934,1000.0
187258,118,-67.63652210998535,1582,0.5374941589683294,981.22,204,0.001,810.4198292,186258,,
190000,,-67.931127243042,,0.6441652153506875,,,0.001,,189258,957.5657272674143,1000.0
191258,117,-68.06387214660644,1621,0.5976669183075428,981.22,208,0.001,813.4320877100002,190258,,
195000,,-68.60697245788575,,0.7124447516724467,,,0.001,,194258,939.3871187485754,1000.0
195258,117,,1659,,981.22,212,,815.17806749,,,
199258,118,-69.30850225830078,1685,1.0666403080746532,990.12,216,0.001,858.0454414500002,198258,,
200000,,-69.48801580810547,,1.2381988495513796,,,0.001,,199258,944.8008629828691,1000.0
203258,117,-70.04490780639648,1725,1.2581969374120237,990.12,220,0.001,866.61145274,202258,,
205000,,-70.52572932434082,,1.5251081276685,,,0.001,,204258,867.6327233060263,1000.0
207258,117,-70.93845892333984,1765,1.641357688114047,1000.0,224,0.001,876.7363599600001,206258,,
210000,,-71.23610305786133,,2.1901893102377654,,,0.001,,209258,916.7973267626018,1000.0
211258,117,-71.44288510131835,1804,1.9103971131891013,1000.0,228,0.001,857.9198986099999,210258,,
215000,,-71.39439376831055,,2.522016071230173,,,0.001,,214258,-551.4911296746429,1000.0
215258,116,,1844,,1000.0,232,,858.3714345799999,,,
219258,117,-69.32568800354004,1870,3.150565404385328,1000.0,236,0.001,833.82605458,218258,,
220000,,-69.21762263488769,,2.7338051100969314,,,0.001,,219258,777.6397074089734,1000.0
223258,116,-69.19201024627685,1909,3.4039559798538686,1000.0,240,0.001,824.98229129,222258,,
225000,,-69.25729888916015,,4.061741767808795,,,0.001,,224258,374.77060878528573,1000.0
227196,116,-69.15344976806641,1947,4.951242327317596,999.38,244,0.001,816.7064800400002,226196,,
230000,,-69.29410567474365,,5.075711308062076,,,0.001,,229196,329.53147154733887,982.4
231196,116,-69.6750862350464,1986,5.708861194550991,999.38,248,0.001,802.16190108,230196,,
235000,,-72.32952711486817,,8.767266043573619,,,0.001,,234196,817.5178596696817,1000.0
235196,116,,2022,,999.38,252,,775.5300596099999,,,
236493,116,-72.65152631987125,2035,8.991559755364689,972.35,256,0.001,743.3285068800001,236483,,
239647,116,-72.57674631500244,2049,10.015656919389963,963.89,260,0.001,676.4061129400001,238647,,
240000,,-73.21429078674316,,12.783742022156716,,,0.001,,239647,293.17774135642685,1000.0
243647,116,-74.1695046081543,2083,11.779742776930332,963.89,264,0.001,664.8832193399999,242647,,
245000,,-73.60997300720214,,11.934720245122909,,,0.001,,244647,393.3010318962071,901.7
247647,117,-72.88049829864502,2115,9.00692066192627,963.89,268,0.001,628.9691999800001,246647,,
250000,,-73.31143664550781,,10.31783415555954,,,0.001,,249647,219.8983878666535,903.4
251647,117,-73.01401853179932,2145,17.028139182329177,963.89,272,0.001,554.2838201899999,250647,,
254923,117,-72.96055898804596,2163,16.989500748938408,956.65,276,0.001,505.76441021,253923,,
255000,,-72.52166673278809,,15.590171426832676,,,0.001,,254923,-578.7499291325191,658.8
257266,117,-72.31417965066844,2184,15.923188334223868,940.08,280,0.001,446.60148945000003,256266,,
259324,118,-73.47948455810547,2195,14.007017850875854,920.66,284,0.001,395.32520579,258324,,
260000,,-71.09914031219482,,12.501458133816719,,,0.001,,259324,252.29281880740308,834.4
263324,118,-67.13396485900878,2226,12.094754662275314,920.66,288,0.001,365.71487232,262324,,
265000,,-63.99595556640625,,12.899498594999313,,,0.001,,264324,468.8058292131871,1000.0
267324,118,-63.0812548904419,2258,9.476564140677452,920.66,292,0.001,345.81569075,266324,,
270000,,-60.763624633789064,,7.123999122440815,,,0.001,,269324,621.1573689620942,1000.0
271324,118,-60.63763074493408,2292,7.648044431388378,920.66,296,0.001,335.10821662999996,270324,,
275000,,-59.4740503692627,,5.657760392069816,,,0.001,,274324,596.030635368079,1000.0
275324,118,,2325,,920.66,300,,325.86266075,,,
279324,118,-58.78295475769043,2348,5.429053870797158,920.66,304,0.001,298.93599944,278324,,
280000,,-58.549876556396484,,4.49033354011178,,,0.001,,279324,582.2404481019825,1000.0
283324,118,-57.94419054412842,2382,4.130037615180016,920.66,308,0.001,287.05646860999997,282324,,
285000,,-57.15199473571777,,3.976867409288883,,,0.001,,284324,598.8403004701249,1000.0
287324,118,-56.668012992858884,2416,3.2275507178902627,920.66,312,0.001,273.66767984999996,286324,,
290000,,-55.99612152862549,,2.8383576785326006,,,0.001,,289324,645.953651393205,1000.0
291324,118,-55.87446839904785,2449,3.082485706925392,920.66,316,0.001,262.22005320999995,290324,,
295000,,-55.3678419418335,,2.2140453636050226,,,0.001,,294324,895.1125115758041,1000.0
295324,118,,2483,,920.66,320,,259.57467806999995,,,
299324,119,-55.10516689300537,2505,1.5666018200963736,920.66,324,0.001,258.9775439400001,298324,,
300000,,-55.026415580749514,,1.8149503031522036,,,0.001,,299324,918.3671415701508,1000.0
303324,119,-55.06530767822266,2540,1.3883727764487266,920.66,328,0.001,278.31250922000004,302324,,
305000,,-54.86172891235351,,1.3548830721229315,,,0.001,,304324,915.2515966050327,1000.0
307324,119,-54.907489067077634,2575,1.2399403253644705,920.66,332,0.001,278.90032995999997,306324,,
310000,,-55.167292625427244,,1.4357346307337284,,,0.001,,309324,932.6888750746846,1000.0
311324,119,-55.26094372558594,2611,1.3709554623365403,920.66,336,0.001,303.63144055,310324,,
315000,,-55.30974604034424,,0.947930858001113,,,0.001,,314324,937.7512613076717,1000.0
315324,119,,2646,,920.66,340,,311.69674179,,,
319324,119,-55.44545290374756,2670,0.9166956483870745,921.28,344,0.001,319.72512394999995,318324,,
320000,,-55.46089803314209,,0.8042923296838999,,,0.001,,319324,932.4345825254917,1000.0
323324,119,-55.71149066925049,2706,0.7755584436357021,921.28,348,0.001,333.72591157000005,322324,,
325000,,-55.80480599975586,,0.7012031723409892,,,0.001,,324324,937.4498373627663,1000.0
327324,119,-56.064706817626956,2741,0.6465664060711861,921.28,352,0.001,359.65345886,326324,,
330000,,-56.118321296691896,,0.6108879152238369,,,0.001,,329324,959.4056960657239,1000.0
331324,119,-56.20561806488037,2776,0.6484588816612958,948.31,356,0.001,391.18626128000005,330324,,
335000,,-56.679599670410155,,0.5880167331099511,,,0.001,,334324,936.7433854907752,1000.0
335324,119,,2810,,956.77,360,,458.78213593,,,
339324,119,-57.169901542663574,2833,0.48447247080504896,956.77,364,0.001,470.08011462999997,338324,,
340000,,-57.275612312316895,,0.5307372424677015,,,0.001,,339324,938.3988988697529,1000.0
343324,119,-57.715925231933596,2869,0.5110567213669419,956.77,368,0.001,506.08642693999997,342324,,
345000,,-58.01069467163086,,0.5381371604800225,,,0.001,,344324,952.306091684103,1000.0
347324,119,-58.27162460327148,2903,0.4982299295216799,956.77,372,0.001,580.1592992899999,346324,,
350000,,-58.67368161773682,,0.4777077579945326,,,0.001,,349324,959.8445441067219,1000.0
351324,119,-58.8673998413086,2939,0.44235252524912355,964.01,376,0.001,629.0141906700001,350324,,
355000,,-59.40282186889648,,0.43322191093116996,,,0.001,,354324,961.1358417123556,1000.0
355324,119,,2974,,980.58,380,,688.8490963300001,,,
359324,119,-59.922288925170896,2998,0.46151645471900704,1000.0,384,0.001,740.99508141,358324,,
360000,,-60.07123090362549,,0.4081255774274468,,,0.001,,359324,958.9230364620686,1000.0
363324,119,-60.427046661376956,3033,0.4160895368680358,1000.0,388,0.001,771.1321674000001,362324,,
365000,,-60.742516746521,,0.4443781921118498,,,0.001,,364324,956.780810880661,1000.0
367324,119,-61.05348448944092,3068,0.43254366393387317,1000.0,392,0.001,791.2696865300001,366324,,
370000,,-61.41668084716797,,0.35749429125338794,,,0.001,,369324,962.847023203969,1000.0
371324,119,-61.61364817810058,3103,0.41016123722493647,1000.0,396,0.001,802.55119939,370324,,
375000,,-62.064195091247555,,0.39407514220103623,,,0.001,,374324,940.8867616862059,1000.0
375324,119,,3138,,1000.0,400,,812.24875236,,,
379324,119,-62.44433632659912,3162,0.3790652569904923,1000.0,404,0.001,839.3513541700001,378324,,
380000,,-62.54219007873535,,0.3755759219303727,,,0.001,,379324,937.5680035173893,1000.0
383324,119,-62.832024559020994,3197,0.37186152978241444,1000.0,408,0.001,851.5806160500001,382324,,
385000,,-63.02607410430908,,0.35629628725349904,,,0.001,,384324,935.9994658648968,1000.0
387324,119,-63.23191648101807,3231,0.38830832763016226,1000.0,412,0.001,865.0170102400001,386324,,
390000,,-63.43686962890625,,0.34985768541693685,,,0.001,,389324,936.4921857178211,1000.0
391324,119,-63.55693177032471,3265,0.3786153671965003,1000.0,416,0.001,876.2172879499999,390324,,
395000,,-64.00309145355224,,0.33115949188917876,,,0.001,,394324,945.8423669338226,1000.0
395324,119,,3300,,1000.0,420,,879.6175170000001,,,
399324,120,-64.35497933959961,3323,0.3142404123321176,1000.0,424,0.001,882.8039404599999,398324,,
400000,,-64.41210125732422,,0.32564351404458286,,,0.001,,399324,937.0455336093903,1000.0
403324,120,-64.61760416412353,3357,0.3294613171666861,1000.0,428,0.001,884.9468651100001,402324,,
405000,,-64.83673709106445,,0.31925132291018965,,,0.001,,404324,944.4172451794147,1000.0
407324,120,-64.85723220825196,3392,0.3001623360365629,1000.0,432,0.001,887.0075592400001,406324,,
410000,,-65.12963893127441,,0.29592354569211604,,,0.001,,409324,963.6338296890259,1000.0
411324,120,-65.17025205230713,3426,0.3021573004759848,1000.0,436,0.001,890.19435405,410324,,
415000,,-65.49046869659423,,0.2663603423908353,,,0.001,,414324,906.9548874676227,1000.0
415324,119,,3461,,1000.0,440,,892.07032944,,,
419324,120,-65.88580670928955,3484,0.2961087404079735,1000.0,444,0.001,893.8845458999999,418324,,
420000,,-65.87390303039551,,0.32267250890284777,,,0.001,,419324,943.4711735904217,1000.0
423324,120,-66.17738265991211,3519,0.3358609493821859,1000.0,448,0.001,895.62953992,422324,,
425000,,-66.28510674285889,,0.31576805843040345,,,0.001,,424324,922.0155488491058,1000.0
