rollout/ep_rew_mean,time/fps,train/ent_coef_loss,train/critic_loss,train/n_updates,time/total_timesteps,train/ent_coef,time/time_elapsed,time/episodes,train/actor_loss,rollout/ep_len_mean,train/learning_rate,eval/mean_reward,eval/mean_ep_length
-110.70702275,100,-3.803278923034668,1.0060911178588867,960,1061,0.7502583861351013,10,4,-21.861007690429688,265.25,0.0003,,
-71.04145849999999,100,-4.549966812133789,1.1025745868682861,1152,1253,0.7086911201477051,12,8,-24.622119903564453,156.625,0.0003,,
-67.98091291666667,99,-6.45034122467041,3.0736594200134277,1676,1777,0.607220470905304,17,12,-29.533199310302734,148.08333333333334,0.0003,,
-59.83168675,99,-7.183374404907227,4.015034198760986,1871,1972,0.5734288096427917,19,16,-31.318675994873047,123.25,0.0003,,
-52.15817560000001,97,-7.791824817657471,4.728371620178223,2066,2167,0.5416839122772217,22,20,-32.0481071472168,108.35,0.0003,,
-51.72672266666667,96,-8.24252700805664,3.597118854522705,2237,2338,0.515379786491394,24,24,-33.277931213378906,97.41666666666667,0.0003,,
-49.282747500000006,96,-8.544710159301758,4.487809181213379,2359,2460,0.4975580871105194,25,28,-33.74505615234375,87.85714285714286,0.0003,,
-64.085436125,93,-11.654074668884277,5.584096908569336,3543,3644,0.3546615242958069,38,32,-36.65603256225586,113.875,0.0003,,
,,-14.931699752807617,2.9554197788238525,4899,5000,0.24203619360923767,,,-38.51536560058594,,0.0003,-28.1838107500982,1000.0
-91.31878369444445,74,-16.343780517578125,3.687054395675659,5743,5844,0.1909027397632599,78,36,-36.96860885620117,162.33333333333334,0.0003,,
-85.52236062499999,75,-16.785600662231445,4.476932048797607,6057,6158,0.17483144998550415,81,40,-35.36882019042969,153.95,0.0003,,
-95.48991279545453,77,-20.016847610473633,3.062993288040161,7288,7389,0.12368858605623245,95,44,-32.919918060302734,167.9318181818182,0.0003,,
-91.68840258333334,77,-18.955089569091797,4.750693321228027,7522,7623,0.11582206189632416,98,48,-32.54415512084961,158.8125,0.0003,,
-89.60501269230771,78,-19.167776107788086,3.673668146133423,7974,8075,0.10201545059680939,103,52,-30.66268539428711,155.28846153846155,0.0003,,
,,-20.657855987548828,3.2622241973876953,9899,10000,0.06001148372888565,,,-24.30037498474121,,0.0003,-67.68885325648735,656.5
-103.163907,75,-20.163463592529297,2.426485538482666,10127,10228,0.05639368295669556,135,56,-24.02306365966797,182.64285714285714,0.0003,,
-108.26642453333332,78,-17.720134735107422,1.8103737831115723,12529,12630,0.03003697283565998,160,60,-17.31464958190918,210.5,0.0003,,
-103.29035934375,79,-12.855703353881836,1.9197502136230469,13924,14025,0.021419696509838104,176,64,-14.948217391967773,219.140625,0.0003,,
,,-9.669363021850586,1.6846896409988403,14899,15000,0.017221488058567047,,,-13.538818359375,,0.0003,120.40078152181522,601.1
-95.10136145588235,77,-6.543286323547363,1.3630292415618896,16357,16458,0.012932348996400833,212,68,-11.52873420715332,242.02941176470588,0.0003,,
-77.27981647222222,78,1.5881192684173584,1.2484118938446045,19197,19298,0.01039500255137682,244,72,-10.390929222106934,268.02777777777777,0.0003,,
,,1.0134284496307373,1.126906156539917,19899,20000,0.010813639499247074,,,-10.796735763549805,,0.0003,339.46954605110875,831.7
-41.36728439473685,77,0.2973722219467163,0.7584209442138672,23197,23298,0.013337954878807068,299,76,-12.659063339233398,306.55263157894734,0.0003,,
,,-1.0752314329147339,0.8198371529579163,24899,25000,0.01540004089474678,,,-14.40369987487793,,0.0003,770.3919249530503,1000.0
0.48527613750000287,76,0.10653451085090637,0.6899696588516235,27197,27298,0.018193908035755157,356,80,-17.119083404541016,341.225,0.0003,,
,,-0.76145339012146,0.6146130561828613,29899,30000,0.020956136286258698,,,-20.495136260986328,,0.0003,856.8716982215876,1000.0
39.43709697619048,75,1.324411392211914,0.5502802729606628,31197,31298,0.021969519555568695,414,84,-23.041519165039062,372.5952380952381,0.0003,,
,,-0.23627060651779175,0.6338359117507935,34899,35000,0.023506944999098778,,,-27.919464111328125,,0.0003,527.7926477729313,903.3
75.60922132954546,74,1.6825181245803833,0.6728823184967041,35197,35298,0.02372552640736103,472,88,-28.102310180664062,401.1136363636364,0.0003,,
89.74345988043478,75,-0.4508597254753113,0.9337778091430664,38285,38386,0.023479603230953217,507,92,-31.575490951538086,417.2391304347826,0.0003,,
,,0.4423264265060425,0.6457432508468628,39899,40000,0.02424176223576069,,,-32.33268356323242,,0.0003,876.2776653125882,1000.0
116.98567225,74,-1.480488896369934,0.663180410861969,41960,42061,0.024298138916492462,562,96,-34.007816314697266,438.1354166666667,0.0003,,
,,0.8642978072166443,0.5702800750732422,44899,45000,0.02416808530688286,,,-37.34248733520508,,0.0003,831.7570933356416,902.6
136.51014355,74,-1.587670922279358,1.0406410694122314,45960,46061,0.02383413165807724,618,100,-36.632720947265625,460.61,0.0003,,
,,0.3672941327095032,0.557396411895752,49899,50000,0.024405332282185555,,,-41.11046600341797,,0.0003,921.4763959261123,1000.0
176.00512886,73,-1.3799067735671997,0.501056432723999,49960,50061,0.024225562810897827,676,104,-39.90946960449219,490.0,0.0003,,
211.93235021999996,74,-0.3109350800514221,0.673358678817749,53960,54061,0.02393827959895134,722,108,-42.55097198486328,528.08,0.0003,,
,,0.35896867513656616,0.6063092350959778,54899,55000,0.023225758224725723,,,-43.61006546020508,,0.0003,814.6752647115442,904.0
