train/n_updates,train/actor_loss,time/total_timesteps,time/time_elapsed,train/critic_loss,time/episodes,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/learning_rate,eval/mean_ep_length,eval/mean_reward
80,1.1877752020955086,1178,5,0.6344866648316383,4,294.5,231,-471.44714275,0.001,,
1239,2.400096648778671,1386,17,0.12878178098262885,8,173.25,77,-271.55113262500004,0.001,,
1347,2.5673402656208384,1486,19,0.07811943133888037,12,123.83333333333333,77,-191.82523633333332,0.001,,
2545,2.5826596695443857,2657,34,0.06637984935356223,16,166.0625,76,-234.638331875,0.001,,
2629,2.6353794878179375,2790,36,0.10827357613522073,20,139.5,77,-195.54643415,0.001,,
3744,2.0167944364547727,3880,51,0.1036660794429481,24,161.66666666666666,75,-213.24193837500002,0.001,,
3892,1.5424426078796387,4023,53,0.09182892665266991,28,143.67857142857142,74,-188.48426614285717,0.001,,
4066,1.4159219139500667,5000,,0.07580899378578913,,,,,0.001,1000.0,842.7559310257435
,,5164,83,,32,161.375,61,-204.599868875,,,
5214,0.38686267631809884,5332,95,0.06262109985138163,36,148.11111111111111,55,-187.1238554722222,0.001,,
5443,0.2311952612721003,5585,98,0.05945378083449144,40,139.625,56,-175.1010745,0.001,,
6712,-0.6021929879983267,6821,114,0.0647433211536784,44,155.02272727272728,59,-190.55200847727266,0.001,,
6834,-0.6712148920182259,7932,118,0.07069228223112763,48,165.25,67,-200.36868547916666,0.001,,
8953,-2.2004849910736084,9075,143,0.0908938941936339,52,174.51923076923077,63,-209.16552161538462,0.001,,
9139,-2.321394212784306,9258,146,0.11731115823227262,56,165.32142857142858,63,-197.9012435892857,0.001,,
9358,-2.5384987013680593,9507,149,0.1307864239898281,60,158.45,63,-189.25886851666664,0.001,,
9740,-2.9744097577764634,9891,155,0.1402007280353536,64,154.546875,63,-183.874479171875,0.001,,
9875,-3.1368028245321136,10000,,0.16137593630247,,,,,0.001,1000.0,805.7822333216667
11021,-4.076421647548676,11202,199,0.20477238060534,68,164.73529411764707,56,-193.78672361764708,0.001,,
