time/total_timesteps,time/fps,train/critic_loss,train/learning_rate,rollout/ep_len_mean,train/n_updates,train/actor_loss,rollout/ep_rew_mean,time/episodes,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
65000,,0.6988518011569976,0.001,,64563,-23.824579105377197,,,,731.2117043249309,1000.0
68563,78,0.6768701497912407,0.001,902.1447368421053,67563,-25.1862604637146,290.34016710526316,76,877,,
70000,,0.6975832912325859,0.001,,69563,-26.3006937828064,,,,814.9680708861154,1000.0
72563,77,0.6673539822995662,0.001,907.0375,71563,-27.30452079772949,317.65947415,80,932,,
75000,,0.6858622901439667,0.001,,74563,-28.736837287902834,,,,799.7432504242286,902.0
76563,77,0.6899444444179534,0.001,911.4642857142857,75563,-29.19269010925293,347.3763073333334,84,985,,
80000,,0.710294596016407,0.001,,79563,-31.807769165039062,,,,799.121420339495,1000.0
80563,77,,,915.4886363636364,,,370.4459966363636,88,1042,,
84563,78,0.6847043769657611,0.001,919.1630434782609,83563,-34.15636491394043,391.03340314130435,92,1082,,
85000,,0.6878448044657707,0.001,,84563,-34.64794703674316,,,,916.6198036278365,1000.0
88563,78,0.6868008171916008,0.001,922.53125,87563,-36.06260237884521,412.09506483333325,96,1134,,
90000,,0.7258591459095478,0.001,,89563,-37.09090978240967,,,,923.9903655508533,1000.0
92563,78,0.7409034377932548,0.001,925.63,91563,-38.228927780151366,432.7205793999999,100,1185,,
95000,,0.7331067980229855,0.001,,94563,-39.77665715789795,,,,856.2781801372766,1000.0
96563,78,0.7561227105259896,0.001,935.49,95563,-40.16230780792236,511.7996581499999,104,1236,,
100000,,0.765668828368187,0.001,,99563,-42.08292742156983,,,,993.088687490573,1000.0
100563,78,,,942.66,,,607.1654651299999,108,1287,,
104563,78,0.7948622676432133,0.001,971.65,103563,-43.88571900177002,672.5209634800001,112,1323,,
105000,,0.7962791304290294,0.001,,104563,-44.309357345581056,,,,833.0570269117131,1000.0
108563,78,0.8174986996948719,0.001,990.11,107563,-45.521214179992675,697.5159841900002,116,1374,,
110000,,0.8172791565656662,0.001,,109563,-46.219806205749514,,,,896.2182627670467,1000.0
112563,78,0.8582546792328357,0.001,990.11,111563,-46.8984698638916,711.27823388,120,1425,,
115000,,0.9058523645997048,0.001,,114563,-48.08049494934082,,,,969.7598420882947,1000.0
116563,78,0.9575336146354675,0.001,990.11,115563,-48.5091213684082,732.30141695,124,1477,,
120000,,0.9806919377446175,0.001,,119563,-50.23384492492676,,,,1091.6024375444279,1000.0
120563,78,,,990.11,,,753.3825212500001,128,1528,,
124563,79,1.105054888367653,0.001,990.11,123563,-52.02854296875,788.05179085,132,1562,,
125000,,1.0608064841926097,0.001,,124563,-52.45360396575928,,,,1301.3078044967842,1000.0
128563,79,1.153474082171917,0.001,990.11,127563,-53.945753089904784,820.8812739599999,136,1617,,
130000,,1.232711809694767,0.001,,129563,-54.937212875366214,,,,820.7361653523519,806.3
132563,79,1.3243368656635284,0.001,990.11,131563,-56.09745907592774,847.98407344,140,1664,,
135000,,1.4793673952420552,0.001,,134575,-58.10446230570475,,,,573.1063992719922,646.8
135575,79,,,990.12,,,869.9669419500001,144,1700,,
137922,80,2.1764515249241,0.001,973.59,136922,-58.8318657733985,876.79857433,148,1720,,
140000,,2.184850130140781,0.001,,139187,-59.67603253173828,,,,1124.274706412846,943.4
141187,80,2.308563551068306,0.001,966.24,140187,-60.25153148651123,889.75451419,152,1762,,
145000,,2.143032960653305,0.001,,144187,-62.37131214141846,,,,1216.765539227196,1000.0
145187,80,,,966.24,,,920.4251493800001,156,1812,,
149187,80,2.5253699454069136,0.001,966.24,148187,-64.80616455078125,970.19448126,160,1847,,
150000,,2.488019099235535,0.001,,149187,-65.40390157318116,,,,1480.9153922450728,1000.0
153187,80,2.7691138840913774,0.001,966.24,152187,-66.9228620300293,1005.7519037499999,164,1899,,
155000,,3.0096450669765473,0.001,,154187,-68.36027217864991,,,,1103.7885717958561,1000.0
157187,80,2.956990846037865,0.001,966.24,156187,-69.80210823059082,1056.0263409299998,168,1952,,
160000,,3.2388084588050843,0.001,,159187,-71.6720767364502,,,,1591.09278506501,917.6
161187,80,3.3597219351530074,0.001,966.24,160187,-72.34608374023438,1091.4502157200002,172,2000,,
165000,,3.8609099569320677,0.001,,164187,-75.39282557678223,,,,1829.523820167873,1000.0
165187,80,,,966.24,,,1129.3658422899998,176,2051,,
169187,81,3.816587197780609,0.001,966.24,168187,-78.49821478271484,1172.4748400300002,180,2086,,
170000,,3.863990481376648,0.001,,169187,-79.3837773284912,,,,1587.6500063942744,1000.0
173187,80,4.165042287111282,0.001,966.24,172187,-81.27329664611817,1213.18479666,184,2138,,
175000,,4.3777697763443,0.001,,174187,-82.37356385803223,,,,2074.535228132724,977.7
177187,80,4.46342006278038,0.001,966.24,176187,-83.60079685974121,1254.05138378,188,2189,,
180000,,4.744686880111694,0.001,,179187,-85.89273715209961,,,,2146.9580992562232,1000.0
181187,80,4.602873003721237,0.001,966.24,180187,-86.59544682312011,1299.13776248,192,2239,,
185000,,4.995760259389877,0.001,,184187,-90.07221731567383,,,,2357.696323852986,1000.0
185187,80,,,966.24,,,1352.7147464999998,196,2289,,
189187,81,5.084537498950958,0.001,966.24,188187,-92.9130288848877,1402.9943480299999,200,2327,,
190000,,5.210600558042526,0.001,,189187,-93.52044055175782,,,,2256.564817186538,935.3
193187,81,5.822818671941757,0.001,966.24,192187,-96.17661116027833,1460.77365082,204,2380,,
195000,,5.664163732767105,0.001,,194187,-97.5079440612793,,,,1885.6839673800393,1000.0
197187,81,5.628466729164123,0.001,966.24,196187,-99.22156701660157,1515.46415318,208,2431,,
200000,,6.0521573967933655,0.001,,199187,-101.03175570678711,,,,2382.962551730685,1000.0
201187,81,6.00343931555748,0.001,966.24,200187,-101.7786088104248,1572.9386232300003,212,2482,,
205000,,6.219807236909866,0.001,,204187,-104.7420079650879,,,,2166.945228073839,902.2
205187,81,,,966.24,,,1639.3038887300002,216,2532,,
209187,81,6.481437168836593,0.001,966.24,208187,-107.6782587890625,1695.8367036500003,220,2567,,
210000,,6.707960747957229,0.001,,209187,-108.22091958618164,,,,2502.8425338320435,1000.0
213187,81,7.087147464036941,0.001,966.24,212187,-110.72901866149903,1762.61128646,224,2617,,
215000,,7.441210301829056,0.001,,214329,-112.0684023575044,,,,2395.7420319619587,949.3
216329,81,7.000686786413192,0.001,957.66,215329,-113.07790295410156,1795.93700053,228,2663,,
220000,,7.03439076256752,0.001,,219329,-115.43020802307129,,,,2466.95520097306,1000.0
220329,81,,,957.66,,,1850.83663182,232,2718,,
224329,81,7.00499334359169,0.001,957.66,223329,-118.36934773254394,1905.0424414,236,2755,,
225000,,7.256621947288513,0.001,,224329,-118.84089100646973,,,,2647.613664645515,1000.0
228329,81,7.294072582244873,0.001,957.66,227329,-120.93211544799804,1953.4079330999998,240,2806,,
230000,,7.411269840955734,0.001,,229329,-121.5314342956543,,,,2500.349210925703,1000.0
232329,81,7.582653635263443,0.001,967.54,231329,-123.0445913848877,2020.0237638299993,244,2858,,
235000,,8.188213122844695,0.001,,234412,-124.72728356933594,,,,2055.172181922506,1000.0
235412,81,,,974.9,,,2068.05106119,248,2899,,
239412,81,8.31247529411316,0.001,982.25,238412,-127.22487284851074,2128.1386277299994,252,2934,,
