train/critic_loss,train/ent_coef,time/total_timesteps,train/actor_loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef_loss,time/episodes,time/time_elapsed,train/n_updates,time/fps,eval/mean_reward,eval/mean_ep_length
11.053728103637695,0.956981897354126,249,-32.89198684692383,0.0003,307.09148600000003,62.25,-1.449556827545166,4,2,148,83,,
16.08245086669922,0.9119676947593689,411,-40.48944091796875,0.0003,250.67074475,51.375,-3.015875816345215,8,5,310,74,,
26.63901138305664,0.8836802840232849,518,-45.41656494140625,0.0003,208.55787708333332,43.166666666666664,-3.981426239013672,12,7,417,73,,
17.144275665283203,0.8341840505599976,715,-56.83311080932617,0.0003,215.27461499999998,44.6875,-5.763870716094971,16,10,614,70,,
15.50290298461914,0.8036578893661499,845,-65.67131805419922,0.0003,203.73761384999997,42.25,-6.635369300842285,20,11,744,70,,
45.21495056152344,0.7737164497375488,980,-72.86898040771484,0.0003,196.25329000000002,40.833333333333336,-7.525529861450195,24,14,879,69,,
49.573448181152344,0.7455500364303589,1116,-82.65161895751953,0.0003,191.43443464285718,39.857142857142854,-8.104724884033203,28,16,1015,69,,
28.673114776611328,0.7093998193740845,1305,-95.04704284667969,0.0003,195.36088675,40.78125,-8.868881225585938,32,19,1204,68,,
86.00405883789062,0.6860301494598389,1435,-102.43505096435547,0.0003,190.66677361111113,39.861111111111114,-9.301265716552734,36,21,1334,68,,
85.61137390136719,0.6622432470321655,1574,-111.40713500976562,0.0003,187.9268004,39.35,-10.196760177612305,40,23,1473,67,,
65.3705062866211,0.6350336670875549,1742,-121.8165283203125,0.0003,188.6835586590909,39.59090909090909,-10.084364891052246,44,25,1641,67,,
47.41027069091797,0.6128664016723633,1890,-133.14654541015625,0.0003,187.90635312499998,39.375,-10.674664497375488,48,28,1789,65,,
44.06528091430664,0.5872508883476257,2073,-146.20013427734375,0.0003,191.1690091538461,39.86538461538461,-10.023218154907227,52,31,1972,65,,
149.14059448242188,0.5610775351524353,2277,-160.44442749023438,0.0003,195.01110051785716,40.660714285714285,-9.653186798095703,56,34,2176,65,,
55.79315185546875,0.5413729548454285,2451,-173.49151611328125,0.0003,195.42924775,40.85,-9.109321594238281,60,37,2350,66,,
164.65567016601562,0.5272886753082275,2584,-182.31504821777344,0.0003,192.732531265625,40.375,-8.611066818237305,64,39,2483,66,,
93.96812438964844,0.512738823890686,2726,-193.33792114257812,0.0003,190.97510239705883,40.088235294117645,-10.020893096923828,68,41,2625,66,,
118.58427429199219,0.49716031551361084,2886,-208.04086303710938,0.0003,190.50613883333332,40.083333333333336,-8.463903427124023,72,43,2785,66,,
220.65911865234375,0.4846278727054596,3025,-212.35910034179688,0.0003,188.86709686842104,39.80263157894737,-7.3434038162231445,76,45,2924,66,,
150.22158813476562,0.4759204089641571,3128,-218.07325744628906,0.0003,185.5917285,39.1,-8.145036697387695,80,47,3027,66,,
108.99868774414062,0.46362724900245667,3284,-229.6790771484375,0.0003,186.19982364285713,39.095238095238095,-7.837259292602539,84,49,3183,65,,
124.44931030273438,0.4537850320339203,3414,-242.65765380859375,0.0003,184.641989875,38.79545454545455,-7.0051116943359375,88,51,3313,65,,
512.588623046875,0.44053763151168823,3612,-257.0751953125,0.0003,187.33021463043477,39.26086956521739,-7.824037551879883,92,54,3511,65,,
208.24594116210938,0.42953041195869446,3781,-277.40008544921875,0.0003,188.22203477083335,39.385416666666664,-5.289624214172363,96,57,3680,65,,
334.79669189453125,0.4175564646720886,3995,-286.6976318359375,0.0003,191.30922273999997,39.95,-3.6804580688476562,100,60,3894,65,,
215.7147216796875,0.4078534245491028,4194,-305.8528137207031,0.0003,188.76202836000004,39.45,-3.141818046569824,104,63,4093,65,,
384.48895263671875,0.40065422654151917,4363,-320.5687561035156,0.0003,189.32539712999997,39.52,-4.591440677642822,108,66,4262,65,,
257.14923095703125,0.3932783901691437,4560,-334.0534973144531,0.0003,194.14939119000002,40.42,-2.0195746421813965,112,69,4459,65,,
444.087158203125,0.38656672835350037,4764,-349.65020751953125,0.0003,195.10782515,40.49,-1.8479876518249512,116,72,4663,65,,
600.80029296875,0.3839293122291565,4906,-360.1585388183594,0.0003,195.93826225,40.61,0.13417768478393555,120,75,4805,65,,
686.8037109375,0.3827446699142456,5000,-369.3094177246094,0.0003,,,-0.7366665005683899,,,4899,,120.49644850604236,24.4
1204.71728515625,0.38271185755729675,5036,-372.02435302734375,0.0003,196.00587933000003,40.56,-0.371071457862854,124,78,4935,63,,
853.3717651367188,0.3810024857521057,5164,-378.66748046875,0.0003,195.93993493999994,40.48,-1.0154435634613037,128,81,5063,63,,
858.15380859375,0.38037338852882385,5331,-392.627197265625,0.0003,195.35326852000006,40.26,1.4565067291259766,132,83,5230,63,,
826.9891967773438,0.3821386396884918,5510,-409.41546630859375,0.0003,198.15213346999994,40.75,1.8483754396438599,136,86,5409,63,,
459.6206359863281,0.3862163722515106,5679,-421.630859375,0.0003,199.89982645,41.05,1.9744726419448853,140,89,5578,63,,
1319.002685546875,0.3950164020061493,5895,-444.8122863769531,0.0003,202.41387379,41.53,1.4978832006454468,144,93,5794,63,,
313.68609619140625,0.4008600413799286,6009,-451.27105712890625,0.0003,200.49517457000002,41.19,1.8752524852752686,148,95,5908,63,,
850.11083984375,0.40893545746803284,6134,-462.0001525878906,0.0003,197.01155734999998,40.61,3.717698097229004,152,97,6033,63,,
842.90478515625,0.41572433710098267,6257,-467.92889404296875,0.0003,192.79062431,39.8,1.8868272304534912,156,99,6156,62,,
