rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/episodes,time/fps,train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
114.88486800000001,0,23.25,93,4,1343,,,,,,
105.79218025,0,21.875,175,8,266,0.001,4.254825243178536,-4.9433656860800355,68,,
91.63279166666668,1,19.25,231,12,201,0.001,2.639312735625676,-5.895749841417585,124,,
84.46112825,1,17.9375,287,16,175,0.001,2.080883358206068,-6.517781598227365,180,,
80.19485005,2,17.15,343,20,161,0.001,1.1625786423683167,-6.980679648263114,236,,
77.284891125,2,16.625,399,24,152,0.001,0.6409077314393861,-7.490870135171073,292,,
75.28764225,3,16.25,455,28,147,0.001,0.6390803286007473,-7.910189628601074,348,,
73.7560081875,3,15.96875,511,32,142,0.001,0.25332791677543093,-8.445058686392647,404,,
72.5633736111111,4,15.75,567,36,139,0.001,0.16092504933476448,-8.810562542506627,460,,
71.6156546,4,15.575,623,40,136,0.001,0.20101382902690343,-9.297335352216448,516,,
70.83412981818181,5,15.431818181818182,679,44,134,0.001,0.504108407667705,-9.685162544250488,572,,
70.1832709375,5,15.3125,735,48,133,0.001,1.52632409121309,-10.276803834097725,628,,
69.63411438461539,5,15.211538461538462,791,52,132,0.001,0.8257556706666946,-10.70510482788086,684,,
69.16920873214285,6,15.125,847,56,130,0.001,0.38202442335230963,-10.992829731532506,740,,
68.76881371666667,6,15.05,903,60,129,0.001,0.24834588489362172,-11.520112582615443,796,,
68.42160446875,7,14.984375,959,64,128,0.001,0.24041588444794929,-12.007181303841728,852,,
68.10172288235295,7,14.926470588235293,1015,68,128,0.001,0.23471761920622417,-12.347831998552595,908,,
67.82534704166667,8,14.875,1071,72,127,0.001,0.3277931160160473,-12.687739780970983,964,,
67.57427161842106,8,14.828947368421053,1127,76,127,0.001,0.19598098418542317,-13.30439703805106,1020,,
67.3518026625,9,14.7875,1183,80,126,0.001,0.7710568213037082,-13.575844492231097,1076,,
67.14885625000001,9,14.75,1239,84,125,0.001,0.7813465217394489,-14.30913530077253,1132,,
66.96676518181818,10,14.715909090909092,1295,88,125,0.001,1.179987643446241,-14.616388184683663,1188,,
66.79513883695653,10,14.684782608695652,1351,92,124,0.001,0.36830827380929676,-15.140134811401367,1244,,
66.63796859375,11,14.65625,1407,96,124,0.001,0.20740024505981378,-15.47486060006278,1300,,
66.49683731,11,14.63,1463,100,124,0.001,0.34674722648092676,-15.76513249533517,1356,,
64.42303516,12,14.26,1519,104,124,0.001,0.27805676737001966,-16.206840106419154,1412,,
63.07867373,12,14.0,1575,108,123,0.001,0.5062273815274239,-16.753013610839844,1468,,
63.06963178,13,14.0,1631,112,123,0.001,0.5514518160905156,-17.15555681501116,1524,,
63.07493116,13,14.0,1687,116,123,0.001,0.7907703689166478,-17.49179676600865,1580,,
63.072201390000004,14,14.0,1743,120,122,0.001,0.2217919028231076,-18.147377559116908,1636,,
63.084850750000015,14,14.0,1799,124,122,0.001,0.9573250476803098,-18.29222297668457,1692,,
63.07541959,15,14.0,1855,128,122,0.001,0.3772032324756895,-18.872782843453543,1748,,
63.08117088999998,15,14.0,1911,132,122,0.001,0.559053818562201,-18.701872416904994,1804,,
63.083359569999985,16,14.0,1967,136,122,0.001,0.40268611162900925,-19.476723262241908,1860,,
63.08253776999999,16,14.0,2023,140,122,0.001,0.36832957555140766,-20.05473027910505,1916,,
63.081298159999996,17,14.0,2079,144,121,0.001,0.5767604868326869,-19.962608064923966,1972,,
63.085804030000006,17,14.0,2135,148,121,0.001,0.3993316505636488,-20.228512627737864,2028,,
63.08176149,18,14.0,2191,152,121,0.001,0.596696525812149,-20.637631280081614,2084,,
63.08115139,18,14.0,2247,156,121,0.001,0.3544483035802841,-21.347361973353795,2140,,
63.07266315999999,18,14.0,2303,160,121,0.001,0.6429145123277392,-21.73155403137207,2196,,
63.06435004,19,14.0,2359,164,121,0.001,0.6834849353347506,-22.16003281729562,2252,,
63.02025903999999,19,13.99,2414,168,121,0.001,0.33679889674697605,-22.078186307634628,2307,,
63.02136573,20,13.99,2470,172,121,0.001,0.4462231993675232,-22.461824689592635,2363,,
63.02454578,20,13.99,2526,176,120,0.001,0.3712995520659855,-22.118863242013113,2419,,
62.97276551,21,13.98,2581,180,120,0.001,0.577509061566421,-22.805335453578405,2474,,
62.92593537999999,21,13.97,2636,184,120,0.001,0.6041879228183201,-22.52359335763114,2529,,
62.919061250000006,22,13.97,2692,188,120,0.001,0.6541620386498315,-22.90338679722377,2585,,
62.871552300000005,22,13.96,2747,192,120,0.001,0.4379033925277846,-23.6052188873291,2641,,
62.82658646,23,13.95,2802,196,120,0.001,0.7081338337489537,-24.014856610979354,2696,,
62.73281356,23,13.93,2856,200,120,0.001,0.7312185083116803,-23.947953087942942,2750,,
62.64054739,24,13.91,2910,204,120,0.001,0.9203578574316842,-24.405850546700613,2804,,
62.63878992000001,24,13.91,2966,208,120,0.001,0.7186662182211876,-25.231919152396067,2859,,
62.58724294,25,13.9,3021,212,120,0.001,0.6119800614459174,-24.80198097229004,2915,,
62.53933345,25,13.89,3076,216,120,0.001,0.9190839688692775,-25.10711669921875,2969,,
62.535206420000016,26,13.89,3132,220,120,0.001,0.8835869601794651,-24.904349190848215,3025,,
62.532224809999995,26,13.89,3188,224,119,0.001,0.7530894811664309,-24.81987735203334,3081,,
62.529628729999985,27,13.89,3244,228,119,0.001,0.6486015490123204,-25.542907169887,3137,,
