time/time_elapsed,time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/actor_loss,train/ent_coef_loss,train/n_updates,train/ent_coef,train/learning_rate,train/critic_loss,eval/mean_reward,eval/mean_ep_length
0,4,16,-3.739111,768,4.0,,,,,,,,
0,8,36,-4.42112725,746,4.5,,,,,,,,
0,12,53,-4.841272916666667,694,4.416666666666667,,,,,,,,
0,16,79,-5.9848508124999995,698,4.9375,,,,,,,,
0,20,98,-5.890594799999999,717,4.9,,,,,,,,
0,24,115,-5.681964333333333,359,4.791666666666667,-10.776878356933594,-0.07680921256542206,14,0.9960772395133972,0.0003,17.880126953125,,
0,28,128,-5.550350571428571,278,4.571428571428571,-10.886597633361816,-0.15693041682243347,27,0.9921259880065918,0.0003,18.398775100708008,,
0,32,154,-5.9184275,203,4.8125,-11.279630661010742,-0.3160398006439209,53,0.9842591285705566,0.0003,15.643383026123047,,
1,36,176,-5.888395972222223,175,4.888888888888889,-12.13934326171875,-0.4494986832141876,75,0.9776763916015625,0.0003,15.333768844604492,,
1,40,195,-5.7377522249999995,159,4.875,-11.666582107543945,-0.5681681632995605,94,0.9720422625541687,0.0003,15.213810920715332,,
1,44,213,-5.616757499999999,148,4.840909090909091,-12.48287582397461,-0.6798739433288574,112,0.9667431712150574,0.0003,14.05671501159668,,
1,48,235,-5.6435283125,139,4.895833333333333,-12.636122703552246,-0.8111716508865356,134,0.9603175520896912,0.0003,11.29882526397705,,
1,52,261,-5.659691480769231,132,5.019230769230769,-13.656940460205078,-0.9675314426422119,160,0.9528018236160278,0.0003,6.383867263793945,,
2,56,284,-5.735892946428572,126,5.071428571428571,-14.215616226196289,-1.1060703992843628,183,0.9462156891822815,0.0003,5.134662628173828,,
2,60,310,-5.708439233333334,121,5.166666666666667,-14.529247283935547,-1.2580361366271973,209,0.9388393759727478,0.0003,2.8857998847961426,,
2,64,339,-5.6417128125,118,5.296875,-14.309654235839844,-1.429020881652832,238,0.9307045936584473,0.0003,3.372497797012329,,
3,68,356,-5.508877897058824,116,5.235294117647059,-15.01156234741211,-1.5221192836761475,255,0.9259775876998901,0.0003,2.3903133869171143,,
3,72,373,-5.443185541666667,114,5.180555555555555,-14.855311393737793,-1.623924970626831,272,0.9212833046913147,0.0003,2.780719041824341,,
3,76,404,-5.601009894736841,111,5.315789473684211,-15.415600776672363,-1.7983375787734985,303,0.9127956628799438,0.0003,2.624701738357544,,
3,80,422,-5.4950812125,110,5.275,-14.894577980041504,-1.9111697673797607,321,0.9079040884971619,0.0003,2.6301918029785156,,
4,84,445,-5.5282677499999995,108,5.2976190476190474,-15.803175926208496,-2.054349422454834,344,0.9016898274421692,0.0003,1.8981738090515137,,
4,88,470,-5.561202625,106,5.340909090909091,-15.409582138061523,-2.1862034797668457,369,0.8949805498123169,0.0003,2.703587532043457,,
4,92,492,-5.4907513478260865,106,5.3478260869565215,-16.102252960205078,-2.344215154647827,391,0.889123797416687,0.0003,2.5729928016662598,,
4,96,510,-5.449558593750001,104,5.3125,-15.921828269958496,-2.430281162261963,409,0.8843564987182617,0.0003,2.9821908473968506,,
5,100,537,-5.5150678300000004,103,5.37,-16.55548667907715,-2.576716423034668,436,0.8772671818733215,0.0003,1.9000271558761597,,
5,104,558,-5.563902810000001,102,5.42,-15.771358489990234,-2.70428204536438,457,0.871781587600708,0.0003,2.0181918144226074,,
5,108,576,-5.51646986,101,5.4,-16.049877166748047,-2.8124454021453857,475,0.8671085834503174,0.0003,1.9741045236587524,,
5,112,604,-5.491705180000001,101,5.51,-16.11648178100586,-2.9772584438323975,503,0.8598905205726624,0.0003,2.1673121452331543,,
6,116,624,-5.3030896300000006,100,5.45,-15.531049728393555,-3.0900142192840576,523,0.8547700047492981,0.0003,3.153975009918213,,
6,120,651,-5.288796060000001,99,5.53,-16.029075622558594,-3.239792823791504,550,0.8479146957397461,0.0003,2.2681946754455566,,
6,124,673,-5.30238322,99,5.58,-15.246294021606445,-3.374116897583008,572,0.8423686027526855,0.0003,2.9604310989379883,,
6,128,691,-5.29413108,98,5.63,-16.520709991455078,-3.466752290725708,590,0.8378634452819824,0.0003,2.0827226638793945,,
7,132,716,-5.161359339999999,98,5.62,-16.128341674804688,-3.5775022506713867,615,0.8316566348075867,0.0003,2.535609722137451,,
7,136,740,-5.0675668300000005,98,5.64,-16.633567810058594,-3.753260612487793,639,0.8257541656494141,0.0003,2.2690372467041016,,
7,140,767,-5.101242150000001,97,5.72,-16.04807472229004,-3.898843288421631,666,0.8191601634025574,0.0003,2.5543270111083984,,
8,144,782,-5.06772425,97,5.69,-16.67214584350586,-4.00701904296875,681,0.81551194190979,0.0003,2.9150502681732178,,
8,148,814,-5.00771753,96,5.79,-15.95258903503418,-4.189770698547363,713,0.8077772259712219,0.0003,2.6271543502807617,,
8,152,838,-4.955011999999999,96,5.77,-16.912609100341797,-4.336289405822754,737,0.8020191192626953,0.0003,2.774505615234375,,
9,156,866,-4.88198653,95,5.82,-15.814769744873047,-4.494749069213867,765,0.7953464388847351,0.0003,3.7627053260803223,,
9,160,887,-4.84510989,95,5.77,-15.325418472290039,-4.633179664611816,786,0.790371298789978,0.0003,2.984854221343994,,
9,164,904,-4.80768393,95,5.65,-15.828128814697266,-4.716409683227539,803,0.7863666415214539,0.0003,2.5980725288391113,,
9,168,930,-4.85287414,94,5.74,-16.030258178710938,-4.858187198638916,829,0.7802796363830566,0.0003,3.427835464477539,,
9,172,946,-4.79084603,94,5.73,-16.49859619140625,-4.963911533355713,845,0.7765588760375977,0.0003,2.413724899291992,,
10,176,967,-4.608543690000001,94,5.63,-16.890174865722656,-5.099480152130127,866,0.7717060446739197,0.0003,3.6263184547424316,,
10,180,988,-4.6863281599999995,94,5.66,-15.789896965026855,-5.2076005935668945,887,0.7668860554695129,0.0003,3.3548171520233154,,
10,184,1009,-4.57031159,93,5.64,-15.662361145019531,-5.319674491882324,908,0.7620900273323059,0.0003,3.374981641769409,,
10,188,1027,-4.4488294,93,5.57,-15.560806274414062,-5.41318416595459,926,0.7579960823059082,0.0003,3.5191750526428223,,
11,192,1053,-4.50815113,93,5.61,-16.249771118164062,-5.604097366333008,952,0.7521200776100159,0.0003,2.9400217533111572,,
11,196,1079,-4.586524599999999,93,5.69,-15.722310066223145,-5.700231552124023,978,0.7462959885597229,0.0003,4.455391883850098,,
11,200,1097,-4.4481803300000005,93,5.6,-15.606649398803711,-5.819880485534668,996,0.7422995567321777,0.0003,5.774687767028809,,
11,204,1113,-4.413568960000001,93,5.55,-16.10359001159668,-5.9087748527526855,1012,0.7387686371803284,0.0003,3.1872520446777344,,
12,208,1131,-4.39490365,92,5.55,-15.726042747497559,-6.043793678283691,1030,0.7348131537437439,0.0003,4.715742111206055,,
12,212,1153,-4.40681413,92,5.49,-14.893747329711914,-6.159839153289795,1052,0.7300076484680176,0.0003,5.307199478149414,,
12,216,1181,-4.489972,92,5.57,-16.04808235168457,-6.324102401733398,1080,0.7239406108856201,0.0003,3.593050003051758,,
12,220,1196,-4.39936618,92,5.45,-15.40546989440918,-6.428871154785156,1095,0.7207155823707581,0.0003,3.7848591804504395,,
13,224,1224,-4.47577757,92,5.51,-16.085514068603516,-6.532425880432129,1123,0.7147288918495178,0.0003,5.015115737915039,,
13,228,1257,-4.53464171,92,5.66,-14.467928886413574,-6.775030136108398,1156,0.7077328562736511,0.0003,4.773860931396484,,
13,232,1277,-4.43748931,91,5.61,-16.750831604003906,-6.872245788574219,1176,0.7035191655158997,0.0003,6.590615272521973,,
14,236,1294,-4.41425914,91,5.54,-14.922492980957031,-6.958869457244873,1193,0.6999539136886597,0.0003,5.392475128173828,,
14,240,1315,-4.360364069999999,91,5.48,-16.005434036254883,-7.064464569091797,1214,0.6955812573432922,0.0003,5.054876327514648,,
14,244,1332,-4.363063759999999,91,5.5,-16.16534423828125,-7.201056480407715,1231,0.6920697689056396,0.0003,4.732333660125732,,
14,248,1351,-4.33683069,91,5.37,-15.068017959594727,-7.311964511871338,1250,0.6881650686264038,0.0003,6.297168254852295,,
15,252,1381,-4.33002634,91,5.43,-14.695270538330078,-7.414742946624756,1280,0.6820490956306458,0.0003,4.568642616271973,,
15,256,1398,-4.285347389999999,91,5.32,-15.233381271362305,-7.509815692901611,1297,0.6786128282546997,0.0003,6.451632976531982,,
15,260,1421,-4.307232379999999,91,5.34,-14.195755004882812,-7.650794506072998,1320,0.6740003228187561,0.0003,7.16334342956543,,
15,264,1443,-4.291252409999999,91,5.39,-14.163619995117188,-7.759153842926025,1342,0.6696214079856873,0.0003,6.114198684692383,,
16,268,1464,-4.223242719999999,91,5.34,-14.306337356567383,-7.853699684143066,1363,0.6654630899429321,0.0003,6.8647356033325195,,
16,272,1485,-4.23116462,90,5.39,-13.656745910644531,-8.045026779174805,1384,0.6613343358039856,0.0003,6.726767539978027,,
16,276,1501,-4.1732916399999995,90,5.34,-14.320833206176758,-8.111379623413086,1400,0.6581971645355225,0.0003,6.461650371551514,,
16,280,1523,-4.0983936299999995,90,5.35,-14.305938720703125,-8.238248825073242,1422,0.6539097428321838,0.0003,7.071972846984863,,
16,284,1539,-4.071371179999999,90,5.3,-13.766899108886719,-8.3111572265625,1438,0.6508153080940247,0.0003,7.461889266967773,,
17,288,1560,-4.09609907,90,5.33,-13.15545654296875,-8.533769607543945,1459,0.6467822790145874,0.0003,7.342240333557129,,
