time/time_elapsed,train/actor_loss,rollout/ep_len_mean,train/n_updates,train/critic_loss,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/fps,train/learning_rate,eval/mean_reward,eval/mean_ep_length
133,11.553526763916016,50.0,22250,0.045163122080266474,22400,448,-7.189927120000001,167,0.001,,
135,11.58380931854248,50.0,22450,0.04716029584407806,22600,452,-7.237972230000001,167,0.001,,
136,11.645048370361328,50.0,22650,0.04355795405805111,22800,456,-7.22295572,167,0.001,,
,11.779499320983886,,22850,0.0475268180295825,23000,,,,0.001,-7.716407867055386,50.0
137,,50.0,,,23000,460,-7.205933130000001,167,,,
138,11.77067840576172,50.0,23050,0.0563424876332283,23200,464,-7.19286515,167,0.001,,
140,11.895775909423827,50.0,23250,0.057051916494965556,23400,468,-7.134158069999999,167,0.001,,
141,11.974188232421875,50.0,23450,0.05654438428580761,23600,472,-7.197884290000001,167,0.001,,
142,12.040485343933106,50.0,23650,0.05106006052345038,23800,476,-7.39837806,167,0.001,,
,12.114061737060547,,23850,0.04647291507571936,24000,,,,0.001,-8.000577786378562,50.0
143,,50.0,,,24000,480,-7.408329789999999,167,,,
144,12.188225708007813,50.0,24050,0.04682717278599739,24200,484,-7.370120130000003,167,0.001,,
145,12.20212890625,50.0,24250,0.04727502901107073,24400,488,-7.41460249,167,0.001,,
146,12.313001365661622,50.0,24450,0.04885965123772621,24600,492,-7.521295080000001,167,0.001,,
148,12.369583015441895,50.0,24650,0.052283779233694073,24800,496,-7.6203214,167,0.001,,
,12.423009452819825,,24850,0.04983370065689087,25000,,,,0.001,-7.862663285434246,50.0
149,,50.0,,,25000,500,-7.78159268,167,,,
150,12.501131858825683,50.0,25050,0.04253923326730728,25200,504,-7.693518509999999,167,0.001,,
151,12.538887557983399,50.0,25250,0.06129986278712749,25400,508,-7.670511559999999,167,0.001,,
153,12.639970779418945,50.0,25450,0.049931245893239974,25600,512,-7.658425409999999,167,0.001,,
154,12.677748184204102,50.0,25650,0.085630511790514,25800,516,-7.751199470000001,167,0.001,,
,12.73130397796631,,25850,0.05918433934450149,26000,,,,0.001,-7.324497206835076,50.0
155,,50.0,,,26000,520,-7.69117812,166,,,
156,12.850868644714355,50.0,26050,0.04711268208920956,26200,524,-7.6807101399999995,166,0.001,,
158,12.91188735961914,50.0,26250,0.048972114995121954,26400,528,-7.7163306,166,0.001,,
159,13.026050605773925,50.0,26450,0.0502373418956995,26600,532,-7.705295189999999,166,0.001,,
160,13.027885551452636,50.0,26650,0.04835726991295815,26800,536,-7.734407999999999,167,0.001,,
,13.055771713256837,,26850,0.04738234557211399,27000,,,,0.001,-7.413628937723115,50.0
161,,50.0,,,27000,540,-7.52796389,166,,,
163,13.143222198486328,50.0,27050,0.04474107299000025,27200,544,-7.52581488,166,0.001,,
164,13.130778465270996,50.0,27250,0.05022323399782181,27400,548,-7.47350698,166,0.001,,
165,13.265080947875976,50.0,27450,0.04665330275893211,27600,552,-7.38371347,166,0.001,,
166,13.337712059020996,50.0,27650,0.05529538549482822,27800,556,-7.52923744,166,0.001,,
,13.403805351257324,,27850,0.05016702190041542,28000,,,,0.001,-7.000363030855079,50.0
168,,50.0,,,28000,560,-7.53255899,166,,,
169,13.408749771118163,50.0,28050,0.04658373896032572,28200,564,-7.5042195000000005,166,0.001,,
170,13.510626678466798,50.0,28250,0.05043946363031864,28400,568,-7.51696334,166,0.001,,
171,13.589674530029297,50.0,28450,0.05112723886966705,28600,572,-7.43247485,166,0.001,,
172,13.602063598632812,50.0,28650,0.05259099245071411,28800,576,-7.229933590000001,166,0.001,,
,13.650839958190918,,28850,0.049573471620678905,29000,,,,0.001,-7.669205070473254,50.0
174,,50.0,,,29000,580,-7.25118608,166,,,
175,13.685399589538575,50.0,29050,0.05071872539818287,29200,584,-7.2259278600000005,166,0.001,,
176,13.666363945007324,50.0,29250,0.04842427179217339,29400,588,-7.1096458899999995,166,0.001,,
177,13.886794204711913,50.0,29450,0.04936246104538441,29600,592,-7.06099903,166,0.001,,
