time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/value_loss,train/clip_range,train/learning_rate,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/loss,train/std,train/clip_fraction,train/n_updates,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
86,11,22528,111.06,-107.11340734,259,142.80341641902925,0.2,0.0003,0.0110312775,0.2395644187927246,-0.03095193638873752,74.78298950195312,0.9128223061561584,0.10693359375,100,-10.651251569390297,,
91,12,24576,97.7,-93.22789907,269,191.89924428462982,0.2,0.0003,0.009847362,0.2969399094581604,-0.03161693760775961,100.71139526367188,0.9081181287765503,0.109228515625,110,-10.602582216262817,,
,,25000,,,,178.6353138923645,0.2,0.0003,0.010288538,0.37113481760025024,-0.03065934913465753,81.47415924072266,0.9032812118530273,0.109814453125,120,-10.559881389141083,1000.0,946.9711854285327
105,13,26624,97.75,-90.64207822999998,251,,,,,,,,,,,,,
110,14,28672,86.11,-79.71165977,260,149.24160330295564,0.2,0.0003,0.011914898,0.4032331109046936,-0.03251256118237507,84.40132141113281,0.8987715244293213,0.1205078125,130,-10.515501987934112,,
,,30000,,,,194.75452709197998,0.2,0.0003,0.011089412,0.47208601236343384,-0.033846735837869346,58.22164535522461,0.8979672789573669,0.118505859375,140,-10.494833663105965,1000.0,972.5417480435935
124,15,30720,80.9,-73.93206493999999,247,,,,,,,,,,,,,
128,16,32768,84.6,-80.1090503,254,224.1006974220276,0.2,0.0003,0.010383555,0.3857074975967407,-0.029063693518401122,87.89852142333984,0.8973324298858643,0.09619140625,150,-10.486841365695,,
133,17,34816,94.37,-87.47655343000001,261,123.90473356246949,0.2,0.0003,0.010280407,0.5606919825077057,-0.03195162217889447,62.17576217651367,0.8921210169792175,0.102734375,160,-10.455918794870376,,
,,35000,,,,141.95090782642365,0.2,0.0003,0.010397976,0.6282523274421692,-0.03274230686947703,82.19874572753906,0.8898788094520569,0.105322265625,170,-10.427358174324036,1000.0,879.6656041939743
147,18,36864,79.65,-75.36999320000001,249,,,,,,,,,,,,,
152,19,38912,76.62,-68.27793817999999,255,223.97167799472808,0.2,0.0003,0.010212472,0.2508651614189148,-0.0314176512445556,132.78160095214844,0.8867507576942444,0.099609375,180,-10.400804823637008,,
,,40000,,,,192.66620478630065,0.2,0.0003,0.011772651,0.3529662489891052,-0.03582899604807608,78.18122863769531,0.8838721513748169,0.12578125,190,-10.374577274918556,528.9,470.96919298202846
161,20,40960,95.6,-84.59644761,253,,,,,,,,,,,,,
