time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/explained_variance,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/value_loss,eval/mean_ep_length,train/std,eval/mean_reward,train/entropy_loss,train/approx_kl,train/clip_range,train/loss
2048,3,1,18.87,14.181045670000001,554,,,,,,,,,,,,,
2500,,,,,,-0.021148204803466797,10,0.0003,-0.018451235242537223,0.170166015625,30.185554264485837,56.85,1.0027062892913818,93.93903067708015,-4.264198845624923,0.013799231,0.2,3.262869119644165
4096,9,2,23.14,22.792929400000002,443,,,,,,,,,,,,,
5000,,,,,,0.2716195583343506,20,0.0003,-0.021022214263211936,0.14951171875,95.00774303674697,41.35,0.9904751777648926,67.82738571166992,-4.248710621893406,0.014011408,0.2,35.69810485839844
6144,14,3,32.28,40.17796294,416,,,,,,,,,,,,,
7500,,,,,,0.23456215858459473,30,0.0003,-0.01857440024323296,0.1064453125,193.63008358478547,37.05,0.9867351055145264,60.87920229434967,-4.222568558156491,0.011947952,0.2,95.41265106201172
8192,20,4,40.49,58.43242838000001,401,,,,,,,,,,,,,
10000,,,,,,0.1433616280555725,40,0.0003,-0.019176702288677915,0.10703125,231.3380403995514,35.15,0.9779233336448669,57.85484558939934,-4.204397018253803,0.010530293,0.2,117.44963073730469
10240,26,5,44.84,71.28282365999999,383,,,,,,,,,,,,,
12288,32,6,52.05,90.02414921999998,377,0.11345130205154419,50,0.0003,-0.014153654593974352,0.07685546875,249.39705872535706,,0.9759520888328552,,-4.186062420904636,0.008610714,0.2,105.70563507080078
12500,,,,,,0.007459878921508789,60,0.0003,-0.009472086642927025,0.04951171875,354.6341181755066,91.95,0.9723336100578308,209.699785643816,-4.178933972120285,0.0059324773,0.2,143.75079345703125
14336,39,7,58.05,107.55992715000002,362,,,,,,,,,,,,,
15000,,,,,,0.013267576694488525,70,0.0003,-0.01701987634587567,0.10205078125,380.6885368347168,92.25,0.9703022837638855,207.0300538480282,-4.1681086525321005,0.010267164,0.2,177.07321166992188
16384,46,8,66.38,127.95408950999999,352,,,,,,,,,,,,,
17500,,,,,,0.020048916339874268,80,0.0003,-0.009785180693143047,0.058447265625,394.3095282554626,91.35,0.9675813913345337,203.84315227866173,-4.161569540202618,0.0069470964,0.2,138.99407958984375
18432,53,9,72.33,143.97501696999998,341,,,,,,,,,,,,,
20000,,,,,,0.3989408016204834,90,0.0003,-0.012994562319363467,0.088134765625,316.91456255912783,89.25,0.9678610563278198,199.46292766928673,-4.1578485950827595,0.007901722,0.2,121.09940338134766
20480,62,10,77.4,158.08647228,328,,,,,,,,,,,,,
22500,,,,,,0.5364273190498352,100,0.0003,-0.007530555169796571,0.0533203125,291.38497653007505,89.0,0.9687231779098511,199.85055780410767,-4.158799397945404,0.0055877566,0.2,115.46598815917969
22528,70,11,85.9,178.80282732,319,,,,,,,,,,,,,
24576,75,12,89.27,188.80457283999996,324,0.6814793348312378,110,0.0003,-0.007783132469921838,0.046728515625,222.97406449317933,,0.9661946296691895,,-4.1563462048768995,0.0060908273,0.2,87.27986907958984
25000,,,,,,0.855104997754097,120,0.0003,-0.01005089831596706,0.086328125,150.32523782253264,88.45,0.9725589752197266,198.3371922671795,-4.163201253116131,0.007332717,0.2,48.337825775146484
26624,82,13,91.66,196.20543339000002,321,,,,,,,,,,,,,
27500,,,,,,0.804812490940094,130,0.0003,-0.008365707410848699,0.07060546875,181.50690355300904,90.7,0.975700318813324,202.67260036468505,-4.176889123022557,0.0077679846,0.2,63.00617218017578
28672,91,14,94.34,203.53681831999998,314,,,,,,,,,,,,,
30000,,,,,,0.8862978294491768,140,0.0003,-0.008238697146589402,0.064794921875,136.43530657291413,89.7,0.9816641807556152,201.80132061839103,-4.19001092761755,0.0077620936,0.2,38.68931579589844
30720,99,15,96.63,208.69165784,309,,,,,,,,,,,,,
32500,,,,,,0.8397156298160553,150,0.0003,-0.009437199385138229,0.089990234375,153.2150275707245,100.25,0.9768216013908386,234.22722368240358,-4.191086003184319,0.008900462,0.2,36.58134841918945
32768,106,16,97.93,213.58161114000004,308,,,,,,,,,,,,,
34816,111,17,101.27,224.29782141999996,313,0.8683673739433289,160,0.0003,-0.013603921703179367,0.12294921875,141.79232370853424,,0.9718164801597595,,-4.174574588239193,0.009357808,0.2,43.3652458190918
35000,,,,,,0.94138378277421,170,0.0003,-0.01751573251967784,0.132275390625,101.3847762465477,128.8,0.9725973606109619,322.9113922476769,-4.168501940369606,0.0097966865,0.2,31.86714744567871
36864,119,18,103.38,232.34072495,307,,,,,,,,,,,,,
37500,,,,,,0.8062921762466431,180,0.0003,-0.012625314280739985,0.101708984375,224.38491508960723,133.5,0.9773196578025818,326.6261536359787,-4.175623102486133,0.009778606,0.2,49.207149505615234
38912,128,19,105.66,240.74300542,303,,,,,,,,,,,,,
40000,,,,,,0.8129606992006302,190,0.0003,-0.011952428038057406,0.0892578125,226.86293914318085,139.65,0.9748035669326782,336.32947317957877,-4.178671990334988,0.008993724,0.2,79.98595428466797
40960,136,20,108.67,250.86996969000003,301,,,,,,,,,,,,,
42500,,,,,,0.7558308094739914,200,0.0003,-0.010313883042545057,0.07744140625,293.0137067556381,147.3,0.9660231471061707,363.0338705897331,-4.162256018817425,0.008858679,0.2,137.40655517578125
43008,143,21,113.4,265.85808103999995,299,,,,,,,,,,,,,
45000,,,,,,0.8738858252763748,210,0.0003,-0.009086399619991425,0.09404296875,180.42986304759978,152.9,0.9579986929893494,371.36141428649427,-4.134429848194122,0.008891635,0.2,74.84393310546875
45056,153,22,118.22,279.67860572999996,294,,,,,,,,,,,,,
47104,158,23,122.13,290.48106871,297,0.8518346101045609,220,0.0003,-0.010251962154870852,0.089111328125,201.51369411945342,,0.9660511016845703,,-4.134746293723583,0.0077158078,0.2,51.234596252441406
47500,,,,,,0.9032754525542259,230,0.0003,-0.012283941058558411,0.10625,163.6377999305725,228.45,0.9599549770355225,653.4820327222347,-4.140751162171364,0.0077147973,0.2,52.96639633178711
49152,167,24,126.85,301.24782395,292,,,,,,,,,,,,,
