time/episodes,train/n_updates,train/critic_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/actor_loss,time/fps,eval/mean_reward,eval/mean_ep_length
,144609,0.7684963814914226,0.001,,,145000,,-36.57976409912109,,778.3461714159232,1000.0
160,147609,0.7365362974405288,0.001,963.11,445.2944864599999,148661,957,-37.176922843933106,155,,
,149609,0.7585549124181271,0.001,,,150000,,-37.66620484161377,,760.9610617612022,1000.0
164,151609,0.7604487284719944,0.001,963.11,452.9596391399999,152661,986,-38.27704634857178,154,,
,154609,0.8064197559952736,0.001,,,155000,,-38.97083854675293,,749.3216672375798,1000.0
168,155609,0.8972936765849591,0.001,963.11,459.83718640000006,156661,1015,-39.226607666015624,154,,
,159609,1.1658480507135391,0.001,,,160000,,-40.06075639343262,,734.6415596900973,1000.0
172,,,,963.11,467.19793888999993,160661,1046,,153,,
176,163609,1.235507305562496,0.001,963.11,454.8482960899999,164661,1067,-40.55533465576172,154,,
,164609,1.2583155657052993,0.001,,,165000,,-40.625809242248536,,562.9674350444664,1000.0
180,167609,1.2421986600756645,0.001,963.11,450.10208578,168661,1097,-40.05062646484375,153,,
,169609,1.2474994713068008,0.001,,,170000,,-39.853732559204104,,538.8418311604066,1000.0
184,171609,1.264938654243946,0.001,963.11,448.47757408999996,172661,1127,-39.87969078063965,153,,
,174609,1.106771413564682,0.001,,,175000,,-39.869817657470705,,611.6695511580444,1000.0
188,175609,1.0519055045247079,0.001,963.11,446.99533409,176661,1155,-40.020666847229,152,,
,179609,0.9594190061092377,0.001,,,180000,,-40.301517036437986,,587.8200770301744,1000.0
192,,,,963.11,448.33892907999996,180661,1183,,152,,
196,183609,0.8720552797019482,0.001,963.11,447.13934753000007,184661,1203,-41.043674171447755,153,,
,184609,0.8462724971175194,0.001,,,185000,,-41.35619667053223,,782.3537895917892,1000.0
200,187609,0.7619928996860981,0.001,963.11,477.3521050700001,188661,1233,-41.9208773727417,153,,
,189609,0.7727066221833229,0.001,,,190000,,-42.47562113952637,,422.5898334750797,1000.0
204,191609,0.7354105620980262,0.001,972.37,558.80894315,192661,1262,-42.697396614074705,152,,
,194609,0.7903452796936035,0.001,,,195000,,-42.723708297729495,,831.5013202881394,1000.0
208,195609,0.7906183789074421,0.001,991.76,616.5081118200001,196661,1292,-42.783675819396976,152,,
,199609,0.8868436360061168,0.001,,,200000,,-43.135135833740236,,394.8967531629081,1000.0
212,,,,991.76,639.6788672300002,200661,1322,,151,,
216,203609,1.0603010679483413,0.001,991.76,649.6746943300001,204661,1344,-43.600206016540525,152,,
,204609,1.0659855448305606,0.001,,,205000,,-43.65370477294922,,881.1693179767578,1000.0
220,207609,0.9922219820916652,0.001,991.76,662.2378855699999,208661,1372,-43.98526264953613,152,,
,209609,0.9658921107947827,0.001,,,210000,,-44.229848739624025,,423.8787161775952,1000.0
224,211609,0.9686401921212673,0.001,1000.0,690.7551228599998,212661,1402,-44.14992469024658,151,,
,214609,0.8744444666206836,0.001,,,215000,,-44.27293608856201,,734.0602437137626,1000.0
228,215609,0.8734930338263511,0.001,1000.0,698.9117449899998,216661,1429,-44.09027424621582,151,,
,219609,0.8924816159009934,0.001,,,220000,,-44.03961956787109,,834.3888331179071,1000.0
232,,,,1000.0,718.4552545600001,220661,1457,,151,,
236,223609,0.8981729995012283,0.001,1000.0,729.3078019,224661,1476,-44.26049841308594,152,,
,224609,0.9616347567141056,0.001,,,225000,,-44.29466331481934,,749.3756713865499,1000.0
240,227609,0.8169108004271984,0.001,1000.0,726.5164947499999,228661,1505,-44.57492153167725,151,,
,229609,0.8123660572767257,0.001,,,230000,,-44.7875657043457,,871.3357198327052,1000.0
244,231609,0.8935609944164753,0.001,1000.0,731.62071155,232661,1531,-44.81689387512207,151,,
,234609,0.8260224592983723,0.001,,,235000,,-45.18826636505127,,810.8429864839418,1000.0
248,235609,0.8470161327421665,0.001,1000.0,741.0097644699998,236661,1558,-45.20613240814209,151,,
,239609,0.8748945455849171,0.001,,,240000,,-46.34153496551514,,914.2641639560461,1000.0
252,,,,1000.0,745.9140827600002,240661,1585,,151,,
256,243609,0.9021713384985923,0.001,1000.0,744.58899405,244661,1605,-47.467030799865725,152,,
,244609,0.8762416934072972,0.001,,,245000,,-47.68797024536133,,869.2291886986699,1000.0
260,247609,0.8481522017717361,0.001,1000.0,747.2378468500001,248661,1632,-48.43707592010498,152,,
,249609,0.8662136867940425,0.001,,,250000,,-48.71202291870117,,828.1752613224555,1000.0
264,251609,0.8525219835042953,0.001,1000.0,749.34338924,252661,1659,-48.87173956298828,152,,
,254609,0.8576324377954007,0.001,,,255000,,-49.399437339782715,,591.97647373511,1000.0
268,255609,0.8496246699094773,0.001,1000.0,751.0390896099999,256661,1687,-49.61554200744629,152,,
,259609,0.7846629500687122,0.001,,,260000,,-50.107544387817384,,887.2157997980714,1000.0
272,,,,1000.0,758.60081567,260661,1715,,151,,
276,263609,1.024486115783453,0.001,1000.0,768.9263314699998,264661,1733,-50.72195748901367,152,,
,264609,1.0080991200506688,0.001,,,265000,,-50.7896123123169,,652.097352875676,1000.0
280,267609,1.0278003041446209,0.001,1000.0,781.94769896,268661,1760,-51.11057459259033,152,,
,269609,1.0185712015330792,0.001,,,270000,,-50.84664735412598,,830.7086373999784,1000.0
284,271609,0.9468161969482899,0.001,1000.0,787.93694465,272661,1787,-50.83010569000244,152,,
,274609,0.8791080058813096,0.001,,,275000,,-50.96481578826904,,946.214658290986,1000.0
288,275609,0.8720951124727726,0.001,1000.0,798.9742886500001,276661,1814,-50.850132537841795,152,,
,279609,0.9008188664615154,0.001,,,280000,,-50.51691739654541,,642.4131037218264,1000.0
292,,,,1000.0,805.9306688500001,280661,1840,,152,,
296,283609,0.8581285127401352,0.001,1000.0,766.4538307199999,284661,1858,-50.64894194793701,153,,
,284730,0.8920313230723389,0.001,,,285000,,-50.310788389112126,,625.2658018079353,658.5
300,286730,0.9370542713999748,0.001,991.21,761.4283438,287782,1877,-50.41569958496094,153,,
,289730,0.8709214923381805,0.001,,,290000,,-50.542678314208985,,126.41716954507902,902.6
304,290730,0.7646656931340694,0.001,991.21,744.98333371,291782,1902,-50.52346992492676,153,,
,294730,0.7913411548137664,0.001,,,295000,,-50.826915580749514,,637.9079876217177,906.4
308,,,,991.21,743.3316325200001,295782,1927,,153,,
312,298730,0.8676347895264626,0.001,991.21,747.2114629200001,299782,1945,-51.526873008728025,154,,
,299730,0.7961486804187298,0.001,,,300000,,-51.548571266174314,,402.21241976005257,807.6
316,302730,0.7864175881445408,0.001,991.21,741.52303594,303782,1971,-52.12098916625977,154,,
,304846,0.8398228095009409,0.001,,,305000,,-52.51684971513419,,588.2981005093083,802.0
320,305846,0.7927826544642449,0.001,982.37,730.1108103,306898,1991,-52.40122026824951,154,,
,309846,0.8579734831154346,0.001,,,310000,,-52.37234537506104,,629.0364937487641,831.4
324,,,,982.37,730.9329366500001,310898,2016,,154,,
328,312890,0.8498815887570381,0.001,972.81,719.5139730400001,313942,2030,-52.457460273742676,154,,
,314947,0.7847819509506225,0.001,,,315000,,-52.56720195007324,,238.60718653075165,735.0
332,315947,0.9291792124211788,0.001,963.38,703.7628360699999,316999,2050,-52.81639283752441,154,,
,319947,0.7716326941847801,0.001,,,320000,,-53.39199725341797,,680.691709997505,773.2
336,,,,963.38,709.32749074,320999,2077,,154,,
340,323204,1.4309463597225307,0.001,955.95,694.4088435199999,324256,2092,-53.345639044000194,154,,
,324204,1.1243142229914664,0.001,,,325000,,-53.44100926971436,,1135.845791612193,1000.0
344,327204,1.115092723429203,0.001,955.95,704.5584408,328256,2119,-53.94899792480469,154,,
,329204,1.0667719973325729,0.001,,,330000,,-54.03843458557129,,714.966729498771,1000.0
348,331204,1.2427239599823952,0.001,955.95,693.7392391100001,332256,2148,-54.1025171508789,154,,
352,334222,1.1812869552373886,0.001,936.87,643.5484269600001,334348,2161,-54.188232986450195,154,,
,334636,1.2074500484900041,0.001,,,335000,,-54.23808337480594,,487.9120108549716,630.4
356,335636,1.3384348669350148,0.001,912.32,620.92007737,335893,2172,-54.06227490234375,154,,
360,338841,1.6424273760914803,0.001,902.73,610.17702446,338934,2187,-53.83115880584717,154,,
,339882,1.5101396371722222,0.001,,,340000,,-53.84860939025879,,570.3666227812297,1000.0
364,341882,1.563463625252247,0.001,902.73,597.52596759,342934,2209,-53.54491774749756,155,,
,344882,1.5370111740231513,0.001,,,345000,,-52.87756195068359,,851.9079707759665,1000.0
368,345882,1.436463269174099,0.001,897.4,592.92577627,346401,2235,-52.70914728546143,154,,
,349349,1.8444465361833573,0.001,,,350000,,-52.92720402526855,,878.7464689077482,924.9
372,,,,897.4,592.04253632,350401,2259,,155,,
376,353349,1.5622925466299058,0.001,897.4,600.95239718,354401,2277,-52.82289264678955,155,,
,354349,1.5885576429367065,0.001,,,355000,,-53.26980564880371,,946.2087983393315,1000.0
380,357349,1.4612173758149147,0.001,897.4,617.75557762,358401,2304,-53.66309254455567,155,,
,359850,1.6052943490743636,0.001,,,360000,,-54.112764671325685,,193.26389882751974,868.8
384,360850,1.7785432506203651,0.001,892.41,604.29585917,361902,2327,-54.28446291351318,155,,
,364850,1.8487180744409561,0.001,,,365000,,-55.16165065002441,,1457.875144437328,1000.0
388,,,,892.41,609.17276222,365902,2354,,155,,
392,368850,2.0259967285990714,0.001,888.71,594.623137,369532,2373,-56.03812728118896,155,,
,369480,2.0783347478934697,0.001,,,370000,,-56.092600661989245,,863.6886460655776,860.4
396,372480,2.0613612060546873,0.001,888.71,653.4767746199999,373532,2398,-56.88807593536377,155,,
,374480,2.074397225856781,0.001,,,375000,,-57.563791481018065,,1370.124017092056,1000.0
400,376480,2.050277638554573,0.001,897.5,686.2459889099998,377532,2424,-58.32405856323242,155,,
,379480,2.265517333984375,0.001,,,380000,,-59.50482126617432,,1592.2876094462001,1000.0
404,380480,2.0990396949648855,0.001,897.5,740.82512722,381532,2453,-59.69241714477539,155,,
,384480,2.3515036731958388,0.001,,,385000,,-60.886968826293945,,1649.1030182736692,1000.0
408,,,,897.5,753.0817420600001,385532,2479,,155,,
412,388480,2.4578168219327927,0.001,897.5,789.72631098,389532,2499,-61.934904998779295,155,,
,389480,2.5333405435085297,0.001,,,390000,,-62.056330711364744,,1712.3096426309087,1000.0
416,392480,2.719388489127159,0.001,897.5,825.0245321000001,393532,2527,-62.703508010864255,155,,
,394480,2.5804643476605413,0.001,,,395000,,-63.25670946502686,,1759.986571848532,1000.0
420,396480,2.8716619783639907,0.001,906.34,873.32415362,397532,2556,-64.0133134765625,155,,
,399480,2.9043479026556014,0.001,,,400000,,-64.71091500854492,,1803.4129081218737,1000.0
424,400480,3.126051435112953,0.001,906.34,916.26677834,401532,2584,-65.25708772277832,155,,
,404480,3.003903663277626,0.001,,,405000,,-67.59690900421143,,1643.3079309585505,950.2
428,,,,915.9,960.7293760100001,405532,2611,,155,,
432,407677,3.0536790653467176,0.001,917.3,964.3409946900001,408729,2627,-69.62173377227784,155,,
,409677,3.2061639437675478,0.001,,,410000,,-70.28620176696778,,1850.2461736896075,1000.0
436,411677,3.410963059902191,0.001,917.3,998.6396269300001,412729,2656,-71.78869541168213,155,,
,414677,3.704651541233063,0.001,,,415000,,-73.25386245727539,,1728.042255637981,1000.0
440,415677,3.6159914891719818,0.001,924.73,1017.3672690000001,416729,2684,-73.3847818069458,155,,
,419677,3.667709603071213,0.001,,,420000,,-75.33015649414062,,1436.6154764952603,974.1
444,,,,924.73,1045.75683818,420729,2712,,155,,
448,423016,3.875174386739731,0.001,918.12,1084.3123655699999,424068,2728,-76.78937194824219,155,,
,424016,3.9902165055274965,0.001,,,425000,,-77.10979745483398,,1907.3215946868063,1000.0
452,427016,3.971127064347267,0.001,928.82,1157.5488302600002,427230,2756,-78.73780880737304,155,,
,429178,4.0957061936855315,0.001,,,430000,,-79.89330117797851,,1673.5882586174296,1000.0
456,430178,4.260828345894813,0.001,944.23,1199.6464472100001,430316,2780,-80.19112998962402,154,,
460,433264,4.567534373164177,0.001,953.82,1244.9383560200001,434316,2796,-81.81394764709472,155,,
,434264,4.321730501890182,0.001,,,435000,,-81.88108576965332,,1748.3426189386053,1000.0
464,437264,4.2148481308221815,0.001,953.82,1290.24952806,438316,2824,-83.83362376403808,155,,
,439264,4.371659695386887,0.001,,,440000,,-84.80115191650391,,1478.126511883945,902.4
468,441264,4.288053437232971,0.001,959.15,1306.01043163,442316,2850,-86.7604656829834,155,,
,444264,4.69152232170105,0.001,,,445000,,-88.17953797912598,,1862.329887981806,1000.0
472,445264,4.362830206871033,0.001,959.15,1342.6727713600003,446316,2875,-88.60406309509277,155,,
,449188,4.149033698916435,0.001,,,450000,,-89.09630158996582,,1914.963170132134,1000.0
476,,,,958.39,1378.25311181,450240,2901,,155,,
480,453188,4.4494648407697674,0.001,958.39,1408.6642137,454240,2919,-89.789328125,155,,
,454188,4.608652114629746,0.001,,,455000,,-90.39498329162598,,1934.8097625939176,1000.0
484,457188,4.430991765856743,0.001,963.38,1467.63357796,458240,2946,-91.09287959289551,155,,
,459188,4.292658207535744,0.001,,,460000,,-91.9472862701416,,1890.206859067548,1000.0
488,461188,3.9764664636850355,0.001,963.38,1500.1862003500003,462240,2972,-92.68563764953613,155,,
,464188,4.066807572007179,0.001,,,465000,,-94.0556397857666,,1778.0522583616664,941.0
492,465188,3.9368249678611758,0.001,967.08,1557.4783759499999,466240,2997,-94.75204116821288,155,,
496,468876,4.45194795675749,0.001,963.96,1580.2751882399998,469928,3015,-96.30317665809808,155,,
,469876,4.28422693169117,0.001,,,470000,,-96.58104206848145,,2055.654658102244,1000.0
500,472505,5.101527461886406,0.001,960.25,1593.83772497,473557,3041,-97.42837704467773,155,,
,474505,4.379909664154053,0.001,,,475000,,-98.05727526855469,,1575.6887344975955,902.3
504,476505,4.300842229127884,0.001,960.25,1605.3593994100002,477557,3067,-98.71703132629395,155,,
,479505,4.60953352034092,0.001,,,480000,,-99.33394033813477,,2079.4992407689338,1000.0
508,480505,4.998700681328773,0.001,960.25,1641.07226421,481557,3094,-99.87948463439942,155,,
,484505,4.464549725532532,0.001,,,485000,,-101.07700175476074,,1889.3037169241811,968.5
512,,,,960.25,1650.31495988,485557,3123,,155,,
516,488505,4.292080421209335,0.001,960.25,1667.6866848599998,489557,3141,-102.81862197875977,155,,
,489505,4.518179394483567,0.001,,,490000,,-103.05139709472657,,2185.069630012987,1000.0
520,492505,4.642713208913803,0.001,960.25,1678.8526086499999,493557,3171,-104.15204179382324,155,,
,494505,4.105238419294357,0.001,,,495000,,-104.2242748413086,,2067.6896940201523,1000.0
524,496505,3.9935126546621325,0.001,960.25,1690.5027275,497557,3199,-105.57905128479004,155,,
,499505,4.162235758543014,0.001,,,500000,,-106.36172402954102,,2126.730406217894,1000.0
528,500505,4.215584858179092,0.001,960.25,1707.1264646300003,501557,3226,-106.41934133911133,155,,
,504505,5.267819156050682,0.001,,,505000,,-107.23124111938476,,1923.6554786251859,877.4
532,,,,968.28,1767.5898283,505557,3253,,155,,
536,508505,4.6067438839673995,0.001,968.28,1779.1681859500002,509557,3271,-108.29217938232422,155,,
,509505,4.731511552453041,0.001,,,510000,,-108.52799891662598,,2068.8541572393615,1000.0
540,512505,4.566179517745971,0.001,968.28,1833.4037382300003,513557,3297,-109.19305599975586,155,,
,514505,4.779193701148033,0.001,,,515000,,-109.65678776550293,,2250.486120032333,1000.0
544,516505,4.80583156490326,0.001,968.28,1852.7023223100002,517557,3322,-110.42816967773437,155,,
,519505,4.718610431194305,0.001,,,520000,,-111.02977616882325,,2246.0022540192585,1000.0
548,520505,4.5053244400024415,0.001,974.89,1884.0377968999999,521557,3348,-111.72466786193847,155,,
,524505,4.350110665559769,0.001,,,525000,,-111.7282576751709,,2161.472692814469,1000.0
552,,,,983.27,1913.7030598499998,525557,3375,,155,,
556,528505,4.640388992071152,0.001,992.41,1944.6105708500002,529557,3393,-112.81812063598633,156,,
,529505,4.63176501083374,0.001,,,530000,,-113.30839152526856,,2258.442624415248,1000.0
560,532505,5.051842520952225,0.001,992.41,1963.7931725300002,533557,3420,-114.09238659667969,156,,
,534505,4.93802655339241,0.001,,,535000,,-114.20967520141602,,2192.7692954953964,1000.0
564,536505,4.925045975446701,0.001,992.41,1983.7664439399998,537557,3448,-114.4025920715332,155,,
,539505,5.061442698955536,0.001,,,540000,,-115.17728421020507,,2311.960229671188,1000.0
568,540505,5.115240273833275,0.001,992.41,2026.6550252799998,541557,3475,-115.19528656005859,155,,
,544505,5.079621954321861,0.001,,,545000,,-116.47184150695801,,2169.652018844662,1000.0
572,,,,992.41,2042.7844007800002,545557,3503,,155,,
576,548505,5.073430016040802,0.001,993.17,2058.07292607,549557,3521,-117.67644036865235,156,,
,549505,4.7293086607456205,0.001,,,550000,,-118.46320794677735,,1975.9299786394463,917.4
580,552505,5.4673243651390075,0.001,993.17,2067.87505388,553557,3546,-119.59450915527344,156,,
,554505,5.6650347406864165,0.001,,,555000,,-120.57547416687012,,2082.5421971369533,965.8
584,556505,4.858031146883965,0.001,993.17,2077.8685005499997,557557,3572,-120.8145994567871,156,,
,559505,5.132015906810761,0.001,,,560000,,-121.07970681762696,,2059.101970065292,910.8
588,560505,4.890263678789139,0.001,993.17,2093.9140371,561557,3596,-121.00266482543945,156,,
,564505,5.02906648671627,0.001,,,565000,,-121.83818923950196,,2220.3265766136346,1000.0
592,,,,993.17,2105.1682048,565557,3622,,156,,
596,568505,5.349469223260879,0.001,987.88,2100.5532277,568716,3640,-122.70678773498535,156,,
,569664,5.197401050567627,0.001,,,570000,,-123.15214604187011,,2169.190904250578,966.2
600,571664,4.678923075079918,0.001,991.59,2117.52997912,572716,3663,-123.32446987915039,156,,
,574664,5.09128871846199,0.001,,,575000,,-123.21159735107422,,2251.645784847625,1000.0
604,575664,5.374528889656067,0.001,985.72,2115.52675062,576129,3687,-123.41991134643554,156,,
,579077,5.606660383820533,0.001,,,580000,,-124.04353645324707,,2240.68449898446,1000.0
608,,,,985.72,2123.66486857,580129,3712,,156,,
612,583077,5.297297689199447,0.001,985.72,2135.5216710299997,584129,3730,-125.50633665466309,156,,
,584077,5.937279792666435,0.001,,,585000,,-125.75634150695801,,2237.448396770121,1000.0
616,587077,5.0353694511652,0.001,985.72,2141.7070831399997,588129,3756,-126.52075886535644,156,,
,589077,4.97217806494236,0.001,,,590000,,-126.95837170410157,,2229.7894338463316,1000.0
620,591077,5.471364146709442,0.001,985.72,2148.2755535499996,592129,3782,-127.41716770935058,156,,
,594077,5.079313835859299,0.001,,,595000,,-127.12280598449708,,2104.217087814957,956.2
624,595077,5.279838369727135,0.001,985.72,2155.9383055199996,596129,3807,-127.54943074035644,156,,
628,598832,5.592519743442535,0.001,983.27,2144.7693416800003,599884,3824,-128.30382267761232,156,,
,599832,5.592539579391479,0.001,,,600000,,-127.72586730957032,,2159.2410979151728,1000.0
632,602832,6.063128520727157,0.001,983.27,2152.4914569899997,603884,3851,-128.30265553283692,156,,
,604832,6.412250930666923,0.001,,,605000,,-128.67130422973634,,2249.1001088200137,1000.0
636,606832,6.026393341064453,0.001,983.27,2162.36706258,607884,3878,-129.04015007019044,156,,
,609832,5.908264090776443,0.001,,,610000,,-129.9281904296875,,2362.3254797419067,1000.0
640,610832,5.519760986566544,0.001,983.27,2171.97824647,611884,3905,-130.00183750915528,156,,
,614832,5.568614225149155,0.001,,,615000,,-131.25943173217775,,2371.014698855067,1000.0
644,,,,983.27,2175.15175847,615884,3931,,156,,
648,618832,5.650827591061592,0.001,983.27,2176.44954304,619884,3950,-131.41198497009276,156,,
,619832,5.692790929555893,0.001,,,620000,,-131.69354336547852,,2196.606849300838,1000.0
652,622832,5.622786973237991,0.001,983.27,2179.4617922599996,623884,3977,-132.21182063293458,156,,
,624832,5.778312873840332,0.001,,,625000,,-132.37277995300292,,2342.462554781884,1000.0
656,626832,5.582603422164917,0.001,983.27,2186.57082748,627884,4004,-132.84473210144043,156,,
,629832,5.593322369813919,0.001,,,630000,,-133.02688038635253,,1881.1675268564547,1000.0
660,630832,5.2890341360569,0.001,983.27,2193.76672736,631884,4030,-133.91446397399903,156,,
,634832,5.107877984881401,0.001,,,635000,,-134.43329734802245,,2347.4767737075686,1000.0
664,,,,983.27,2199.17184442,635884,4058,,156,,
668,638832,5.609364593982696,0.001,983.27,2202.22752568,639884,4077,-135.006274017334,156,,
,639832,5.533239748954773,0.001,,,640000,,-134.92184352111818,,2170.7116592938546,1000.0
672,642832,5.660922986268997,0.001,983.27,2207.06917783,643884,4104,-135.54800975036622,156,,
,644832,5.546617133378983,0.001,,,645000,,-136.07548655700683,,2288.5610488733278,1000.0
676,646832,5.527136802196503,0.001,983.27,2210.5797386100003,647884,4132,-136.55893316650392,156,,
,649832,5.566407512187958,0.001,,,650000,,-137.10295223999023,,2207.3713096557185,1000.0
680,650832,5.519266694784164,0.001,983.27,2216.8059586500003,651884,4161,-138.06874478149413,156,,
,654832,5.514923567533493,0.001,,,655000,,-139.1893780822754,,2364.346699240431,1000.0
684,,,,983.27,2222.8952652499997,655884,4189,,156,,
688,658832,5.6516960878372196,0.001,983.27,2226.86376631,659884,4209,-140.4876880645752,156,,
