time/total_timesteps,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/critic_loss,train/ent_coef_loss,train/n_updates,train/ent_coef,train/actor_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
19,4,4.75,0,1043,1.76622175,,,,,,,,
40,8,5.0,0,1023,2.224009,,,,,,,,
59,12,4.916666666666667,0,1048,2.1506855833333334,,,,,,,,
79,16,4.9375,0,1025,2.09567175,,,,,,,,
98,20,4.9,0,1010,2.07144065,,,,,,,,
119,24,4.958333333333333,0,395,2.085021333333333,19.66987419128418,-0.1007792055606842,18,0.9948487281799316,-12.441094398498535,0.0003,,
141,28,5.035714285714286,0,274,2.1213506428571427,21.126773834228516,-0.23795029520988464,40,0.9881367683410645,-13.105331420898438,0.0003,,
159,32,4.96875,0,232,2.08803175,25.849946975708008,-0.3496778905391693,58,0.9826833009719849,-13.181604385375977,0.0003,,
187,36,5.194444444444445,1,184,2.30482325,24.86063003540039,-0.5225166082382202,86,0.9742966294288635,-13.989657402038574,0.0003,,
206,40,5.15,1,167,2.2895414,23.888446807861328,-0.6367080211639404,105,0.9686683416366577,-13.931854248046875,0.0003,,
228,44,5.181818181818182,1,157,2.2970455909090908,21.294898986816406,-0.7735403180122375,127,0.9622101783752441,-14.853191375732422,0.0003,,
250,48,5.208333333333333,1,149,2.3590345,16.094989776611328,-0.899285078048706,149,0.955810010433197,-15.248236656188965,0.0003,,
276,52,5.3076923076923075,1,139,2.359331,9.61510944366455,-1.0540010929107666,175,0.9483289122581482,-15.950965881347656,0.0003,,
298,56,5.321428571428571,2,135,2.385574357142857,7.013489246368408,-1.193854808807373,197,0.9420720338821411,-16.576385498046875,0.0003,,
327,60,5.45,2,130,2.4965235666666667,4.608033180236816,-1.3444147109985352,226,0.933933436870575,-17.827159881591797,0.0003,,
344,64,5.375,2,128,2.44798321875,3.026197910308838,-1.439813256263733,243,0.9292097091674805,-17.750335693359375,0.0003,,
370,68,5.4411764705882355,2,125,2.4829072647058825,3.430241107940674,-1.5825459957122803,269,0.9220550060272217,-18.930156707763672,0.0003,,
389,72,5.402777777777778,3,123,2.4629291527777775,3.6503710746765137,-1.6911805868148804,288,0.9168771505355835,-18.01468276977539,0.0003,,
416,76,5.473684210526316,3,120,2.474393328947368,3.1297683715820312,-1.852837085723877,315,0.9095733165740967,-18.524417877197266,0.0003,,
449,80,5.6125,3,117,2.5603514499999998,2.5562334060668945,-2.055288314819336,348,0.9006787538528442,-19.468626022338867,0.0003,,
470,84,5.595238095238095,4,114,2.5487494642857143,2.317014455795288,-2.185840129852295,369,0.8950476050376892,-19.951950073242188,0.0003,,
492,88,5.590909090909091,4,113,2.505037,2.7351155281066895,-2.3129167556762695,391,0.889171838760376,-19.49566078186035,0.0003,,
512,92,5.565217391304348,4,112,2.5117539673913045,2.8631505966186523,-2.4397201538085938,411,0.883851170539856,-20.737869262695312,0.0003,,
531,96,5.53125,4,111,2.4928065,3.392967462539673,-2.5578794479370117,430,0.8788180351257324,-19.906047821044922,0.0003,,
553,100,5.53,5,110,2.51067182,3.490097999572754,-2.690636157989502,452,0.8730226755142212,-20.247915267944336,0.0003,,
569,104,5.5,5,109,2.508708,3.6089119911193848,-2.797024965286255,468,0.868829607963562,-20.806137084960938,0.0003,,
592,108,5.52,5,108,2.47960642,2.8157339096069336,-2.9227511882781982,491,0.8628374338150024,-20.338895797729492,0.0003,,
612,112,5.53,5,108,2.4858454500000007,2.8620686531066895,-3.021651029586792,511,0.8576517105102539,-20.94336700439453,0.0003,,
639,116,5.6,5,107,2.52816673,3.161954879760742,-3.1812243461608887,538,0.8507102727890015,-20.503299713134766,0.0003,,
665,120,5.67,6,106,2.5114001100000003,3.2488064765930176,-3.344752311706543,564,0.844089925289154,-21.82866668701172,0.0003,,
694,124,5.75,6,106,2.5227853000000002,2.3082680702209473,-3.5232012271881104,593,0.8367657661437988,-20.282958984375,0.0003,,
725,128,5.84,6,106,2.55746855,3.6914172172546387,-3.7091846466064453,624,0.8290107250213623,-20.857589721679688,0.0003,,
752,132,5.93,7,105,2.61299134,3.1603846549987793,-3.8508172035217285,651,0.8223280310630798,-20.879150390625,0.0003,,
782,136,5.95,7,105,2.59165668,2.892580032348633,-4.053995609283447,681,0.8149690628051758,-22.111968994140625,0.0003,,
804,140,5.98,7,105,2.58237162,2.85198712348938,-4.173480987548828,703,0.8096229434013367,-22.245956420898438,0.0003,,
829,144,6.01,7,104,2.6226701200000004,3.7140583992004395,-4.27264928817749,728,0.8035941123962402,-22.00438690185547,0.0003,,
855,148,6.05,8,104,2.65615766,3.8380956649780273,-4.460888862609863,754,0.7973788976669312,-21.75765609741211,0.0003,,
879,152,6.03,8,104,2.66699885,2.942725896835327,-4.588648796081543,778,0.7916880249977112,-21.601572036743164,0.0003,,
915,156,6.17,8,103,2.74546333,5.457608222961426,-4.821381092071533,814,0.7832263708114624,-21.17573356628418,0.0003,,
939,160,6.12,9,103,2.68112408,3.6365339756011963,-4.877503395080566,838,0.7776424884796143,-21.878490447998047,0.0003,,
966,164,6.22,9,103,2.69962534,6.402639865875244,-5.0605149269104,865,0.7714402079582214,-21.481571197509766,0.0003,,
985,168,6.15,9,103,2.6579313300000003,4.270382881164551,-5.149381637573242,884,0.7671145796775818,-22.25560760498047,0.0003,,
1010,172,6.21,9,102,2.65971356,3.901728391647339,-5.268280982971191,909,0.7614476680755615,-22.104352951049805,0.0003,,
1036,176,6.2,10,102,2.65151503,5.990870475769043,-5.4195027351379395,935,0.7556065917015076,-22.14931297302246,0.0003,,
1059,180,6.1,10,102,2.5915233400000006,4.88978385925293,-5.5811848640441895,958,0.7504788041114807,-21.187267303466797,0.0003,,
1089,184,6.19,10,102,2.6312003999999996,5.1805419921875,-5.726134777069092,988,0.7438368201255798,-21.519554138183594,0.0003,,
1107,188,6.15,10,101,2.6700614900000006,4.540410995483398,-5.877824783325195,1006,0.7398763298988342,-19.488018035888672,0.0003,,
1135,192,6.23,11,101,2.6594392900000012,6.150986671447754,-6.032147407531738,1034,0.7337563037872314,-22.69430160522461,0.0003,,
1159,196,6.28,11,101,2.6928491,5.094612121582031,-6.203856945037842,1058,0.728548526763916,-20.527297973632812,0.0003,,
1178,200,6.25,11,101,2.66067823,5.421300888061523,-6.255166053771973,1077,0.724455714225769,-21.987125396728516,0.0003,,
1206,204,6.37,11,101,2.72849301,6.837103366851807,-6.371609687805176,1105,0.7184670567512512,-21.88262939453125,0.0003,,
1235,208,6.43,12,101,2.8228809999999998,6.3819661140441895,-6.570406913757324,1134,0.7123095393180847,-21.610567092895508,0.0003,,
1254,212,6.42,12,101,2.8156164500000007,7.093873977661133,-6.751780033111572,1153,0.7082974910736084,-22.187759399414062,0.0003,,
1285,216,6.46,12,101,2.82543301,4.016766548156738,-6.8474531173706055,1184,0.7017929553985596,-21.44894790649414,0.0003,,
1304,220,6.39,12,101,2.8476848800000005,6.270024299621582,-7.017944812774658,1203,0.6978417634963989,-20.756206512451172,0.0003,,
1327,224,6.33,13,101,2.850442110000001,7.929068565368652,-7.171086311340332,1226,0.6930797100067139,-20.57591438293457,0.0003,,
1351,228,6.26,13,101,2.82568264,6.130345821380615,-7.295097351074219,1250,0.688142716884613,-19.838106155395508,0.0003,,
1384,232,6.32,13,101,2.78956223,6.702181339263916,-7.537220478057861,1283,0.6813974976539612,-20.257579803466797,0.0003,,
