rollout/ep_rew_mean,train/n_updates,train/critic_loss,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
-804.88515167,87902,9.890386633312001,164,159,552,271.43,88086,47.08872622321634,0.001,,
-750.04836354,88371,7.211332849554114,168,159,555,254.4,88475,47.47083706325955,0.001,,
-751.1616839,88675,10.546053952948991,172,159,556,255.37,88730,47.282206956730334,0.001,,
,89687,10.036874741077423,,,,,90000,49.092045593261716,0.001,-1419.165756881237,521.0
-773.17290002,90713,10.578914697353657,176,159,570,264.35,90811,52.7464846097506,0.001,,
-797.1277572900002,91854,10.843790204901444,180,159,575,273.69,91974,52.582875301963405,0.001,,
-781.1591877200001,92504,11.780952453613281,184,159,579,269.03,92609,52.43297839164734,0.001,,
-775.6796887300001,92633,10.90428511755807,188,159,579,267.09,92685,52.70645096722771,0.001,,
-774.8059152500001,92744,10.76258300145467,192,159,580,267.03,92799,53.71914863586426,0.001,,
-772.5130615,93898,13.029352001521898,196,160,585,267.36,93975,54.690658251444496,0.001,,
,94953,12.965446135282516,,,,,95000,56.34764979553223,0.001,-770.2940919503569,341.9
-683.45215937,94978,11.800412158966065,200,160,593,239.65,95204,56.32540247990535,0.001,,
-611.95022321,96262,14.040401276111602,204,160,599,220.67,96324,56.82599907684326,0.001,,
-573.21529903,96517,12.679865967143666,208,162,601,210.9,97560,56.47804988514293,0.001,,
-557.6046158099999,97694,13.981377106268429,212,162,607,209.03,98737,57.88926608745869,0.001,,
-556.4137638799999,98803,20.977806568145752,216,161,612,209.22,98857,55.83279800415039,0.001,,
-460.00284015,98884,12.697733364105225,220,161,612,177.24,98953,57.147230001596306,0.001,,
-462.26210609000003,99133,10.018036427036408,224,161,614,179.05,99271,58.841678619384766,0.001,,
-454.90761754,99899,15.279070915042103,228,161,617,179.63,99966,57.70919906509506,0.001,,
,99923,10.56694326798121,,,,,100000,56.82411321004232,0.001,-216.1421971652191,235.8
-399.55429222999993,100199,15.109284262285165,232,161,620,162.13,100268,58.74485228402274,0.001,,
-397.94167877,100325,13.344306210676828,236,161,621,162.32,100382,57.71408875783285,0.001,,
-412.1895816699999,101565,15.313990020751953,240,162,627,174.55,101665,57.442009880429225,0.001,,
