time/episodes,rollout/ep_len_mean,time/fps,train/learning_rate,time/time_elapsed,time/total_timesteps,train/actor_loss,train/n_updates,rollout/ep_rew_mean,train/critic_loss,eval/mean_reward,eval/mean_ep_length
4,754.5,268,0.001,11,3018,-2.1529848971553145,2000,-1129.4183285,0.04922684554231819,,
,,,0.001,,5000,-0.6130870919115842,4000,,0.1083680916428566,-2783.163303256035,1000.0
8,877.25,165,0.001,42,7018,-0.24908745767606888,6000,-1843.9698228749999,0.22009232467785478,,
12,687.1666666666666,168,0.001,48,8246,-0.12293832624951999,7228,-1472.3078539166663,0.6914363124718269,,
16,521.6875,156,0.001,53,8347,1.216807136933009,8296,-1116.6314465,0.6567575683196386,,
20,429.5,158,0.001,54,8590,1.6886479975219117,8432,-915.5053165499997,0.7837568396522153,,
24,408.125,172,0.001,56,9795,2.692366506214495,8777,-792.9544738333334,0.7473506105166895,,
,,,0.001,,10000,3.4885771251916884,9777,,0.612817680478096,34.20584769617708,622.0
28,429.2142857142857,152,0.001,78,12018,4.300124608516693,11960,-669.1778966785715,0.6449430113732815,,
,,,0.001,,15000,3.3641862459219993,14676,,0.7667185919880867,511.6529973838216,1000.0
32,490.4375,152,,103,15694,,,-530.62605259375,,,
36,547.0555555555555,157,0.001,125,19694,1.7914696873975917,18676,-421.3808515277778,0.5475914114415645,,
,,,0.001,,20000,1.1127977181477473,19676,,0.5079320129454136,638.953670550976,1000.0
40,592.35,151,0.001,155,23694,-1.2022418256415985,22676,-309.2530833,0.4140233569890261,,
,,,0.001,,25000,-2.8467177706956863,24676,,0.4066233959645033,755.4535181490704,1000.0
44,629.4090909090909,148,0.001,186,27694,-4.70215948009491,26676,-211.3862255227273,0.3828854835033417,,
,,,0.001,,30000,-7.9844496383667,29676,,0.37235389721393586,755.5759454905987,1000.0
48,660.2916666666666,146,0.001,216,31694,-9.095379029273987,30676,-129.12140460416666,0.36571606010198593,,
,,,0.001,,35000,-13.583021522521973,34676,,0.3835126125961542,773.2911774858833,1000.0
52,686.4230769230769,144,,246,35694,,,-63.35094428846155,,,
56,708.8214285714286,148,0.001,267,39694,-18.205125360488893,38676,-5.393563035714304,0.4312225782722235,,
,,,0.001,,40000,-19.431795989990235,39676,,0.4830677324682474,840.4594661742449,1000.0
60,728.2333333333333,147,0.001,297,43694,-23.452450244903563,42676,49.54539994999998,0.6278382627367973,,
,,,0.001,,45000,-26.448322792053222,44676,,0.87545027962327,881.3908825650811,1000.0
64,745.21875,145,0.001,327,47694,-29.756114074707032,46676,100.07791779687498,1.1584538052678108,,
,,,0.001,,50000,-34.907869800567624,49676,,1.7405980537235737,721.755980875087,1000.0
68,760.2058823529412,144,0.001,357,51694,-36.33024767684937,50676,137.1243614117647,2.200984299123287,,
,,,0.001,,55000,-42.41051528930664,54676,,3.3091815276145935,816.592234698683,1000.0
72,773.5277777777778,143,,388,55694,,,164.61406838888888,,,
76,774.1447368421053,145,0.001,405,58835,-48.45108233860561,57817,184.4823405263158,6.269771262263576,,
,,,0.001,,60000,-51.65050228881836,59817,,8.267629719674588,369.5700707443117,966.1
80,785.4375,143,0.001,436,62835,-57.1669450302124,61817,205.1708313125,11.33991332244873,,
,,,0.001,,65000,-68.84899001133779,64594,,21.705232979708196,-71.17785686687566,578.3
