rollout/ep_rew_mean,time/fps,train/ent_coef_loss,train/critic_loss,train/n_updates,time/total_timesteps,train/ent_coef,time/time_elapsed,time/episodes,train/actor_loss,rollout/ep_len_mean,train/learning_rate,eval/mean_reward,eval/mean_ep_length
-101.44796099999999,85,-4.306027889251709,1.1877703666687012,1090,1191,0.7220790982246399,13,4,-24.450712203979492,297.75,0.0003,,
-191.89661187500002,80,-12.025436401367188,1.7223337888717651,3275,3376,0.37942466139793396,41,8,-38.92754364013672,422.0,0.0003,,
-185.73750091666668,80,-15.691265106201172,1.3656742572784424,4661,4762,0.2534523904323578,59,12,-40.451690673828125,396.8333333333333,0.0003,,
,,-16.453763961791992,4.704056262969971,4899,5000,0.23665830492973328,,,-40.22676467895508,,0.0003,132.91160386282428,474.5
-149.7199938125,71,-16.840238571166992,2.2699832916259766,4920,5021,0.23523423075675964,70,16,-40.26835250854492,313.8125,0.0003,,
-150.35682645000003,72,-19.324657440185547,2.6481435298919678,6110,6211,0.16771143674850464,85,20,-38.718406677246094,310.55,0.0003,,
-152.423557875,73,-20.69902801513672,2.1049368381500244,7348,7449,0.11821924895048141,100,24,-35.81078338623047,310.375,0.0003,,
-150.77671175,74,-22.566543579101562,2.1321539878845215,8583,8684,0.08388974517583847,116,28,-33.001426696777344,310.14285714285717,0.0003,,
-144.64770753125,75,-21.826902389526367,2.547271490097046,9729,9830,0.06117551401257515,130,32,-29.021203994750977,307.1875,0.0003,,
,,-22.02933692932129,4.090798854827881,9899,10000,0.05840848386287689,,,-28.83349609375,,0.0003,19.18975449294303,912.1
-131.84115022222224,67,-21.81903839111328,2.2267303466796875,9956,10057,0.0575057677924633,148,36,-28.896041870117188,279.3611111111111,0.0003,,
-129.559860725,68,-19.694229125976562,2.599513530731201,11345,11446,0.039624158293008804,166,40,-24.683734893798828,286.15,0.0003,,
-124.214307,69,-19.806438446044922,1.5213639736175537,12630,12731,0.02846122533082962,182,44,-22.16213035583496,289.34090909090907,0.0003,,
-114.8851238125,71,-11.949321746826172,1.4950066804885864,14763,14864,0.017116477712988853,209,48,-18.560222625732422,309.6666666666667,0.0003,,
,,-12.618744850158691,1.771071434020996,14899,15000,0.01662217266857624,,,-18.515132904052734,,0.0003,26.939849998893624,256.6
-103.39343234615384,70,-3.442293643951416,1.5135385990142822,17089,17190,0.01107992697507143,242,52,-16.120647430419922,330.5769230769231,0.0003,,
,,-0.2243213653564453,1.7340412139892578,19899,20000,0.010173249058425426,,,-15.87792682647705,,0.0003,558.67079452826,917.0
-65.70791178571429,68,1.8052968978881836,1.659341812133789,20814,20915,0.011060712859034538,304,56,-16.040752410888672,373.48214285714283,0.0003,,
-23.832864700000005,69,-0.0047737956047058105,0.9772277474403381,23917,24018,0.014821087010204792,343,60,-18.043842315673828,400.3,0.0003,,
,,1.4936683177947998,0.9832252264022827,24899,25000,0.015641028061509132,,,-20.008682250976562,,0.0003,697.9858534751809,903.1
25.740718312499993,68,-1.255312204360962,1.0365245342254639,27917,28018,0.01807551644742489,409,64,-24.013254165649414,437.78125,0.0003,,
,,-1.4473373889923096,0.8771418333053589,29899,30000,0.01992488093674183,,,-26.17973518371582,,0.0003,684.5417344132205,907.1
60.434017205882355,67,-0.39261394739151,0.8994337320327759,30947,31048,0.020236529409885406,462,68,-27.090295791625977,456.5882352941176,0.0003,,
74.18587627777778,67,-1.0231366157531738,1.035280466079712,33514,33615,0.020058205351233482,494,72,-30.431194305419922,466.875,0.0003,,
,,-1.1761457920074463,1.236474871635437,34899,35000,0.020263927057385445,,,-31.373802185058594,,0.0003,647.9977459980582,826.5
100.41743342105265,66,0.5915737748146057,0.8464834690093994,36542,36643,0.020556986331939697,547,76,-33.886146545410156,482.14473684210526,0.0003,,
112.53977289999997,67,-0.7180706262588501,1.245107889175415,39820,39921,0.020522341132164,588,80,-35.378517150878906,499.0125,0.0003,,
