time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/approx_kl,train/n_updates,train/std,train/clip_range,train/entropy_loss,train/loss,train/clip_fraction,train/explained_variance,train/value_loss,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
2048,1,460,101.04519211111112,22.6,4,,,,,,,,,,,,,
4096,2,384,102.28303176,22.72,10,0.0003,0.0198425,10,1.0021806955337524,0.2,-24.142387634515764,429.25885009765625,0.223193359375,0.003519415855407715,1307.5637285232544,-0.06078581795154605,,
5000,,,,,,0.0003,0.026572265,20,0.9996420741081238,0.2,-24.129298162460326,364.4280700683594,0.280322265625,0.02375727891921997,1032.928537940979,-0.0742440573812928,72.05,383.2187217108905
6144,3,317,104.19610256,23.37,19,,,,,,,,,,,,,
8192,4,329,104.41164707,23.26,24,0.0003,0.028474092,30,0.9985185265541077,0.2,-24.10733869075775,406.4337463378906,0.306103515625,0.021231234073638916,944.0924884796143,-0.07868802721204701,,
10000,,,,,,0.0003,0.030759383,40,0.99458247423172,0.2,-24.050916343927383,337.00921630859375,0.333203125,0.021844685077667236,850.09348487854,-0.08192507316707634,57.9,300.9654687643051
10240,5,318,112.52867755,24.91,32,,,,,,,,,,,,,
12288,6,319,120.12976156,26.57,38,0.0003,0.030923981,50,0.995428204536438,0.2,-24.045878714323045,432.29473876953125,0.3373046875,0.015336275100708008,945.2737224578857,-0.084120157873258,,
14336,7,321,126.53661084000001,27.75,44,0.0003,0.032183304,60,0.9943380951881409,0.2,-24.03468089699745,513.7211303710938,0.3279296875,0.030720412731170654,1007.6162376403809,-0.08049972209846601,,
15000,,,,,,0.0003,0.031216376,70,0.9933000206947327,0.2,-24.020498526096343,548.0452880859375,0.32548828125,0.04566681385040283,1081.0220836639405,-0.08111447886039969,59.35,304.3104027092457
16384,8,309,133.64535475,29.21,52,,,,,,,,,,,,,
18432,9,310,135.39023108000004,29.62,59,0.0003,0.024906568,80,0.9923524260520935,0.2,-24.000089985132217,454.3390197753906,0.270849609375,0.051981449127197266,1090.1592176437377,-0.07627812372520566,,
20000,,,,,,0.0003,0.022331486,90,0.9902549386024475,0.2,-23.97354170680046,446.1611022949219,0.24443359375,0.061217427253723145,1142.4447849273681,-0.07201985364954452,54.05,278.19738389253615
20480,10,309,140.49468004999997,30.79,66,,,,,,,,,,,,,
22528,11,316,128.821898,28.24,71,0.0003,0.020802192,100,0.9904257655143738,0.2,-23.956531405448914,439.7440185546875,0.22021484375,0.10494047403335571,1051.6144807815551,-0.07193592133990023,,
24576,12,319,129.13312589999998,28.47,77,0.0003,0.015386052,110,0.9893690943717957,0.2,-23.948316586017608,341.0368347167969,0.1470703125,0.19529098272323608,881.669058227539,-0.05757059436873533,,
25000,,,,,,0.0003,0.014450176,120,0.9890204071998596,0.2,-23.934330463409424,341.1741027832031,0.12412109375,0.3373599648475647,710.5840273857117,-0.054073273023823275,53.95,280.35872061252593
26624,13,314,136.22299367,29.68,84,,,,,,,,,,,,,
28672,14,317,140.79991909999998,30.87,90,0.0003,0.012576793,130,0.9890242218971252,0.2,-23.933309459686278,595.2257690429688,0.098193359375,0.3488965630531311,964.4126335144043,-0.05006463280878961,,
30000,,,,,,0.0003,0.012710303,140,0.9888842105865479,0.2,-23.931843721866606,365.5280456542969,0.107470703125,0.3386557698249817,1004.5027938842774,-0.050755793339340015,53.45,280.80907530784606
30720,15,312,150.90134672,33.04,98,,,,,,,,,,,,,
32768,16,315,161.84110675,35.63,103,0.0003,0.0155332945,150,0.9873765110969543,0.2,-23.91793276667595,554.4976196289062,0.13720703125,0.4099740982055664,944.5901721954345,-0.0552755179873202,,
34816,17,320,162.73005952999998,35.7,108,0.0003,0.014106704,160,0.9862495064735413,0.2,-23.891593825817107,422.0474548339844,0.11162109375,0.36991381645202637,1077.1462524414062,-0.050336738899932246,,
35000,,,,,,0.0003,0.015685286,170,0.9859199523925781,0.2,-23.880371206998824,449.40521240234375,0.1294921875,0.38165944814682007,1149.1094579696655,-0.05496624832449015,54.4,280.99509842544796
36864,18,317,172.15309294,37.63,116,,,,,,,,,,,,,
38912,19,318,177.43712832,38.83,122,0.0003,0.016955582,180,0.9855701327323914,0.2,-23.874117761850357,431.8449401855469,0.154052734375,0.3446168303489685,1176.4576572418214,-0.05761074549227487,,
40000,,,,,,0.0003,0.015320942,190,0.9842357635498047,0.2,-23.859949910640715,601.7633666992188,0.137451171875,0.37500298023223877,1255.3859216690064,-0.05180780172231607,54.95,286.896145452559
40960,20,314,184.023311,40.3,130,,,,,,,,,,,,,
43008,21,315,192.12069780000002,41.79,136,0.0003,0.0150241405,200,0.98403000831604,0.2,-23.845111948251724,524.9873657226562,0.128564453125,0.3787817358970642,1124.6473514556885,-0.052017836563754825,,
45000,,,,,,0.0003,0.0175408,210,0.9824367761611938,0.2,-23.82940502166748,502.2428894042969,0.151513671875,0.39114701747894287,1301.9379978179932,-0.05607274636859074,56.15,295.30853687897326
45056,22,313,209.84631499,45.26,143,,,,,,,,,,,,,
47104,23,316,202.36697918,43.81,149,0.0003,0.018510446,220,0.9821376800537109,0.2,-23.813373667001724,550.4357299804688,0.170166015625,0.4118981957435608,1375.388639831543,-0.057631170537206344,,
49152,24,317,204.59055507000005,44.11,155,0.0003,0.013591953,230,0.9820977449417114,0.2,-23.809368699789047,606.2793579101562,0.119873046875,0.33365219831466675,1294.9169984817504,-0.05158612441155128,,
50000,,,,,,0.0003,0.017017713,240,0.981390118598938,0.2,-23.798760265111923,648.2896118164062,0.137890625,0.45055705308914185,1302.125973701477,-0.05176735479617491,52.55,268.7298804014921
51200,25,314,214.83625555999998,46.09,162,,,,,,,,,,,,,
