time/total_timesteps,time/episodes,train/critic_loss,train/n_updates,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
252194,256,0.08221581314504146,251135,0.001,125,2009,-45.160536150000006,22.800177478790282,1000.0,,
255000,,0.07421920504420995,254135,0.001,,,,22.885367691040038,,957.9239012420178,1000.0
256194,260,0.06982950772345066,255135,0.001,125,2039,-46.397796230000004,22.91283220291138,1000.0,,
260000,,0.12167141730710863,259135,0.001,,,,23.101915496826173,,952.6181357577443,1000.0
260194,264,,,,125,2069,-47.38291967,,1000.0,,
264194,268,0.125486432261765,263135,0.001,126,2089,-50.02408302999999,23.653678829193115,1000.0,,
265000,,0.11626682436466217,264135,0.001,,,,23.7980694770813,,854.7591555029154,1000.0
268194,272,0.09650835294276476,267135,0.001,126,2119,-52.31354346999999,24.070766235351563,1000.0,,
270000,,0.08354206051304937,269135,0.001,,,,24.166087680816652,,924.3878501772881,1000.0
272194,276,0.09625641223415732,271135,0.001,126,2148,-55.278778659999986,24.34150332260132,1000.0,,
275000,,0.06296460877731443,274135,0.001,,,,24.29658065032959,,947.1669983640313,1000.0
276194,280,0.06344313870929182,275135,0.001,126,2178,-57.62495712999999,24.24001629638672,1000.0,,
280000,,0.05481418102793396,279135,0.001,,,,23.95115135574341,,921.3921499848366,1000.0
280194,284,,,,126,2209,-59.01522789,,1000.0,,
284194,288,0.060489247012883426,283135,0.001,127,2232,-59.92537992,23.663422336578368,1000.0,,
285000,,0.056426128378137944,284135,0.001,,,,23.586512870788575,,940.7496138572693,1000.0
288194,292,0.052459285506978634,287135,0.001,127,2264,-60.73474836,23.44503452682495,1000.0,,
290000,,0.047860473211854694,289135,0.001,,,,23.361944221496582,,971.4518828570842,1000.0
292194,296,0.051897525941953064,291135,0.001,127,2294,-61.042827460000005,23.28322249984741,1000.0,,
295000,,0.04692902844212949,294135,0.001,,,,23.158935489654542,,705.4888376116753,1000.0
296194,300,0.04955671513080597,295135,0.001,127,2323,-61.413950570000004,23.119463668823244,1000.0,,
300000,,0.053700978450477124,299135,0.001,,,,22.94190869140625,,809.6280426546931,904.5
300194,304,,,,127,2351,-62.08735185,,1000.0,,
304194,308,0.05725459786877036,303135,0.001,128,2372,-63.50422146000001,22.77938410949707,1000.0,,
305000,,0.05192419528402388,304135,0.001,,,,22.760981281280518,,950.9030452251434,1000.0
308194,312,0.048155747273936865,307135,0.001,128,2405,-68.14636461,23.068790447235106,1000.0,,
310000,,0.04731236264668405,309135,0.001,,,,22.951543239593505,,957.3886291146279,1000.0
312194,316,0.04835521312057972,311135,0.001,128,2438,-70.21172479,22.837996551513672,1000.0,,
315000,,0.044323846323415635,314135,0.001,,,,22.68386734008789,,963.4412221491336,1000.0
316194,320,0.044331881299614906,315135,0.001,128,2468,-70.51848058,22.646588775634765,1000.0,,
320000,,0.045844676975160835,319135,0.001,,,,22.459820789337158,,980.1567058682442,1000.0
320194,324,,,,128,2500,-70.3852786,,1000.0,,
324194,328,0.0771043963469565,323135,0.001,128,2521,-70.99382812,22.45484634780884,1000.0,,
325000,,0.07330409035086632,324135,0.001,,,,22.485646308898925,,954.1777367711068,1000.0
328194,332,0.054680020969361066,327135,0.001,128,2552,-60.070239980000004,22.521456310272217,1000.0,,
330000,,0.061597236463800074,329135,0.001,,,,22.53569627761841,,948.3376457989216,1000.0
332194,336,0.07092787351831793,331135,0.001,128,2584,-59.56905472,22.628793781280518,1000.0,,
335000,,0.06564941913448274,334135,0.001,,,,22.71184405517578,,956.015426170826,1000.0
336194,340,0.0645685809329152,335135,0.001,128,2615,-58.39393906,22.630411460876466,1000.0,,
340000,,0.04515708517096937,339135,0.001,,,,22.35387059402466,,966.7521701812744,1000.0
340194,344,,,,128,2646,-57.62766668000001,,1000.0,,
344194,348,0.04636383995227516,343135,0.001,129,2668,-55.71841922000001,22.230355541229248,1000.0,,
345000,,0.040969294307753444,344135,0.001,,,,22.203222469329834,,967.018496209383,1000.0
348194,352,0.0420737486500293,347135,0.001,128,2700,-52.71729054,22.129740875244142,1000.0,,
350000,,0.04285577701963484,349135,0.001,,,,22.10163925933838,,932.0692187130451,1000.0
352194,356,0.045151388799771666,351135,0.001,128,2734,-51.788431669999994,22.084384201049804,1000.0,,
355000,,0.04535463223233819,354135,0.001,,,,22.10104175567627,,964.2798080503941,1000.0
356194,360,0.0477897666208446,355135,0.001,128,2767,-54.265866499999994,22.11587640762329,1000.0,,
360000,,0.04565484891086817,359135,0.001,,,,22.087424991607666,,957.7593977212906,1000.0
360194,364,,,,128,2798,-55.323490039999996,,1000.0,,
364194,368,0.051486667869612576,363135,0.001,129,2821,-53.694058729999995,22.04916333770752,1000.0,,
365000,,0.05596260329522192,364135,0.001,,,,22.061181205749513,,947.2401355087757,1000.0
368194,372,0.0564426783695817,367135,0.001,129,2853,-52.46564698000001,22.100334884643555,1000.0,,
370000,,0.05971806322969496,369135,0.001,,,,22.128341247558595,,953.1106179475785,1000.0
372194,376,0.0639687614813447,371135,0.001,128,2887,-51.97151173000001,22.182916805267332,1000.0,,
