time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/std,train/approx_kl,train/entropy_loss,train/learning_rate,train/value_loss,train/clip_range,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/loss,eval/mean_ep_length,eval/mean_reward
731,-37.660602559999994,142,104448,51,64.68,0.7059077024459839,0.019362397,-8.586916881799699,0.0003,50.812257933616635,0.2,0.22392578125,0.8512803316116333,-0.051255606408813034,500,20.358991622924805,,
,,,105000,,,0.703173816204071,0.017760746,-8.545078757405282,0.0003,67.82841275930404,0.2,0.219091796875,0.8427548408508301,-0.05297758703236468,510,22.101186752319336,49.5,34.69944854221539
739,-52.24512946,143,106496,52,85.71,,,,,,,,,,,,,
748,-40.62541185,145,108544,53,66.24,0.6957637071609497,0.025777109,-8.476821303367615,0.0003,39.415606290102005,0.2,0.28203125,0.8492092937231064,-0.05290142078883946,520,14.195249557495117,,
,,,110000,,,0.6919962167739868,0.015233725,-8.416810366511346,0.0003,130.85574696063995,0.2,0.166845703125,0.664989560842514,-0.04639730941853486,530,48.302127838134766,138.0,83.00827619886259
759,-22.224690969999997,145,110592,54,41.2,,,,,,,,,,,,,
767,-24.678397110000002,146,112640,55,46.9,0.6887328624725342,0.020122226,-8.371263670921326,0.0003,92.65687798261642,0.2,0.24013671875,0.7655348926782608,-0.05626997334620683,540,40.98552703857422,,
775,-37.92939241,147,114688,56,68.67,0.6823257803916931,0.029635299,-8.315051770210266,0.0003,44.81153381168842,0.2,0.305126953125,0.8987487629055977,-0.05797710316546727,550,19.737060546875,,
,,,115000,,,0.6806973218917847,0.017865019,-8.276573273539544,0.0003,66.69305565953255,0.2,0.211474609375,0.7926845997571945,-0.04870833083405159,560,11.04068660736084,49.6,47.7891955058556
783,-41.87801614,148,116736,57,76.94,,,,,,,,,,,,,
790,-36.49084544,150,118784,58,71.07,0.6776918172836304,0.017139982,-8.244399052858352,0.0003,95.5408861041069,0.2,0.20810546875,0.7724604606628418,-0.04760878309898544,570,32.121822357177734,,
,,,120000,,,0.6708600521087646,0.019326046,-8.185268998146057,0.0003,111.22681733369828,0.2,0.209716796875,0.28151506185531616,-0.05416688317491207,580,43.06081771850586,70.0,69.19639637493238
800,-27.05170641,150,120832,59,58.63,,,,,,,,,,,,,
809,-23.222991249999996,151,122880,60,46.85,0.6701265573501587,0.019510437,-8.142856162786483,0.0003,89.30674304962159,0.2,0.23056640625,0.784876137971878,-0.05480856810463593,590,47.289066314697266,,
816,-25.87442016,153,124928,61,55.31,0.663770318031311,0.019689593,-8.100908091664314,0.0003,112.20236860513687,0.2,0.2138671875,0.2778974771499634,-0.05374307478487026,600,51.1989860534668,,
,,,125000,,,0.6573662757873535,0.027087335,-8.01914799362421,0.0003,54.41266942024231,0.2,0.303173828125,0.8763835430145264,-0.062043794911005534,610,28.787670135498047,147.2,110.23233967223204
826,-30.37664092,153,126976,62,64.19,,,,,,,,,,,,,
833,-27.5095287,154,129024,63,66.93,0.6502707600593567,0.03605944,-7.929085001349449,0.0003,24.360311022400857,0.2,0.37763671875,0.8109252899885178,-0.05940075305697974,620,6.51263427734375,,
,,,130000,,,0.646148145198822,0.017175281,-7.866833217442036,0.0003,99.47910418510438,0.2,0.198291015625,0.699675977230072,-0.05048990951036103,630,37.12442398071289,56.0,52.1836332023413
841,-26.734061910000005,155,131072,64,67.3,,,,,,,,,,,,,
849,-20.06360014,156,133120,65,56.38,0.643161952495575,0.022917707,-7.824882651865482,0.0003,67.30501490831375,0.2,0.229248046875,0.825386643409729,-0.056605393593781625,640,23.35338592529297,,
,,,135000,,,0.6375660300254822,0.027973674,-7.769777868688107,0.0003,52.75407785177231,0.2,0.27607421875,0.8900851830840111,-0.05758109488524497,650,23.164209365844727,139.1,107.1039732594174
860,-29.43321233,157,135168,66,67.07,,,,,,,,,,,,,
869,-29.726877859999995,157,137216,67,64.56,0.6343982815742493,0.0238966,-7.718282631039619,0.0003,53.174529218673705,0.2,0.258251953125,0.875804103910923,-0.05927456353965681,660,27.682361602783203,,
