rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length
10.0,4,0,40,10.0,5372,,,,,,
9.375,8,0,75,9.375,5087,,,,,,
8.583333333333334,12,0,103,8.583333333333334,4605,,,,,,
8.6875,16,0,139,8.6875,457,0.001,40,0.011629226617515087,-1.222267746925354,,
7.55,20,0,151,7.55,386,0.001,52,0.01584561914205551,-1.2554738521575928,,
6.791666666666667,24,0,163,6.791666666666667,346,0.001,64,0.011653301926950613,-1.240841805934906,,
6.25,28,0,175,6.25,318,0.001,76,0.01112518614778916,-1.2634483575820923,,
5.84375,32,0,187,5.84375,297,0.001,88,0.016836557537317276,-1.3286190032958984,,
5.527777777777778,36,0,199,5.527777777777778,271,0.001,100,0.013794311632712683,-1.3609859347343445,,
5.275,40,0,211,5.275,251,0.001,112,0.012461998189489046,-1.355190932750702,,
5.068181818181818,44,0,223,5.068181818181818,233,0.001,124,0.014248520135879517,-1.3836733102798462,,
4.895833333333333,48,1,235,4.895833333333333,218,0.001,136,0.014673701487481594,-1.4192479848861694,,
4.75,52,1,247,4.75,209,0.001,148,0.01758475477496783,-1.425396978855133,,
4.625,56,1,259,4.625,201,0.001,160,0.02139866289993127,-1.4606218934059143,,
4.516666666666667,60,1,271,4.516666666666667,195,0.001,172,0.019535884261131287,-1.4782071709632874,,
4.421875,64,1,283,4.421875,188,0.001,184,0.014237139684458574,-1.4630558490753174,,
4.338235294117647,68,1,295,4.338235294117647,183,0.001,196,0.01099168819685777,-1.5326756238937378,,
4.263888888888889,72,1,307,4.263888888888889,179,0.001,208,0.011493298225104809,-1.5278545022010803,,
4.197368421052632,76,1,319,4.197368421052632,175,0.001,220,0.022895904257893562,-1.5502321124076843,,
4.1375,80,1,331,4.1375,171,0.001,232,0.0185575969517231,-1.5334254503250122,,
4.083333333333333,84,2,343,4.083333333333333,166,0.001,244,0.029476523399353027,-1.525597095489502,,
4.034090909090909,88,2,355,4.034090909090909,163,0.001,256,0.01718099322170019,-1.5711870789527893,,
