train/learning_rate,time/episodes,time/total_timesteps,rollout/ep_len_mean,time/fps,train/actor_loss,train/n_updates,time/time_elapsed,rollout/ep_rew_mean,train/critic_loss,eval/mean_reward,eval/mean_ep_length
0.001,472,14866,36.09,129,-48.39761543273926,14738,115,178.17062414000003,3.5265036788251667,,
0.001,,15000,,,-48.981525633070206,14883,,,3.3994100424978466,178.04103662483394,36.05
,476,15012,36.08,127,,,118,178.0881767,,,
0.001,480,15155,36.09,127,-51.185823652479385,15027,119,178.17289603,4.503655201679951,,
0.001,484,15300,36.09,127,-49.380149841308594,15170,120,178.13371258999996,3.6446917942592076,,
0.001,488,15446,36.11,127,-49.96556599934896,15317,121,178.23331351000002,3.527023644060702,,
0.001,492,15590,36.1,127,-48.87320179409451,15462,122,178.13790203999997,4.434867408540514,,
0.001,496,15734,36.1,127,-48.95292833116319,15606,123,178.16308980000002,3.251260452800327,,
0.001,500,15878,36.09,127,-49.50318818933823,15749,124,178.19346481,4.596977908270699,,
0.001,504,16019,36.07,127,-50.37498919169108,15892,126,178.12713653000003,5.084184067589896,,
0.001,508,16163,36.06,127,-49.989620208740234,16035,127,178.08204795,3.4606460796462164,,
0.001,512,16306,36.06,126,-49.372374852498375,16178,128,178.07963966000003,4.112477925088671,,
0.001,516,16450,36.08,126,-49.48472701178657,16321,129,178.19942301000003,5.170392817921108,,
0.001,520,16596,36.11,127,-49.26372528076172,16467,130,178.35205186999997,4.43178755528218,,
0.001,524,16742,36.14,127,-49.002163569132485,16613,131,178.45895821,4.202213724454244,,
0.001,528,16886,36.12,127,-49.221583684285484,16759,132,178.33935615000001,4.112952993975745,,
0.001,532,17032,36.15,127,-48.85496966044108,16904,134,178.49920557999997,4.594577974743313,,
0.001,536,17178,36.18,126,-50.10625538073088,17050,135,178.64342613000005,3.5453805601274646,,
0.001,540,17322,36.15,126,-47.56184959411621,17194,136,178.49350901000003,5.706863853666517,,
0.001,544,17469,36.18,126,-49.13461176554362,17339,137,178.65443969,3.6762716834609575,,
0.001,548,17613,36.17,126,-48.40083249409994,17485,138,178.59443133000002,3.7418876687685647,,
0.001,552,17756,36.15,126,-47.50475819905599,17629,139,178.53954192,3.355154448085361,,
0.001,556,17902,36.16,126,-48.34376186794705,17773,141,178.65060976999996,3.108413470757974,,
0.001,560,18046,36.16,126,-46.98011716206869,17918,142,178.73598542,3.895581000381046,,
0.001,564,18189,36.12,126,-49.25652885437012,18062,143,178.51345039,5.20215724574195,,
0.001,568,18334,36.12,127,-47.308773040771484,18206,144,178.57870480999998,3.904660277896457,,
0.001,572,18477,36.11,127,-47.38948165045844,18349,145,178.51990491,3.3718067606290183,,
0.001,576,18621,36.09,127,-46.917731602986656,18493,146,178.47556933000004,3.1989907059404583,,
0.001,580,18757,36.02,127,-47.062986710492304,18631,147,178.14859274,3.569245289353763,,
0.001,584,18895,35.95,127,-47.09686300489638,18768,148,177.77952976,3.2903260026659282,,
0.001,588,19032,35.86,127,-47.67723711799173,18907,149,177.38824409,3.8007613999503,,
