time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,train/clip_range,train/value_loss,train/std,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/approx_kl,train/learning_rate,train/loss,train/entropy_loss,train/clip_fraction,eval/mean_reward,eval/mean_ep_length
26,47073.18134909434,1000.0,495,107,53248,0.2,884067.3283203125,0.9622939825057983,-0.06719790873758029,0.00038868188858032227,250,0.017672855,0.0003,474603.53125,-23.48197994232178,0.176416015625,,
,,,,,55000,0.2,870608.418359375,0.9617083072662354,-0.06706771503668278,-0.0004576444625854492,260,0.01865016,0.0003,384991.375,-23.459937500953675,0.183349609375,79218.25401802063,1000.0
27,47515.26704678182,1000.0,537,102,55296,,,,,,,,,,,,,
28,47629.651638140356,1000.0,542,105,57344,0.2,970246.8873046875,0.9608289003372192,-0.06005673806066625,-0.003064393997192383,270,0.0168876,0.0003,534681.375,-23.44283702969551,0.1607421875,,
29,47800.55191589831,1000.0,547,108,59392,0.2,736094.55,0.9601268768310547,-0.0658108080853708,4.124641418457031e-05,280,0.018534683,0.0003,394245.96875,-23.430597639083864,0.19375,,
,,,,,60000,0.2,764387.70546875,0.9593639373779297,-0.06323313248867635,0.00010073184967041016,290,0.017456565,0.0003,408629.90625,-23.42397782802582,0.1748046875,83047.54485931396,1000.0
30,47948.887826393446,1000.0,589,104,61440,,,,,,,,,,,,,
31,48298.482020174604,1000.0,594,106,63488,0.2,721009.158984375,0.9565852880477905,-0.05905059123761021,-0.0007333755493164062,300,0.018925231,0.0003,385162.3125,-23.383740609884264,0.187890625,,
,,,,,65000,0.2,981743.7068359375,0.953307569026947,-0.05813679364509881,0.0002512335777282715,310,0.018344836,0.0003,471882.40625,-23.329794198274612,0.17314453125,83543.50862426758,1000.0
32,48703.61451172308,1000.0,636,102,65536,,,,,,,,,,,,,
33,49016.85033274627,1000.0,641,105,67584,0.2,1112138.44921875,0.9524778723716736,-0.065477020671824,-0.0005831718444824219,320,0.017820206,0.0003,552890.4375,-23.300025874376296,0.183642578125,,
34,49485.040161217396,1000.0,646,107,69632,0.2,1053337.9517578124,0.9515116214752197,-0.068656074028695,0.00024080276489257812,330,0.018960092,0.0003,447072.75,-23.277970230579378,0.19130859375,,
,,,,,70000,0.2,906595.215234375,0.9511215090751648,-0.07217418080836069,5.447864532470703e-05,340,0.023388825,0.0003,487205.84375,-23.27179172039032,0.223583984375,82138.05693454742,1000.0
35,49991.22549012676,1000.0,689,104,71680,,,,,,,,,,,,,
36,50436.93880034246,1000.0,694,106,73728,0.2,1712471.08359375,0.9481544494628906,-0.06675292664731387,0.0001195073127746582,350,0.018398583,0.0003,814790.75,-23.237846994400023,0.174609375,,
,,,,,75000,0.2,938954.0306640625,0.9462464451789856,-0.07129681150254327,9.03010368347168e-05,360,0.022303063,0.0003,462986.875,-23.19806745648384,0.222412109375,84942.09983215333,1000.0
37,50709.89078736,1000.0,734,103,75776,,,,,,,,,,,,,
38,51110.90021577922,1000.0,739,105,77824,0.2,1058484.19921875,0.9446563720703125,-0.0713411599455867,0.00030153989791870117,370,0.021013267,0.0003,497687.59375,-23.166421502828598,0.209716796875,,
39,51516.96630018987,1000.0,745,107,79872,0.2,1391228.72265625,0.941192626953125,-0.07266626304481179,0.00023537874221801758,380,0.02044915,0.0003,576134.3125,-23.11216053366661,0.2046875,,
,,,,,80000,0.2,947286.697265625,0.9397782683372498,-0.07432421120174695,0.000616610050201416,390,0.02226453,0.0003,455731.21875,-23.071854120492937,0.2373046875,85320.2060224533,1000.0
40,51904.64338828395,1000.0,786,104,81920,,,,,,,,,,,,,
41,52084.54407512047,1000.0,791,106,83968,0.2,1362977.50546875,0.9372210502624512,-0.06359213097020984,0.00027698278427124023,400,0.018853713,0.0003,734196.4375,-23.032740330696107,0.1908203125,,
,,,,,85000,0.2,969685.0322265625,0.9352520108222961,-0.07002574745565653,1.2636184692382812e-05,410,0.022362985,0.0003,477238.03125,-22.997183203697205,0.230517578125,83498.87624950409,1000.0
42,52475.087696116265,1000.0,833,103,86016,,,,,,,,,,,,,
43,52770.687148602265,1000.0,838,105,88064,0.2,1017847.6576171875,0.9332739114761353,-0.07278151962091214,7.331371307373047e-06,420,0.022945251,0.0003,477759.03125,-22.96011248230934,0.229150390625,,
,,,,,90000,0.2,1205429.3201171875,0.9335876107215881,-0.07161223472794517,-5.125999450683594e-06,430,0.02290433,0.0003,598183.875,-22.942989420890807,0.224365234375,82198.10412483216,1000.0
44,53213.78229638888,1000.0,881,102,90112,,,,,,,,,,,,,
45,53537.90262497826,1000.0,886,103,92160,0.2,1508536.053125,0.9307696223258972,-0.06866273304331116,0.00025910139083862305,440,0.021860933,0.0003,829257.5,-22.918124794960022,0.21083984375,,
46,53687.63778037234,1000.0,891,105,94208,0.2,1125014.588671875,0.9309387803077698,-0.06889985034940764,4.7326087951660156e-05,450,0.022414654,0.0003,501292.4375,-22.898806005716324,0.21953125,,
,,,,,95000,0.2,1068587.7103515626,0.9308119416236877,-0.0763604062522063,2.771615982055664e-05,460,0.025581174,0.0003,555572.0,-22.899506205320357,0.248095703125,75541.67115421295,1000.0
47,53859.28135494792,1000.0,932,103,96256,,,,,,,,,,,,,
48,54165.874738469385,1000.0,937,104,98304,0.2,928689.6228515625,0.9293555617332458,-0.07881895099853864,6.633996963500977e-05,470,0.026952423,0.0003,473597.28125,-22.883151710033417,0.266845703125,,
,,,,,100000,0.2,1288160.872265625,0.9288008213043213,-0.06624364184681326,-0.00015664100646972656,480,0.021505697,0.0003,552422.75,-22.86493327021599,0.213916015625,78833.11926631928,1000.0
49,54336.9934036,1000.0,978,102,100352,,,,,,,,,,,,,
50,54909.938420809995,1000.0,983,104,102400,0.2,1040162.915234375,0.9263758659362793,-0.07207369412353729,-8.821487426757812e-06,490,0.026899027,0.0003,514732.4375,-22.833674985170365,0.258642578125,,
51,55294.220433480004,1000.0,989,105,104448,0.2,1167179.3201171875,0.9234645366668701,-0.0770447383983992,0.00012373924255371094,500,0.026009556,0.0003,637941.25,-22.78721335530281,0.258349609375,,
,,,,,105000,0.2,1072878.0447265625,0.923274040222168,-0.07617163361283019,1.7881393432617188e-07,510,0.024898075,0.0003,532911.5,-22.762701791524886,0.25400390625,66716.52912063598,1000.0
52,56080.46007104,1000.0,1029,103,106496,,,,,,,,,,,,,
53,56581.47634796,1000.0,1034,104,108544,0.2,1781368.700390625,0.9219232201576233,-0.07193048024200835,1.3649463653564453e-05,520,0.02251947,0.0003,891133.0625,-22.74663675427437,0.2203125,,
,,,,,110000,0.2,1094087.1447265625,0.9201472997665405,-0.07952733377169352,0.0004170536994934082,530,0.02655745,0.0003,541834.75,-22.717589968442915,0.275732421875,63396.896551895145,1000.0
54,57211.80614639001,1000.0,1075,102,110592,,,,,,,,,,,,,
55,58020.39844756,1000.0,1081,104,112640,0.2,1435318.313671875,0.9182688593864441,-0.07422695540590211,5.543231964111328e-05,540,0.02743276,0.0003,604453.875,-22.682943439483644,0.2548828125,,
56,58491.67892286999,1000.0,1086,105,114688,0.2,1376638.78515625,0.9174878597259521,-0.0790230331622297,0.0001888275146484375,550,0.02774075,0.0003,675952.8125,-22.661847448349,0.254833984375,,
,,,,,115000,0.2,943987.88359375,0.9164749979972839,-0.07265704124583863,-3.4570693969726562e-06,560,0.029578157,0.0003,500894.21875,-22.64403263926506,0.27978515625,61962.52167930603,1000.0
57,58785.48425784999,1000.0,1125,103,116736,,,,,,,,,,,,,
58,59281.61534187999,1000.0,1130,105,118784,0.2,955905.3345703125,0.9152562618255615,-0.07474375257152133,-4.076957702636719e-05,570,0.02973328,0.0003,394625.15625,-22.62335259318352,0.270849609375,,
,,,,,120000,0.2,1395519.71953125,0.9127708077430725,-0.06965783328632824,7.68899917602539e-06,580,0.02517285,0.0003,686981.4375,-22.582206386327744,0.24775390625,63503.12229766846,1000.0
59,59838.08884801,1000.0,1170,103,120832,,,,,,,,,,,,,
60,60302.001263469996,1000.0,1175,104,122880,0.2,1348000.55546875,0.9124457240104675,-0.058046831079991534,-2.384185791015625e-07,590,0.022370478,0.0003,699861.75,-22.56353905200958,0.197119140625,,
61,60663.94366846999,1000.0,1180,105,124928,0.2,1311173.2248046875,0.9118595719337463,-0.07960210093006026,1.2218952178955078e-05,600,0.027294377,0.0003,698774.875,-22.553701120615006,0.273876953125,,
,,,,,125000,0.2,762026.4767578125,0.9119734168052673,-0.07672030195244588,2.1278858184814453e-05,610,0.033147067,0.0003,376334.53125,-22.54975692033768,0.3017578125,62681.36426506042,1000.0
62,61054.880456709994,1000.0,1220,103,126976,,,,,,,,,,,,,
63,61827.433665560005,1000.0,1226,105,129024,0.2,1310244.652734375,0.9105029702186584,-0.07870922060683369,-0.0004239082336425781,620,0.033694997,0.0003,614318.625,-22.533063209056856,0.289892578125,,
,,,,,130000,0.2,1820827.2359375,0.9106599688529968,-0.0770963775459677,1.4603137969970703e-05,630,0.027528822,0.0003,832496.375,-22.525379490852355,0.2529296875,62444.39163761139,1000.0
64,62241.45688459001,1000.0,1262,103,131072,,,,,,,,,,,,,
65,62667.8665576,1000.0,1267,105,133120,0.2,1609847.7109375,0.9076288938522339,-0.08503376451553776,0.00019681453704833984,640,0.031340465,0.0003,672781.25,-22.4862551510334,0.285693359375,,
,,,,,135000,0.2,1385707.18203125,0.9064526557922363,-0.07017464398231824,1.1444091796875e-05,650,0.02856539,0.0003,676909.3125,-22.45563960671425,0.26044921875,62105.034827804564,1000.0
66,63027.558873309994,1000.0,1303,103,135168,,,,,,,,,,,,,
67,63345.468054619996,1000.0,1308,104,137216,0.2,1064424.396875,0.9059897661209106,-0.07294467331958003,2.2232532501220703e-05,660,0.031199474,0.0003,579167.375,-22.435761398077013,0.27421875,,
68,63607.60772627999,1000.0,1313,106,139264,0.2,1350273.2328125,0.9048839807510376,-0.06377091060276144,4.887580871582031e-06,670,0.025386848,0.0003,718182.4375,-22.417015916109087,0.241162109375,,
,,,,,140000,0.2,1025761.131640625,0.9045072197914124,-0.08050550771295092,0.0003853440284729004,680,0.036732987,0.0003,442064.65625,-22.411433404684068,0.322265625,63153.9316690445,1000.0
69,63901.64063479999,1000.0,1350,104,141312,,,,,,,,,,,,,
70,64336.591434199996,1000.0,1355,105,143360,0.2,1371717.538671875,0.9036413431167603,-0.07773485795478337,8.225440979003906e-06,690,0.031681024,0.0003,717992.25,-22.39602800607681,0.28330078125,,
,,,,,145000,0.2,1067207.748828125,0.9034780859947205,-0.08132680277049076,-1.71661376953125e-05,700,0.035992194,0.0003,548732.0,-22.38792640566826,0.31337890625,66214.27577705383,1000.0
71,64571.43098686,1000.0,1391,104,145408,,,,,,,,,,,,,
72,65010.93910532,1000.0,1395,105,147456,0.2,1349899.7453125,0.9026208519935608,-0.069024292944232,2.682209014892578e-06,710,0.029038373,0.0003,649346.875,-22.379397130012514,0.273583984375,,
