train/learning_rate,train/n_updates,train/critic_loss,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/actor_loss,rollout/ep_rew_mean,time/fps,eval/mean_reward,eval/mean_ep_length
0.001,2000,0.053030358991585674,4,527.0,9,2108,-1.8953327707955614,-420.444479,211,,
0.001,4030,0.12849560630694032,,,,5000,-2.7088903851211072,,,-325.603484745734,1000.0
,,,8,640.625,29,5125,,-714.237732125,174,,
0.001,7330,0.20184393364191056,12,699.5,45,8394,-8.252152927398681,-443.14187783333335,183,,
0.001,9299,0.18578024307638408,,,,10000,-10.6741461353302,,,808.8277556132525,1000.0
0.001,11299,0.20272830677777529,16,774.625,74,12394,-13.624142700195312,-221.3242019375,166,,
0.001,14113,0.24315846482570985,,,,15000,-17.163676076790626,,,841.5452158097178,1000.0
0.001,15113,0.1954088272899389,20,810.4,101,16208,-18.040997520446776,-67.30149564999999,159,,
0.001,19113,0.17605053761601447,,,,20000,-22.276657859802246,,,879.6620980367064,1000.0
,,,24,842.0,129,20208,,42.15614891666666,156,,
0.001,23113,0.1610940560773015,28,864.5714285714286,149,24208,-26.3697469329834,126.7428345357143,162,,
0.001,24113,0.1521238519921899,,,,25000,-27.370523567199708,,,908.6521275311709,1000.0
0.001,27113,0.1470063582584262,32,881.5,177,28208,-30.217250747680666,192.97604421875,158,,
0.001,29113,0.1621124285534024,,,,30000,-32.10243067550659,,,940.9201746106148,1000.0
0.001,31113,0.16706038101017476,36,894.6666666666666,206,32208,-33.87064289855957,246.44044199999996,156,,
0.001,34113,0.13427632933109998,,,,35000,-36.55742205047608,,,955.4791567265987,1000.0
0.001,35113,0.17321118021383883,40,905.2,235,36208,-37.42858718109131,290.450589,153,,
0.001,38406,0.3677439272403717,44,897.75,251,39501,-40.17462921142578,315.82861729545453,156,,
0.001,39406,0.2530123539939523,,,,40000,-40.93806630706787,,,935.3838577628136,1000.0
0.001,42406,0.16503766605257988,48,906.2708333333334,280,43501,-43.304917518615724,346.8145885625,155,,
0.001,44406,0.19605512656271457,,,,45000,-44.79378943634033,,,962.861337172985,1000.0
0.001,46406,0.14945942388102412,52,913.4807692307693,309,47501,-46.23379133605957,373.7059505192308,153,,
0.001,49406,0.2229252167865634,,,,50000,-48.33636451721191,,,948.7973228573799,1000.0
0.001,50406,0.15616961378976701,56,919.6607142857143,338,51501,-49.00004891967773,396.05898869642857,152,,
0.001,53462,0.08609755397109049,60,909.2833333333333,353,54557,-51.25415257045201,405.4080211,154,,
0.001,54462,0.49933432149514556,,,,55000,-51.479976860046385,,,937.4393087923527,1000.0
0.001,57462,0.20606877774745225,64,914.953125,381,58557,-53.185600204467775,423.42913757812494,153,,
0.001,59100,0.2940727203593919,,,,60000,-54.13721622718165,,,964.4083265960217,1000.0
0.001,61100,0.34330079475417735,68,914.6323529411765,408,62195,-55.07770948791504,436.22566058823526,152,,
0.001,64418,0.17223369784280657,,,,65000,-56.709264770507815,,,971.9554478347302,1000.0
,,,72,909.9027777777778,433,65513,,444.2090704722222,151,,
