time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/episodes,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,eval/mean_ep_length,eval/mean_reward
0,26.0,104,16.67479525,3084,4,,,,,,
0,17.875,143,10.018608624999999,497,8,0.001,57,-0.5624172449111938,0.11324483901262283,,
0,15.25,183,8.15339025,383,12,0.001,97,-0.5583987891674042,0.032507375627756116,,
0,13.9375,223,7.2194506875,329,16,0.001,137,-0.6595774292945862,0.02727911164984107,,
0,13.15,263,6.65900635,304,20,0.001,177,-0.6840688824653626,0.01985699785873294,,
1,12.625,303,6.287233499999999,286,24,0.001,217,-0.7181802868843079,0.014357153931632638,,
1,12.25,343,6.019973642857143,274,28,0.001,257,-0.744636344909668,0.009624513378366829,,
1,11.96875,383,5.81820403125,266,32,0.001,297,-0.8334564089775085,0.009804767230525613,,
1,11.75,423,5.660543527777778,258,36,0.001,337,-0.8444966077804565,0.010612351354211569,,
1,11.575,463,5.535532675000001,251,40,0.001,377,-0.8533684611320496,0.009893710119649768,,
2,11.431818181818182,503,5.432342090909091,247,44,0.001,417,-0.9035201072692871,0.005491277086548507,,
2,11.3125,543,5.347704583333333,244,48,0.001,457,-0.9873481750488281,0.0082149313762784,,
2,11.211538461538462,583,5.275954884615384,242,52,0.001,497,-0.9063514351844788,0.007507523475214839,,
2,11.339285714285714,635,5.810191946428572,243,56,0.001,537,-1.0369189381599426,0.004513855185359716,,
3,12.033333333333333,722,7.901807616666667,237,60,0.001,624,-1.7991041270169346,0.11108094684424855,,
3,12.6875,812,9.818512250000001,234,64,0.001,712,-2.3260157108306885,0.2097844843837348,,
3,13.161764705882353,895,10.859225014705883,230,68,0.001,801,-2.820591115951538,0.28475327151162283,,
4,17.13888888888889,1234,14.35250525,273,72,0.001,896,-2.735190773010254,0.33078649677336214,,
6,18.473684210526315,1404,17.378715184210527,225,76,0.001,1289,-4.1997845674815935,0.44145911588118625,,
6,19.4375,1555,19.90003975,222,80,0.001,1451,-4.792871296405792,0.9583630586663882,,
7,20.261904761904763,1702,21.92942830952381,223,84,0.001,1587,-5.362726940828211,0.9445349968531552,,
8,21.568181818181817,1898,24.758606147727274,221,88,0.001,1775,-6.247094568998917,1.0839624622083726,,
9,22.608695652173914,2080,27.07680692391304,218,92,0.001,1955,-6.790184452420189,1.1509551066298818,,
10,23.635416666666668,2269,29.31172565625,218,96,0.001,2139,-7.566043051806363,1.389505179723104,,
,,2500,,,,0.001,2389,-8.586207509040833,1.7497586563229561,104.6,215.5366107046604
13,25.84,2584,34.50052012,193,100,,,,,,
15,27.74,2878,39.52955884,188,104,0.001,2748,-9.982186317443848,2.0138085359921223,,
16,30.24,3167,44.740866940000004,187,108,0.001,3021,-11.041718763463637,2.7702078300973643,,
18,33.42,3525,52.20501781000001,187,112,0.001,3379,-12.577968028875498,2.744375404005959,,
20,36.44,3867,58.857643159999995,187,116,0.001,3694,-13.954741455259777,3.741029676184597,,
22,39.85,4248,67.07086973,186,120,0.001,4071,-15.633740266164144,4.211493109304881,,
24,43.51,4654,76.18679127,187,124,0.001,4474,-17.453850269317627,5.262387163430741,,
,,5000,,,,0.001,4864,-19.379514575004578,5.915911890331068,90.15,191.54377716481685
27,46.91,5034,84.49960451999999,180,128,,,,,,
29,50.32,5415,92.52893441999998,181,132,0.001,5243,-21.135394076083568,5.780930210414685,,
31,53.72,5795,100.55994761999999,182,136,0.001,5625,-22.63038034641996,6.411448628344434,,
33,57.08,6171,108.61409873999999,183,140,0.001,6001,-24.1485716925727,7.042699097277044,,
35,59.9,6493,114.77850077,183,144,0.001,6329,-25.733366070371687,7.985531374589721,,
37,63.16,6859,122.47926389000003,183,148,0.001,6689,-27.072568815581654,7.4657409251952656,,
39,66.68,7251,130.87830568000004,184,152,0.001,7073,-28.39127108256022,8.365089923470885,,
,,7500,,,,0.001,7384,-29.47634506225586,10.314537300253814,108.1,254.1385768920183
43,70.36,7671,139.96274095,177,156,0.001,7491,-30.166473712561267,8.784327878016178,,
45,72.33,7955,144.67862187,176,160,0.001,7847,-31.739151096343996,9.384951424598693,,
46,75.63,8375,153.02343471999998,178,164,0.001,8193,-32.83152407866258,11.611158607119606,,
49,79.04,8799,162.17409354,178,168,0.001,8617,-34.933892910297104,10.402151876404172,,
51,80.15,9249,170.27714494,178,172,0.001,9059,-36.7311350277492,8.887343836682183,,
54,82.97,9701,178.20370155999998,178,176,0.001,9510,-38.63611616407122,11.91662138913359,,
,,10000,,,,0.001,9871,-39.96585531402052,10.6173160159797,118.7,294.76065520644187
