time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,train/clip_range,train/entropy_loss,train/std,train/approx_kl,train/n_updates,train/explained_variance,train/clip_fraction,train/value_loss,train/loss,train/policy_gradient_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
2048,1,107.84046407954544,23.022727272727273,3,538,,,,,,,,,,,,,
4096,2,109.57548582999999,23.25,9,429,0.2,-24.120642346143722,0.9996204376220703,0.01774436,10,-0.008649826049804688,0.203515625,1452.2575262069702,469.56036376953125,-0.05807393679278903,0.0003,,
5000,,,,,,0.2,-24.13688682317734,1.0007869005203247,0.024934692,20,0.01675015687942505,0.273046875,1135.5475854873657,435.63336181640625,-0.07266800066281576,0.0003,336.05391412973404,64.7
6144,3,115.20620960000001,24.32,16,362,,,,,,,,,,,,,
8192,4,120.90495881999999,25.7,22,360,0.2,-24.10796855688095,0.9980571866035461,0.02539652,30,0.0027809739112854004,0.28193359375,1113.592653465271,461.37451171875,-0.0771703131729737,0.0003,,
10000,,,,,,0.2,-24.060174655914306,0.9951779842376709,0.029510029,40,0.00657343864440918,0.317724609375,1110.0229078292846,602.5431518554688,-0.08172076274931897,0.0003,234.17301782369614,44.65
10240,5,114.08581964,24.37,29,346,,,,,,,,,,,,,
12288,6,123.98479020999997,26.32,34,353,0.2,-24.033756417036056,0.9953427314758301,0.037276067,50,0.006876170635223389,0.391650390625,921.6904130935669,368.69622802734375,-0.09058727362134959,0.0003,,
14336,7,129.30550426,27.57,40,355,0.2,-24.051341074705125,0.9957719445228577,0.034805182,60,0.026444852352142334,0.362841796875,990.1695478439331,446.8702087402344,-0.08356427816906944,0.0003,,
15000,,,,,,0.2,-24.028840732574462,0.9939254522323608,0.032718405,70,0.03398936986923218,0.340673828125,1015.5617033004761,424.679443359375,-0.08167450959444977,0.0003,270.85110825896265,51.75
16384,8,129.72249489,27.64,47,346,,,,,,,,,,,,,
18432,9,139.58911374999997,29.72,52,349,0.2,-24.006885761022566,0.9928549528121948,0.032499332,80,0.03786569833755493,0.347265625,1024.7767379760742,414.5743408203125,-0.08711637368542142,0.0003,,
20000,,,,,,0.2,-23.98528982400894,0.9910430908203125,0.031304523,90,0.022202789783477783,0.316845703125,1192.1790605545043,532.165283203125,-0.08288830268429592,0.0003,287.2993113696575,53.45
20480,10,139.43066045999998,29.77,59,342,,,,,,,,,,,,,
22528,11,135.32244269999998,29.07,65,345,0.2,-23.96645912528038,0.9907972812652588,0.027321853,100,0.03964638710021973,0.28154296875,1123.2769886016845,458.59613037109375,-0.07742903188918718,0.0003,,
24576,12,140.01159385,29.91,70,348,0.2,-23.948135763406754,0.9890283942222595,0.0228872,110,0.09360069036483765,0.242529296875,926.5006286621094,387.8605651855469,-0.07584823872311972,0.0003,,
25000,,,,,,0.2,-23.93056333065033,0.9887035489082336,0.018944507,120,0.17822879552841187,0.184619140625,990.6126119613648,339.70166015625,-0.06674000324419467,0.0003,311.6900279581547,58.3
26624,13,147.64473725000002,31.37,78,340,,,,,,,,,,,,,
28672,14,146.56268058,31.18,83,344,0.2,-23.91897788643837,0.9877366423606873,0.019631494,130,0.2213403582572937,0.19765625,966.1408926010132,394.57177734375,-0.0670509977673646,0.0003,,
30000,,,,,,0.2,-23.90046973824501,0.9865441918373108,0.018648341,140,0.2696129083633423,0.171728515625,915.060248374939,340.8138122558594,-0.062324603652814406,0.0003,303.06183312535285,57.45
30720,15,157.05642309,33.61,90,339,,,,,,,,,,,,,
32768,16,174.5854549,37.17,96,340,0.2,-23.88074795603752,0.985659122467041,0.019787237,150,0.2706274390220642,0.17333984375,1009.200945854187,444.793212890625,-0.060716245585354045,0.0003,,
34816,17,185.31841307,39.26,101,342,0.2,-23.885509437322618,0.9865289330482483,0.022676352,160,0.3328936696052551,0.217626953125,1177.114010810852,602.3134155273438,-0.06707866166543681,0.0003,,
