train/n_updates,rollout/ep_len_mean,train/actor_loss,time/time_elapsed,time/episodes,time/fps,time/total_timesteps,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
200,100.0,1.5965771508216857,1,4,318,400,0.001,0.024201888893730938,-119.62757025,,
300,,1.7863390970230102,,,,500,0.001,0.013054674386512487,,-89.14180175,100.0
600,100.0,2.1631577682495116,5,8,150,800,0.001,0.0038696284231264145,-99.17549975,,
800,,2.408048920631409,,,,1000,0.001,0.005295684190932661,,-62.365004250000005,100.0
1000,100.0,2.629745078086853,9,12,128,1200,0.001,0.007134406149853021,-86.95124916666667,,
1300,,2.9511797857284545,,,,1500,0.001,0.008026671358384191,,-54.060932,100.0
1400,100.0,3.0674259424209596,13,16,117,1600,0.001,0.008955572843551635,-78.0164429375,,
1800,,3.561926441192627,,,,2000,0.001,0.012125706602819263,,-59.01288035000001,100.0
,100.0,,17,20,114,2000,,,-73.17131659999998,,
2200,100.0,4.124055781364441,19,24,122,2400,0.001,0.014927347814664245,-70.30460429166668,,
2300,,4.2568041038513185,,,,2500,0.001,0.013436880074441432,,-54.2433162,100.0
2600,100.0,4.6840583610534665,24,28,116,2800,0.001,0.016528563788160682,-67.73940021428572,,
2800,,4.9612539196014405,,,,3000,0.001,0.018111830251291393,,-57.24618280000001,100.0
3000,100.0,5.244780912399292,27,32,114,3200,0.001,0.016902239425107837,-65.723011875,,
3300,,5.691177263259887,,,,3500,0.001,0.019850190188735725,,-55.36137275,100.0
3400,100.0,5.805782918930054,32,36,112,3600,0.001,0.019631754569709302,-64.30973416666666,,
3800,,6.379577989578247,,,,4000,0.001,0.020736215645447375,,-55.372363500000006,100.0
,100.0,,36,40,110,4000,,,-63.32927587500001,,
4200,100.0,6.948986968994141,38,44,114,4400,0.001,0.02045909167267382,-62.28309525000002,,
4300,,7.099779396057129,,,,4500,0.001,0.02100186946801841,,-50.40516125,100.0
4600,100.0,7.565693655014038,42,48,112,4800,0.001,0.0217888605594635,-61.24080372916668,,
4800,,7.82551194190979,,,,5000,0.001,0.023432945953682064,,-55.67188835,100.0
5000,100.0,8.164188232421875,46,52,111,5200,0.001,0.0216726531740278,-60.7960861923077,,
5300,,8.529168338775635,,,,5500,0.001,0.019668632363900544,,-52.61804605,100.0
5400,100.0,8.715786209106446,50,56,111,5600,0.001,0.0284638786688447,-59.82054625000001,,
5800,,9.303877983093262,,,,6000,0.001,0.021826371513307095,,-52.161045449999996,100.0
,100.0,,53,60,111,6000,,,-59.160200950000004,,
6200,100.0,9.809565963745117,55,64,114,6400,0.001,0.02339525376446545,-58.348787296875,,
6300,,9.937892417907715,,,,6500,0.001,0.030177115369588135,,-53.995576099999994,100.0
6600,100.0,10.377264461517335,60,68,113,6800,0.001,0.023984802421182394,-58.06654244117648,,
6800,,10.71531789779663,,,,7000,0.001,0.027806400917470456,,-55.162057950000005,100.0
7000,100.0,10.985816497802734,64,72,112,7200,0.001,0.027025182917714118,-57.8670135,,
7300,,11.38376501083374,,,,7500,0.001,0.02646178126335144,,-49.6379997,100.0
7400,100.0,11.562944469451905,68,76,111,7600,0.001,0.02524722311645746,-57.30072085526315,,
7800,,12.017499370574951,,,,8000,0.001,0.026327176904305815,,-53.0497462,100.0
,100.0,,72,80,111,8000,,,-56.925760512500005,,
8200,100.0,12.523715133666991,74,84,112,8400,0.001,0.0332887121103704,-56.738869130952395,,
8300,,12.68280912399292,,,,8500,0.001,0.028972135167568924,,-52.8746669,100.0
