train/ent_coef_loss,train/n_updates,train/ent_coef,time/total_timesteps,train/actor_loss,time/episodes,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,time/fps,train/learning_rate,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
-0.044484227895736694,9,0.9975838661193848,110,-9.805113792419434,4,0,21.924762725830078,27.5,131,0.0003,28.967594,,
-0.5944292545318604,97,0.9707441329956055,198,-17.920225143432617,8,1,11.24095630645752,24.75,103,0.0003,24.026263375,,
-1.1405420303344727,187,0.9444522857666016,288,-20.695018768310547,12,3,12.062041282653809,24.0,93,0.0003,22.701216,,
-1.6909587383270264,286,0.916742205619812,387,-22.271942138671875,16,4,8.10250473022461,24.1875,89,0.0003,22.616175,,
-2.379605770111084,407,0.8844934105873108,508,-26.502899169921875,20,5,5.000404357910156,25.4,85,0.0003,23.613282749999996,,
-2.842442035675049,489,0.8632073998451233,590,-27.31880760192871,24,7,5.220839500427246,24.583333333333332,83,0.0003,22.979482208333334,,
-3.413975954055786,589,0.8379462957382202,690,-30.471492767333984,28,8,5.693042755126953,24.642857142857142,81,0.0003,23.096512714285716,,
-3.895933151245117,673,0.8173357248306274,774,-31.54632568359375,32,9,5.746060371398926,24.1875,80,0.0003,22.80626984375,,
-4.484951496124268,783,0.7912006378173828,884,-35.156490325927734,36,11,3.870579481124878,24.555555555555557,79,0.0003,23.16012525,,
-4.951506614685059,871,0.7710344791412354,972,-35.94537353515625,40,12,9.162031173706055,24.3,78,0.0003,23.130865,,
-5.4300055503845215,960,0.7512378096580505,1061,-38.330413818359375,44,13,6.334339141845703,24.113636363636363,77,0.0003,23.03943402272727,,
-5.877018928527832,1066,0.7283278107643127,1167,-39.73076248168945,48,15,7.013641834259033,24.3125,75,0.0003,23.336948124999996,,
-6.400689601898193,1161,0.7084627151489258,1262,-42.224395751953125,52,16,7.1616973876953125,24.26923076923077,74,0.0003,23.535394826923074,,
-6.866739273071289,1263,0.6877361536026001,1364,-43.28264617919922,56,18,9.580463409423828,24.357142857142858,73,0.0003,23.581936946428566,,
-7.477243423461914,1369,0.6669016480445862,1470,-45.91409683227539,60,20,13.444586753845215,24.5,72,0.0003,23.778045966666664,,
-8.015518188476562,1471,0.6474118828773499,1572,-46.47026824951172,64,21,9.859724044799805,24.5625,72,0.0003,23.828497703125002,,
-8.467177391052246,1574,0.6283284425735474,1675,-47.78606414794922,68,23,11.846040725708008,24.63235294117647,71,0.0003,24.083300338235297,,
-8.879454612731934,1668,0.6113678216934204,1769,-48.435272216796875,72,24,12.61266803741455,24.569444444444443,71,0.0003,24.02935216666667,,
-9.442420959472656,1767,0.5940407514572144,1868,-49.84149932861328,76,26,11.165781021118164,24.57894736842105,71,0.0003,24.225915644736844,,
-9.718388557434082,1859,0.5784662365913391,1960,-51.77796936035156,80,27,15.153139114379883,24.5,71,0.0003,24.0286089875,,
-10.216421127319336,1948,0.5638240575790405,2049,-51.44252014160156,84,28,11.690463066101074,24.392857142857142,71,0.0003,23.985012666666666,,
-10.64460277557373,2039,0.5493090152740479,2140,-52.56171798706055,88,29,17.40751838684082,24.318181818181817,71,0.0003,24.047829613636363,,
-11.150274276733398,2157,0.5308802127838135,2258,-54.31178283691406,92,31,11.028961181640625,24.543478260869566,71,0.0003,24.165017858695652,,
-11.722135543823242,2236,0.5188643336296082,2337,-53.374698638916016,96,32,13.26555061340332,24.34375,71,0.0003,23.957310427083332,,
-12.018909454345703,2327,0.5053642392158508,2428,-51.666725158691406,100,33,14.703861236572266,24.28,71,0.0003,23.95642061,,
-12.518477439880371,2431,0.4903815984725952,2532,-55.14262390136719,104,35,16.711423873901367,24.22,72,0.0003,23.894938690000004,,
-12.998695373535156,2557,0.47284507751464844,2658,-51.67161560058594,108,36,13.61849594116211,24.6,72,0.0003,24.109177369999998,,
-13.768966674804688,2685,0.45569223165512085,2786,-53.68268585205078,112,38,13.657332420349121,24.98,72,0.0003,24.58538826,,
-14.115798950195312,2765,0.44526973366737366,2866,-54.92646026611328,116,39,11.797661781311035,24.79,72,0.0003,24.499046529999998,,
-14.671700477600098,2886,0.4300176799297333,2987,-57.99577331542969,120,41,13.617414474487305,24.79,72,0.0003,24.533348940000007,,
-14.669675827026367,2962,0.420728862285614,3063,-53.449337005615234,124,42,17.699769973754883,24.73,72,0.0003,24.357175049999995,,
-15.098089218139648,3102,0.40417739748954773,3203,-56.20347595214844,128,44,15.806671142578125,25.13,72,0.0003,24.796288569999998,,
-15.46499252319336,3203,0.3926222324371338,3304,-55.43699645996094,132,45,13.518074989318848,25.3,72,0.0003,24.91494376,,
-16.18240737915039,3301,0.3817867636680603,3402,-56.19852066040039,136,47,15.946450233459473,25.18,72,0.0003,24.96701005,,
-16.594650268554688,3420,0.3690071105957031,3521,-56.49254608154297,140,48,19.58538055419922,25.49,72,0.0003,25.14919903,,
-16.80658531188965,3533,0.35729119181632996,3634,-53.68399429321289,144,50,16.634584426879883,25.73,72,0.0003,25.445583610000003,,
-17.656253814697266,3628,0.34771794080734253,3729,-54.57936477661133,148,51,15.413712501525879,25.62,72,0.0003,25.344782060000007,,
-17.842100143432617,3723,0.3384285867214203,3824,-56.6575927734375,152,53,18.183910369873047,25.62,72,0.0003,25.283704220000008,,
-18.162750244140625,3860,0.3254075348377228,3961,-55.100406646728516,156,55,19.101943969726562,25.97,71,0.0003,25.559005210000006,,
-18.624107360839844,3984,0.3140851557254791,4085,-51.32072448730469,160,57,18.574569702148438,26.15,71,0.0003,25.83855894,,
