time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,train/clip_range,train/value_loss,train/std,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/approx_kl,train/learning_rate,train/loss,train/entropy_loss,train/clip_fraction,eval/mean_reward,eval/mean_ep_length
1,41429.9938345,1000.0,3,674,2048,,,,,,,,,,,,,
2,40839.920168,1000.0,7,551,4096,0.2,487252.5427734375,0.9957770109176636,-0.04684516892011743,-0.0005334615707397461,10,0.012000567,0.0003,249669.796875,-24.078724598884584,0.10908203125,,
,,,,,5000,0.2,444921.61572265625,0.995480477809906,-0.04040263094648253,-0.0014168024063110352,20,0.0105127115,0.0003,224696.015625,-24.050210851430894,0.06923828125,38334.87125034332,1000.0
3,39527.19114433333,1000.0,48,125,6144,,,,,,,,,,,,,
4,40856.883019625,1000.0,53,152,8192,0.2,378378.17236328125,0.9932239651679993,-0.04415088171081152,-0.002411365509033203,30,0.012405442,0.0003,203206.640625,-24.020756232738496,0.097998046875,,
,,,,,10000,0.2,547319.4919921875,0.9907358884811401,-0.04449930441624019,-0.003838181495666504,40,0.011103075,0.0003,267133.5625,-23.98342302441597,0.08193359375,82911.10508441925,1000.0
5,40658.6931863,1000.0,93,109,10240,,,,,,,,,,,,,
6,40121.94282175,1000.0,97,125,12288,0.2,440857.5525390625,0.9897023439407349,-0.0475282763625728,-0.0013415813446044922,50,0.01219476,0.0003,220925.203125,-23.957405817508697,0.100048828125,,
7,40183.749485142864,1000.0,102,140,14336,0.2,402573.6166015625,0.9874361753463745,-0.05369911296875216,0.0002383589744567871,60,0.012992321,0.0003,200592.34375,-23.922600394487382,0.12529296875,,
,,,,,15000,0.2,419712.7901367188,0.9850757718086243,-0.05766253779875115,-5.4717063903808594e-05,70,0.014699638,0.0003,204643.984375,-23.882454645633697,0.144287109375,59439.790729141234,1000.0
8,40228.3007173125,1000.0,137,118,16384,,,,,,,,,,,,,
9,40266.409075222226,1000.0,142,129,18432,0.2,450825.37109375,0.9830590486526489,-0.056390891442424616,0.0003941655158996582,80,0.01401859,0.0003,220715.140625,-23.845218807458878,0.13203125,,
