time/total_timesteps,train/learning_rate,time/time_elapsed,train/policy_loss,train/value_loss,time/fps,train/entropy_loss,time/iterations,rollout/ep_len_mean,train/std,train/n_updates,train/explained_variance,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
10500,0.0007,46,1.1991913318634033,0.1891128271818161,226,-10.097820281982422,2100,82.22,0.8552725315093994,2099,0.00026994943618774414,-91.93672682,,
11000,0.0007,47,4.029684543609619,0.46399161219596863,230,-9.8983154296875,2200,82.22,0.8338818550109863,2199,-0.0007328987121582031,-91.93672682,,
11500,0.0007,48,-8.78495979309082,0.8893230557441711,234,-9.704899787902832,2300,83.86,0.8142924308776855,2299,-0.0003807544708251953,-89.03463074999999,,
12000,0.0007,50,2.229546308517456,0.09720905125141144,239,-9.5260591506958,2400,84.44,0.796385645866394,2399,0.0005306005477905273,-87.71344761999998,,
12500,0.0007,51,4.268881320953369,0.6170070767402649,243,-9.341693878173828,2500,84.44,0.7780262231826782,2499,-0.004340529441833496,-87.71344761999998,,
13000,0.0007,52,1.8590625524520874,0.20130877196788788,247,-9.132600784301758,2600,94.3,0.757754385471344,2599,3.7670135498046875e-05,-94.20420178,,
13500,0.0007,53,14.592727661132812,4.505111217498779,251,-8.933253288269043,2700,95.78,0.7394089698791504,2699,0.00018584728240966797,-94.84176166999998,,
14000,0.0007,54,6.498942852020264,0.7180547118186951,255,-8.736311912536621,2800,95.78,0.7214867472648621,2799,0.004991590976715088,-94.84176166999998,,
14500,0.0007,56,3.701679229736328,0.9916160702705383,258,-8.546103477478027,2900,104.8,0.7042691707611084,2899,0.00021159648895263672,-97.60756891000001,,
15000,0.0007,,-0.4605405330657959,0.08061207830905914,,-8.381988525390625,,,0.6902102828025818,2999,0.0005387067794799805,,1000.0,941.0439963281154
15000,,68,,,218,,3000,105.41,,,,-95.48879145999997,,
15500,0.0007,69,1.0210497379302979,0.3475503921508789,222,-8.207849502563477,3100,109.03,0.6751160621643066,3099,0.01582390069961548,-95.83111035000002,,
16000,0.0007,70,10.926336288452148,3.6368415355682373,225,-8.039633750915527,3200,109.03,0.6610868573188782,3199,0.0005420446395874023,-95.83111035000002,,
16500,0.0007,72,-1.6757217645645142,0.2713205814361572,229,-7.8611273765563965,3300,118.87,0.6463935375213623,3299,-0.3899991512298584,-99.89717074,,
17000,0.0007,73,0.6311326026916504,0.4850139617919922,232,-7.652220249176025,3400,118.87,0.6297799348831177,3399,-0.0040901899337768555,-99.89717074,,
17500,0.0007,74,0.8183445930480957,0.38439685106277466,235,-7.460453033447266,3500,128.43,0.6150016784667969,3499,0.00751185417175293,-102.61448358999998,,
18000,0.0007,75,-2.667715549468994,0.37796494364738464,238,-7.271989345550537,3600,129.45,0.6007869243621826,3599,-0.5630468130111694,-102.7920053,,
18500,0.0007,76,2.828669309616089,0.4146145284175873,241,-7.154704570770264,3700,129.45,0.5920569896697998,3699,-1.7599194049835205,-102.7920053,,
