time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss,eval/mean_ep_length,eval/mean_reward
4,3836,5.0,20,0,35.17824475,,,,,,
8,3886,4.875,39,0,34.05085525,,,,,,
12,4045,5.666666666666667,68,0,41.45978975,,,,,,
16,4038,5.5,88,0,39.9309450625,,,,,,
20,1193,5.8,116,0,42.74841465000001,12,91.77681414286296,0.001,-4.431900521119435,,
24,711,5.416666666666667,130,0,39.12877241666667,27,44.96905771891276,0.001,-6.054615497589111,,
28,552,5.142857142857143,144,0,36.54717432142858,40,22.261812845865887,0.001,-7.651042461395264,,
32,461,4.9375,158,0,34.61000415625,54,20.01084804534912,0.001,-7.926016569137573,,
36,400,4.777777777777778,172,0,33.1077528611111,68,15.339102745056152,0.001,-7.935009002685547,,
40,360,4.65,186,0,31.903424949999998,82,17.240070343017578,0.001,-7.25144100189209,,
44,331,4.545454545454546,200,0,30.91986731818182,97,12.683433771133423,0.001,-8.161914348602295,,
48,309,4.458333333333333,214,0,30.0991658125,110,13.304375966389975,0.001,-8.033459186553955,,
52,294,4.384615384615385,228,0,29.402126192307694,124,12.338943481445312,0.001,-7.575021505355835,,
56,277,4.339285714285714,243,0,28.95892178571429,139,12.270363569259644,0.001,-7.9294114112854,,
60,264,4.283333333333333,257,0,28.42953606666667,154,12.912671566009521,0.001,-7.462934732437134,,
64,256,4.234375,271,1,27.969227687500002,168,10.28812289237976,0.001,-7.367259502410889,,
68,251,4.161764705882353,283,1,27.317587558823533,180,11.645171801249186,0.001,-7.350695371627808,,
72,246,4.125,297,1,26.972841222222225,193,8.492043813069662,0.001,-7.508523941040039,,
76,242,4.092105263157895,311,1,26.66142773684211,207,11.086365699768066,0.001,-8.643754005432129,,
80,236,4.0625,325,1,26.3813423125,222,9.437188466389975,0.001,-8.081414699554443,,
84,234,4.035714285714286,339,1,26.128376499999998,235,9.51285171508789,0.001,-7.683961391448975,,
88,230,4.0,352,1,25.805452181818183,248,8.526992162068685,0.001,-8.44537353515625,,
92,227,3.989130434782609,367,1,25.690033173913044,263,9.21759033203125,0.001,-7.896456003189087,,
96,224,3.96875,381,1,25.499155760416667,277,8.213422775268555,0.001,-7.387682914733887,,
100,222,3.94,394,1,25.23757466,290,7.874441782633464,0.001,-7.247491836547852,,
104,217,3.89,409,1,24.757815150000003,305,7.273373603820801,0.001,-7.71527624130249,,
108,214,3.84,423,1,24.28430476,319,6.252562840779622,0.001,-8.076552391052246,,
112,211,3.69,437,2,22.876836200000003,334,6.008015473683675,0.001,-8.700148105621338,,
116,210,3.61,449,2,22.139038100000004,346,7.627270698547363,0.001,-8.07448434829712,,
120,208,3.46,462,2,20.739634269999996,358,5.074105262756348,0.001,-8.292925119400024,,
124,207,3.47,477,2,20.82497396,373,7.052960157394409,0.001,-8.929632663726807,,
128,205,3.47,491,2,20.82573006,388,5.3578314781188965,0.001,-8.22093391418457,,
132,203,3.49,507,2,20.99601627,403,5.660872220993042,0.001,-8.616197109222412,,
136,202,3.48,520,2,20.91150365,416,7.860121409098308,0.001,-8.40742540359497,,
140,200,3.47,533,2,20.829879780000002,430,5.737966696421306,0.001,-9.10462999343872,,
144,199,3.48,548,2,20.91217639,444,7.194943428039551,0.001,-8.039555072784424,,
148,197,3.49,563,2,20.995331219999997,459,5.42648047208786,0.001,-8.956610679626465,,
152,195,3.49,577,2,20.99610483,474,5.66439151763916,0.001,-8.84549617767334,,
156,194,3.49,592,3,20.994595639999996,488,5.527928113937378,0.001,-9.63815689086914,,
160,193,3.48,605,3,20.915010350000003,502,7.247843424479167,0.001,-8.193327903747559,,
164,193,3.48,619,3,20.91593825,515,5.384161790211995,0.001,-11.45463752746582,,
168,192,3.5,633,3,21.083897529999998,529,4.780463854471843,0.001,-9.041027069091797,,
172,191,3.52,649,3,21.25003194,545,5.17688512802124,0.001,-8.477711200714111,,
176,190,3.52,663,3,21.250873419999998,560,4.6739541888237,0.001,-9.142569065093994,,
180,189,3.51,676,3,21.169669960000007,573,4.544344544410706,0.001,-8.75464391708374,,
184,189,3.5,689,3,21.0878368,586,6.398737748463948,0.001,-9.424763202667236,,
188,189,3.51,703,3,21.17067837,599,6.44446063041687,0.001,-8.241167783737183,,
192,188,3.48,715,3,20.921268109999996,612,5.722839832305908,0.001,-9.060541152954102,,
196,187,3.46,727,3,20.753630940000004,624,4.068257411321004,0.001,-9.802059650421143,,
200,186,3.45,739,3,20.669179990000003,636,4.6144115924835205,0.001,-8.815002918243408,,
204,186,3.44,753,4,20.58552325,650,5.629077434539795,0.001,-9.745197772979736,,
208,186,3.43,766,4,20.50060254,663,4.522636294364929,0.001,-9.470819473266602,,
212,185,3.42,779,4,20.41656025,676,4.9024293422698975,0.001,-9.154095649719238,,
