rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/loss,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/std,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/explained_variance,eval/mean_reward,eval/mean_ep_length
1000.0,41057.372977399995,10,20480,181,112,,,,,,,,,,,,,
1000.0,41283.40109854545,11,22528,186,120,229490.296875,0.0003,0.2,-0.060197074239840734,0.982195258140564,456062.1646484375,0.158203125,100,-23.829795598983765,0.015191543,0.0013089179992675781,,
1000.0,41596.29874379167,12,24576,191,128,267441.125,0.0003,0.2,-0.06083230369840749,0.9806991815567017,515228.938671875,0.146044921875,110,-23.79949632883072,0.014883983,-0.0003821849822998047,,
,,,25000,,,303730.34375,0.0003,0.2,-0.056513344828272236,0.9784961342811584,576210.3766601563,0.1337890625,120,-23.76642951965332,0.014261227,-0.00023174285888671875,55506.10482330322,1000.0
1000.0,41789.526925846156,13,26624,225,118,,,,,,,,,,,,,
1000.0,42289.98585189285,14,28672,230,124,252284.25,0.0003,0.2,-0.06136920453282073,0.9766632318496704,564419.7955078125,0.157763671875,130,-23.730515736341477,0.015515562,-0.001345515251159668,,
,,,30000,,,321203.9375,0.0003,0.2,-0.056398017823812555,0.9742589592933655,637381.1275390625,0.138232421875,140,-23.69702689051628,0.014980277,-0.001064300537109375,64050.13055477142,1000.0
1000.0,42642.733285233335,15,30720,265,115,,,,,,,,,,,,,
1000.0,42918.6813748125,16,32768,269,121,316293.28125,0.0003,0.2,-0.0553817418316612,0.9708595275878906,589450.8133789062,0.13740234375,150,-23.643567770719528,0.014062214,0.00011444091796875,,
1000.0,43346.50076752941,17,34816,274,127,315947.53125,0.0003,0.2,-0.06574406885483768,0.9709861874580383,707789.805859375,0.176025390625,160,-23.622191774845124,0.016885173,-8.320808410644531e-05,,
,,,35000,,,329593.84375,0.0003,0.2,-0.06489520284812897,0.968917191028595,602623.9053710938,0.18017578125,170,-23.59904631972313,0.017241955,-0.0010044574737548828,69599.66434173584,1000.0
1000.0,43664.519485916666,18,36864,307,119,,,,,,,,,,,,,
1000.0,44104.7414038421,19,38912,312,124,372974.75,0.0003,0.2,-0.06106138435425237,0.9673352837562561,730932.1853515625,0.154736328125,180,-23.565708416700364,0.015395643,0.0001429915428161621,,
,,,40000,,,393375.59375,0.0003,0.2,-0.06281402234453708,0.9661679267883301,754167.9083984375,0.152294921875,190,-23.54618023633957,0.015802044,-0.003214597702026367,71435.5219116211,1000.0
1000.0,44561.671312900005,20,40960,348,117,,,,,,,,,,,,,
1000.0,45302.93122167442,21,43008,353,121,331492.34375,0.0003,0.2,-0.06513326135464012,0.9630299806594849,726205.7443359375,0.176904296875,200,-23.500917786359786,0.016583614,-0.0004620552062988281,,
