rollout/ep_rew_mean,time/episodes,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,train/ent_coef_loss,train/actor_loss,train/learning_rate,train/ent_coef,train/n_updates,train/critic_loss,eval/mean_reward,eval/mean_ep_length
-6.475378750000001,4,24,747,0,6.0,,,,,,,,
-5.885258,8,41,838,0,5.125,,,,,,,,
-5.533999583333333,12,61,867,0,5.083333333333333,,,,,,,,
-6.1407229375,16,85,870,0,5.3125,,,,,,,,
-5.831274549999999,20,102,795,0,5.1,0.0,-6.171935081481934,0.0003,1.0,1,26.0092830657959,,
-5.555099458333333,24,120,400,0,5.0,-0.10826016962528229,-12.356927871704102,0.0003,0.9945878386497498,19,17.809059143066406,,
-5.807941857142858,28,147,264,0,5.25,-0.27316001057624817,-12.467548370361328,0.0003,0.9864949584007263,46,17.988256454467773,,
-5.6903695,32,164,227,0,5.125,-0.37655118107795715,-12.723296165466309,0.0003,0.9814349412918091,63,18.05670738220215,,
-5.79093138888889,36,184,202,0,5.111111111111111,-0.4986330270767212,-12.640846252441406,0.0003,0.9755222201347351,83,22.40947914123535,,
-5.782410275,40,205,181,1,5.125,-0.6248127818107605,-12.747852325439453,0.0003,0.969358503818512,104,22.315675735473633,,
-5.648419818181818,44,223,169,1,5.068181818181818,-0.7298036813735962,-13.317543029785156,0.0003,0.9641144275665283,122,14.812082290649414,,
-5.9283066875,48,255,155,1,5.3125,-0.9208024740219116,-13.81886100769043,0.0003,0.95488440990448,154,10.222373962402344,,
-6.001971749999999,52,283,147,1,5.4423076923076925,-1.075821876525879,-14.251693725585938,0.0003,0.9469261765480042,182,5.289676666259766,,
-5.862140267857143,56,305,143,2,5.446428571428571,-1.194324016571045,-14.538202285766602,0.0003,0.940761923789978,204,4.315505027770996,,
-5.8559654666666665,60,328,137,2,5.466666666666667,-1.342854380607605,-15.412466049194336,0.0003,0.9343743324279785,227,2.7540252208709717,,
-5.8675179375,64,354,134,2,5.53125,-1.4842228889465332,-15.866632461547852,0.0003,0.9271976351737976,253,1.717490553855896,,
-5.918582823529412,68,379,131,2,5.573529411764706,-1.6376419067382812,-16.754777908325195,0.0003,0.920337438583374,278,1.7264310121536255,,
-5.896431152777777,72,400,130,3,5.555555555555555,-1.7607272863388062,-15.890198707580566,0.0003,0.9145970940589905,299,1.9886342287063599,,
-5.940065894736841,76,431,127,3,5.671052631578948,-1.953108787536621,-16.794940948486328,0.0003,0.906171441078186,330,2.6885907649993896,,
-5.8516005,80,450,126,3,5.625,-2.060359239578247,-17.469619750976562,0.0003,0.901038408279419,349,1.8279141187667847,,
-5.851343107142857,84,474,125,3,5.642857142857143,-2.1903343200683594,-17.558265686035156,0.0003,0.89459228515625,373,1.9693982601165771,,
-5.840008,88,499,123,4,5.670454545454546,-2.3531813621520996,-17.29747772216797,0.0003,0.8879263997077942,398,1.97025465965271,,
-5.878616293478261,92,530,122,4,5.760869565217392,-2.5458223819732666,-17.60912322998047,0.0003,0.8797261118888855,429,2.6187148094177246,,
-5.8663685,96,555,121,4,5.78125,-2.697059154510498,-17.927295684814453,0.0003,0.8731557726860046,454,1.492868423461914,,
-5.84927016,100,579,120,4,5.79,-2.8316140174865723,-17.78626823425293,0.0003,0.8668920397758484,478,2.055069923400879,,
-5.79298753,104,599,119,5,5.75,-2.9678096771240234,-18.319988250732422,0.0003,0.861706018447876,498,1.9449186325073242,,
-5.8293573300000014,108,621,118,5,5.8,-3.087221622467041,-17.21310806274414,0.0003,0.8560360670089722,520,2.235929489135742,,
-5.782604870000001,112,639,118,5,5.78,-3.1859970092773438,-18.28639030456543,0.0003,0.8514220118522644,538,1.8050898313522339,,
-5.710458899999999,116,665,117,5,5.8,-3.347442150115967,-17.33194351196289,0.0003,0.8448097109794617,564,2.724858283996582,,
-5.726564520000002,120,690,117,5,5.88,-3.480682373046875,-18.264789581298828,0.0003,0.8385106325149536,589,1.7203718423843384,,
-5.78932597,124,714,116,6,5.94,-3.603825330734253,-17.736793518066406,0.0003,0.8325225114822388,613,2.5949244499206543,,
-5.81373267,128,748,114,6,6.01,-3.804703950881958,-17.888246536254883,0.0003,0.8241262435913086,647,3.8892478942871094,,
-5.876107209999999,132,781,113,6,6.17,-3.95420503616333,-17.218143463134766,0.0003,0.8160703182220459,680,2.985346794128418,,
-5.85237443,136,810,113,7,6.26,-4.171669006347656,-18.213516235351562,0.0003,0.8090720176696777,709,2.282336711883545,,
-5.779170559999999,140,832,112,7,6.27,-4.241731643676758,-17.970346450805664,0.0003,0.8038005232810974,731,2.3213236331939697,,
-5.918089389999999,144,864,111,7,6.41,-4.4617919921875,-18.515865325927734,0.0003,0.7962059378623962,763,1.6313225030899048,,
-5.78489951,148,895,111,8,6.4,-4.618657112121582,-16.974077224731445,0.0003,0.7889222502708435,794,2.2335309982299805,,
-5.7087198699999995,152,913,110,8,6.3,-4.702791213989258,-18.01508331298828,0.0003,0.784727156162262,812,2.5051345825195312,,
-5.67909269,156,933,110,8,6.28,-4.8175554275512695,-17.14031219482422,0.0003,0.780090868473053,832,2.0173301696777344,,
-5.63033499,160,957,110,8,6.29,-4.978541374206543,-17.960285186767578,0.0003,0.7745798230171204,856,2.7928953170776367,,
-5.54760855,164,977,110,8,6.23,-5.080018043518066,-17.46002769470215,0.0003,0.7700106501579285,876,1.975670337677002,,
-5.456977710000001,168,1004,109,9,6.25,-5.207840919494629,-16.829914093017578,0.0003,0.7638964653015137,903,3.195509433746338,,
-5.472510079999999,172,1032,109,9,6.32,-5.359771728515625,-18.26095962524414,0.0003,0.7576097846031189,931,2.218803882598877,,
-5.35116705,176,1056,109,9,6.25,-5.429746627807617,-16.536087036132812,0.0003,0.7522586584091187,955,2.188188314437866,,
-5.34162376,180,1079,109,9,6.29,-5.600449562072754,-17.770465850830078,0.0003,0.7471803426742554,978,2.8824257850646973,,
-5.2134608999999985,184,1097,108,10,6.23,-5.65682315826416,-17.259857177734375,0.0003,0.7432282567024231,996,2.6265926361083984,,
-5.166636219999999,188,1123,108,10,6.24,-5.885745048522949,-18.398313522338867,0.0003,0.7375605702400208,1022,3.891205310821533,,
-4.9885869000000005,192,1150,108,10,6.2,-5.971072196960449,-17.855175018310547,0.0003,0.7317048907279968,1049,3.6877994537353516,,
-4.88769816,196,1173,108,10,6.18,-6.192598342895508,-17.296836853027344,0.0003,0.7267652750015259,1072,3.6481943130493164,,
-4.858606439999999,200,1198,108,11,6.19,-6.25932502746582,-17.988086700439453,0.0003,0.7214317321777344,1097,4.844987392425537,,
-4.80787106,204,1220,107,11,6.21,-6.415468215942383,-16.549270629882812,0.0003,0.7167822122573853,1119,3.3071460723876953,,
-4.66898435,208,1242,107,11,6.21,-6.426894664764404,-16.469186782836914,0.0003,0.7121604681015015,1141,3.4243087768554688,,
-4.67865339,212,1260,107,11,6.21,-6.63633918762207,-16.914127349853516,0.0003,0.7084091305732727,1159,4.267644882202148,,
-4.571320449999999,216,1283,107,11,6.18,-6.78593635559082,-16.7906436920166,0.0003,0.7036342620849609,1182,3.215479850769043,,
-4.44710461,220,1301,107,12,6.11,-6.782217502593994,-16.65740203857422,0.0003,0.6999204158782959,1200,4.660671710968018,,
-4.37590766,224,1323,107,12,6.09,-7.026823997497559,-16.217975616455078,0.0003,0.695410430431366,1222,4.640246391296387,,
-4.1907792299999995,228,1345,106,12,5.97,-7.070734977722168,-16.33422088623047,0.0003,0.6909162998199463,1244,4.118154525756836,,
-4.0281899899999996,232,1367,106,12,5.86,-7.25184440612793,-16.44869613647461,0.0003,0.6864599585533142,1266,4.158354759216309,,
-3.95173591,236,1393,106,13,5.83,-7.37859582901001,-16.903934478759766,0.0003,0.6812236905097961,1292,5.64715051651001,,
-3.99563218,240,1420,106,13,5.88,-7.5675859451293945,-14.833847045898438,0.0003,0.6758177876472473,1319,4.5503950119018555,,
-3.8682896500000004,244,1446,106,13,5.82,-7.623064994812012,-15.555731773376465,0.0003,0.6706411242485046,1345,5.067885398864746,,
-3.79117277,248,1469,106,13,5.74,-7.868573188781738,-16.90390396118164,0.0003,0.6660897135734558,1368,5.910542964935303,,
-3.7974929000000004,252,1493,106,14,5.8,-7.920429706573486,-16.25102996826172,0.0003,0.6613702774047852,1392,5.912204742431641,,
-3.9451250800000004,256,1530,105,14,5.97,-8.15138053894043,-15.861639022827148,0.0003,0.6541876196861267,1429,4.229222774505615,,
-3.9706914899999997,260,1556,105,14,5.99,-8.268203735351562,-15.183367729187012,0.0003,0.6491833329200745,1455,4.062967300415039,,
-3.9374688000000004,264,1575,105,14,5.98,-8.415251731872559,-14.981765747070312,0.0003,0.6455532908439636,1474,4.16306209564209,,
-3.9268929000000004,268,1602,105,15,5.98,-8.554939270019531,-15.330881118774414,0.0003,0.6404178142547607,1501,4.916745662689209,,
-3.86030247,272,1627,105,15,5.95,-8.513437271118164,-14.592597961425781,0.0003,0.6357010006904602,1526,5.610073089599609,,
-3.8409015600000003,276,1651,105,15,5.95,-8.78829574584961,-14.388813018798828,0.0003,0.6312188506126404,1550,6.760631084442139,,
-3.8580709299999993,280,1673,105,15,5.94,-9.004386901855469,-15.954523086547852,0.0003,0.627131998538971,1572,5.8869709968566895,,
-3.88139184,284,1696,104,16,5.99,-8.958913803100586,-15.76388168334961,0.0003,0.6228724122047424,1595,7.32027530670166,,
-3.89033446,288,1714,104,16,5.91,-9.031553268432617,-14.944497108459473,0.0003,0.6195761561393738,1613,5.663308620452881,,
