train/n_updates,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/fps,train/actor_loss,train/learning_rate,time/total_timesteps,train/critic_loss,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
1028,4,259.5,5,186,-2.700620855603899,0.001,1038,0.34786223505552,174.09034400000002,,
3071,8,389.375,17,174,-4.265037897586822,0.001,3115,0.18409467311576008,-556.290478625,,
4350,12,367.9166666666667,24,179,-1.9973679351387545,0.001,4415,0.7834915902155141,-609.2499023333334,,
4578,,,,,-1.4210409911779256,0.001,5000,0.6200144909895383,,-711.715473502758,347.0
5578,16,350.5625,33,165,-0.1631620553836692,0.001,5609,0.7727935072779656,-616.2453641875,,
6759,20,387.95,41,187,-1.6877393005525227,0.001,7759,0.6568263408541679,-455.72975604999993,,
9759,,,,,-1.7521943275220693,0.001,10000,0.5188744195103645,,464.94784000674264,707.1
10759,24,489.9583333333333,70,167,-2.1725970213264225,0.001,11759,0.5229906174838543,-259.86255470833333,,
14759,,,,,-5.3884140386581425,0.001,15000,0.480801432877779,,510.5427291962784,817.0
,28,562.8214285714286,100,156,,,15759,,-132.106919,,
18759,32,617.46875,122,161,-9.793181070327758,0.001,19759,0.5712068917155266,-17.865324999999984,,
19759,,,,,-11.180632688522339,0.001,20000,0.6101306641399861,,657.55129697409,901.0
22759,36,659.9722222222222,152,156,-14.186449926376342,0.001,23759,0.8631277026534081,48.116684416666686,,
24759,,,,,-14.849752265930176,0.001,25000,1.1820211822390556,,-470.25346906065244,1000.0
26759,40,693.975,183,151,-15.549383131027222,0.001,27759,1.1131854325532913,55.71175727500001,,
29759,,,,,-17.479192989349364,0.001,30000,1.0202753396630286,,647.0749188009788,1000.0
30759,44,721.7954545454545,214,148,-17.45648264503479,0.001,31759,0.9652580725252629,95.65694209090911,,
34759,,,,,-19.05776470756531,0.001,35000,1.0462300221323968,,641.6870304407475,1000.0
,48,744.9791666666666,245,145,,,35759,,131.62788645833334,,
38759,52,764.5961538461538,267,148,-19.854248586654663,0.001,39759,1.302389814734459,141.3574180769231,,
39759,,,,,-19.9213094291687,0.001,40000,1.0422758867144584,,663.9457500662044,1000.0
42759,56,781.4107142857143,297,147,-20.42423528289795,0.001,43759,0.9756945702135563,159.228770875,,
44759,,,,,-21.221043853759767,0.001,45000,1.2588447486758232,,636.2335876362661,1000.0
46759,60,795.9833333333333,329,144,-22.071717147827147,0.001,47759,0.9313953056335449,196.08854128333334,,
49759,,,,,-23.132611141204833,0.001,50000,0.8048824631571769,,633.6160758306535,1000.0
50759,64,808.734375,360,143,-23.68200760269165,0.001,51759,0.7793218657374382,225.812526734375,,
54759,,,,,-25.514859916687012,0.001,55000,0.7116191344559193,,610.4721103506745,1000.0
,68,819.9852941176471,391,142,,,55759,,253.3001550735294,,
58759,72,829.9861111111111,413,144,-28.208225761413573,0.001,59759,0.7612811252474785,266.5932650416667,,
59759,,,,,-28.96801428604126,0.001,60000,0.7621542669832706,,629.9667280243797,1000.0
