time/episodes,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates,eval/mean_reward,eval/mean_ep_length
4,95,0,2179,23.75,112.60305825,,,,,,
8,183,0,431,22.875,105.359197125,-4.6291412625994,8.005884965260824,0.001,73,,
12,245,0,334,20.416666666666668,91.822593,-5.569557462419782,2.9523425817489626,0.001,135,,
16,305,1,296,19.0625,84.444177625,-6.123054572514126,1.90121591091156,0.001,195,,
20,367,1,276,18.35,80.81006179999999,-6.826829433441162,1.2527005188167095,0.001,256,,
24,427,1,260,17.791666666666668,77.79290941666666,-7.483218738010952,1.0177234172821046,0.001,317,,
28,489,1,251,17.464285714285715,76.00425025,-8.121663630008698,0.7730048894882202,0.001,379,,
32,551,2,241,17.21875,74.68286909375,-8.93166378566197,0.8813712159792583,0.001,441,,
36,612,2,234,17.0,73.40011966666665,-9.323942184448242,1.838121740023295,0.001,502,,
40,672,2,230,16.8,72.416145175,-9.793323397636414,0.6345187147458394,0.001,562,,
44,733,3,227,16.65909090909091,71.6735478409091,-10.372772216796875,0.9580750187238057,0.001,623,,
48,794,3,223,16.541666666666668,71.12501400000001,-10.704474806785583,1.535776011645794,0.001,684,,
52,855,3,220,16.442307692307693,70.51450657692308,-11.240557074546814,1.4835098460316658,0.001,745,,
56,916,4,217,16.357142857142858,69.98588091071429,-11.466539740562439,1.011967472732067,0.001,806,,
60,977,4,215,16.283333333333335,69.62412763333333,-12.129659414291382,1.0431875586509705,0.001,867,,
64,1038,4,214,16.21875,69.320697859375,-12.634067416191101,1.2979176342487335,0.001,928,,
68,1099,5,213,16.16176470588235,69.03703654411765,-13.293928742408752,0.9879862070083618,0.001,988,,
72,1160,5,212,16.11111111111111,68.75111883333334,-13.341684750148229,1.500789495309194,0.001,1049,,
76,1220,5,210,16.05263157894737,68.48137534210525,-13.777179598808289,1.5189854860305787,0.001,1110,,
80,1280,6,209,16.0,68.22640491249999,-14.229355096817017,1.4070459286371866,0.001,1170,,
84,1340,6,209,15.952380952380953,67.9651400952381,-14.738501787185669,1.7473113854726157,0.001,1230,,
88,1401,6,208,15.920454545454545,67.754307875,-15.34471184866769,0.8031526843706767,0.001,1291,,
92,1462,7,208,15.891304347826088,67.58862076086956,-15.353137697492327,0.9556614398956299,0.001,1351,,
96,1523,7,206,15.864583333333334,67.46437197916667,-15.76168179512024,0.7829180900007486,0.001,1413,,
100,1585,7,205,15.85,67.39703813,-16.36415147781372,0.7042339483896891,0.001,1474,,
104,1647,8,204,15.52,65.52073494999999,-16.662943243980408,0.7497918885201216,0.001,1537,,
108,1708,8,204,15.25,64.19038056999999,-17.296781267438615,0.9905890047550201,0.001,1597,,
112,1769,8,204,15.24,64.14458660999999,-17.593209743499756,1.0474342147509257,0.001,1658,,
116,1831,8,204,15.26,64.273709,-17.965154920305526,0.6975543161233266,0.001,1721,,
120,1893,9,203,15.26,64.20485568,-18.39333939552307,0.7376263201236725,0.001,1782,,
124,1955,9,203,15.28,64.31493900000001,-18.97361946105957,1.0377217140048742,0.001,1845,,
128,2015,9,204,15.26,64.21275119,-19.25882121494838,1.0485238909721375,0.001,1905,,
132,2077,10,203,15.26,64.22584215000002,-19.440680503845215,0.8969441950321198,0.001,1967,,
136,2138,10,203,15.26,64.29696911,-19.68907070159912,0.8332222123940786,0.001,2028,,
140,2200,10,202,15.28,64.39673278000001,-19.87077784538269,0.9179781526327133,0.001,2090,,
144,2260,11,202,15.27,64.34167115,-20.57865023612976,1.2697309494018554,0.001,2150,,
148,2321,11,202,15.27,64.29094661999999,-20.54958724975586,1.0644932607809703,0.001,2210,,
152,2383,11,202,15.28,64.36580042000001,-20.74137592315674,2.155346910158793,0.001,2272,,
156,2445,12,201,15.29,64.45399498,-21.017687797546387,1.2023356676101684,0.001,2334,,
160,2506,12,201,15.29,64.45978034,-21.830719470977783,1.2206595726311207,0.001,2396,,
164,2570,12,201,15.32,64.68177641,-21.82996439933777,1.7270000576972961,0.001,2459,,
168,2634,13,201,15.35,64.9131136,-22.178993701934814,3.221237763762474,0.001,2523,,
172,2695,13,201,15.35,65.07942483,-22.005207334245956,1.6136505047480265,0.001,2585,,
176,2757,13,201,15.37,65.25788157,-22.363282442092896,1.9974991083145142,0.001,2647,,
180,2819,13,201,15.39,65.3893016,-22.74186682701111,1.73651759698987,0.001,2709,,
184,2881,14,201,15.41,65.60153374,-23.291460275650024,1.4797720432281494,0.001,2770,,
188,2945,14,201,15.44,65.84049135999999,-23.07206130027771,1.2794368118047714,0.001,2834,,
192,3008,14,201,15.46,66.04476566000001,-23.50040602684021,1.2732063960283995,0.001,2897,,
196,3071,15,201,15.48,66.28242227999999,-23.330114603042603,1.3131593875586987,0.001,2960,,
200,3133,15,200,15.48,66.36868107,-23.60255868094308,1.6545367280642191,0.001,3023,,
204,3196,15,200,15.49,66.51765556999999,-24.185009956359863,1.4448365233838558,0.001,3085,,
208,3258,16,200,15.5,66.58468091,-24.120478221348353,1.7491440773010254,0.001,3147,,
212,3321,16,200,15.52,66.80534382,-24.411534547805786,2.0378107354044914,0.001,3210,,
