rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/total_timesteps,time/fps,train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates,train/ent_coef,train/ent_coef_loss,eval/mean_reward,eval/mean_ep_length
5.43,12,-5.55385674,160,851,65,0.0003,-17.14522933959961,4.23862886428833,750,0.7979550361633301,-4.4792890548706055,,
5.32,13,-5.48923555,164,871,65,0.0003,-16.95891571044922,3.9845900535583496,770,0.7932054400444031,-4.579860687255859,,
5.37,13,-5.6273379,168,894,65,0.0003,-16.851194381713867,2.613992214202881,793,0.7877758741378784,-4.698763847351074,,
5.41,14,-5.685715340000001,172,914,64,0.0003,-17.916336059570312,3.9199352264404297,813,0.7830919027328491,-4.823829650878906,,
5.33,14,-5.59604921,176,935,64,0.0003,-16.61899185180664,3.078740358352661,834,0.7782055139541626,-4.960610866546631,,
5.46,14,-5.6645904,180,965,64,0.0003,-16.887847900390625,4.611302375793457,864,0.7712801694869995,-5.104261875152588,,
5.5,15,-5.70068162,184,989,64,0.0003,-16.918834686279297,3.7142248153686523,888,0.765792727470398,-5.238795757293701,,
5.53,15,-5.613962839999998,188,1015,64,0.0003,-16.603290557861328,4.2743940353393555,914,0.7598989009857178,-5.372477054595947,,
5.63,16,-5.63525994,192,1046,64,0.0003,-16.54585075378418,3.899171829223633,945,0.7529531717300415,-5.551438808441162,,
5.63,16,-5.5720357400000005,196,1069,63,0.0003,-15.473861694335938,4.876249313354492,968,0.7478455305099487,-5.701651096343994,,
5.6,17,-5.520588570000001,200,1090,63,0.0003,-16.56441879272461,5.1211981773376465,989,0.7432205080986023,-5.822584629058838,,
5.62,17,-5.448227740000001,204,1119,63,0.0003,-15.702718734741211,4.324628829956055,1018,0.7368752360343933,-5.929994583129883,,
5.6,17,-5.4263312699999995,208,1140,63,0.0003,-15.610904693603516,4.312625408172607,1039,0.7323226928710938,-6.074072360992432,,
5.65,18,-5.471358609999999,212,1165,63,0.0003,-16.11638832092285,4.155734062194824,1064,0.7269532680511475,-6.205486297607422,,
5.61,18,-5.43258596,216,1181,63,0.0003,-16.07147979736328,4.6519775390625,1080,0.7235348224639893,-6.282472610473633,,
5.69,19,-5.3797273,220,1210,63,0.0003,-15.896846771240234,7.184133529663086,1109,0.7173910140991211,-6.482226371765137,,
