time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
,,4000,,,,-58.54698944091797,0.001,5.959071681306169,3881,28.3,252.48507599830629
284,36,4116,24.19,214.27355111,112,-59.17343521118164,0.001,8.402414269447327,3987,,
288,37,4255,25.03,222.09875470999995,112,-59.466310749883235,0.001,5.530914482863053,4118,,
292,38,4362,25.22,223.82195849999997,112,-59.551853561401366,0.001,8.995986485481263,4228,,
296,39,4487,25.83,229.48569346000005,113,-64.24588877360026,0.001,7.555458950996399,4353,,
300,40,4594,26.15,232.44192867,113,-65.17778500643644,0.001,8.574936389923096,4460,,
304,41,4714,26.47,235.40865934999994,113,-67.19904088973999,0.001,6.097912028431892,4572,,
308,42,4817,26.58,236.43307558,112,-68.22889137268066,0.001,8.206024765968323,4689,,
312,43,4945,26.77,238.19917835000004,113,-69.31150887229226,0.001,9.17812712987264,4792,,
,,5000,,,,-69.4406364440918,0.001,11.724150115046008,4874,31.1,278.0024746894836
316,45,5063,26.75,237.97413355999998,112,-69.6374880472819,0.001,14.73401047786077,4928,,
320,46,5180,26.97,239.98510291,111,-69.64644724527994,0.001,14.779457155863444,5051,,
324,47,5311,27.33,243.33270290000004,110,-72.83711297171456,0.001,13.92657024519784,5181,,
328,49,5430,27.79,247.60441333,110,-74.41654815673829,0.001,9.87260201772054,5299,,
332,50,5578,28.26,251.94950146,110,-75.42392319899339,0.001,10.627733890826885,5444,,
336,51,5707,28.55,254.64069152999997,111,-76.72050655589385,0.001,11.56753092101126,5580,,
340,52,5850,29.2,260.65860599000007,111,-77.8641379220145,0.001,11.627362387520927,5702,,
344,53,5977,29.6,264.3670465,111,-81.29330130184398,0.001,12.298888833182199,5847,,
,,6000,,,,-79.77648061116537,0.001,11.725994539260864,5877,34.1,306.11051535606384
348,55,6109,29.86,266.78127302,110,-81.95818850868626,0.001,11.362059379878797,5984,,
352,57,6284,30.75,275.07617056,110,-82.6965349370783,0.001,13.031975926293267,6145,,
356,58,6450,31.48,281.87267305,110,-84.10685564124066,0.001,11.805455949571398,6302,,
360,59,6556,31.73,284.21794786999993,110,-85.46088756214489,0.001,13.44903622502866,6433,,
364,60,6713,32.14,288.0086922,110,-86.84091467606395,0.001,14.935514462960732,6586,,
368,62,6861,32.25,289.02090324,110,-88.67281341552734,0.001,15.457324239942762,6732,,
,,7000,,,,-86.97521385779747,0.001,16.09733470280965,6879,43.0,389.80109823942183
372,63,7038,33.05,296.4737663899999,110,,,,,,
376,64,7177,33.16,297.50785147,110,-90.93072509765625,0.001,15.263526480538504,7042,,
380,66,7342,33.61,301.71557353000003,111,-90.3042575291225,0.001,19.683148548520844,7171,,
384,68,7536,34.2,307.20887583,110,-92.64613037109375,0.001,21.989312366563446,7408,,
388,69,7665,34.1,306.27267956,110,-94.68110983712333,0.001,20.89313500015824,7534,,
392,70,7843,34.81,312.92406471,111,-97.18803859401393,0.001,20.249432981830754,7694,,
396,72,7992,35.05,315.17406927999997,110,-95.78684171040852,0.001,24.960247081259023,7854,,
,,8000,,,,-98.1500244140625,0.001,24.114584571436833,7892,48.3,439.2975318074226
400,73,8165,35.71,321.35169041,110,-100.77155049641927,0.001,24.60311338175898,8038,,
404,75,8348,36.34,327.24044924,110,-100.66371503557478,0.001,28.97351529564656,8205,,
408,77,8509,36.92,332.67302529,110,-104.77737782796224,0.001,30.35062909895374,8385,,
412,79,8751,38.06,343.31811962000006,110,-103.7186934308308,0.001,27.509030144389083,8609,,
,,9000,,,,-107.36605027142693,0.001,28.77803388323103,8785,47.5,431.92451018095016
416,81,9013,39.5,356.76190692000006,111,,,,,,
420,83,9224,40.44,365.54716317,110,-107.9474347985309,0.001,35.15758991241455,9032,,
424,85,9367,40.56,366.68267928999995,109,-113.17076764787946,0.001,32.131275347300935,9225,,
428,87,9561,41.31,373.69731772999984,109,-111.29287033081054,0.001,35.86881446838379,9409,,
