time/total_timesteps,time/time_elapsed,time/episodes,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/ent_coef_loss,train/n_updates,train/critic_loss,train/actor_loss,train/ent_coef,eval/mean_reward,eval/mean_ep_length
1221,14,236,85,5.22,4.36344984,0.0003,-6.587435245513916,1120,9.49020004272461,-20.591405868530273,0.7146198749542236,,
1247,14,240,85,5.31,4.42880532,0.0003,-6.71105432510376,1146,9.244157791137695,-20.153602600097656,0.7091128826141357,,
1263,14,244,85,5.29,4.398151899999999,0.0003,-6.818874359130859,1162,8.898452758789062,-20.932388305664062,0.7057458758354187,,
1286,15,248,84,5.34,4.4424136,0.0003,-6.984610557556152,1185,7.62880277633667,-19.509334564208984,0.7009312510490417,,
1300,15,252,84,5.16,4.280993630000001,0.0003,-6.9972405433654785,1199,6.958853244781494,-19.606800079345703,0.6980109214782715,,
1317,15,256,84,5.09,4.243995,0.0003,-7.149587631225586,1216,8.556676864624023,-20.20273208618164,0.6944835186004639,,
1336,15,260,84,5.02,4.12591512,0.0003,-7.221901893615723,1235,8.602073669433594,-20.406143188476562,0.6905563473701477,,
1359,16,264,84,5.04,4.118034579999999,0.0003,-7.36849308013916,1258,10.771015167236328,-20.922657012939453,0.6858386397361755,,
1380,16,268,84,5.06,4.11828785,0.0003,-7.498847007751465,1279,10.446950912475586,-20.53781509399414,0.6815547347068787,,
1401,16,272,84,5.02,4.08695353,0.0003,-7.582487106323242,1300,10.430025100708008,-20.152729034423828,0.6773121356964111,,
1425,16,276,83,4.97,4.01376792,0.0003,-7.652630805969238,1324,8.898538589477539,-19.11925506591797,0.6725038290023804,,
1443,17,280,83,4.91,3.96055444,0.0003,-7.778226375579834,1342,11.183794021606445,-19.249794006347656,0.6689404249191284,,
1464,17,284,83,4.93,3.9526414499999993,0.0003,-7.7338786125183105,1363,9.619544982910156,-19.59682273864746,0.6648439764976501,,
1479,17,288,83,4.91,3.91628896,0.0003,-7.697155952453613,1378,13.214824676513672,-19.1412410736084,0.6619642376899719,,
1500,17,292,83,4.93,3.9329406200000006,0.0003,-7.856359481811523,1399,12.72077465057373,-19.51144790649414,0.6579849123954773,,
1525,18,296,83,4.9,3.77661105,0.0003,-7.977372169494629,1424,11.638041496276855,-19.346820831298828,0.6532598733901978,,
1545,18,300,83,4.91,3.7647989299999995,0.0003,-8.222366333007812,1444,11.235257148742676,-20.036846160888672,0.6494999527931213,,
1572,18,304,83,5.03,3.8524704099999996,0.0003,-8.434097290039062,1471,12.409147262573242,-18.915307998657227,0.6444321870803833,,
1588,19,308,83,5.0,3.82970302,0.0003,-8.466885566711426,1487,11.343328475952148,-19.613513946533203,0.6414196491241455,,
1611,19,312,83,5.05,3.83454163,0.0003,-8.612319946289062,1510,14.559358596801758,-19.16222381591797,0.6371045112609863,,
1628,19,316,83,5.02,3.8081224700000003,0.0003,-8.831403732299805,1527,8.904165267944336,-18.99620819091797,0.6339216232299805,,
1650,19,320,83,5.0,3.7538981799999998,0.0003,-8.928709030151367,1549,12.745392799377441,-18.068584442138672,0.6298151612281799,,
1666,19,324,83,5.0,3.7600655299999994,0.0003,-9.06043815612793,1565,12.249099731445312,-18.26846694946289,0.6268349885940552,,
1694,20,328,83,5.09,3.8852051199999993,0.0003,-9.24994945526123,1593,8.776084899902344,-18.327484130859375,0.6216312050819397,,
1714,20,332,83,5.09,3.865668019999999,0.0003,-9.414426803588867,1613,13.280841827392578,-18.033214569091797,0.6179251670837402,,
1740,20,336,83,5.19,3.9866900999999997,0.0003,-9.507383346557617,1639,18.076932907104492,-18.4909610748291,0.613129198551178,,
1756,21,340,83,5.09,3.9159598700000005,0.0003,-9.640642166137695,1655,8.85141372680664,-17.930145263671875,0.6101982593536377,,
1780,21,344,83,5.17,3.97695792,0.0003,-9.685375213623047,1679,11.453584671020508,-17.024578094482422,0.6058369278907776,,
1807,21,348,83,5.21,4.0167287,0.0003,-9.951223373413086,1706,11.160501480102539,-16.78966522216797,0.6009526252746582,,
1830,21,352,83,5.3,4.102572809999999,0.0003,-10.039613723754883,1729,12.984964370727539,-18.601648330688477,0.5968054533004761,,
1853,22,356,83,5.36,4.1591637,0.0003,-10.197769165039062,1752,9.191024780273438,-17.39055824279785,0.5926849246025085,,
1868,22,360,83,5.32,4.146210029999999,0.0003,-10.315736770629883,1767,16.15444564819336,-18.326566696166992,0.590009331703186,,
1889,22,364,83,5.3,4.14359226,0.0003,-10.39866828918457,1788,17.14348602294922,-16.481552124023438,0.5862945914268494,,
1909,22,368,83,5.29,4.16419856,0.0003,-10.514809608459473,1808,15.768667221069336,-18.70512580871582,0.5827913880348206,,
1928,23,372,83,5.27,4.159528669999999,0.0003,-10.586255073547363,1827,12.394173622131348,-17.003082275390625,0.5794973373413086,,
1948,23,376,82,5.23,4.17341647,0.0003,-10.367637634277344,1847,13.818124771118164,-17.522672653198242,0.5760806202888489,,
1969,23,380,82,5.26,4.1961831,0.0003,-10.205053329467773,1868,15.783515930175781,-17.252666473388672,0.5725857019424438,,
1987,24,384,82,5.23,4.20534225,0.0003,-10.329504013061523,1886,17.86669921875,-17.109268188476562,0.5696484446525574,,
2004,24,388,82,5.25,4.2352357000000005,0.0003,-10.483619689941406,1903,12.288783073425293,-17.819721221923828,0.566901445388794,,
2022,24,392,82,5.22,4.243764670000001,0.0003,-10.466178894042969,1921,12.912962913513184,-16.641849517822266,0.5640017986297607,,
2047,24,396,82,5.22,4.35934842,0.0003,-10.578681945800781,1946,17.288944244384766,-17.081035614013672,0.5600043535232544,,
2070,25,400,82,5.25,4.42265524,0.0003,-10.802702903747559,1969,12.797771453857422,-18.29818344116211,0.5563288927078247,,
2091,25,404,82,5.19,4.408052510000001,0.0003,-10.985431671142578,1990,14.892412185668945,-17.0223445892334,0.5529748201370239,,
2110,25,408,82,5.22,4.43076998,0.0003,-11.045156478881836,2009,12.772602081298828,-16.322519302368164,0.5499551296234131,,
2128,25,412,82,5.17,4.42328869,0.0003,-11.068132400512695,2027,12.229615211486816,-16.805553436279297,0.5471190810203552,,
2146,25,416,82,5.18,4.45506899,0.0003,-11.173110008239746,2045,13.79815673828125,-16.737791061401367,0.544288694858551,,
2170,26,420,82,5.2,4.494842280000001,0.0003,-11.468671798706055,2069,14.058082580566406,-16.30147933959961,0.5405300855636597,,
2190,26,424,82,5.24,4.51281726,0.0003,-11.424077987670898,2089,14.299549102783203,-16.418153762817383,0.5374137759208679,,
2213,26,428,82,5.19,4.450273429999999,0.0003,-11.754095077514648,2112,9.962851524353027,-15.135824203491211,0.5338581204414368,,
2239,27,432,82,5.25,4.54945047,0.0003,-11.885730743408203,2138,11.214897155761719,-15.823456764221191,0.5298388600349426,,
2257,27,436,82,5.17,4.452583010000001,0.0003,-12.086454391479492,2156,14.22341251373291,-14.80858039855957,0.5270535349845886,,
2277,27,440,82,5.21,4.5144722,0.0003,-11.85552978515625,2176,15.464742660522461,-15.761276245117188,0.5239800810813904,,
2293,27,444,82,5.13,4.443912600000001,0.0003,-11.794962882995605,2192,14.42192554473877,-16.50640106201172,0.5215529799461365,,
2307,27,448,82,5.0,4.32688352,0.0003,-12.300992965698242,2206,12.882041931152344,-15.245352745056152,0.5194478631019592,,
2323,28,452,82,4.93,4.27191572,0.0003,-12.41655158996582,2222,10.370391845703125,-14.904897689819336,0.5170345306396484,,
2339,28,456,82,4.86,4.21273931,0.0003,-12.497920989990234,2238,13.589826583862305,-15.591264724731445,0.5146172642707825,,
2370,28,460,82,5.02,4.37902652,0.0003,-12.642601013183594,2269,13.4495849609375,-15.711443901062012,0.5099554061889648,,
2388,28,464,82,4.99,4.350899780000001,0.0003,-12.723159790039062,2287,8.612411499023438,-14.84559154510498,0.5072489380836487,,
2410,29,468,82,5.01,4.35240627,0.0003,-12.955201148986816,2309,9.305002212524414,-15.291406631469727,0.5039503574371338,,
2433,29,472,82,5.05,4.408554079999999,0.0003,-13.039541244506836,2332,9.273624420166016,-15.001984596252441,0.5005387663841248,,
2453,29,476,82,5.05,4.3564405100000005,0.0003,-12.856841087341309,2352,13.381855010986328,-15.631959915161133,0.4975968897342682,,
