time/total_timesteps,time/fps,train/actor_loss,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,time/episodes,train/learning_rate,rollout/ep_rew_mean,train/n_updates,eval/mean_reward,eval/mean_ep_length
2259,275,-3.5630974032905662,8,0.18173064204623526,564.75,4,0.001,-519.49626375,1178,,
5000,,12.688919540405273,,0.22453503090143204,,,0.001,,4178,-3005.5329312086105,1000.0
6259,151,18.265324600219728,41,0.2783222505301237,782.375,8,0.001,-1612.847142875,5178,,
8758,151,11.124612802505494,57,0.24938685519248247,729.8333333333334,12,0.001,-1443.2026448333334,8197,,
10000,,8.188356669425964,,0.3776798456609249,,,0.001,,9677,731.0859593618079,1000.0
12758,143,4.013685126304626,88,0.25114903146028517,797.375,16,0.001,-961.9579408125,11677,,
15000,,-1.6459594556093216,,0.1758299928084016,,,0.001,,14677,916.0781104605645,1000.0
16758,136,-3.330993544101715,122,0.15330674693733454,837.9,20,0.001,-610.7668596000001,15677,,
20000,,-9.79786393737793,,0.11624197994917632,,,0.001,,19677,884.2495484843851,1000.0
20758,132,,156,,864.9166666666666,24,,-371.9804100833333,,,
24758,137,-15.645054403305053,179,0.11204610405489802,884.2142857142857,28,0.001,-200.85864139285715,23677,,
25000,,-17.11932205581665,,0.11180229524895549,,,0.001,,24677,945.7194071158767,1000.0
28758,134,-21.226047718048097,213,0.11652797362208367,898.6875,32,0.001,-66.17465453125001,27677,,
30000,,-23.84455856323242,,0.11919512133300304,,,0.001,,29677,913.002414490655,1000.0
32758,133,-26.38929597091675,246,0.11447198236733674,909.9444444444445,36,0.001,39.50390966666665,31677,,
35000,,-29.949140548706055,,0.1227862211316824,,,0.001,,34677,943.6985367894173,1000.0
36758,131,-31.088800102233886,279,0.11538416928797961,918.95,40,0.001,126.01240920000001,35677,,
40000,,-35.320849647521975,,0.12275965724140406,,,0.001,,39677,948.7417901217938,1000.0
40758,129,,313,,926.3181818181819,44,,196.7134978409091,,,
44758,132,-39.18145235443115,336,0.11671325806155801,932.4583333333334,48,0.001,256.18140825,43677,,
45000,,-40.103279991149904,,0.10237264122441411,,,0.001,,44677,956.3692928165198,1000.0
48758,131,-42.734268821716306,369,0.11008210961520672,937.6538461538462,52,0.001,306.99747532692305,47677,,
50000,,-44.37515012359619,,0.11594803647324443,,,0.001,,49677,968.3632494449615,1000.0
52758,130,-45.93026431274414,403,0.1155885336138308,942.1071428571429,56,0.001,350.7005125714286,51677,,
55000,,-48.17694853210449,,0.11614826685935259,,,0.001,,54677,943.1265113115311,1000.0
56758,129,-48.90848738861084,437,0.1491035591326654,945.9666666666667,60,0.001,387.34364396666666,55677,,
60000,,-51.1186496887207,,0.15941951537877322,,,0.001,,59677,943.4862828195095,1000.0
60758,129,,469,,949.34375,64,,366.2494505625,,,
64758,131,-53.355771774291995,492,0.1369860249608755,952.3235294117648,68,0.001,398.945012632353,63677,,
65000,,-53.958380165100095,,0.12215112556889653,,,0.001,,64677,973.4283861517906,1000.0
68758,130,-55.45028025817871,527,0.13184322158247233,954.9722222222222,72,0.001,427.10200944444443,67677,,
70000,,-56.44319283294678,,0.11304850612953306,,,0.001,,69677,965.0273419976235,1000.0
72758,129,-57.41917893218994,562,0.11701437206938863,957.3421052631579,76,0.001,453.4991616578947,71677,,
75000,,-58.81590456390381,,0.10730312126874923,,,0.001,,74677,968.2365318238735,1000.0
76758,128,-59.26623587036133,596,0.10482611573114992,959.475,80,0.001,477.1898119875,75677,,
80000,,-60.97724060821533,,0.10481558170169591,,,0.001,,79677,976.9779684007168,1000.0
80758,128,,629,,961.4047619047619,84,,498.79098159523807,,,
84758,129,-62.54152170562744,652,0.10683946442976594,963.1590909090909,88,0.001,518.4474601590908,83677,,
85000,,-62.899075881958005,,0.11088586570322513,,,0.001,,84677,966.9431787252427,1000.0
88758,129,-63.963201278686526,687,0.10976033451035619,964.7608695652174,92,0.001,536.2962432065217,87677,,
90000,,-64.71127012634277,,0.10975016768276691,,,0.001,,89677,964.4040147840976,1000.0
92758,128,-65.33840828704834,720,0.0940800899118185,966.2291666666666,96,0.001,552.50614871875,91677,,
95000,,-66.25800506591797,,0.11377922548353672,,,0.001,,94677,971.8630598694086,1000.0
96758,128,-66.55625408935546,755,0.09770677059516311,967.58,100,0.001,567.5402629999999,95677,,
100000,,-67.72209635925293,,0.09490720840357245,,,0.001,,99677,979.3999012559652,1000.0
100758,127,,788,,984.99,104,,625.67595101,,,
104758,129,-68.73474635314942,811,0.0959644528683275,984.99,108,0.001,771.2253313,103677,,
105000,,-68.97374850463868,,0.09669158353842795,,,0.001,,104677,973.3159728169442,1000.0
108758,128,-69.66428283691407,845,0.08974862734600901,1000.0,112,0.001,852.75677825,107677,,
110000,,-70.1028537902832,,0.08871034004166722,,,0.001,,109677,980.8383371651173,1000.0
112758,128,-70.52227772521972,879,0.09769668028503656,1000.0,116,0.001,870.8643430299999,111677,,
115000,,-71.15951388549804,,0.08961683913879097,,,0.001,,114677,979.9157719492912,1000.0
116758,127,-71.36060945129394,912,0.0922249550074339,1000.0,120,0.001,876.4336599200001,115677,,
120000,,-72.07938203430176,,0.07848963100649417,,,0.001,,119677,976.2699265956878,1000.0
120758,127,,946,,1000.0,124,,880.9634046399999,,,
124758,128,-72.76050924682617,970,0.0866249544546008,1000.0,128,0.001,885.3179764499998,123677,,
125000,,-72.92629125976562,,0.10101219143345952,,,0.001,,124677,976.2949989974499,1000.0
128758,128,-73.39814157104492,1003,0.08774393005855381,1000.0,132,0.001,887.52470695,127677,,
130000,,-73.62321452331543,,0.11184174337238073,,,0.001,,129677,967.4357606947422,1000.0
132758,127,-73.94342684936524,1038,0.07304511217959225,1000.0,136,0.001,889.21605409,131677,,
135000,,-74.32618753051757,,0.08794771410152316,,,0.001,,134677,975.3376513957977,1000.0
136758,127,-74.42951690673829,1071,0.08748468951322139,1000.0,140,0.001,890.3618922800001,135677,,
140000,,-74.92494467163085,,0.09457415387034417,,,0.001,,139677,968.1643998980522,1000.0
140758,127,,1106,,1000.0,144,,891.4281036000002,,,
144758,128,-75.32021961975097,1128,0.07310948636569083,1000.0,148,0.001,892.2503733100001,143677,,
145000,,-75.43239311218262,,0.09161466404050589,,,0.001,,144677,967.9272486686707,1000.0
148758,127,-75.69064573669434,1163,0.08557357615977526,1000.0,152,0.001,892.7509911099999,147677,,
150000,,-75.8252778930664,,0.07519821251742542,,,0.001,,149677,964.0005886852741,1000.0
152758,127,-76.0726382446289,1196,0.07281236195005476,1000.0,156,0.001,893.1668414899999,151677,,
155000,,-76.31696076965332,,0.07513716695643961,,,0.001,,154677,973.0131829738617,1000.0
156758,127,-76.38591682434082,1230,0.06763140048645437,1000.0,160,0.001,894.4514722600001,155677,,
160000,,-76.63582730102539,,0.0731406650338322,,,0.001,,159677,978.2813407421112,1000.0
160758,127,,1262,,1000.0,164,,929.8927210300001,,,
164758,128,-76.99364234924316,1285,0.07523199701681733,1000.0,168,0.001,930.5789210599999,163677,,
165000,,-77.07412782287598,,0.07500177309662104,,,0.001,,164677,970.4246127188205,1000.0
168758,127,-77.23084819030761,1319,0.09690434753522277,1000.0,172,0.001,931.8662397599999,167677,,
170000,,-77.33561117553711,,0.0735296851079911,,,0.001,,169677,971.5845104634761,1000.0
172758,127,-77.43646253967285,1352,0.07748993683047592,1000.0,176,0.001,932.1211284,171677,,
175000,,-77.59232746887207,,0.06556392925605178,,,0.001,,174677,975.8694088459015,1000.0
176758,127,-77.64632800292969,1385,0.07491084793582559,1000.0,180,0.001,932.3958158099999,175677,,
180000,,-77.882095703125,,0.07433866585791112,,,0.001,,179677,953.503638523817,1000.0
180758,127,,1420,,1000.0,184,,932.3418058,,,
184758,127,-78.03291468811035,1443,0.07333140036277473,1000.0,188,0.001,932.59965775,183677,,
185000,,-78.06670530700684,,0.07548679449409247,,,0.001,,184677,980.652147680521,1000.0
188758,127,-78.21150395202636,1477,0.07991273536905646,1000.0,192,0.001,932.8837766099999,187677,,
190000,,-78.23033869934082,,0.08433033602498471,,,0.001,,189677,971.0920320987701,1000.0
192758,127,-78.32235917663574,1511,0.07916024766489864,1000.0,196,0.001,933.1580895,191677,,
195000,,-78.39654058837891,,0.08636207247152924,,,0.001,,194677,982.7929289519786,1000.0
196758,127,-78.49311337280274,1545,0.0732744944281876,1000.0,200,0.001,933.3766868100001,195677,,
200000,,-78.5711411895752,,0.06841400856524706,,,0.001,,199677,976.7364268243313,1000.0
200758,127,,1579,,1000.0,204,,933.4013716700001,,,
204758,127,-78.70400440979004,1602,0.07735210442356766,1000.0,208,0.001,933.3735201999999,203677,,
205000,,-78.75807359313964,,0.06865426686406136,,,0.001,,204677,977.1277376294136,1000.0
208758,127,-78.78353338623047,1636,0.07055933252908289,1000.0,212,0.001,933.4008157700002,207677,,
210000,,-78.86590612792969,,0.075026495071128,,,0.001,,209677,978.4416007161141,1000.0
212758,127,-78.94561972045898,1670,0.0631040989626199,1000.0,216,0.001,933.2294723800002,211677,,
215000,,-79.0024663696289,,0.07415531075745821,,,0.001,,214677,975.7064639747143,1000.0
216758,127,-79.01601837158204,1705,0.06443418827280402,1000.0,220,0.001,933.39470599,215677,,
220000,,-79.07474851989745,,0.08502997239306569,,,0.001,,219677,980.8468919932842,1000.0
220758,126,,1740,,1000.0,224,,933.38355212,,,
224758,127,-79.17937091064454,1763,0.07703682395629585,1000.0,228,0.001,933.3478992700001,223677,,
225000,,-79.20232125854493,,0.08634826918132603,,,0.001,,224677,972.8859656810761,1000.0
228758,127,-79.26917373657227,1797,0.07175562678277493,1000.0,232,0.001,933.5401817500001,227677,,
230000,,-79.2981827545166,,0.06086818660423159,,,0.001,,229677,981.1015535593033,1000.0
232758,127,-79.33401776123047,1831,0.07662110908702016,1000.0,236,0.001,934.00042774,231677,,
235000,,-79.4279260559082,,0.06965286489576102,,,0.001,,234677,985.567863470316,1000.0
236758,126,-79.47856088256836,1866,0.058392048820853235,1000.0,240,0.001,934.0935461700001,235677,,
240000,,-79.50904014587402,,0.07435831896401941,,,0.001,,239677,976.4944692134857,1000.0
240758,126,,1899,,1000.0,244,,933.90141061,,,
244758,127,-79.60299853515625,1922,0.07098938729800285,1000.0,248,0.001,933.9998885399999,243677,,
245000,,-79.58081517028809,,0.07452498018369079,,,0.001,,244677,981.1658441185951,1000.0
248758,127,-79.60297644042969,1956,0.08041922274231911,1000.0,252,0.001,934.0916390099998,247677,,
250000,,-79.63055767822266,,0.0605902178324759,,,0.001,,249677,976.7391286849976,1000.0
252758,127,-79.64786695861817,1988,0.0768464104961604,1000.0,256,0.001,934.37781534,251677,,
255000,,-79.73549571228027,,0.06748718546144664,,,0.001,,254677,976.5232730329037,1000.0
256758,126,-79.72643214416505,2022,0.055427912041544916,1000.0,260,0.001,934.44889214,255677,,
260000,,-79.80411944580078,,0.07100307736359536,,,0.001,,259677,988.8094500660897,1000.0
260758,126,,2056,,1000.0,264,,934.5902648099999,,,
264758,127,-79.85133738708497,2079,0.07744505386985838,1000.0,268,0.001,933.9597354499998,263677,,
265000,,-79.88219554138183,,0.06349624186195434,,,0.001,,264677,987.4774782955647,1000.0
268758,127,-79.91694905090333,2112,0.05983014112897217,1000.0,272,0.001,933.9570537899999,267677,,
270000,,-79.95169758605957,,0.06598295379802585,,,0.001,,269677,979.9395675897598,1000.0
272758,126,-79.99625994873047,2147,0.06622710232622922,1000.0,276,0.001,933.79225089,271677,,
275000,,-80.01475625610351,,0.06256422596983612,,,0.001,,274677,982.6091264665126,1000.0
276758,126,-80.00829525756836,2181,0.05931233483180404,1000.0,280,0.001,933.7260480100001,275677,,
280000,,-80.081388671875,,0.06748278680071235,,,0.001,,279677,968.764959448576,1000.0
280758,126,,2214,,1000.0,284,,933.7459355999999,,,
284758,127,-80.05505264282226,2237,0.06477401950396597,1000.0,288,0.001,933.6324428000001,283677,,
285000,,-80.11140153503418,,0.08039231546968222,,,0.001,,284677,963.3387826919555,1000.0
288758,127,-80.16088645935059,2272,0.06618585146777332,1000.0,292,0.001,933.5770454199999,287677,,
290000,,-80.17685165405274,,0.05990945612080395,,,0.001,,289677,982.6869354128837,1000.0
292758,126,-80.16889067077636,2305,0.05847129298746586,1000.0,296,0.001,933.5331866699998,291677,,
295000,,-80.1998744506836,,0.06736539567634463,,,0.001,,294677,969.144781666994,1000.0
296758,126,-80.17303175354004,2338,0.05400156122818589,1000.0,300,0.001,933.6700564,295677,,
300000,,-80.18334423828125,,0.051520266426727176,,,0.001,,299677,979.9459711492061,1000.0
300758,126,,2373,,1000.0,304,,933.7178979000001,,,
304758,127,-80.20332165527344,2396,0.06957909584604204,1000.0,308,0.001,933.6855712599998,303677,,
305000,,-80.22695097351074,,0.060026103984564545,,,0.001,,304677,968.2598505020142,1000.0
308758,127,-80.23923126220703,2430,0.05088578780926764,1000.0,312,0.001,933.59218988,307677,,
310000,,-80.25278802490234,,0.060096682449802756,,,0.001,,309677,978.9943471610546,1000.0
312758,126,-80.23675550842285,2465,0.07394083331152797,1000.0,316,0.001,933.8339129699999,311677,,
315000,,-80.20542332458496,,0.05658535086922348,,,0.001,,314677,981.5731706559658,1000.0
316758,126,-80.21953895568848,2497,0.05588074300251901,1000.0,320,0.001,933.90059774,315677,,
320000,,-80.24645678710938,,0.06097662902623415,,,0.001,,319677,979.7673017442227,1000.0
320758,126,,2530,,1000.0,324,,933.97018249,,,
324758,127,-80.27612617492676,2553,0.06285218779742718,1000.0,328,0.001,934.1527122900001,323677,,
325000,,-80.29576936340332,,0.051782390231266615,,,0.001,,324677,984.3036445140839,1000.0
328758,127,-80.29305137634277,2585,0.04879406449943781,1000.0,332,0.001,934.10421086,327677,,
330000,,-80.30735591125489,,0.054263372231274844,,,0.001,,329677,977.9322127103806,1000.0
332758,126,-80.29845823669433,2620,0.05731631501764059,1000.0,336,0.001,932.96647106,331677,,
