time/fps,train/critic_loss,time/time_elapsed,train/n_updates,time/episodes,train/actor_loss,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
218,0.20010388480885974,11,2053,4,-5.761144968179556,2554,-704.7377584999999,0.001,638.5,,
,0.13548529257252812,,4554,,-2.941746143579483,5000,,0.001,,117.2181347292848,1000.0
156,0.16428905306011438,41,5554,8,-3.249136929988861,6554,-653.7040482499999,0.001,819.25,,
,0.5972550218105316,,9554,,-5.332945549249649,10000,,0.001,,581.5464816222259,903.1
143,,73,,12,,10554,-387.28867583333334,,879.5,,
150,0.5139468859732151,96,13554,16,-8.96973435497284,14554,-133.68553612500003,0.001,909.625,,
,0.4907858471125364,,14554,,-10.22930406856537,15000,,0.001,,411.22552832076326,1000.0
142,0.4465338998734951,129,17554,20,-12.677614223480225,18554,-16.40626665000002,0.001,927.7,,
,0.40693889674544337,,19554,,-14.22062024307251,20000,,0.001,,678.9910848054548,1000.0
137,0.38999115028977394,163,21554,24,-15.959697092056274,22554,60.51844054166665,0.001,939.75,,
,0.3936228542625904,,24554,,-17.038197027206422,25000,,0.001,,833.2690169475973,1000.0
134,0.40631044112145903,196,25554,28,-17.379399717330934,26554,100.41829499999997,0.001,948.3571428571429,,
,0.43775516989827157,,29554,,-19.2902170753479,30000,,0.001,,666.4699262615293,1000.0
132,,230,,32,,30554,165.00231478125,,954.8125,,
136,0.37374440625309946,253,33554,36,-21.35880136489868,34554,198.37138861111114,0.001,959.8333333333334,,
,0.39607348810136317,,34554,,-21.75400862503052,35000,,0.001,,645.9837592173368,1000.0
134,0.49083895045518877,286,37554,40,-22.865941017150877,38554,250.16921117500002,0.001,963.85,,
,0.6409909597933292,,39554,,-23.498595638275148,40000,,0.001,,611.8287024530058,1000.0
133,0.540046491548419,318,41554,44,-24.46601086425781,42554,281.2257156363637,0.001,967.1363636363636,,
,0.6415316350609064,,44554,,-25.978011775970458,45000,,0.001,,869.5413940302096,1000.0
132,0.7654430172741413,352,45554,48,-26.44575145339966,46554,327.7074753333333,0.001,969.875,,
,0.9611123830676079,,49554,,-28.088567501068116,50000,,0.001,,536.8445080622099,1000.0
130,,386,,52,,50554,291.02343073076923,,972.1923076923077,,
131,0.9948848399221897,408,53554,56,-28.701872409820556,53578,310.2394869821428,0.001,956.75,,
,1.0790194471677144,,54587,,-28.330286026000977,55000,,0.001,,202.87533908208715,823.4
131,1.1230915082395077,428,55587,60,-28.707170246124267,56587,323.4465143166666,0.001,943.1166666666667,,
,1.1169044651091098,,59587,,-28.131641162872313,60000,,0.001,,727.9092921681237,1000.0
130,,462,,64,,60587,335.609376359375,,946.671875,,
132,1.4303926080465317,479,62595,68,-29.61308526992798,63595,334.5218467058824,0.001,935.2205882352941,,
,1.20487672239542,,64595,,-28.70892623901367,65000,,0.001,,842.852763969684,1000.0
131,1.2397121286094188,513,66595,72,-29.507489891052245,67595,359.6230817638889,0.001,938.8194444444445,,
,1.7326446876227857,,69595,,-30.125790367126466,70000,,0.001,,829.5602208887227,1000.0
130,1.7195593177974224,550,70595,76,-30.448943103790285,71595,375.99329639473683,0.001,942.0394736842105,,
,2.037531044125557,,74595,,-31.666344635009764,75000,,0.001,,727.0158969557087,1000.0
129,,584,,80,,75595,397.00138371249994,,944.9375,,
131,2.0237699093818664,607,78595,84,-32.79375177001953,79595,412.4211637619047,0.001,947.5595238095239,,
,2.486444709777832,,79595,,-33.41706920242309,80000,,0.001,,880.3415891878307,1000.0
129,3.890538803488016,640,82082,88,-33.84979200363159,83082,397.9540523181818,0.001,944.1136363636364,,
,4.150301568806172,,84082,,-34.24480502319336,85000,,0.001,,721.4983347684145,901.4
129,4.432027358591556,674,86082,92,-33.66390805435181,87082,390.5366164891304,0.001,946.5434782608696,,
,5.226632210850716,,89095,,-32.537120761871336,90000,,0.001,,508.2435601233985,978.3
127,,704,,96,,90095,377.3943981875,,938.4895833333334,,
128,6.613796191556113,722,92137,100,-30.800326029459637,93137,357.02813136,0.001,931.37,,
,8.300898612745657,,94286,,-31.00876475016276,95000,,0.001,,-452.86001639277674,543.4
127,7.420549411177635,747,95286,104,-30.510825927734373,95312,381.36776502,0.001,927.58,,
127,7.942226409912109,747,95358,108,-30.31401198250907,95527,403.23676559000006,0.001,889.73,,
127,9.633115120649338,755,96710,112,-34.18641622543335,96741,374.14735398000005,0.001,861.87,,
129,6.591650609970093,757,96815,116,-32.749133586883545,97815,330.50718767000006,0.001,832.61,,
,8.773329885363578,,99387,,-35.06057614135742,100000,,0.001,,642.5180939067271,909.6
128,8.285551204144955,790,100387,120,-33.89657036209106,101387,333.51723614,0.001,828.33,,
,7.2927294049263,,104387,,-32.391980228424075,105000,,0.001,,746.0528949052095,1000.0
127,,825,,124,,105387,345.95277773999993,,828.33,,
128,4.823817298710346,850,108387,128,-29.930494209289552,109387,357.09233262999993,0.001,828.33,,
,4.66397947204113,,109387,,-29.73162926864624,110000,,0.001,,697.6901176291052,1000.0
127,4.241586742401123,886,112387,132,-29.959438739776612,113387,362.38419939000005,0.001,828.33,,
,4.140793084621429,,114387,,-30.13820022583008,115000,,0.001,,773.8167192622088,1000.0
127,3.833408768117428,922,116387,136,-30.06444521331787,117387,377.04110437999987,0.001,828.33,,
,4.000583287596703,,119387,,-29.76034186553955,120000,,0.001,,530.347906011343,802.2
126,3.4710361967086794,956,120387,140,-29.706475093841554,121387,381.07497113,0.001,828.33,,
,3.2505052104592322,,124387,,-30.14961251449585,125000,,0.001,,757.6067377128638,1000.0
126,,991,,144,,125387,387.79220939,,828.33,,
127,2.7116663300693036,1016,128387,148,-29.830304355621337,129387,382.67408014000006,0.001,828.33,,
,2.455669454395771,,129387,,-29.69717594909668,130000,,0.001,,783.702723565069,1000.0
126,2.46407713034749,1052,132387,152,-30.113644771575927,133387,420.13476644,0.001,828.33,,
,2.2617876970767976,,134387,,-30.30844270706177,135000,,0.001,,596.5909121356905,900.8
126,1.818463380753994,1086,136387,156,-30.49352396774292,137387,423.99361620999997,0.001,838.09,,
,1.842621436983347,,139387,,-30.671606761932374,140000,,0.001,,856.1156607270241,1000.0
125,1.7773616541624069,1122,140387,160,-30.899628505706787,141387,432.7172163299999,0.001,848.0,,
,1.3806274474859237,,144387,,-31.29639649963379,145000,,0.001,,898.0424840122462,1000.0
125,,1158,,164,,145387,447.54138819,,848.0,,
126,1.222794083058834,1183,148387,168,-31.994286830902098,149387,471.69252047000003,0.001,857.92,,
,1.168116086423397,,149387,,-31.99233692932129,150000,,0.001,,840.9888601884246,1000.0
125,1.0185492412745953,1219,152387,172,-32.38981847763061,153387,469.48995913000005,0.001,857.92,,
,0.9863178313672543,,154387,,-32.83154961395264,155000,,0.001,,863.7610522061586,1000.0
125,0.851903506308794,1255,156387,176,-33.258713497161864,157387,477.8966768800001,0.001,857.92,,
