train/critic_loss,rollout/ep_len_mean,train/ent_coef,train/actor_loss,rollout/ep_rew_mean,time/total_timesteps,train/ent_coef_loss,time/fps,time/episodes,time/time_elapsed,train/learning_rate,train/n_updates,eval/mean_ep_length,eval/mean_reward
2.35866117477417,68.5,0.9496646523475647,-11.810791015625,-32.428728,274,-0.6947564482688904,97,4,2,0.0003,173,,
2.2771530151367188,68.75,0.8743329644203186,-15.267143249511719,-33.255461499999996,550,-1.7914988994598389,83,8,6,0.0003,449,,
1.690259575843811,103.25,0.7124279737472534,-23.398162841796875,-45.694536166666666,1239,-4.429198265075684,77,12,16,0.0003,1138,,
2.6987977027893066,157.5625,0.4911181926727295,-32.561397552490234,-81.66433143749998,2521,-8.574166297912598,71,16,35,0.0003,2420,,
2.7465391159057617,136.5,0.4621972143650055,-32.68680191040039,-70.34980614999998,2730,-9.308492660522461,70,20,38,0.0003,2629,,
2.6196658611297607,159.625,0.33736705780029297,-34.27244186401367,-88.91496841666667,3831,-12.412919998168945,70,24,53,0.0003,3730,,
3.285606861114502,141.78571428571428,0.3243623375892639,-35.175071716308594,-78.69194982142858,3970,-12.47010612487793,71,28,55,0.0003,3869,,
2.9061713218688965,,0.24337084591388702,-35.3584098815918,,5000,-14.280149459838867,,,,0.0003,4899,395.0,-52.288142674168924
3.976766586303711,200.40625,0.16456030309200287,-31.44597053527832,-117.7674475625,6413,-16.358306884765625,61,32,104,0.0003,6312,,
3.6808180809020996,185.66666666666666,0.1526058465242386,-31.418880462646484,-108.182698,6684,-16.622390747070312,61,36,108,0.0003,6583,,
3.801469326019287,177.075,0.13650532066822052,-30.86060333251953,-102.30936327500001,7083,-17.278566360473633,61,40,114,0.0003,6982,,
4.7639875411987305,191.5681818181818,0.09394815564155579,-26.10622787475586,-113.67832947727275,8429,-18.842056274414062,61,44,137,0.0003,8328,,
3.6792991161346436,191.4375,0.07631589472293854,-24.104663848876953,-114.97501020833333,9189,-18.988889694213867,61,48,149,0.0003,9088,,
2.62495756149292,,0.06132611632347107,-21.81549835205078,,10000,-17.45233154296875,,,,0.0003,9899,364.9,-77.82041576506163
2.355046272277832,199.3846153846154,0.055647607892751694,-19.99640464782715,-118.5131811923077,10368,-17.617137908935547,58,52,176,0.0003,10267,,
4.1118645668029785,195.57142857142858,0.04782161861658096,-18.56782341003418,-116.18469089285713,10952,-19.493289947509766,58,56,186,0.0003,10851,,
3.518810272216797,192.65,0.040930114686489105,-17.16318130493164,-112.59278833333333,11559,-17.729812622070312,59,60,195,0.0003,11458,,
2.2537729740142822,198.609375,0.03080541267991066,-14.544893264770508,-111.82028154687498,12711,-13.848479270935059,59,64,213,0.0003,12610,,
2.7787842750549316,194.05882352941177,0.027503566816449165,-13.026815414428711,-107.43454597058823,13196,-11.615459442138672,59,68,220,0.0003,13095,,
2.544189214706421,206.625,0.01922972872853279,-10.943160057067871,-107.12541987499999,14877,-8.003597259521484,60,72,247,0.0003,14776,,
2.129650354385376,,0.018778327852487564,-10.59699821472168,,15000,-6.359318733215332,,,,0.0003,14899,634.1,-28.490069272451546
2.170804023742676,210.4078947368421,0.015800628811120987,-9.548591613769531,-103.52312580263157,15991,-4.403227806091309,57,76,278,0.0003,15890,,
1.8724884986877441,226.1,0.012965365312993526,-8.20269775390625,-101.7530958625,18088,1.0323725938796997,58,80,311,0.0003,17987,,
2.1535019874572754,227.51190476190476,0.012712748721241951,-7.182716369628906,-96.92111979761906,19111,-0.623932957649231,58,84,327,0.0003,19010,,
1.9939141273498535,,0.012833483517169952,-6.8896989822387695,,20000,2.6350784301757812,,,,0.0003,19899,451.9,21.47699389673071
1.9510384798049927,239.36363636363637,0.013214446604251862,-6.536327362060547,-91.76569955681818,21064,-0.24747273325920105,57,88,368,0.0003,20963,,
2.2257585525512695,244.04347826086956,0.013162577524781227,-6.011994361877441,-87.46986418478261,22452,0.0017887353897094727,57,92,388,0.0003,22351,,
1.689866542816162,257.4375,0.013576180674135685,-6.285004615783691,-81.7821380625,24714,-0.7359302043914795,58,96,420,0.0003,24613,,
1.9638068675994873,,0.013320667669177055,-6.160526275634766,,25000,0.38268938660621643,,,,0.0003,24899,832.5,204.600204730111
1.926491379737854,261.81,0.013294567354023457,-6.140936374664307,-75.41790529999999,26181,0.01992356777191162,57,100,455,0.0003,26080,,
1.5613582134246826,296.66,0.013303801417350769,-6.757699012756348,-66.42390888,29940,0.8523176908493042,58,104,510,0.0003,29839,,
1.6426417827606201,,0.013461668975651264,-7.153414726257324,,30000,-0.7256356477737427,,,,0.0003,29899,422.3,120.05348495349025
2.152747631072998,327.2,0.013539008796215057,-7.40469217300415,-56.736100529999995,33270,-1.127239465713501,58,108,570,0.0003,33169,,
1.8164591789245605,325.78,0.01354092638939619,-8.243144989013672,-51.439380279999995,33817,0.6595368981361389,58,112,578,0.0003,33716,,
1.3418419361114502,,0.013363584876060486,-8.304974555969238,,35000,-0.6497087478637695,,,,0.0003,34899,731.3,214.48373766209988
1.7700004577636719,344.21,0.013238426297903061,-9.178129196166992,-34.851370689999996,36942,-0.6226895451545715,57,116,639,0.0003,36841,,
1.3779765367507935,353.32,0.013317326083779335,-9.395929336547852,-30.116148179999996,38062,-0.7418039441108704,57,120,656,0.0003,37961,,
1.6941349506378174,,0.013444175012409687,-10.586576461791992,,40000,1.36133873462677,,,,0.0003,39899,325.7,140.99055184092722
1.5442044734954834,362.51,0.013479076325893402,-10.28991413116455,-14.138830330000001,40082,-1.6439863443374634,57,124,692,0.0003,39981,,
2.135972023010254,383.75,0.013246406801044941,-11.262343406677246,-6.544453559999995,42345,1.1471660137176514,58,128,726,0.0003,42244,,
