rollout/ep_len_mean,time/episodes,time/time_elapsed,train/critic_loss,train/learning_rate,train/n_updates,rollout/ep_rew_mean,train/actor_loss,time/fps,time/total_timesteps,eval/mean_ep_length,eval/mean_reward
753.0,4,27,0.1842184067182243,0.001,3000,-942.0714389999999,-3.625205882549286,109,3012,,
,,,0.22363428191840648,0.001,4117,,-3.8631437566280367,,5000,421.5,-967.9044716529548
639.625,8,45,,,,-893.269568125,,112,5117,,
517.5,12,61,1.111718041556222,0.001,6179,-676.4426644166666,-5.060295241219657,100,6210,,
395.625,16,62,1.2705484069883823,0.001,6268,-522.1857720625001,-4.1538785099983215,101,6330,,
423.7,20,73,1.6440377660393715,0.001,7474,-489.12770895000006,-2.2428753482960166,115,8474,,
,,,1.4096564621694627,0.001,9536,,-3.636043938898271,,10000,1000.0,622.071434305812
480.6666666666667,24,119,1.1636140095591545,0.001,10536,-366.29861425000007,-3.379205004289746,96,11536,,
,,,1.88706476521492,0.001,14536,,-6.895231261730194,,15000,1000.0,387.7618815792142
554.8571428571429,28,173,,,,-234.18613028571434,,89,15536,,
594.1875,32,207,1.1896611970663071,0.001,18536,-143.23562196874997,-7.374979559421539,91,19014,,
,,,1.3787249224455287,0.001,19014,,-7.554287938393309,,20000,784.9,434.3246154172142
639.2777777777778,36,253,0.8922186611294747,0.001,22014,-49.747409638888854,-9.945399395942689,90,23014,,
,,,0.8729984503090381,0.001,24014,,-11.65846077156067,,25000,1000.0,-369.9717941119103
675.35,40,305,0.7103156100213528,0.001,26014,-14.093069800000006,-12.540111459732056,88,27014,,
,,,0.6739019954800606,0.001,29014,,-14.249756929397583,,30000,1000.0,484.00444535776916
704.8636363636364,44,360,0.6507655776590109,0.001,30014,28.68600061363636,-14.458895303726196,86,31014,,
,,,0.6260840964019299,0.001,34014,,-17.06553712463379,,35000,1000.0,249.07557763833537
729.4583333333334,48,409,,,,74.17122533333331,,85,35014,,
731.1923076923077,52,444,0.6288901726901531,0.001,38014,112.72524909615385,-19.245243785858154,85,38022,,
,,,0.7532585474848748,0.001,39022,,-19.864632678985597,,40000,1000.0,799.361060623806
750.3928571428571,56,489,0.7975620115697384,0.001,41022,149.2997338035714,-20.692676342010497,85,42022,,
,,,0.8098623120188713,0.001,44022,,-21.89728903579712,,45000,1000.0,772.1342419607448
767.0333333333333,60,541,0.7940617074072361,0.001,45022,164.3414751833333,-22.348776149749757,84,46022,,
,,,0.7346373677551746,0.001,49022,,-24.28769757080078,,50000,901.1,665.8337631165981
781.59375,64,593,,,,200.614696234375,,84,50022,,
779.8676470588235,68,617,0.7996716830465529,0.001,52031,213.25450119117644,-25.467358589172363,85,53031,,
,,,0.7033969486355781,0.001,54031,,-26.783070041656494,,55000,1000.0,793.6692693569115
792.0972222222222,72,668,0.7026632902622223,0.001,56031,246.52011849999997,-27.76185220336914,85,57031,,
,,,0.7925741341114044,0.001,59031,,-28.990272022247314,,60000,1000.0,690.3788791807368
803.0394736842105,76,718,0.8005294923186302,0.001,60031,274.9618058552631,-29.324885456085205,84,61031,,
,,,0.7627040975689888,0.001,64031,,-31.101151779174806,,65000,956.4,739.1038508557249
812.8875,80,768,,,,298.07026031249995,,84,65031,,
821.797619047619,84,802,0.755634852796793,0.001,68031,322.86001967857146,-32.23371268463135,86,69031,,
,,,0.7474185217022896,0.001,69031,,-32.71756414794922,,70000,1000.0,811.8766791182104
829.8977272727273,88,852,0.7239932036995887,0.001,72031,345.21567353409085,-33.66724404144287,85,73031,,
,,,0.7376885660886765,0.001,74031,,-34.27644158554077,,75000,1000.0,774.3551727933052
837.2934782608696,92,904,0.7241020980477333,0.001,76031,364.2152749347826,-34.76412462997437,85,77031,,
,,,0.7184852009415627,0.001,79031,,-35.685661811828616,,80000,1000.0,774.4715818936005
833.75,96,952,0.7128101904392242,0.001,80031,375.95790412499997,-35.88981070709229,84,80040,,
840.4,100,980,0.6797764094471932,0.001,83040,395.72307438,-37.02610360717773,85,84040,,
,,,0.6667255322039127,0.001,84040,,-37.474601791381836,,85000,1000.0,904.4816141263698
850.28,104,1030,0.6632115307450295,0.001,87040,467.13022437,-38.42661502075195,85,88040,,
,,,0.6945346577465534,0.001,89040,,-38.99324048614502,,90000,1000.0,745.8242114560911
869.23,108,1083,0.6424744550287723,0.001,91040,529.58214031,-39.5605645904541,84,92040,,
,,,0.7022725053727626,0.001,94040,,-40.29717198181152,,95000,1000.0,733.979524778563
898.3,112,1135,0.6828273013532161,0.001,95040,577.37957295,-40.59400093078613,84,96040,,
,,,0.6760053235590457,0.001,99040,,-41.81615566253662,,100000,1000.0,975.820380785712
937.1,116,1187,,,,617.8121351,,84,100040,,
945.75,120,1214,0.6445530922710896,0.001,102049,659.5265787499999,-42.816387992858886,84,103049,,
,,,0.6343126142323017,0.001,104049,,-43.58240885925293,,105000,1000.0,871.3095086049289
955.13,124,1265,0.7028511222600937,0.001,106049,687.8183981200002,-44.07534834289551,84,107049,,
,,,0.7088273702859879,0.001,109049,,-45.21820391082764,,110000,1000.0,588.6525319254957
955.13,128,1317,0.7442126298546791,0.001,110049,705.5573750100001,-45.39845001220703,84,111049,,
,,,0.7869979256987572,0.001,114049,,-46.280976654052736,,115000,1000.0,1023.6510628594085
960.35,132,1372,,,,726.1549379499999,,83,115049,,
960.35,136,1406,0.8283909501433373,0.001,118049,743.89953613,-47.24406825256348,84,119049,,
,,,0.848118389159441,0.001,119049,,-47.5303635635376,,120000,913.0,819.0083086016384
960.35,140,1459,0.9389545464813709,0.001,122049,769.77653747,-48.41982882690429,84,123049,,
,,,0.9654908095002175,0.001,124049,,-48.875613792419436,,125000,1000.0,1101.7318504805676
960.35,144,1509,1.0916290715634822,0.001,126049,798.34638552,-49.478528121948244,84,127049,,
,,,1.115668122291565,0.001,129049,,-50.536573913574216,,130000,1000.0,1348.227859375067
960.35,148,1566,1.160402973473072,0.001,130049,823.2731218399998,-51.01680728149414,83,131049,,
,,,1.248326366841793,0.001,134049,,-52.72813414764404,,135000,1000.0,1442.30970948264
970.27,152,1618,,,,839.59988014,,83,135049,,
970.27,156,1655,1.3615035878419877,0.001,138049,867.87443672,-54.190283744812014,83,139049,,
,,,1.3537296490073205,0.001,139049,,-54.761313667297365,,140000,1000.0,1379.9945543955546
970.27,160,1707,1.423354547083378,0.001,142049,911.4042375600002,-56.31491172027588,83,143049,,
,,,1.5581940720081329,0.001,144049,,-57.42790003967285,,145000,1000.0,1630.9826641919324
970.27,164,1761,1.6074236052632331,0.001,146049,939.9826912299999,-58.55992238616943,83,147049,,
,,,1.6867184399962425,0.001,149049,,-60.24226731109619,,150000,901.8,1406.716288541956
980.18,168,1815,1.7149823150038719,0.001,150049,985.6291242799999,-60.61830289459228,83,151049,,
,,,1.7933776240348815,0.001,154049,,-62.94321212768555,,155000,1000.0,1461.108203404711
980.18,172,1864,,,,1014.5886917,,83,155049,,
980.18,176,1898,1.873602038025856,0.001,158049,1051.04957842,-65.5811018295288,83,159049,,
,,,1.9304539349079133,0.001,159049,,-66.06246266174317,,160000,1000.0,1714.4549592480064
980.18,180,1945,2.033050646841526,0.001,162049,1084.13025915,-67.89363868713379,83,163049,,
,,,2.0534517845511435,0.001,164049,,-69.06237580108643,,165000,1000.0,1655.3912383827846
980.18,184,1997,2.1524066195487976,0.001,166049,1117.9858526399998,-70.09922515106202,83,167049,,
,,,2.175219201922417,0.001,169049,,-71.97648913574218,,170000,1000.0,1775.4105341833085
980.18,188,2046,2.1538266407251356,0.001,170049,1155.53660626,-72.74496598815918,83,171049,,
,,,2.362223654925823,0.001,174049,,-74.67664920043946,,175000,1000.0,1854.9727794385515
980.18,192,2098,,,,1190.94939355,,83,175049,,
990.09,196,2132,2.778056961774826,0.001,178049,1208.6095751599998,-75.96811843872071,83,179049,,
,,,2.9158772215843203,0.001,179049,,-76.60356549072266,,180000,1000.0,1809.1184649150819
990.09,200,2187,3.025376337766647,0.001,182049,1246.8493191100001,-77.67432446289062,83,183049,,
,,,2.9313742179870603,0.001,184049,,-79.09212603759765,,185000,1000.0,1974.4466513680295
990.09,204,2238,3.0219170570373537,0.001,186049,1289.0746979500002,-80.70566044616699,83,187049,,
,,,3.1073842017650604,0.001,189049,,-82.45201623535156,,190000,1000.0,1994.9539288721978
990.09,208,2290,3.043251319885254,0.001,190049,1338.8681915800003,-83.10537475585937,83,191049,,
,,,3.3226226052045824,0.001,194049,,-85.83404695129394,,195000,1000.0,1992.552473586332
990.09,212,2338,,,,1380.16579443,,83,195049,,
990.09,216,2366,3.4495682432651518,0.001,198049,1419.85011769,-88.20463522338868,84,199049,,
,,,3.286208135724068,0.001,199049,,-88.93023759460449,,200000,1000.0,1984.3788438092452
1000.0,220,2407,3.3651349873542786,0.001,202049,1470.2905866400001,-90.54830690002441,84,203049,,
,,,3.4776760686635972,0.001,204049,,-91.90904440307617,,205000,1000.0,1983.897522831708
1000.0,224,2446,3.3976109713315963,0.001,206049,1509.98140944,-93.20685705566406,84,207049,,
,,,3.724933648586273,0.001,209049,,-95.1685952758789,,210000,1000.0,1861.0852798809763
1000.0,228,2487,3.643009083032608,0.001,210049,1549.1635064099996,-95.64264329528808,84,211049,,
,,,3.948523348927498,0.001,214049,,-98.28107940673829,,215000,1000.0,1954.939228528645
1000.0,232,2526,,,,1590.2676381,,85,215049,,
1000.0,236,2554,3.9197304400205613,0.001,218049,1624.88377761,-99.63216618347168,85,219049,,
,,,3.917331070303917,0.001,219049,,-100.41253109741211,,220000,1000.0,1948.4032624248416
1000.0,240,2594,3.9486967582702635,0.001,222049,1669.6091934399997,-102.67428218078614,85,223049,,
,,,4.053018875122071,0.001,224049,,-103.75085803222656,,225000,1000.0,2160.5603984384916
1000.0,244,2635,4.365904156208038,0.001,226049,1705.19167193,-104.59857447814942,86,227049,,
,,,5.100343078613281,0.001,229049,,-106.37753941345215,,230000,1000.0,2267.9701084041967
1000.0,248,2675,5.143087168693542,0.001,230049,1715.2511018199998,-107.27909129333496,86,231049,,
,,,4.873882342100144,0.001,234049,,-108.45043716430663,,235000,1000.0,2104.228076075856
1000.0,252,2715,,,,1765.0611322800003,,86,235049,,
1000.0,256,2743,5.089352984666824,0.001,238049,1797.1875869399998,-110.70731240844727,87,239049,,
,,,4.9986199488639835,0.001,239049,,-111.45825593566894,,240000,1000.0,2139.756005120277
1000.0,260,2782,5.227543679475784,0.001,242049,1827.1486701699998,-112.82124659729004,87,243049,,
,,,5.264125967979431,0.001,244049,,-113.47902685546875,,245000,1000.0,2180.123920648056
1000.0,264,2823,5.459169146060944,0.001,246049,1855.9608057899998,-114.52947079467774,87,247049,,
,,,5.530823745250702,0.001,249049,,-115.97678314208984,,250000,1000.0,2212.2923058058136
1000.0,268,2862,5.671277659893036,0.001,250049,1878.11131016,-116.44227383422852,87,251049,,
,,,5.374036725997925,0.001,254049,,-118.17010627746582,,255000,1000.0,1702.6637469291222
1000.0,272,2902,,,,1902.27655858,,87,255049,,
1000.0,276,2929,5.341881361961365,0.001,258049,1925.11451576,-119.7581674041748,88,259049,,
,,,5.178364613771438,0.001,259049,,-120.0391328125,,260000,1000.0,2331.169778988301
1000.0,280,2969,4.8564472172260285,0.001,262049,1951.2275595399997,-121.40269876098633,88,263049,,
,,,4.940232649564743,0.001,264049,,-122.2339792175293,,265000,1000.0,2248.7465383503586
990.11,284,3008,4.8911319777965545,0.001,266049,1951.8805539000002,-123.04202462768555,88,266060,,
,,,5.244943771362305,0.001,269060,,-124.1267279510498,,270000,1000.0,2168.7574888780014
990.11,288,3041,,,,1970.2880472800002,,88,270060,,
990.11,292,3069,5.068732492446899,0.001,273060,1993.5135802300001,-125.91076109313966,89,274060,,
,,,5.070675531387329,0.001,274060,,-126.49279403686523,,275000,1000.0,2345.1828452274203
990.11,296,3111,5.024191462755203,0.001,277060,2041.8538494899997,-127.93622471618653,89,278060,,
,,,5.156879291534424,0.001,279060,,-128.7980322265625,,280000,1000.0,2333.51607319396
990.11,300,3160,5.246297164678573,0.001,281060,2058.51342192,-129.67940089416504,89,282060,,
,,,5.620243354797363,0.001,284060,,-131.46294760131835,,285000,1000.0,2354.026625581691
