time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,time/fps,train/n_updates,train/actor_loss,time/time_elapsed,rollout/ep_len_mean,time/episodes,train/critic_loss,eval/mean_ep_length,eval/mean_reward
4466,-2.3882936600000004,0.001,125,4421,1.6288675516843796,35,17.88,280,0.17155359159497655,,
4537,-2.3965346800000003,0.001,125,4492,1.6253692772653368,36,17.87,284,0.22924848852886093,,
4607,-2.3885810700000003,0.001,124,4563,1.926826685667038,36,17.86,288,0.2993774379000944,,
4679,-2.38154726,0.001,125,4634,1.8949301772647433,37,17.86,292,0.1900171757572227,,
4750,-2.3885058000000003,0.001,124,4705,1.6175371259450912,38,17.86,296,0.29392922406687455,,
4822,-2.3877626700000003,0.001,124,4777,2.0325290229585438,38,17.86,300,0.21619886118504736,,
4893,-2.3823678800000003,0.001,124,4849,2.403215514289008,39,17.85,304,0.34797807079222465,,
4965,-2.3843408600000005,0.001,124,4920,2.3999797105789185,39,17.85,308,0.20606425114803845,,
5000,,0.001,,4956,1.9090026087231107,,,,0.258434471156862,17.85,-2.3811496663838625
5037,-2.3921153900000003,0.001,123,4992,2.3940716452068753,40,17.86,312,0.10602625749177402,,
5107,-2.38191548,0.001,123,5062,2.2017131514019437,41,17.85,316,0.16136946792111678,,
5179,-2.3731882200000003,0.001,122,5134,2.2031434641944037,42,17.85,320,0.24529258037606874,,
5251,-2.37633371,0.001,122,5206,2.1918866766823664,42,17.86,324,0.2004029109246201,,
5322,-2.36805809,0.001,122,5277,2.6648746728897095,43,17.85,328,0.1901378250297378,,
5394,-2.35818004,0.001,122,5349,2.657316075430976,44,17.86,332,0.31446078129940563,,
5466,-2.3496097,0.001,122,5421,2.838980886671278,44,17.86,336,0.14541079269515145,,
5538,-2.3467415099999993,0.001,122,5493,2.7026245858934193,45,17.86,340,0.16854045912623405,,
5610,-2.3483302999999998,0.001,122,5565,2.710339652167426,45,17.86,344,0.27158841573529774,,
5682,-2.34348337,0.001,122,5637,2.916694309976366,46,17.86,348,0.18834417975611156,,
5754,-2.36005016,0.001,122,5709,2.54556934038798,46,17.86,352,0.2646504363252057,,
5823,-2.35858406,0.001,122,5779,2.8954915205637612,47,17.85,356,0.15656047148836982,,
5895,-2.37426927,0.001,122,5850,2.961060947842068,48,17.87,360,0.20806323281592792,,
5966,-2.3662019400000003,0.001,122,5921,2.8996408879756927,48,17.86,364,0.3375668928903692,,
6037,-2.3693260600000006,0.001,122,5992,2.7313158777025013,49,17.86,368,0.17224122708042464,,
6109,-2.36766356,0.001,122,6064,2.7767067750295005,49,17.86,372,0.1606758770843347,,
6181,-2.3591002500000005,0.001,122,6136,2.9511032104492188,50,17.86,376,0.1824735692805714,,
6253,-2.36201085,0.001,122,6208,3.065623256895277,51,17.87,380,0.17533997570474943,,
6374,-1.0745515500000002,0.001,123,6287,0.17208072791496912,51,18.37,384,0.20153795719146728,,
6480,0.7267031500000002,0.001,122,6446,-1.454697534441948,52,18.73,388,0.6467899637562888,,
6508,1.0170390100000002,0.001,122,6474,-1.4082703292369843,53,18.29,392,0.4597316895212446,,
6536,1.3206131100000003,0.001,122,6502,-1.81117781996727,53,17.86,396,1.017381020954677,,
6565,1.62552167,0.001,122,6531,-2.2105791568756104,53,17.43,400,0.5836953222751617,,
6592,1.8419980099999995,0.001,122,6558,-2.0662269989649453,53,16.99,404,1.8491184711456299,,
6619,2.0946673899999992,0.001,122,6586,-1.864467203617096,54,16.54,408,0.8044941169875008,,
6643,2.3099707999999994,0.001,122,6610,-1.5883817672729492,54,16.06,412,0.936351994673411,,
6669,2.51824009,0.001,122,6636,-2.292323668797811,54,15.62,416,0.6767057478427887,,
6693,2.70008385,0.001,122,6660,-2.0034435192743936,54,15.14,420,1.1303541014591854,,
6717,2.8835761199999994,0.001,122,6684,-1.7339746157328289,54,14.66,424,1.2994034538666408,,
6741,3.06344322,0.001,122,6708,-2.2458019256591797,54,14.19,428,0.7457436124483744,,
6765,3.2413962799999996,0.001,122,6732,-2.816979726155599,55,13.71,432,0.4512582706908385,,
6789,3.4219407,0.001,122,6756,-2.579664945602417,55,13.23,436,0.4944826165835063,,
6814,3.6181487100000003,0.001,122,6780,-2.4528090953826904,55,12.76,440,0.31661955018838245,,
6840,3.8171075400000007,0.001,122,6807,-2.649704376856486,55,12.3,444,0.29032477736473083,,
6867,4.023749339999999,0.001,122,6833,-2.694880406061808,56,11.85,448,0.22744185371058329,,
6899,4.304380149999999,0.001,122,6865,-2.997662842273712,56,11.45,452,0.3745723236352205,,
6931,4.567845809999999,0.001,122,6895,-2.9714483618736267,56,11.08,456,0.8991075865924358,,
6967,4.911213499999999,0.001,122,6931,-3.1421212553977966,56,10.72,460,0.6917783038483726,,
7006,5.297691369999999,0.001,122,6968,-2.8787986755371096,57,10.4,464,0.3527551844716072,,
7045,5.697573739999999,0.001,122,7008,-3.0252628326416016,57,10.08,468,0.3230089724063873,,
7085,6.143068369999998,0.001,122,7047,-4.090795397758484,57,9.76,472,0.26392198271221584,,
7243,8.882323439999999,0.001,123,7183,-3.7103386521339417,58,10.62,476,0.5210667835040526,,
7370,11.094101929999999,0.001,123,7306,-4.104462848769294,59,11.17,480,0.3496049210429192,,
7500,,0.001,,7466,-4.682609979922955,,,,0.5309049574767842,22.3,38.273223435878755
7516,12.34153628,,122,,,61,11.42,484,,,
7683,13.40148134,0.001,122,7608,-5.298888691266378,62,12.03,488,0.5267989408161681,,
7940,17.826818680000002,0.001,122,7852,-5.856261029839516,64,14.32,492,1.3364654874044752,,
8193,22.381726720000007,0.001,122,8105,-6.525807698567708,66,16.57,496,0.7491718612611293,,
8440,26.660875379999997,0.001,122,8354,-7.321732492157907,68,18.75,500,1.2942555743184956,,
8778,33.0195932,0.001,123,8688,-8.57137255138821,71,21.86,504,1.5860412577899654,,
9103,39.21334804,0.001,123,8991,-10.172838601199063,73,24.84,508,1.2451376673880588,,
9353,43.835705159999996,0.001,123,9287,-11.320504288924369,76,27.1,512,2.2501855462025375,,
9553,47.25220975,0.001,123,9432,-11.662847743314856,77,28.84,516,2.8738527210319744,,
9865,53.04449535,0.001,123,9779,-13.252068119664346,79,31.72,520,3.3236583404002653,,
10000,,0.001,,9897,-13.552230045713227,,,,3.1931281261524913,94.35,200.9721780270338
10187,59.404620109999996,0.001,120,10091,-14.129414641338846,84,34.7,524,3.5504217711479766,,
10556,66.51781808,0.001,120,10436,-15.567331374959743,87,38.15,528,3.159751219134177,,
10930,73.57775982000001,0.001,120,10806,-17.30243640250348,90,41.65,532,5.045316266757186,,
11312,80.65799433000001,0.001,121,11196,-18.164318370819093,93,45.23,536,4.4687018114328385,,
11680,87.54646545999998,0.001,121,11557,-19.026161814844887,96,48.66,540,4.6952311451407684,,
12051,94.48327197999997,0.001,121,11932,-19.95910664822193,99,52.11,544,5.020370422511973,,
12423,101.38250590000001,0.001,121,12302,-21.88381156921387,102,55.56,548,4.438649114635256,,
12500,,0.001,,12396,-22.316454217789023,,,,4.950951936397146,93.75,177.2770122796297
12796,108.23668042000003,0.001,118,12671,-23.06544634501139,107,58.97,552,5.145335100509308,,
13181,115.23325295,0.001,118,13070,-24.601755964989756,111,62.5,556,5.03253436088562,,
13542,121.69044461999998,0.001,118,13425,-25.182963837968543,114,65.75,560,6.597279237446032,,
13904,128.29673273,0.001,118,13787,-26.669485812717014,117,68.98,564,5.4177335182825725,,
14270,134.91782902000003,0.001,118,14153,-28.022496099057406,120,72.25,568,6.073203181707731,,
14626,141.30163571,0.001,118,14511,-28.68123896225639,123,75.41,572,6.843650024424317,,
14981,145.37475684999998,0.001,118,14866,-29.176414448281992,126,77.38,576,5.113962511653486,,
15000,,0.001,,14954,-30.06899339502508,,,,7.20616321943023,92.55,176.655884462595
15353,150.36377222000002,0.001,116,15232,-31.005847391874894,131,79.83,580,7.467176039581713,,
15711,154.74650594,0.001,116,15597,-32.43624140999534,134,81.95,584,4.620612914642591,,
16083,159.10937087000002,0.001,116,15960,-32.835377361463465,137,84.0,588,6.117581854809772,,
16459,161.75959352,0.001,116,16339,-33.89664065584223,141,85.19,592,6.330676252537585,,
16822,164.09263746,0.001,116,16703,-35.60462752632473,144,86.29,596,5.48077840131262,,
17189,166.91278556,0.001,116,17073,-36.91662547899329,147,87.49,600,6.1421648469022525,,
17500,,0.001,,17412,-37.069095206983164,,,,7.226389446041801,93.6,187.5726511478424
17533,167.17156337,,114,,,152,87.55,604,,,
17901,168.32751463999998,0.001,114,17782,-39.65719579613727,155,87.98,608,6.846806278695231,,
18209,169.61439658999998,0.001,114,18094,-40.12901861017401,158,88.56,612,14.73920888973005,,
18456,170.56442271000003,0.001,114,18368,-40.540275450675715,160,89.03,616,12.70279799738238,,
18703,169.15144274,0.001,114,18616,-42.73344261415543,162,88.38,620,10.329115476764617,,
19008,168.73246815,0.001,115,18890,-43.17207387288411,165,88.21,624,15.894033238039178,,
19330,167.95779165,0.001,115,19215,-44.13160173283067,167,87.74,628,16.464089034617633,,
19680,167.96242597999998,0.001,115,19564,-44.92874979418377,170,87.5,632,13.47444538228652,,
20000,,0.001,,19912,-45.61741347539993,,,,11.08047349396206,90.2,182.31014241278172
20029,167.86987188,,114,,,175,87.17,636,,,
20387,168.23071816,0.001,114,20271,-46.408026970757376,177,87.07,640,14.531061595016055,,
20746,168.51002493,0.001,114,20626,-47.15471878051758,180,86.95,644,8.762652006414202,,
21112,169.11395778999997,0.001,115,20993,-48.41766721937392,183,86.89,648,10.009557247161865,,
21481,169.77161700999997,0.001,115,21362,-47.9624486176864,186,86.85,652,10.313975664285513,,
