time/episodes,train/n_updates,train/critic_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/actor_loss,time/fps,eval/mean_reward,eval/mean_ep_length
4,2000,0.13906909884978086,0.001,754.5,-1280.4854025,3018,10,-4.776546099752188,299,,
,4000,0.10746690539456905,0.001,,,5000,,7.817272998809814,,-3002.752663588524,1000.0
8,5070,0.5090574607785259,0.001,761.0,-1692.2587803750002,6088,32,2.992944526672363,187,,
12,9070,0.23407545404136182,0.001,767.3333333333334,-1668.3245097500003,9208,50,2.8027248334884645,182,,
,9299,0.5797989051276391,0.001,,,10000,,3.2247024995309337,,-199.47041250914336,76.7
16,11299,0.5846381674706936,0.001,708.75,-1398.3678426249999,11340,62,3.343732759475708,180,,
20,12371,0.724134280949831,0.001,669.45,-1164.4042510499999,13389,69,3.6042556414604188,193,,
,14371,0.665555236697197,0.001,,,15000,,3.932134251117706,,548.895688068727,1000.0
24,16371,0.6053074362576008,0.001,724.5416666666666,-924.4994718333332,17389,96,3.819562798500061,180,,
,19371,0.46978997212648393,0.001,,,20000,,3.6911850214004516,,337.47253519769873,901.1
28,20371,0.48705457036197186,0.001,763.8928571428571,-746.2759531428571,21389,125,3.483468729019165,170,,
32,23386,0.4342908285409212,0.001,762.625,-638.5987153125,24404,141,3.1389889249801635,173,,
,24386,0.4198310609161854,0.001,,,25000,,2.986742364883423,,555.2853787456173,1000.0
36,27386,0.34557548132538796,0.001,789.0,-506.93990069444436,28404,170,2.162029663801193,166,,
,29386,0.3252563047707081,0.001,,,30000,,1.4895463797450066,,527.6454621925484,1000.0
40,31386,0.30901133131980896,0.001,810.1,-403.6391929,32404,200,0.6517063392177224,161,,
,34386,0.37171533827483655,0.001,,,35000,,-0.6843231227786746,,791.6811840392954,1000.0
44,35386,0.4191669442504644,0.001,827.3636363636364,-320.9031508181818,36404,231,-1.4562471501156689,157,,
,39386,0.46356418630480767,0.001,,,40000,,-4.182352294921875,,642.0516339903872,1000.0
48,,,,841.75,-230.2340618333333,40404,260,,154,,
52,43386,0.4252499584853649,0.001,853.9230769230769,-162.71931446153843,44404,281,-7.192546251296997,157,,
,44386,0.48466809317469595,0.001,,,45000,,-8.17449352169037,,651.1594711833168,1000.0
56,47386,0.5434770243763923,0.001,864.3571428571429,-96.33895774999998,48404,311,-10.826570545196534,155,,
,49386,0.5401250026375055,0.001,,,50000,,-11.93338758468628,,610.2229274735953,1000.0
60,51386,0.5273405980616808,0.001,873.4,-44.09672954999998,52404,342,-13.044662382125855,152,,
,54386,0.56694325491786,0.001,,,55000,,-14.577213008880616,,721.234742818214,1000.0
64,55386,0.5874200758635998,0.001,881.3125,1.7208823593750253,56404,374,-15.246992336273193,150,,
,59386,0.6231661379933358,0.001,,,60000,,-17.661175800323488,,851.8216941328312,1000.0
68,,,,888.2941176470588,45.5215699411765,60404,404,,149,,
