time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/n_updates,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/value_loss,train/entropy_loss,train/learning_rate,train/approx_kl,train/std,train/loss,eval/mean_ep_length,eval/mean_reward
2048,1,3,-83.0115068076923,633,76.84615384615384,,,,,,,,,,,,,
4096,2,8,-89.23966564583333,495,84.75,10,-0.024773240089416504,0.095703125,-0.026267876269412228,0.2,159.10387613773347,-11.283456218242645,0.0003,0.010202328,0.9856451749801636,29.781606674194336,,
5000,,,,,,20,-0.07584226131439209,0.118408203125,-0.02769044673186727,0.2,83.25550379157066,-11.1802336871624,0.0003,0.013947638,0.971712589263916,14.697633743286133,1000.0,971.194450211525
6144,3,26,-66.893907625,234,63.989583333333336,,,,,,,,,,,,,
8192,4,31,-63.924930540000005,260,61.86,30,0.0042684078216552734,0.1576171875,-0.03847315015154891,0.2,84.19657310247422,-11.071060073375701,0.0003,0.013261331,0.9615523815155029,38.54122543334961,,
10000,,,,,,40,0.07122749090194702,0.096875,-0.029200225006206892,0.2,97.25622450113296,-10.994925168156623,0.0003,0.0117450105,0.949691653251648,30.580703735351562,1000.0,954.8453649997712
10240,5,49,-83.41642932999999,208,81.86,,,,,,,,,,,,,
12288,6,53,-94.98083121999998,228,94.31,50,0.05941617488861084,0.102490234375,-0.029661102243699132,0.2,83.90100605487824,-10.89862269461155,0.0003,0.011242641,0.9389540553092957,20.879026412963867,,
14336,7,58,-96.10089005,246,95.82,60,0.03519481420516968,0.118896484375,-0.03332686164358165,0.2,95.54267807006836,-10.809239038825035,0.0003,0.011517066,0.9297128915786743,47.170223236083984,,
15000,,,,,,70,0.06637835502624512,0.134375,-0.031735020619817075,0.2,81.56548010706902,-10.723903313279152,0.0003,0.0126510905,0.9196195602416992,25.05123519897461,1000.0,953.7735460400581
16384,8,74,-114.69397293000002,218,115.95,,,,,,,,,,,,,
18432,9,79,-133.32062443,232,135.65,80,0.1010514497756958,0.135498046875,-0.03347029268334154,0.2,95.49873785972595,-10.638926789164543,0.0003,0.012682475,0.9100090265274048,23.82398223876953,,
20000,,,,,,90,0.199604332447052,0.155615234375,-0.03228564684395678,0.2,53.92296204268932,-10.542527529597283,0.0003,0.018797312,0.8986924886703491,27.109128952026367,1000.0,938.7995338618755
20480,10,95,-145.37412011000004,213,149.47,,,,,,,,,,,,,
22528,11,100,-154.60518477000002,224,160.49,100,0.14080458879470825,0.112646484375,-0.026240732829319314,0.2,147.6470243692398,-10.478159388899803,0.0003,0.009970161,0.8947384357452393,54.433982849121094,,
24576,12,105,-133.55892319999998,232,141.47,110,0.11197072267532349,0.093017578125,-0.02828449152293615,0.2,179.3029884815216,-10.445317581295967,0.0003,0.00940221,0.8913989067077637,74.7269287109375,,
25000,,,,,,120,0.24855244159698486,0.097216796875,-0.02924456060572993,0.2,170.49497134685515,-10.411285212635994,0.0003,0.009695063,0.8870869278907776,82.03644561767578,1000.0,940.2865400195121
26624,13,122,-150.26793856999998,217,160.26,,,,,,,,,,,,,
28672,14,127,-138.56132297,225,150.74,130,-0.0035892724990844727,0.244482421875,-0.03909413131623296,0.2,21.784229566156863,-10.290303897857665,0.0003,0.026400574,0.8684545755386353,15.139266967773438,,
30000,,,,,,140,0.24332165718078613,0.088232421875,-0.024895469873445108,0.2,140.26428401470184,-10.20630502998829,0.0003,0.008897162,0.8652270436286926,45.73506546020508,1000.0,910.469159501791
30720,15,143,-112.61460765,213,124.09,,,,,,,,,,,,,
32768,16,148,-109.16017807000001,220,122.96,150,0.31785935163497925,0.07470703125,-0.025818489087396302,0.2,147.37627429962157,-10.172659689188004,0.0003,0.008987386,0.8610485196113586,47.158958435058594,,
34816,17,153,-106.94244176999999,227,122.16,160,0.4783947467803955,0.093603515625,-0.030202749292948285,0.2,108.84707559347153,-10.13059234917164,0.0003,0.010449489,0.8567153811454773,30.064851760864258,,
35000,,,,,,170,0.5563463270664215,0.094287109375,-0.030483241347246802,0.2,107.66886945962906,-10.091191348433494,0.0003,0.009955128,0.8527706861495972,53.13855743408203,1000.0,900.1511920154095
36864,18,170,-105.93047517999999,216,122.37,,,,,,,,,,,,,
38912,19,174,-83.33384206000001,222,97.88,180,0.6452626585960388,0.114404296875,-0.03401822225132491,0.2,82.59342024326324,-10.051473432779312,0.0003,0.011032351,0.8477669358253479,40.93525314331055,,
40000,,,,,,190,0.43407344818115234,0.075390625,-0.026935602407320403,0.2,144.52776417732238,-10.011379367113113,0.0003,0.008928902,0.844504714012146,78.36576080322266,966.7,848.4131445273757
40960,20,190,-74.05282281,214,87.67,,,,,,,,,,,,,
43008,21,195,-79.57042617,219,94.55,200,0.7776671499013901,0.114697265625,-0.03163522001123056,0.2,74.85335490703582,-9.97277969121933,0.0003,0.011476401,0.8400894999504089,38.31834030151367,,
45000,,,,,,210,0.7745267599821091,0.1388671875,-0.0333077879738994,0.2,68.67642131447792,-9.918499487638474,0.0003,0.012929788,0.8337387442588806,39.71723175048828,759.9,653.3189581505954
45056,22,209,-62.67853950000001,214,75.31,,,,,,,,,,,,,
47104,23,214,-71.25736255999999,219,86.38,220,0.7432290613651276,0.110546875,-0.033439731181715615,0.2,100.77230780124664,-9.873720455169678,0.0003,0.010554711,0.8295252919197083,36.778953552246094,,
49152,24,219,-76.42791503000001,223,94.19,230,0.7854672074317932,0.17060546875,-0.036362589210330046,0.2,40.412608456611636,-9.796554231643677,0.0003,0.016731959,0.8186389207839966,31.05448341369629,,
50000,,,,,,240,0.6243633925914764,0.131396484375,-0.03764980118721724,0.2,117.0692813873291,-9.729656806588173,0.0003,0.012039756,0.8153589963912964,52.433921813964844,534.4,448.3553057365119
51200,25,230,-57.89770377,222,73.15,,,,,,,,,,,,,
53248,26,235,-68.03186949,226,86.84,250,0.8015427738428116,0.145458984375,-0.038410022269818,0.2,89.55562739372253,-9.67693171799183,0.0003,0.013193211,0.8084360361099243,53.18752670288086,,
55000,,,,,,260,0.7849060893058777,0.13994140625,-0.03811508872604463,0.2,67.60762672424316,-9.614463511109353,0.0003,0.011923556,0.8028061985969543,28.68841552734375,374.5,310.7620210632682
55296,27,244,-55.84624463,226,72.55,,,,,,,,,,,,,
57344,28,249,-59.13969757999999,230,76.56,270,0.34093499183654785,0.145166015625,-0.03909689390275162,0.2,119.89356920719146,-9.56535476744175,0.0003,0.013300396,0.7986801862716675,62.660736083984375,,
59392,29,253,-73.20587925,233,95.46,280,0.7703754305839539,0.16181640625,-0.042877165379468354,0.2,73.2158931016922,-9.524846374988556,0.0003,0.0134332,0.7942904233932495,26.698989868164062,,
60000,,,,,,290,0.7240647375583649,0.201220703125,-0.04595141769386828,0.2,44.65187044739723,-9.441219308972359,0.0003,0.016409613,0.7835825085639954,19.791271209716797,281.2,226.47860319428145
61440,30,261,-73.19345460000001,234,95.89,,,,,,,,,,,,,
63488,31,266,-75.06093839,237,99.95,300,0.860529750585556,0.16943359375,-0.044441420448129064,0.2,49.254574584960935,-9.358445647358895,0.0003,0.016082179,0.7775979042053223,19.364322662353516,,
65000,,,,,,310,0.8530087321996689,0.198046875,-0.04676626755390316,0.2,58.10507358908653,-9.273478457331658,0.0003,0.018164832,0.7685912847518921,17.535417556762695,366.8,295.790803745389
65536,32,275,-68.34174242,237,92.0,,,,,,,,,,,,,
67584,33,280,-52.50267728,240,73.03,320,0.03639566898345947,0.19052734375,-0.04890577484620735,0.2,81.62199736833573,-9.193667286634446,0.0003,0.01789464,0.7614420652389526,34.31607437133789,,
69632,34,285,-53.35571069999999,244,75.0,330,0.7915841341018677,0.16875,-0.04462988881277852,0.2,58.97812185287476,-9.110025706887246,0.0003,0.015846565,0.7527516484260559,31.339475631713867,,
70000,,,,,,340,0.8831436559557915,0.223291015625,-0.047505808138521385,0.2,28.978378167748453,-9.050759261846542,0.0003,0.019985247,0.7481359243392944,13.481602668762207,281.3,215.87302649319173
71680,35,292,-51.790563389999996,244,74.8,,,,,,,,,,,,,
73728,36,297,-54.685455000000005,247,79.65,350,0.793961763381958,0.15615234375,-0.044721452379599215,0.2,64.551280605793,-9.004038074612618,0.0003,0.014358452,0.7445244789123535,28.803333282470703,,
75000,,,,,,360,0.888084314763546,0.248193359375,-0.04826801640447229,0.2,31.727057540416716,-8.93366156220436,0.0003,0.02126152,0.7360745668411255,4.858999252319336,409.5,310.4895116084255
75776,37,306,-67.73410973000001,247,100.21,,,,,,,,,,,,,
77824,38,311,-44.977007189999995,250,67.32,370,0.8840793594717979,0.217919921875,-0.045418742988840674,0.2,29.341589283943176,-8.845054784417153,0.0003,0.019995656,0.7287465333938599,14.213981628417969,,
79872,39,315,-55.91666735999999,253,84.78,380,0.8614226877689362,0.16630859375,-0.04629114767594729,0.2,54.29743434786796,-8.774763774871825,0.0003,0.015104253,0.7224788665771484,18.34886932373047,,
80000,,,,,,390,0.8687130063772202,0.194482421875,-0.04571104342176113,0.2,50.70934244394302,-8.699138677120208,0.0003,0.017421415,0.7162536978721619,30.798404693603516,231.0,174.20433507040144
81920,40,322,-56.04574877,253,86.74,,,,,,,,,,,,,
83968,41,327,-47.89163655,256,75.76,400,0.8730645179748535,0.1912109375,-0.04588964243012015,0.2,45.05881015658379,-8.627882620692253,0.0003,0.015939998,0.7095654606819153,18.378612518310547,,
85000,,,,,,410,0.853983461856842,0.177685546875,-0.04657126744859852,0.2,52.64117323160171,-8.547086408734321,0.0003,0.016659232,0.7018958330154419,23.37565803527832,179.9,130.57822087127715
86016,42,334,-47.68634664000001,257,77.2,,,,,,,,,,,,,
88064,43,338,-46.61517828,259,77.56,420,0.898520402610302,0.24384765625,-0.05234432679135352,0.2,32.3893354922533,-8.461651885509491,0.0003,0.023384757,0.6938731670379639,12.67153263092041,,
90000,,,,,,430,0.7738703489303589,0.32236328125,-0.04532857947415323,0.2,16.149058973789217,-8.330129340291023,0.0003,0.030711807,0.6818416714668274,1.7082782983779907,136.4,97.2657181814313
90112,44,344,-51.31393564,261,88.02,,,,,,,,,,,,,
92160,45,349,-60.449552110000006,263,105.99,440,0.872196689248085,0.264599609375,-0.04214698526484426,0.2,29.69140707850456,-8.236615064740182,0.0003,0.019889463,0.676913857460022,5.72787618637085,,
94208,46,353,-57.61473197,266,104.24,450,0.8795674666762352,0.22216796875,-0.04896024453046266,0.2,18.44380708038807,-8.147290313243866,0.0003,0.020618387,0.6671720743179321,7.359867095947266,,
95000,,,,,,460,-0.15404093265533447,0.19697265625,-0.05085875517397653,0.2,50.83030208945274,-8.087105548381805,0.0003,0.020002244,0.6651878952980042,23.209733963012695,245.9,177.95280553791673
96256,47,361,-56.639120919999996,266,105.41,,,,,,,,,,,,,
98304,48,365,-51.124322809999995,268,97.52,470,0.8942451402544975,0.243115234375,-0.05432248443830758,0.2,29.295690685510635,-8.019422431290149,0.0003,0.023697633,0.6578435897827148,17.531461715698242,,
100000,,,,,,480,0.8754323497414589,0.231982421875,-0.04912413303973153,0.2,29.7599045753479,-7.9537382736802105,0.0003,0.02210564,0.6534945964813232,12.094316482543945,175.5,122.72569326013327
100352,49,372,-50.478495050000014,269,98.11,,,,,,,,,,,,,
102400,50,377,-48.92905004,271,97.85,490,0.8649247884750366,0.35068359375,-0.05539136954175774,0.2,13.854818005859851,-7.88935572206974,0.0003,0.036702998,0.647245466709137,6.571713924407959,,
104448,51,381,-56.73144725000001,273,117.0,500,0.8183648586273193,0.375,-0.046659989460022186,0.2,11.450267286598683,-7.776874680817127,0.0003,0.03778557,0.6374695301055908,3.720060348510742,,
105000,,,,,,510,0.8203584402799606,0.24775390625,-0.048952514064149,0.2,24.10651871562004,-7.678542521595955,0.0003,0.021509835,0.6306160092353821,6.465862274169922,614.7,461.71404607445004
106496,52,392,-61.0679128,270,129.7,,,,,,,,,,,,,
108544,53,397,-63.360747860000004,272,136.77,520,0.8052136451005936,0.206787109375,-0.049847692059120166,0.2,27.397752487659453,-7.5986776739358906,0.0003,0.019245453,0.6245872974395752,4.565845489501953,,
110000,,,,,,530,0.7909345179796219,0.31298828125,-0.05876203842926771,0.2,14.629692934453487,-7.4563172057271005,0.0003,0.03353374,0.6113037467002869,7.44754695892334,301.7,217.61547158136963
110592,54,405,-64.42452972000001,272,146.25,,,,,,,,,,,,,
112640,55,410,-66.46048322,274,156.2,540,0.8001298010349274,0.2083984375,-0.05035647263866849,0.2,27.863452252745628,-7.3461052313446995,0.0003,0.019465584,0.6051462888717651,16.438114166259766,,
114688,56,414,-40.34637257,276,105.17,550,0.8367493897676468,0.27451171875,-0.05763718712842092,0.2,24.745378017425537,-7.232987128198147,0.0003,0.02619498,0.5961201190948486,11.866511344909668,,
115000,,,,,,560,0.8673903048038483,0.27880859375,-0.060883748199557886,0.2,20.091131490468978,-7.129124395549297,0.0003,0.026499648,0.5885999202728271,7.039777755737305,254.6,181.96837795227765
116736,57,422,-23.37625461,276,65.4,,,,,,,,,,,,,
