time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/approx_kl,train/n_updates,train/std,train/clip_range,train/entropy_loss,train/loss,train/clip_fraction,train/explained_variance,train/value_loss,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
60000,,,,,,0.0003,0.018416263,290,0.9546964168548584,0.2,-23.32941158413887,472.0274353027344,0.15927734375,0.49545931816101074,1232.371088027954,-0.053390476165805015,67.35,357.27521117031574
61440,30,358,249.92783419999995,53.02,171,,,,,,,,,,,,,
63488,31,359,249.36365814000004,53.32,176,0.0003,0.019816471,300,0.9535930752754211,0.2,-23.316713047027587,459.80743408203125,0.174609375,0.5201649963855743,1184.6893537521362,-0.05653506269154605,,
65000,,,,,,0.0003,0.018015366,310,0.953639566898346,0.2,-23.302959382534027,470.55743408203125,0.156005859375,0.5143550038337708,1120.8798051834106,-0.052481545324553736,60.1,313.8742662619799
65536,32,357,250.04606807000005,53.87,183,,,,,,,,,,,,,
67584,33,358,254.75879276000003,54.95,188,0.0003,0.017770115,320,0.9526652097702026,0.2,-23.29050270318985,476.2047424316406,0.158056640625,0.557533323764801,1089.9614353179932,-0.050322224784758875,,
69632,34,358,263.86253912999996,56.74,193,0.0003,0.019700991,330,0.9523104429244995,0.2,-23.27991977930069,416.6925354003906,0.1732421875,0.575247198343277,1093.7129753112793,-0.057126921263989064,,
70000,,,,,,0.0003,0.019951837,340,0.9508004784584045,0.2,-23.25820859670639,370.94940185546875,0.172265625,0.5799915194511414,1055.2703386306762,-0.0564989413949661,58.85,307.8676077036187
71680,35,356,272.0987089799999,58.3,200,,,,,,,,,,,,,
73728,36,358,278.18514078,59.25,205,0.0003,0.018222596,350,0.9482455849647522,0.2,-23.224059796333314,471.0298767089844,0.1615234375,0.6179800629615784,1044.1228967666625,-0.0492421358183492,,
75000,,,,,,0.0003,0.02181185,360,0.9471436738967896,0.2,-23.191135132312773,422.26263427734375,0.195751953125,0.6287491917610168,1090.893691444397,-0.056865776609629395,59.7,311.5369639467448
75776,37,355,275.48148646000004,58.36,212,,,,,,,,,,,,,
77824,38,356,289.84679891,61.16,218,0.0003,0.017629255,370,0.9471141695976257,0.2,-23.181645029783247,442.96197509765625,0.1521484375,0.6085558533668518,981.384321975708,-0.050868725430336784,,
79872,39,357,296.67443901,62.59,223,0.0003,0.017397402,380,0.947454571723938,0.2,-23.18557549715042,403.7161865234375,0.14052734375,0.6093363463878632,1108.7430097579957,-0.04780775200924836,,
80000,,,,,,0.0003,0.020391084,390,0.9472820162773132,0.2,-23.18590455055237,448.3270568847656,0.163623046875,0.6663635969161987,1016.4271804809571,-0.049721200906788,59.4,310.54977419469503
81920,40,356,296.43300315,62.21,230,,,,,,,,,,,,,
